,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.598,0.787,7,-6.022,1,0.0567,0.00509,1.44e-05,0.124,0.766,133.81,audio_features,6SHuGhlqTJXyIaKYHMeIyE,spotify:track:6SHuGhlqTJXyIaKYHMeIyE,https://api.spotify.com/v1/tracks/6SHuGhlqTJXyIaKYHMeIyE,https://api.spotify.com/v1/audio-analysis/6SHuGhlqTJXyIaKYHMeIyE,85730,4,Abaigh's Song,spotify:track:6SHuGhlqTJXyIaKYHMeIyE,Joy Again,4jCIAMb0zEArF3GYEYzoDk
1,0.665,0.816,9,-5.919,1,0.0409,0.0432,1.56e-06,0.187,0.336,105.021,audio_features,5SYLS4n2cFvdnObfbTeLOX,spotify:track:5SYLS4n2cFvdnObfbTeLOX,https://api.spotify.com/v1/tracks/5SYLS4n2cFvdnObfbTeLOX,https://api.spotify.com/v1/audio-analysis/5SYLS4n2cFvdnObfbTeLOX,116741,4,Special Secret Medicine,spotify:track:5SYLS4n2cFvdnObfbTeLOX,Joy Again,4jCIAMb0zEArF3GYEYzoDk
2,0.277,0.797,4,-6.692,1,0.0934,0.00124,0.0157,0.384,0.555,181.066,audio_features,6qLWbvPf1fA8wv02hxdJ5n,spotify:track:6qLWbvPf1fA8wv02hxdJ5n,https://api.spotify.com/v1/tracks/6qLWbvPf1fA8wv02hxdJ5n,https://api.spotify.com/v1/audio-analysis/6qLWbvPf1fA8wv02hxdJ5n,183405,4,I'm Your Dog,spotify:track:6qLWbvPf1fA8wv02hxdJ5n,Joy Again,4jCIAMb0zEArF3GYEYzoDk
3,0.68,0.761,4,-6.234,1,0.027,0.0267,9.55e-05,0.119,0.659,106.005,audio_features,5dAlrLZIu1WOko8hnT0Gxo,spotify:track:5dAlrLZIu1WOko8hnT0Gxo,https://api.spotify.com/v1/tracks/5dAlrLZIu1WOko8hnT0Gxo,https://api.spotify.com/v1/audio-analysis/5dAlrLZIu1WOko8hnT0Gxo,166519,4,Couldn't,spotify:track:5dAlrLZIu1WOko8hnT0Gxo,Joy Again,4jCIAMb0zEArF3GYEYzoDk
4,0.365,0.402,9,-8.898,0,0.1,0.373,4.53e-05,0.0873,0.242,159.683,audio_features,4fgUhYJGcfyJ4Djo2TJzNW,spotify:track:4fgUhYJGcfyJ4Djo2TJzNW,https://api.spotify.com/v1/tracks/4fgUhYJGcfyJ4Djo2TJzNW,https://api.spotify.com/v1/audio-analysis/4fgUhYJGcfyJ4Djo2TJzNW,69727,4,Disorder,spotify:track:4fgUhYJGcfyJ4Djo2TJzNW,Joy Again,4jCIAMb0zEArF3GYEYzoDk
5,0.382,0.634,9,-5.854,1,0.0399,0.178,0.00356,0.492,0.435,172.11,audio_features,0wFq6Zp94UFxTKtmcbrLYz,spotify:track:0wFq6Zp94UFxTKtmcbrLYz,https://api.spotify.com/v1/tracks/0wFq6Zp94UFxTKtmcbrLYz,https://api.spotify.com/v1/audio-analysis/0wFq6Zp94UFxTKtmcbrLYz,131456,4,Country Song,spotify:track:0wFq6Zp94UFxTKtmcbrLYz,Joy Again,4jCIAMb0zEArF3GYEYzoDk
6,0.542,0.531,0,-7.202,1,0.103,0.568,3.22e-05,0.191,0.398,169.944,audio_features,5TavUYoj2nphzFb76h99A9,spotify:track:5TavUYoj2nphzFb76h99A9,https://api.spotify.com/v1/tracks/5TavUYoj2nphzFb76h99A9,https://api.spotify.com/v1/audio-analysis/5TavUYoj2nphzFb76h99A9,188017,3,Rats,spotify:track:5TavUYoj2nphzFb76h99A9,Joy Again,4jCIAMb0zEArF3GYEYzoDk
7,0.29,0.673,8,-11.44,1,0.0477,0.0029,0.751,0.15,0.293,104.058,audio_features,3Ihq0L3UWotyzqWzUTRFQ1,spotify:track:3Ihq0L3UWotyzqWzUTRFQ1,https://api.spotify.com/v1/tracks/3Ihq0L3UWotyzqWzUTRFQ1,https://api.spotify.com/v1/audio-analysis/3Ihq0L3UWotyzqWzUTRFQ1,197608,4,Mordecai's Bad Sex Dream,spotify:track:3Ihq0L3UWotyzqWzUTRFQ1,Joy Again,4jCIAMb0zEArF3GYEYzoDk
8,0.47,0.707,6,-8.662,1,0.107,0.456,0.466,0.133,0.61,166.478,audio_features,51H49NvDMqT1vy7j0O0S4e,spotify:track:51H49NvDMqT1vy7j0O0S4e,https://api.spotify.com/v1/tracks/51H49NvDMqT1vy7j0O0S4e,https://api.spotify.com/v1/audio-analysis/51H49NvDMqT1vy7j0O0S4e,165500,3,How You Feel,spotify:track:51H49NvDMqT1vy7j0O0S4e,Joy Again,4jCIAMb0zEArF3GYEYzoDk
9,0.643,0.436,11,-12.259,1,0.0561,0.00808,0.722,0.0856,0.623,77.238,audio_features,5UqrB60IEjJczuZcREd0vP,spotify:track:5UqrB60IEjJczuZcREd0vP,https://api.spotify.com/v1/tracks/5UqrB60IEjJczuZcREd0vP,https://api.spotify.com/v1/audio-analysis/5UqrB60IEjJczuZcREd0vP,154768,4,Worn Out,spotify:track:5UqrB60IEjJczuZcREd0vP,Joy Again,4jCIAMb0zEArF3GYEYzoDk
