,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.527,0.608,1,-5.157,1,0.0332,0.0244,0.0,0.122,0.27,112.063,audio_features,4qD6K5BTCVrFsVOAZnaiJs,spotify:track:4qD6K5BTCVrFsVOAZnaiJs,https://api.spotify.com/v1/tracks/4qD6K5BTCVrFsVOAZnaiJs,https://api.spotify.com/v1/audio-analysis/4qD6K5BTCVrFsVOAZnaiJs,209276,3,All Your Exes,spotify:track:4qD6K5BTCVrFsVOAZnaiJs,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
1,0.53,0.405,11,-9.316,0,0.0372,0.62,0.0,0.127,0.327,112.732,audio_features,00nyVOFN0HHpJu9VCPmjv5,spotify:track:00nyVOFN0HHpJu9VCPmjv5,https://api.spotify.com/v1/tracks/00nyVOFN0HHpJu9VCPmjv5,https://api.spotify.com/v1/audio-analysis/00nyVOFN0HHpJu9VCPmjv5,150394,4,Love Is Weird,spotify:track:00nyVOFN0HHpJu9VCPmjv5,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
2,0.688,0.768,8,-5.059,1,0.044,0.106,0.0,0.0537,0.745,137.953,audio_features,6TmZqlFhLwMm1TT9lS24XX,spotify:track:6TmZqlFhLwMm1TT9lS24XX,https://api.spotify.com/v1/tracks/6TmZqlFhLwMm1TT9lS24XX,https://api.spotify.com/v1/audio-analysis/6TmZqlFhLwMm1TT9lS24XX,197830,4,Pessimist,spotify:track:6TmZqlFhLwMm1TT9lS24XX,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
3,0.423,0.405,7,-6.174,1,0.033,0.347,0.0,0.0951,0.346,140.875,audio_features,4hkSiyO1zy1scfc4HWMGR4,spotify:track:4hkSiyO1zy1scfc4HWMGR4,https://api.spotify.com/v1/tracks/4hkSiyO1zy1scfc4HWMGR4,https://api.spotify.com/v1/audio-analysis/4hkSiyO1zy1scfc4HWMGR4,196253,4,Little Did I Know,spotify:track:4hkSiyO1zy1scfc4HWMGR4,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
4,0.563,0.671,0,-5.458,1,0.0295,0.00683,0.0,0.139,0.374,80.018,audio_features,2tYTz6cSfwVqcjWksqmEE5,spotify:track:2tYTz6cSfwVqcjWksqmEE5,https://api.spotify.com/v1/tracks/2tYTz6cSfwVqcjWksqmEE5,https://api.spotify.com/v1/audio-analysis/2tYTz6cSfwVqcjWksqmEE5,173937,4,Orange Magic,spotify:track:2tYTz6cSfwVqcjWksqmEE5,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
5,0.726,0.695,1,-5.758,1,0.059,0.136,3.05e-06,0.0723,0.846,121.028,audio_features,2fvuqWlDNtRUAZ4ZGBy4qK,spotify:track:2fvuqWlDNtRUAZ4ZGBy4qK,https://api.spotify.com/v1/tracks/2fvuqWlDNtRUAZ4ZGBy4qK,https://api.spotify.com/v1/audio-analysis/2fvuqWlDNtRUAZ4ZGBy4qK,218383,4,Lie Like This,spotify:track:2fvuqWlDNtRUAZ4ZGBy4qK,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
6,0.587,0.648,11,-5.97,0,0.0492,0.106,0.0,0.158,0.604,124.019,audio_features,3QCXMTl9soFaAMtBoa9vJf,spotify:track:3QCXMTl9soFaAMtBoa9vJf,https://api.spotify.com/v1/tracks/3QCXMTl9soFaAMtBoa9vJf,https://api.spotify.com/v1/audio-analysis/3QCXMTl9soFaAMtBoa9vJf,163282,4,Wrapped Around,spotify:track:3QCXMTl9soFaAMtBoa9vJf,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
7,0.534,0.2,4,-8.153,1,0.0513,0.907,0.0,0.111,0.444,128.795,audio_features,2XOawjmp1yzRvHh8mRgkW1,spotify:track:2XOawjmp1yzRvHh8mRgkW1,https://api.spotify.com/v1/tracks/2XOawjmp1yzRvHh8mRgkW1,https://api.spotify.com/v1/audio-analysis/2XOawjmp1yzRvHh8mRgkW1,139626,3,History,spotify:track:2XOawjmp1yzRvHh8mRgkW1,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
8,0.546,0.758,8,-6.108,1,0.0604,0.382,1.91e-05,0.0858,0.438,146.995,audio_features,6OyC8BRL2GmOdOO6lTis4u,spotify:track:6OyC8BRL2GmOdOO6lTis4u,https://api.spotify.com/v1/tracks/6OyC8BRL2GmOdOO6lTis4u,https://api.spotify.com/v1/audio-analysis/6OyC8BRL2GmOdOO6lTis4u,196071,4,Undertone,spotify:track:6OyC8BRL2GmOdOO6lTis4u,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
9,0.511,0.435,9,-7.147,1,0.0581,0.608,0.0,0.121,0.357,78.909,audio_features,10WrTj0QoHnuWqvGEg3EWN,spotify:track:10WrTj0QoHnuWqvGEg3EWN,https://api.spotify.com/v1/tracks/10WrTj0QoHnuWqvGEg3EWN,https://api.spotify.com/v1/audio-analysis/10WrTj0QoHnuWqvGEg3EWN,134684,4,That's The Kind Of Woman,spotify:track:10WrTj0QoHnuWqvGEg3EWN,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
