,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.66,0.812,5,-6.028,1,0.29,0.465,0.000832,0.106,0.579,124.185,audio_features,2OXzcoAe5kEerWSv7IAOdk,spotify:track:2OXzcoAe5kEerWSv7IAOdk,https://api.spotify.com/v1/tracks/2OXzcoAe5kEerWSv7IAOdk,https://api.spotify.com/v1/audio-analysis/2OXzcoAe5kEerWSv7IAOdk,203715,4,Break,spotify:track:2OXzcoAe5kEerWSv7IAOdk,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
1,0.485,0.774,1,-4.869,0,0.156,0.336,0.0966,0.351,0.465,158.146,audio_features,3Dpr2fHOgu9BJEff8FhSk4,spotify:track:3Dpr2fHOgu9BJEff8FhSk4,https://api.spotify.com/v1/tracks/3Dpr2fHOgu9BJEff8FhSk4,https://api.spotify.com/v1/audio-analysis/3Dpr2fHOgu9BJEff8FhSk4,199395,4,Sixty Summers,spotify:track:3Dpr2fHOgu9BJEff8FhSk4,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
2,0.732,0.108,8,-12.753,1,0.0441,0.925,2.11e-06,0.0851,0.254,119.899,audio_features,4LXJ8bzFIbYHKNVbIsMLj7,spotify:track:4LXJ8bzFIbYHKNVbIsMLj7,https://api.spotify.com/v1/tracks/4LXJ8bzFIbYHKNVbIsMLj7,https://api.spotify.com/v1/audio-analysis/4LXJ8bzFIbYHKNVbIsMLj7,159748,4,We All Have (feat. Matt Berninger),spotify:track:4LXJ8bzFIbYHKNVbIsMLj7,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
3,0.733,0.705,10,-6.593,0,0.157,0.348,0.00126,0.083,0.744,99.991,audio_features,4q5thVFIaCGy6cnhvFaUAF,spotify:track:4q5thVFIaCGy6cnhvFaUAF,https://api.spotify.com/v1/tracks/4q5thVFIaCGy6cnhvFaUAF,https://api.spotify.com/v1/audio-analysis/4q5thVFIaCGy6cnhvFaUAF,181837,4,Substance,spotify:track:4q5thVFIaCGy6cnhvFaUAF,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
4,0.608,0.471,9,-9.709,0,0.031,0.458,0.0145,0.124,0.295,113.032,audio_features,4qRSWR2JDz54wTANwLHRzs,spotify:track:4qRSWR2JDz54wTANwLHRzs,https://api.spotify.com/v1/tracks/4qRSWR2JDz54wTANwLHRzs,https://api.spotify.com/v1/audio-analysis/4qRSWR2JDz54wTANwLHRzs,179965,4,Dance,spotify:track:4qRSWR2JDz54wTANwLHRzs,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
5,0.739,0.622,4,-6.613,0,0.0663,0.0386,0.00273,0.152,0.648,107.937,audio_features,1n4s12WRz9FIQQiY2Mef9V,spotify:track:1n4s12WRz9FIQQiY2Mef9V,https://api.spotify.com/v1/tracks/1n4s12WRz9FIQQiY2Mef9V,https://api.spotify.com/v1/audio-analysis/1n4s12WRz9FIQQiY2Mef9V,166077,4,Free,spotify:track:1n4s12WRz9FIQQiY2Mef9V,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
6,0.825,0.675,0,-9.051,1,0.0746,0.219,2.88e-05,0.122,0.283,112.948,audio_features,45mGLv1BEdmt4IDMk1cSnG,spotify:track:45mGLv1BEdmt4IDMk1cSnG,https://api.spotify.com/v1/tracks/45mGLv1BEdmt4IDMk1cSnG,https://api.spotify.com/v1/audio-analysis/45mGLv1BEdmt4IDMk1cSnG,180545,4,Who,spotify:track:45mGLv1BEdmt4IDMk1cSnG,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
7,0.622,0.516,9,-6.904,0,0.0317,0.017,0.0266,0.175,0.443,114.06,audio_features,7orKhUWxLxNcOok02ZwRPo,spotify:track:7orKhUWxLxNcOok02ZwRPo,https://api.spotify.com/v1/tracks/7orKhUWxLxNcOok02ZwRPo,https://api.spotify.com/v1/audio-analysis/7orKhUWxLxNcOok02ZwRPo,154665,4,Fire In Me,spotify:track:7orKhUWxLxNcOok02ZwRPo,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
8,0.654,0.437,5,-6.925,1,0.0402,0.384,5.21e-06,0.225,0.5,146.011,audio_features,2VvtiKS3G3KvrsACWQGkga,spotify:track:2VvtiKS3G3KvrsACWQGkga,https://api.spotify.com/v1/tracks/2VvtiKS3G3KvrsACWQGkga,https://api.spotify.com/v1/audio-analysis/2VvtiKS3G3KvrsACWQGkga,231638,4,Easy,spotify:track:2VvtiKS3G3KvrsACWQGkga,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
9,0.712,0.485,7,-7.337,0,0.0978,0.361,0.0,0.124,0.316,130.899,audio_features,7vVsUjw9iJdrAqUsGvMtsw,spotify:track:7vVsUjw9iJdrAqUsGvMtsw,https://api.spotify.com/v1/tracks/7vVsUjw9iJdrAqUsGvMtsw,https://api.spotify.com/v1/audio-analysis/7vVsUjw9iJdrAqUsGvMtsw,171506,4,Queen,spotify:track:7vVsUjw9iJdrAqUsGvMtsw,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
10,0.599,0.477,7,-9.708,0,0.0788,0.0278,0.0131,0.252,0.611,160.002,audio_features,4yaqVwd6ykLAVqKfkVlO1R,spotify:track:4yaqVwd6ykLAVqKfkVlO1R,https://api.spotify.com/v1/tracks/4yaqVwd6ykLAVqKfkVlO1R,https://api.spotify.com/v1/audio-analysis/4yaqVwd6ykLAVqKfkVlO1R,178569,4,Heron,spotify:track:4yaqVwd6ykLAVqKfkVlO1R,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
11,0.573,0.577,2,-8.67,0,0.0552,0.545,0.0551,0.0889,0.211,151.964,audio_features,4oX3e6LuPKO218rcGn7Tp4,spotify:track:4oX3e6LuPKO218rcGn7Tp4,https://api.spotify.com/v1/tracks/4oX3e6LuPKO218rcGn7Tp4,https://api.spotify.com/v1/audio-analysis/4oX3e6LuPKO218rcGn7Tp4,209792,4,Unreal,spotify:track:4oX3e6LuPKO218rcGn7Tp4,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
12,0.613,0.235,7,-13.058,0,0.0505,0.896,0.0462,0.0895,0.222,85.015,audio_features,2kqDQ2TSz5LL35AoBlQCW6,spotify:track:2kqDQ2TSz5LL35AoBlQCW6,https://api.spotify.com/v1/tracks/2kqDQ2TSz5LL35AoBlQCW6,https://api.spotify.com/v1/audio-analysis/2kqDQ2TSz5LL35AoBlQCW6,224407,4,I Am No One,spotify:track:2kqDQ2TSz5LL35AoBlQCW6,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
13,0.611,0.485,9,-10.174,0,0.0297,0.428,0.162,0.104,0.304,112.978,audio_features,3CB06IJsRDehqLhqUf5E0Z,spotify:track:3CB06IJsRDehqLhqUf5E0Z,https://api.spotify.com/v1/tracks/3CB06IJsRDehqLhqUf5E0Z,https://api.spotify.com/v1/audio-analysis/3CB06IJsRDehqLhqUf5E0Z,181530,4,Dance (French Version),spotify:track:3CB06IJsRDehqLhqUf5E0Z,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
14,0.674,0.598,2,-14.037,1,0.0299,0.521,0.315,0.244,0.77,136.727,audio_features,2obkeWSWz3tcFkcjA8RLX1,spotify:track:2obkeWSWz3tcFkcjA8RLX1,https://api.spotify.com/v1/tracks/2obkeWSWz3tcFkcjA8RLX1,https://api.spotify.com/v1/audio-analysis/2obkeWSWz3tcFkcjA8RLX1,214160,4,Let's Forget All The Things That We Say,spotify:track:2obkeWSWz3tcFkcjA8RLX1,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
15,0.544,0.407,11,-12.78,1,0.0299,0.71,0.338,0.0854,0.159,164.025,audio_features,61ChgNRIbjD8tTDGjFs3ue,spotify:track:61ChgNRIbjD8tTDGjFs3ue,https://api.spotify.com/v1/tracks/61ChgNRIbjD8tTDGjFs3ue,https://api.spotify.com/v1/audio-analysis/61ChgNRIbjD8tTDGjFs3ue,310840,4,Bloodbuzz Ohio,spotify:track:61ChgNRIbjD8tTDGjFs3ue,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
16,0.703,0.468,10,-12.58,0,0.0575,0.553,0.0679,0.0979,0.333,112.99,audio_features,7nBWWzvTOfpMePQ3s6rbbN,spotify:track:7nBWWzvTOfpMePQ3s6rbbN,https://api.spotify.com/v1/tracks/7nBWWzvTOfpMePQ3s6rbbN,https://api.spotify.com/v1/audio-analysis/7nBWWzvTOfpMePQ3s6rbbN,234013,4,It's All Okay,spotify:track:7nBWWzvTOfpMePQ3s6rbbN,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
17,0.396,0.17,2,-17.157,1,0.0417,0.918,0.0224,0.0921,0.157,150.002,audio_features,4o2FBrW52xoAE6Ti7Zun80,spotify:track:4o2FBrW52xoAE6Ti7Zun80,https://api.spotify.com/v1/tracks/4o2FBrW52xoAE6Ti7Zun80,https://api.spotify.com/v1/audio-analysis/4o2FBrW52xoAE6Ti7Zun80,227240,4,"I'm Here, I'm Not Here",spotify:track:4o2FBrW52xoAE6Ti7Zun80,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
18,0.618,0.533,4,-12.152,0,0.0308,0.674,0.568,0.104,0.11,124.951,audio_features,2Acthc5xG63QFS7QurCkzn,spotify:track:2Acthc5xG63QFS7QurCkzn,https://api.spotify.com/v1/tracks/2Acthc5xG63QFS7QurCkzn,https://api.spotify.com/v1/audio-analysis/2Acthc5xG63QFS7QurCkzn,273507,4,Justine,spotify:track:2Acthc5xG63QFS7QurCkzn,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
19,0.559,0.371,2,-11.599,1,0.0251,0.697,0.000301,0.136,0.362,135.915,audio_features,3LnSClgxtxyimD16LTH0rd,spotify:track:3LnSClgxtxyimD16LTH0rd,https://api.spotify.com/v1/tracks/3LnSClgxtxyimD16LTH0rd,https://api.spotify.com/v1/audio-analysis/3LnSClgxtxyimD16LTH0rd,176093,4,Break Apart,spotify:track:3LnSClgxtxyimD16LTH0rd,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
20,0.482,0.467,6,-13.016,0,0.0346,0.491,0.74,0.0914,0.0687,149.858,audio_features,3RKVXmFUwg6dWi4yOGLbcK,spotify:track:3RKVXmFUwg6dWi4yOGLbcK,https://api.spotify.com/v1/tracks/3RKVXmFUwg6dWi4yOGLbcK,https://api.spotify.com/v1/audio-analysis/3RKVXmFUwg6dWi4yOGLbcK,200653,4,With the Light,spotify:track:3RKVXmFUwg6dWi4yOGLbcK,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
21,0.443,0.28,3,-11.614,1,0.0266,0.452,0.531,0.118,0.142,105.533,audio_features,3gPX2ojuI6wbT2ZpgUxE8z,spotify:track:3gPX2ojuI6wbT2ZpgUxE8z,https://api.spotify.com/v1/tracks/3gPX2ojuI6wbT2ZpgUxE8z,https://api.spotify.com/v1/audio-analysis/3gPX2ojuI6wbT2ZpgUxE8z,260360,4,I Want to Live Here,spotify:track:3gPX2ojuI6wbT2ZpgUxE8z,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
22,0.573,0.22,8,-11.395,0,0.0357,0.799,0.0,0.125,0.112,142.277,audio_features,2FJclo8XOsiXGlapS5HIxt,spotify:track:2FJclo8XOsiXGlapS5HIxt,https://api.spotify.com/v1/tracks/2FJclo8XOsiXGlapS5HIxt,https://api.spotify.com/v1/audio-analysis/2FJclo8XOsiXGlapS5HIxt,244160,4,By the Horns,spotify:track:2FJclo8XOsiXGlapS5HIxt,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
23,0.462,0.0713,11,-15.244,0,0.0464,0.964,1.43e-06,0.109,0.0392,121.442,audio_features,207Qh1LVOg5oR1n2T9S6om,spotify:track:207Qh1LVOg5oR1n2T9S6om,https://api.spotify.com/v1/tracks/207Qh1LVOg5oR1n2T9S6om,https://api.spotify.com/v1/audio-analysis/207Qh1LVOg5oR1n2T9S6om,160400,3,The Line That Ties Me,spotify:track:207Qh1LVOg5oR1n2T9S6om,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
24,0.419,0.188,10,-14.86,0,0.0302,0.741,8.5e-05,0.122,0.171,84.958,audio_features,2z845OrZz1BaDJwZIPolJJ,spotify:track:2z845OrZz1BaDJwZIPolJJ,https://api.spotify.com/v1/tracks/2z845OrZz1BaDJwZIPolJJ,https://api.spotify.com/v1/audio-analysis/2z845OrZz1BaDJwZIPolJJ,282347,4,The River - Bonus Track,spotify:track:2z845OrZz1BaDJwZIPolJJ,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
25,0.645,0.544,2,-13.329,1,0.0281,0.488,0.0275,0.247,0.457,136.76,audio_features,7LOT9xzjvIV8d2hWouSA8I,spotify:track:7LOT9xzjvIV8d2hWouSA8I,https://api.spotify.com/v1/tracks/7LOT9xzjvIV8d2hWouSA8I,https://api.spotify.com/v1/audio-analysis/7LOT9xzjvIV8d2hWouSA8I,213319,4,Let's Forget (feat. Benjamin Biolay),spotify:track:7LOT9xzjvIV8d2hWouSA8I,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
26,0.545,0.409,11,-12.79,1,0.0298,0.703,0.206,0.0855,0.175,163.961,audio_features,4FuwpB7RrFoxz8hOGiLJ6h,spotify:track:4FuwpB7RrFoxz8hOGiLJ6h,https://api.spotify.com/v1/tracks/4FuwpB7RrFoxz8hOGiLJ6h,https://api.spotify.com/v1/audio-analysis/4FuwpB7RrFoxz8hOGiLJ6h,310839,4,Bloodbuzz Ohio,spotify:track:4FuwpB7RrFoxz8hOGiLJ6h,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
27,0.697,0.465,10,-12.55,0,0.0628,0.572,0.0838,0.098,0.308,112.986,audio_features,6xiP6mlOunKQgkRYa57n3A,spotify:track:6xiP6mlOunKQgkRYa57n3A,https://api.spotify.com/v1/tracks/6xiP6mlOunKQgkRYa57n3A,https://api.spotify.com/v1/audio-analysis/6xiP6mlOunKQgkRYa57n3A,234003,4,It's All Okay,spotify:track:6xiP6mlOunKQgkRYa57n3A,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
28,0.406,0.157,2,-17.058,1,0.0419,0.918,0.0297,0.0933,0.153,150.012,audio_features,1HYKn32wlReXXLkkoAP7fk,spotify:track:1HYKn32wlReXXLkkoAP7fk,https://api.spotify.com/v1/tracks/1HYKn32wlReXXLkkoAP7fk,https://api.spotify.com/v1/audio-analysis/1HYKn32wlReXXLkkoAP7fk,227253,4,"I’m Here, I’m Not Here",spotify:track:1HYKn32wlReXXLkkoAP7fk,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
29,0.614,0.533,4,-12.169,0,0.0305,0.698,0.556,0.106,0.123,124.959,audio_features,1aoEl1NaU29IVfxIBXmXrX,spotify:track:1aoEl1NaU29IVfxIBXmXrX,https://api.spotify.com/v1/tracks/1aoEl1NaU29IVfxIBXmXrX,https://api.spotify.com/v1/audio-analysis/1aoEl1NaU29IVfxIBXmXrX,273496,4,Justine,spotify:track:1aoEl1NaU29IVfxIBXmXrX,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
30,0.549,0.364,2,-11.537,1,0.0248,0.708,0.000192,0.137,0.36,135.861,audio_features,70q8f1g5bfv8sj4ZyaJk8I,spotify:track:70q8f1g5bfv8sj4ZyaJk8I,https://api.spotify.com/v1/tracks/70q8f1g5bfv8sj4ZyaJk8I,https://api.spotify.com/v1/audio-analysis/70q8f1g5bfv8sj4ZyaJk8I,176091,4,Break Apart,spotify:track:70q8f1g5bfv8sj4ZyaJk8I,Julia Stone,4gZRt9wlRx1IsxT9glJdrc
