,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.477,0.953,11,-5.995,0,0.0432,0.00238,0.00479,0.25,0.231,135.004,audio_features,2tDNnuvFaTbG5kBAQo6MVd,spotify:track:2tDNnuvFaTbG5kBAQo6MVd,https://api.spotify.com/v1/tracks/2tDNnuvFaTbG5kBAQo6MVd,https://api.spotify.com/v1/audio-analysis/2tDNnuvFaTbG5kBAQo6MVd,199597,4,Eye City,spotify:track:2tDNnuvFaTbG5kBAQo6MVd,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
1,0.51,0.964,1,-7.546,1,0.0342,0.00224,0.692,0.117,0.921,140.027,audio_features,7mkEkp1hwgEqawRcXsKcW6,spotify:track:7mkEkp1hwgEqawRcXsKcW6,https://api.spotify.com/v1/tracks/7mkEkp1hwgEqawRcXsKcW6,https://api.spotify.com/v1/audio-analysis/7mkEkp1hwgEqawRcXsKcW6,110108,4,"Aux yeux de tous, Pt. 1",spotify:track:7mkEkp1hwgEqawRcXsKcW6,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
2,0.382,0.337,6,-17.648,1,0.0339,0.905,0.915,0.113,0.0513,110.288,audio_features,5Vb1aitLG1pKiAT51JSEOz,spotify:track:5Vb1aitLG1pKiAT51JSEOz,https://api.spotify.com/v1/tracks/5Vb1aitLG1pKiAT51JSEOz,https://api.spotify.com/v1/audio-analysis/5Vb1aitLG1pKiAT51JSEOz,78524,4,Scan & Seek,spotify:track:5Vb1aitLG1pKiAT51JSEOz,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
3,0.751,0.794,1,-7.472,0,0.265,0.00036,0.468,0.167,0.675,110.073,audio_features,53OTvwuQeSz5lCb9rgljEZ,spotify:track:53OTvwuQeSz5lCb9rgljEZ,https://api.spotify.com/v1/tracks/53OTvwuQeSz5lCb9rgljEZ,https://api.spotify.com/v1/audio-analysis/53OTvwuQeSz5lCb9rgljEZ,46711,4,Subway Running,spotify:track:53OTvwuQeSz5lCb9rgljEZ,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
4,0.361,0.295,5,-16.099,1,0.0388,0.862,0.907,0.108,0.139,124.273,audio_features,0CLKKSZpsKibgtdSP2YEXh,spotify:track:0CLKKSZpsKibgtdSP2YEXh,https://api.spotify.com/v1/tracks/0CLKKSZpsKibgtdSP2YEXh,https://api.spotify.com/v1/audio-analysis/0CLKKSZpsKibgtdSP2YEXh,153540,4,Tracked to Death,spotify:track:0CLKKSZpsKibgtdSP2YEXh,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
5,0.548,0.943,7,-7.98,1,0.664,0.00505,0.00123,0.0762,0.287,128.008,audio_features,3xGK15rRfAPBFjbTdD3cy2,spotify:track:3xGK15rRfAPBFjbTdD3cy2,https://api.spotify.com/v1/tracks/3xGK15rRfAPBFjbTdD3cy2,https://api.spotify.com/v1/audio-analysis/3xGK15rRfAPBFjbTdD3cy2,87844,4,Anonymous Guidance,spotify:track:3xGK15rRfAPBFjbTdD3cy2,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
6,0.423,0.487,9,-15.055,0,0.045,0.502,0.903,0.123,0.0398,180.123,audio_features,3qIRh6NKP0dUPgYp8aYJxp,spotify:track:3qIRh6NKP0dUPgYp8aYJxp,https://api.spotify.com/v1/tracks/3qIRh6NKP0dUPgYp8aYJxp,https://api.spotify.com/v1/audio-analysis/3qIRh6NKP0dUPgYp8aYJxp,235591,4,Sam Cortes ID,spotify:track:3qIRh6NKP0dUPgYp8aYJxp,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
7,0.509,0.494,7,-13.146,1,0.0384,0.857,0.904,0.142,0.033,122.081,audio_features,7fZCOOK70pBOtT8rmQiS2D,spotify:track:7fZCOOK70pBOtT8rmQiS2D,https://api.spotify.com/v1/tracks/7fZCOOK70pBOtT8rmQiS2D,https://api.spotify.com/v1/audio-analysis/7fZCOOK70pBOtT8rmQiS2D,206972,4,Tv Store,spotify:track:7fZCOOK70pBOtT8rmQiS2D,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
8,0.581,0.92,1,-8.8,1,0.0903,0.435,0.695,0.169,0.126,121.977,audio_features,43n6Xw17ZGj8NOSijcuSgg,spotify:track:43n6Xw17ZGj8NOSijcuSgg,https://api.spotify.com/v1/tracks/43n6Xw17ZGj8NOSijcuSgg,https://api.spotify.com/v1/audio-analysis/43n6Xw17ZGj8NOSijcuSgg,96235,4,Dark City,spotify:track:43n6Xw17ZGj8NOSijcuSgg,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
9,0.415,0.575,8,-9.057,1,0.0451,0.0799,0.889,0.112,0.048,90.01,audio_features,3k2bVlSwPcszDrxWi0hoMT,spotify:track:3k2bVlSwPcszDrxWi0hoMT,https://api.spotify.com/v1/tracks/3k2bVlSwPcszDrxWi0hoMT,https://api.spotify.com/v1/audio-analysis/3k2bVlSwPcszDrxWi0hoMT,142872,4,The Truth,spotify:track:3k2bVlSwPcszDrxWi0hoMT,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
10,0.301,0.283,5,-14.077,1,0.0459,0.892,0.967,0.0743,0.0332,121.98,audio_features,7DvSJsZc7s3CMYl9CDt5Np,spotify:track:7DvSJsZc7s3CMYl9CDt5Np,https://api.spotify.com/v1/tracks/7DvSJsZc7s3CMYl9CDt5Np,https://api.spotify.com/v1/audio-analysis/7DvSJsZc7s3CMYl9CDt5Np,101145,4,Failed Hope,spotify:track:7DvSJsZc7s3CMYl9CDt5Np,Julien Jabre,3MKxO8huUSV0g9E08bJbBM
