,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.668,0.7,5,-7.503,0,0.0328,0.00315,0.239,0.0726,0.0774,126.017,audio_features,7cCjVs2b6Hid563hNlUxDo,spotify:track:7cCjVs2b6Hid563hNlUxDo,https://api.spotify.com/v1/tracks/7cCjVs2b6Hid563hNlUxDo,https://api.spotify.com/v1/audio-analysis/7cCjVs2b6Hid563hNlUxDo,300000,4,Can't Get Enough,spotify:track:7cCjVs2b6Hid563hNlUxDo,Janai,0x9rtwsyJne349H9TJGDk0
1,0.529,0.267,0,-11.203,1,0.276,0.39,0.00911,0.111,0.135,203.896,audio_features,3v4IZWYCwaKKeaPsNc6HHz,spotify:track:3v4IZWYCwaKKeaPsNc6HHz,https://api.spotify.com/v1/tracks/3v4IZWYCwaKKeaPsNc6HHz,https://api.spotify.com/v1/audio-analysis/3v4IZWYCwaKKeaPsNc6HHz,218771,3,Saudade,spotify:track:3v4IZWYCwaKKeaPsNc6HHz,Janai,0x9rtwsyJne349H9TJGDk0
2,0.706,0.935,11,-5.22,1,0.0504,0.00679,0.0901,0.167,0.0955,126.998,audio_features,5FZL44ZFwGpgQ2j7GGuox8,spotify:track:5FZL44ZFwGpgQ2j7GGuox8,https://api.spotify.com/v1/tracks/5FZL44ZFwGpgQ2j7GGuox8,https://api.spotify.com/v1/audio-analysis/5FZL44ZFwGpgQ2j7GGuox8,250394,4,Lonely Memories - Original Mix,spotify:track:5FZL44ZFwGpgQ2j7GGuox8,Janai,0x9rtwsyJne349H9TJGDk0
3,0.873,0.554,6,-9.073,1,0.061,0.0226,0.00612,0.155,0.501,122.011,audio_features,2nt2ICmb4h4LZJmeqXpg9M,spotify:track:2nt2ICmb4h4LZJmeqXpg9M,https://api.spotify.com/v1/tracks/2nt2ICmb4h4LZJmeqXpg9M,https://api.spotify.com/v1/audio-analysis/2nt2ICmb4h4LZJmeqXpg9M,395410,4,Here For You - Original Mix,spotify:track:2nt2ICmb4h4LZJmeqXpg9M,Janai,0x9rtwsyJne349H9TJGDk0
4,0.571,0.866,5,-6.456,0,0.0396,8.75e-05,0.851,0.228,0.79,144.072,audio_features,3SSqOvAZYVfE7Rl8kNnEVL,spotify:track:3SSqOvAZYVfE7Rl8kNnEVL,https://api.spotify.com/v1/tracks/3SSqOvAZYVfE7Rl8kNnEVL,https://api.spotify.com/v1/audio-analysis/3SSqOvAZYVfE7Rl8kNnEVL,287000,4,Cross The Line (feat. Janai),spotify:track:3SSqOvAZYVfE7Rl8kNnEVL,Janai,0x9rtwsyJne349H9TJGDk0
5,0.669,0.938,5,-4.076,0,0.052,0.000204,0.132,0.406,0.439,109.979,audio_features,4AqpvoeSn9yR749HhdQZmq,spotify:track:4AqpvoeSn9yR749HhdQZmq,https://api.spotify.com/v1/tracks/4AqpvoeSn9yR749HhdQZmq,https://api.spotify.com/v1/audio-analysis/4AqpvoeSn9yR749HhdQZmq,281800,4,Cross The Line (feat. Janai) - B. Rich Remix,spotify:track:4AqpvoeSn9yR749HhdQZmq,Janai,0x9rtwsyJne349H9TJGDk0
6,0.663,0.904,10,-6.721,0,0.126,0.00404,0.14,0.343,0.89,155.038,audio_features,4T0SsHyohPY3xBRZLA0hZh,spotify:track:4T0SsHyohPY3xBRZLA0hZh,https://api.spotify.com/v1/tracks/4T0SsHyohPY3xBRZLA0hZh,https://api.spotify.com/v1/audio-analysis/4T0SsHyohPY3xBRZLA0hZh,254600,4,Cross The Line (feat. Janai) - Clicks & Whistles Remix,spotify:track:4T0SsHyohPY3xBRZLA0hZh,Janai,0x9rtwsyJne349H9TJGDk0
7,0.572,0.462,0,-7.545,0,0.0386,0.378,1.15e-05,0.149,0.27,134.947,audio_features,2iggMlxSCyCcWPx9KoeFO8,spotify:track:2iggMlxSCyCcWPx9KoeFO8,https://api.spotify.com/v1/tracks/2iggMlxSCyCcWPx9KoeFO8,https://api.spotify.com/v1/audio-analysis/2iggMlxSCyCcWPx9KoeFO8,128222,4,Can U,spotify:track:2iggMlxSCyCcWPx9KoeFO8,Janai,0x9rtwsyJne349H9TJGDk0
8,0.684,0.495,5,-9.107,0,0.119,0.424,0.0,0.0938,0.566,99.907,audio_features,2BAiu4prVlE9Rfkt5OEOi8,spotify:track:2BAiu4prVlE9Rfkt5OEOi8,https://api.spotify.com/v1/tracks/2BAiu4prVlE9Rfkt5OEOi8,https://api.spotify.com/v1/audio-analysis/2BAiu4prVlE9Rfkt5OEOi8,155376,4,Dada,spotify:track:2BAiu4prVlE9Rfkt5OEOi8,Janai,0x9rtwsyJne349H9TJGDk0
9,0.734,0.959,2,-2.966,1,0.0682,0.308,0.0,0.261,0.781,103.993,audio_features,1XYOgcJ8RYE1PatpvKowJh,spotify:track:1XYOgcJ8RYE1PatpvKowJh,https://api.spotify.com/v1/tracks/1XYOgcJ8RYE1PatpvKowJh,https://api.spotify.com/v1/audio-analysis/1XYOgcJ8RYE1PatpvKowJh,247125,4,Nobody Can,spotify:track:1XYOgcJ8RYE1PatpvKowJh,Janai,0x9rtwsyJne349H9TJGDk0
