,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.62,0.558,11,-10.39,1,0.0337,0.56,0.192,0.105,0.283,98.975,audio_features,3tqK6YHgrDS0x8gyfQYDng,spotify:track:3tqK6YHgrDS0x8gyfQYDng,https://api.spotify.com/v1/tracks/3tqK6YHgrDS0x8gyfQYDng,https://api.spotify.com/v1/audio-analysis/3tqK6YHgrDS0x8gyfQYDng,219440,4,Good Like This,spotify:track:3tqK6YHgrDS0x8gyfQYDng,KAWALA,58bHgbHOExsHSOGlf0uUkL
1,0.6,0.414,9,-11.191,1,0.0627,0.841,0.0,0.109,0.365,163.07,audio_features,0JiRIJY4hbgNIKkKF1VOM6,spotify:track:0JiRIJY4hbgNIKkKF1VOM6,https://api.spotify.com/v1/tracks/0JiRIJY4hbgNIKkKF1VOM6,https://api.spotify.com/v1/audio-analysis/0JiRIJY4hbgNIKkKF1VOM6,153733,4,Searching - Acoustic,spotify:track:0JiRIJY4hbgNIKkKF1VOM6,KAWALA,58bHgbHOExsHSOGlf0uUkL
2,0.547,0.907,11,-5.5,1,0.139,0.237,0.0,0.0837,0.586,81.005,audio_features,2ekeAtnTQwpjqPjdoWWejW,spotify:track:2ekeAtnTQwpjqPjdoWWejW,https://api.spotify.com/v1/tracks/2ekeAtnTQwpjqPjdoWWejW,https://api.spotify.com/v1/audio-analysis/2ekeAtnTQwpjqPjdoWWejW,144507,4,Searching,spotify:track:2ekeAtnTQwpjqPjdoWWejW,KAWALA,58bHgbHOExsHSOGlf0uUkL
3,0.547,0.907,11,-5.5,1,0.139,0.237,0.0,0.0837,0.586,81.005,audio_features,0lRbYbXj2mknfl7DXfpZX5,spotify:track:0lRbYbXj2mknfl7DXfpZX5,https://api.spotify.com/v1/tracks/0lRbYbXj2mknfl7DXfpZX5,https://api.spotify.com/v1/audio-analysis/0lRbYbXj2mknfl7DXfpZX5,144507,4,Searching,spotify:track:0lRbYbXj2mknfl7DXfpZX5,KAWALA,58bHgbHOExsHSOGlf0uUkL
4,0.575,0.782,9,-5.838,1,0.0771,0.278,3.91e-05,0.31,0.749,160.062,audio_features,4AGjD3R8ch6JmvDLAwFw7P,spotify:track:4AGjD3R8ch6JmvDLAwFw7P,https://api.spotify.com/v1/tracks/4AGjD3R8ch6JmvDLAwFw7P,https://api.spotify.com/v1/audio-analysis/4AGjD3R8ch6JmvDLAwFw7P,182067,4,Ticket To Ride,spotify:track:4AGjD3R8ch6JmvDLAwFw7P,KAWALA,58bHgbHOExsHSOGlf0uUkL
5,0.675,0.796,8,-6.442,0,0.0321,0.0694,0.00325,0.162,0.911,117.971,audio_features,653nu7J2qr87AIVGnd7iEQ,spotify:track:653nu7J2qr87AIVGnd7iEQ,https://api.spotify.com/v1/tracks/653nu7J2qr87AIVGnd7iEQ,https://api.spotify.com/v1/audio-analysis/653nu7J2qr87AIVGnd7iEQ,157853,4,Chasing/Wasting Time,spotify:track:653nu7J2qr87AIVGnd7iEQ,KAWALA,58bHgbHOExsHSOGlf0uUkL
6,0.577,0.859,4,-5.64,1,0.037,0.0255,0.0,0.119,0.778,158.016,audio_features,07kS72gi50SIN2BMOzpWai,spotify:track:07kS72gi50SIN2BMOzpWai,https://api.spotify.com/v1/tracks/07kS72gi50SIN2BMOzpWai,https://api.spotify.com/v1/audio-analysis/07kS72gi50SIN2BMOzpWai,211267,4,Angry Man,spotify:track:07kS72gi50SIN2BMOzpWai,KAWALA,58bHgbHOExsHSOGlf0uUkL
7,0.682,0.724,2,-7.129,1,0.0489,0.145,5.69e-06,0.0787,0.749,118.973,audio_features,76cQLzoCDb61FFQ2kmNmLF,spotify:track:76cQLzoCDb61FFQ2kmNmLF,https://api.spotify.com/v1/tracks/76cQLzoCDb61FFQ2kmNmLF,https://api.spotify.com/v1/audio-analysis/76cQLzoCDb61FFQ2kmNmLF,182893,4,"1,000,000 X Better",spotify:track:76cQLzoCDb61FFQ2kmNmLF,KAWALA,58bHgbHOExsHSOGlf0uUkL
8,0.581,0.793,9,-5.862,1,0.0893,0.272,5.06e-05,0.312,0.709,160.07,audio_features,3rl0my8y2hQ5hsvY4eb2F8,spotify:track:3rl0my8y2hQ5hsvY4eb2F8,https://api.spotify.com/v1/tracks/3rl0my8y2hQ5hsvY4eb2F8,https://api.spotify.com/v1/audio-analysis/3rl0my8y2hQ5hsvY4eb2F8,181467,4,Ticket To Ride,spotify:track:3rl0my8y2hQ5hsvY4eb2F8,KAWALA,58bHgbHOExsHSOGlf0uUkL
9,0.53,0.231,1,-9.915,1,0.0315,0.921,0.000613,0.103,0.158,183.853,audio_features,2tNGLZLYpG7LUc8PuBXAb6,spotify:track:2tNGLZLYpG7LUc8PuBXAb6,https://api.spotify.com/v1/tracks/2tNGLZLYpG7LUc8PuBXAb6,https://api.spotify.com/v1/audio-analysis/2tNGLZLYpG7LUc8PuBXAb6,130093,4,Back Of My Hand,spotify:track:2tNGLZLYpG7LUc8PuBXAb6,KAWALA,58bHgbHOExsHSOGlf0uUkL
