,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.632,0.775,9,-5.538,0,0.264,0.195,0.0,0.078,0.383,176.107,audio_features,4rtZgyP7KvoOJCUcQYHeOX,spotify:track:4rtZgyP7KvoOJCUcQYHeOX,https://api.spotify.com/v1/tracks/4rtZgyP7KvoOJCUcQYHeOX,https://api.spotify.com/v1/audio-analysis/4rtZgyP7KvoOJCUcQYHeOX,160040,4,Wahnsinn,spotify:track:4rtZgyP7KvoOJCUcQYHeOX,KAYEF,4hXT6A14n901v8DU5Of337
1,0.747,0.711,6,-4.138,0,0.0339,0.223,9.77e-06,0.0995,0.514,151.994,audio_features,3QHNP8cpd7zYq4fgqf4sCX,spotify:track:3QHNP8cpd7zYq4fgqf4sCX,https://api.spotify.com/v1/tracks/3QHNP8cpd7zYq4fgqf4sCX,https://api.spotify.com/v1/audio-analysis/3QHNP8cpd7zYq4fgqf4sCX,151280,4,Raindrops,spotify:track:3QHNP8cpd7zYq4fgqf4sCX,KAYEF,4hXT6A14n901v8DU5Of337
2,0.839,0.689,5,-5.559,1,0.0822,0.317,2.26e-06,0.104,0.476,100.021,audio_features,7vU6UQLgz0CXDkmN5tpk2F,spotify:track:7vU6UQLgz0CXDkmN5tpk2F,https://api.spotify.com/v1/tracks/7vU6UQLgz0CXDkmN5tpk2F,https://api.spotify.com/v1/audio-analysis/7vU6UQLgz0CXDkmN5tpk2F,181413,4,Down ohne Grund,spotify:track:7vU6UQLgz0CXDkmN5tpk2F,KAYEF,4hXT6A14n901v8DU5Of337
3,0.733,0.766,6,-6.161,0,0.232,0.411,0.0,0.0959,0.532,95.052,audio_features,5cySho0YYzWhUlKUXE9Sfk,spotify:track:5cySho0YYzWhUlKUXE9Sfk,https://api.spotify.com/v1/tracks/5cySho0YYzWhUlKUXE9Sfk,https://api.spotify.com/v1/audio-analysis/5cySho0YYzWhUlKUXE9Sfk,172227,4,Souvenir,spotify:track:5cySho0YYzWhUlKUXE9Sfk,KAYEF,4hXT6A14n901v8DU5Of337
4,0.772,0.599,6,-7.259,0,0.194,0.0337,0.0,0.0729,0.459,92.018,audio_features,5T2RHnuyK2sa9R0pleO9yP,spotify:track:5T2RHnuyK2sa9R0pleO9yP,https://api.spotify.com/v1/tracks/5T2RHnuyK2sa9R0pleO9yP,https://api.spotify.com/v1/audio-analysis/5T2RHnuyK2sa9R0pleO9yP,163000,4,Ich würd' lügen,spotify:track:5T2RHnuyK2sa9R0pleO9yP,KAYEF,4hXT6A14n901v8DU5Of337
5,0.765,0.7,1,-6.972,0,0.0518,0.073,0.0,0.082,0.428,117.99,audio_features,5blM8HkE9vYlVgEOHIt0mE,spotify:track:5blM8HkE9vYlVgEOHIt0mE,https://api.spotify.com/v1/tracks/5blM8HkE9vYlVgEOHIt0mE,https://api.spotify.com/v1/audio-analysis/5blM8HkE9vYlVgEOHIt0mE,203653,4,Just My Type,spotify:track:5blM8HkE9vYlVgEOHIt0mE,KAYEF,4hXT6A14n901v8DU5Of337
6,0.875,0.641,11,-5.48,1,0.151,0.249,0.0,0.132,0.619,99.997,audio_features,6CWumjOO6PKI3C6E6uGqPO,spotify:track:6CWumjOO6PKI3C6E6uGqPO,https://api.spotify.com/v1/tracks/6CWumjOO6PKI3C6E6uGqPO,https://api.spotify.com/v1/audio-analysis/6CWumjOO6PKI3C6E6uGqPO,169267,4,Irgendwohin,spotify:track:6CWumjOO6PKI3C6E6uGqPO,KAYEF,4hXT6A14n901v8DU5Of337
7,0.73,0.868,6,-4.683,0,0.0439,0.0912,0.0,0.238,0.639,153.05,audio_features,1LieTr5ief9mqZAYTNIkBe,spotify:track:1LieTr5ief9mqZAYTNIkBe,https://api.spotify.com/v1/tracks/1LieTr5ief9mqZAYTNIkBe,https://api.spotify.com/v1/audio-analysis/1LieTr5ief9mqZAYTNIkBe,155000,4,Hotel,spotify:track:1LieTr5ief9mqZAYTNIkBe,KAYEF,4hXT6A14n901v8DU5Of337
8,0.795,0.669,2,-7.142,1,0.178,0.0585,0.0,0.182,0.323,145.99,audio_features,4oi5RPZTjWKj2lyHkyj7bU,spotify:track:4oi5RPZTjWKj2lyHkyj7bU,https://api.spotify.com/v1/tracks/4oi5RPZTjWKj2lyHkyj7bU,https://api.spotify.com/v1/audio-analysis/4oi5RPZTjWKj2lyHkyj7bU,175480,4,Fake Friends,spotify:track:4oi5RPZTjWKj2lyHkyj7bU,KAYEF,4hXT6A14n901v8DU5Of337
9,0.71,0.753,9,-3.846,0,0.236,0.3,2.5e-06,0.092,0.407,196.001,audio_features,4jcXnnQQkQaTfk9tiqefVi,spotify:track:4jcXnnQQkQaTfk9tiqefVi,https://api.spotify.com/v1/tracks/4jcXnnQQkQaTfk9tiqefVi,https://api.spotify.com/v1/audio-analysis/4jcXnnQQkQaTfk9tiqefVi,167800,4,Bergauf,spotify:track:4jcXnnQQkQaTfk9tiqefVi,KAYEF,4hXT6A14n901v8DU5Of337
