,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.848,0.686,10,-5.724,0,0.194,0.0308,0.865,0.0697,0.897,110.056,audio_features,2JHzILczJGSSnJsx4U0ekY,spotify:track:2JHzILczJGSSnJsx4U0ekY,https://api.spotify.com/v1/tracks/2JHzILczJGSSnJsx4U0ekY,https://api.spotify.com/v1/audio-analysis/2JHzILczJGSSnJsx4U0ekY,183627,4,2 The Music - Instrumental,spotify:track:2JHzILczJGSSnJsx4U0ekY,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
1,0.858,0.563,1,-6.788,0,0.0676,0.0119,0.876,0.135,0.503,138.866,audio_features,57gE9Y6ZstvcCn0ar3h6Lh,spotify:track:57gE9Y6ZstvcCn0ar3h6Lh,https://api.spotify.com/v1/tracks/57gE9Y6ZstvcCn0ar3h6Lh,https://api.spotify.com/v1/audio-analysis/57gE9Y6ZstvcCn0ar3h6Lh,156947,5,Go DJ - Instrumental,spotify:track:57gE9Y6ZstvcCn0ar3h6Lh,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
2,0.816,0.747,1,-8.657,1,0.099,0.00101,0.544,0.0959,0.184,110.042,audio_features,0eHQxfBnaOq1grbOp2M6i1,spotify:track:0eHQxfBnaOq1grbOp2M6i1,https://api.spotify.com/v1/tracks/0eHQxfBnaOq1grbOp2M6i1,https://api.spotify.com/v1/audio-analysis/0eHQxfBnaOq1grbOp2M6i1,139653,4,Gray Area - Instrumental,spotify:track:0eHQxfBnaOq1grbOp2M6i1,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
3,0.853,0.7,6,-7.054,0,0.112,0.0124,0.865,0.0637,0.534,108.001,audio_features,4LOvt9hWbzsXM9pxSrg1t7,spotify:track:4LOvt9hWbzsXM9pxSrg1t7,https://api.spotify.com/v1/tracks/4LOvt9hWbzsXM9pxSrg1t7,https://api.spotify.com/v1/audio-analysis/4LOvt9hWbzsXM9pxSrg1t7,186481,4,10% - Instrumental,spotify:track:4LOvt9hWbzsXM9pxSrg1t7,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
4,0.772,0.636,1,-7.321,1,0.191,0.122,0.0392,0.0723,0.65,114.915,audio_features,7fF4OgHyhPd0QKL2hDCUxj,spotify:track:7fF4OgHyhPd0QKL2hDCUxj,https://api.spotify.com/v1/tracks/7fF4OgHyhPd0QKL2hDCUxj,https://api.spotify.com/v1/audio-analysis/7fF4OgHyhPd0QKL2hDCUxj,137700,4,Need It - Instrumental,spotify:track:7fF4OgHyhPd0QKL2hDCUxj,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
5,0.852,0.777,7,-8.558,1,0.154,0.00511,0.825,0.0838,0.297,115.003,audio_features,5ibRN7SmBIa01aZb2mR90G,spotify:track:5ibRN7SmBIa01aZb2mR90G,https://api.spotify.com/v1/tracks/5ibRN7SmBIa01aZb2mR90G,https://api.spotify.com/v1/audio-analysis/5ibRN7SmBIa01aZb2mR90G,192372,4,Taste - Instrumental,spotify:track:5ibRN7SmBIa01aZb2mR90G,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
6,0.768,0.456,11,-13.1,0,0.0994,0.069,0.884,0.436,0.295,106.005,audio_features,3C9Zv711DISCckgtn6xRHE,spotify:track:3C9Zv711DISCckgtn6xRHE,https://api.spotify.com/v1/tracks/3C9Zv711DISCckgtn6xRHE,https://api.spotify.com/v1/audio-analysis/3C9Zv711DISCckgtn6xRHE,167581,4,Oh No - Instrumental,spotify:track:3C9Zv711DISCckgtn6xRHE,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
7,0.821,0.658,10,-6.744,0,0.0714,0.0534,0.864,0.158,0.663,111.002,audio_features,0RLnPBC61kzWjny578z6aG,spotify:track:0RLnPBC61kzWjny578z6aG,https://api.spotify.com/v1/tracks/0RLnPBC61kzWjny578z6aG,https://api.spotify.com/v1/audio-analysis/0RLnPBC61kzWjny578z6aG,186971,4,What You Need - Instrumental,spotify:track:0RLnPBC61kzWjny578z6aG,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
8,0.885,0.496,3,-13.257,0,0.125,0.0648,0.916,0.0857,0.578,112.464,audio_features,12CDVPdO0YvCwRtV5RINL4,spotify:track:12CDVPdO0YvCwRtV5RINL4,https://api.spotify.com/v1/tracks/12CDVPdO0YvCwRtV5RINL4,https://api.spotify.com/v1/audio-analysis/12CDVPdO0YvCwRtV5RINL4,162150,4,Vex Oh - Instrumental,spotify:track:12CDVPdO0YvCwRtV5RINL4,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
9,0.663,0.538,1,-11.554,1,0.288,0.0358,0.778,0.127,0.124,105.979,audio_features,3fS6lMf3daIKsX8UfzHQ8y,spotify:track:3fS6lMf3daIKsX8UfzHQ8y,https://api.spotify.com/v1/tracks/3fS6lMf3daIKsX8UfzHQ8y,https://api.spotify.com/v1/audio-analysis/3fS6lMf3daIKsX8UfzHQ8y,181150,4,Freefall - Instrumental,spotify:track:3fS6lMf3daIKsX8UfzHQ8y,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
10,0.931,0.566,1,-9.986,0,0.0989,0.157,0.847,0.121,0.698,108.012,audio_features,733kav7z3SzDCpKzKXSjVn,spotify:track:733kav7z3SzDCpKzKXSjVn,https://api.spotify.com/v1/tracks/733kav7z3SzDCpKzKXSjVn,https://api.spotify.com/v1/audio-analysis/733kav7z3SzDCpKzKXSjVn,248918,4,Culture - Instrumental,spotify:track:733kav7z3SzDCpKzKXSjVn,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
11,0.862,0.489,10,-7.997,0,0.231,0.0008,0.888,0.109,0.732,109.974,audio_features,3TgRkH9uXG19vlVc3KRHoF,spotify:track:3TgRkH9uXG19vlVc3KRHoF,https://api.spotify.com/v1/tracks/3TgRkH9uXG19vlVc3KRHoF,https://api.spotify.com/v1/audio-analysis/3TgRkH9uXG19vlVc3KRHoF,226714,4,The Worst In Me - Instrumental,spotify:track:3TgRkH9uXG19vlVc3KRHoF,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
12,0.869,0.918,1,-5.522,1,0.124,0.00684,0.897,0.378,0.349,103.965,audio_features,75u8FNMmXa7l5VSKmRhLcK,spotify:track:75u8FNMmXa7l5VSKmRhLcK,https://api.spotify.com/v1/tracks/75u8FNMmXa7l5VSKmRhLcK,https://api.spotify.com/v1/audio-analysis/75u8FNMmXa7l5VSKmRhLcK,238045,4,Midsection - Instrumental,spotify:track:75u8FNMmXa7l5VSKmRhLcK,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
13,0.765,0.858,1,-7.232,1,0.0486,0.0141,0.79,0.0934,0.199,111.984,audio_features,0nDPyePvAOVu3SYIWx95I9,spotify:track:0nDPyePvAOVu3SYIWx95I9,https://api.spotify.com/v1/tracks/0nDPyePvAOVu3SYIWx95I9,https://api.spotify.com/v1/audio-analysis/0nDPyePvAOVu3SYIWx95I9,132360,4,DO IT,spotify:track:0nDPyePvAOVu3SYIWx95I9,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
14,0.554,0.681,6,-6.42,1,0.258,0.0188,0.416,0.0889,0.8,105.798,audio_features,3GfMrxUjF1pmgy6HVAebTO,spotify:track:3GfMrxUjF1pmgy6HVAebTO,https://api.spotify.com/v1/tracks/3GfMrxUjF1pmgy6HVAebTO,https://api.spotify.com/v1/audio-analysis/3GfMrxUjF1pmgy6HVAebTO,235280,4,2 The Music (feat. Iman Omari),spotify:track:3GfMrxUjF1pmgy6HVAebTO,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
