,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.654,0.969,8,-4.182,1,0.301,0.0108,0.61,0.236,0.436,149.996,audio_features,4NC86WqrkTKQjs4JqXpyml,spotify:track:4NC86WqrkTKQjs4JqXpyml,https://api.spotify.com/v1/tracks/4NC86WqrkTKQjs4JqXpyml,https://api.spotify.com/v1/audio-analysis/4NC86WqrkTKQjs4JqXpyml,200000,4,D.E.A.L,spotify:track:4NC86WqrkTKQjs4JqXpyml,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
1,0.523,0.781,4,-4.342,0,0.065,0.00918,2.02e-06,0.597,0.211,90.181,audio_features,5IctAQm39y9qiMtbKdzLzf,spotify:track:5IctAQm39y9qiMtbKdzLzf,https://api.spotify.com/v1/tracks/5IctAQm39y9qiMtbKdzLzf,https://api.spotify.com/v1/audio-analysis/5IctAQm39y9qiMtbKdzLzf,210000,4,Waiting,spotify:track:5IctAQm39y9qiMtbKdzLzf,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
2,0.319,0.835,7,-4.92,0,0.124,0.00929,7.03e-05,0.111,0.0853,139.69,audio_features,2yzcXy1fn6G9svWkqXWLE4,spotify:track:2yzcXy1fn6G9svWkqXWLE4,https://api.spotify.com/v1/tracks/2yzcXy1fn6G9svWkqXWLE4,https://api.spotify.com/v1/audio-analysis/2yzcXy1fn6G9svWkqXWLE4,171429,4,Collapse,spotify:track:2yzcXy1fn6G9svWkqXWLE4,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
3,0.515,0.884,0,-5.494,1,0.203,0.00608,1.09e-05,0.369,0.3,164.165,audio_features,6oTTpsofyulE2QhQQvU0b9,spotify:track:6oTTpsofyulE2QhQQvU0b9,https://api.spotify.com/v1/tracks/6oTTpsofyulE2QhQQvU0b9,https://api.spotify.com/v1/audio-analysis/6oTTpsofyulE2QhQQvU0b9,172683,4,Can't Say,spotify:track:6oTTpsofyulE2QhQQvU0b9,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
4,0.778,0.961,9,-3.751,1,0.297,0.0236,0.0317,0.0699,0.279,124.996,audio_features,5UH0CuLEHhqUiMbzFa2hqB,spotify:track:5UH0CuLEHhqUiMbzFa2hqB,https://api.spotify.com/v1/tracks/5UH0CuLEHhqUiMbzFa2hqB,https://api.spotify.com/v1/audio-analysis/5UH0CuLEHhqUiMbzFa2hqB,192000,4,Slap! - CITYWLKR REMIX,spotify:track:5UH0CuLEHhqUiMbzFa2hqB,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
5,0.5,0.862,6,-6.234,1,0.323,0.0047,1.29e-05,0.0944,0.391,155.03,audio_features,6tSa72Ivd9ltEV9qJsQTfw,spotify:track:6tSa72Ivd9ltEV9qJsQTfw,https://api.spotify.com/v1/tracks/6tSa72Ivd9ltEV9qJsQTfw,https://api.spotify.com/v1/audio-analysis/6tSa72Ivd9ltEV9qJsQTfw,198194,4,Close To Hell,spotify:track:6tSa72Ivd9ltEV9qJsQTfw,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
6,0.517,0.852,1,-4.4,1,0.11,0.00228,0.316,0.142,0.177,180.152,audio_features,2iyVwlrSE1jJOrohg5tv0z,spotify:track:2iyVwlrSE1jJOrohg5tv0z,https://api.spotify.com/v1/tracks/2iyVwlrSE1jJOrohg5tv0z,https://api.spotify.com/v1/audio-analysis/2iyVwlrSE1jJOrohg5tv0z,166667,4,Don't Stop,spotify:track:2iyVwlrSE1jJOrohg5tv0z,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
7,0.472,0.929,9,-3.688,1,0.41,0.0178,0.000196,0.129,0.123,172.063,audio_features,32GB4NphMuzBPHUhU7TcgY,spotify:track:32GB4NphMuzBPHUhU7TcgY,https://api.spotify.com/v1/tracks/32GB4NphMuzBPHUhU7TcgY,https://api.spotify.com/v1/audio-analysis/32GB4NphMuzBPHUhU7TcgY,185899,4,Crash & Burn,spotify:track:32GB4NphMuzBPHUhU7TcgY,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
8,0.596,0.858,1,-4.034,1,0.0536,0.0137,4.4e-06,0.337,0.251,150.059,audio_features,1OI3iRcPSjHdS6ERJHzBGB,spotify:track:1OI3iRcPSjHdS6ERJHzBGB,https://api.spotify.com/v1/tracks/1OI3iRcPSjHdS6ERJHzBGB,https://api.spotify.com/v1/audio-analysis/1OI3iRcPSjHdS6ERJHzBGB,193600,4,She's Got a Gun,spotify:track:1OI3iRcPSjHdS6ERJHzBGB,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
9,0.606,0.815,5,-4.773,0,0.141,0.0155,1.2e-05,0.154,0.286,139.853,audio_features,16ZjWGIWEsSzCkV7LiEMVk,spotify:track:16ZjWGIWEsSzCkV7LiEMVk,https://api.spotify.com/v1/tracks/16ZjWGIWEsSzCkV7LiEMVk,https://api.spotify.com/v1/audio-analysis/16ZjWGIWEsSzCkV7LiEMVk,228646,4,Warning Signs,spotify:track:16ZjWGIWEsSzCkV7LiEMVk,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
10,0.733,0.935,2,-5.086,1,0.161,0.00171,0.00882,0.166,0.253,115.954,audio_features,05tNVLZUlUy84WJ7LVfJRb,spotify:track:05tNVLZUlUy84WJ7LVfJRb,https://api.spotify.com/v1/tracks/05tNVLZUlUy84WJ7LVfJRb,https://api.spotify.com/v1/audio-analysis/05tNVLZUlUy84WJ7LVfJRb,166034,4,Slap!,spotify:track:05tNVLZUlUy84WJ7LVfJRb,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
11,0.721,0.953,1,-3.556,1,0.0724,0.000728,0.604,0.303,0.387,127.96,audio_features,7k8bIppO0p3FO8BfTFDKr9,spotify:track:7k8bIppO0p3FO8BfTFDKr9,https://api.spotify.com/v1/tracks/7k8bIppO0p3FO8BfTFDKr9,https://api.spotify.com/v1/audio-analysis/7k8bIppO0p3FO8BfTFDKr9,133000,4,Greed,spotify:track:7k8bIppO0p3FO8BfTFDKr9,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
12,0.653,0.977,4,-2.392,1,0.0761,0.00276,0.0051,0.125,0.285,109.991,audio_features,1x6EdYKnnoQxB5h4byk56H,spotify:track:1x6EdYKnnoQxB5h4byk56H,https://api.spotify.com/v1/tracks/1x6EdYKnnoQxB5h4byk56H,https://api.spotify.com/v1/audio-analysis/1x6EdYKnnoQxB5h4byk56H,222818,4,All Night,spotify:track:1x6EdYKnnoQxB5h4byk56H,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
13,0.621,0.863,11,-3.389,0,0.0913,0.0422,0.0,0.123,0.442,95.029,audio_features,4JHfB0tPjE38N5KTSaX39I,spotify:track:4JHfB0tPjE38N5KTSaX39I,https://api.spotify.com/v1/tracks/4JHfB0tPjE38N5KTSaX39I,https://api.spotify.com/v1/audio-analysis/4JHfB0tPjE38N5KTSaX39I,198316,4,Can We Be Free,spotify:track:4JHfB0tPjE38N5KTSaX39I,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
