,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.853,0.466,6,-14.072,0,0.245,0.169,0.876,0.119,0.563,116.999,audio_features,2NZ5gN52JHoubsXOe4lby1,spotify:track:2NZ5gN52JHoubsXOe4lby1,https://api.spotify.com/v1/tracks/2NZ5gN52JHoubsXOe4lby1,https://api.spotify.com/v1/audio-analysis/2NZ5gN52JHoubsXOe4lby1,403200,4,The Stork,spotify:track:2NZ5gN52JHoubsXOe4lby1,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
1,0.727,0.642,4,-11.026,0,0.0457,0.00269,0.766,0.104,0.228,115.997,audio_features,0tSBNa75PUXzIqKUxdXlrt,spotify:track:0tSBNa75PUXzIqKUxdXlrt,https://api.spotify.com/v1/tracks/0tSBNa75PUXzIqKUxdXlrt,https://api.spotify.com/v1/audio-analysis/0tSBNa75PUXzIqKUxdXlrt,293240,4,String Me Along (feat. Ira Atari),spotify:track:0tSBNa75PUXzIqKUxdXlrt,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
2,0.575,0.606,6,-11.661,0,0.0341,0.00524,0.795,0.141,0.268,120.997,audio_features,303c3Z3xF0KgPJkqy7U9bK,spotify:track:303c3Z3xF0KgPJkqy7U9bK,https://api.spotify.com/v1/tracks/303c3Z3xF0KgPJkqy7U9bK,https://api.spotify.com/v1/audio-analysis/303c3Z3xF0KgPJkqy7U9bK,284800,4,Cashmere,spotify:track:303c3Z3xF0KgPJkqy7U9bK,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
3,0.554,0.8,4,-11.749,0,0.0338,0.0103,0.808,0.107,0.0663,122.023,audio_features,6X6Mf6RYYD48ZJmDMyNrGM,spotify:track:6X6Mf6RYYD48ZJmDMyNrGM,https://api.spotify.com/v1/tracks/6X6Mf6RYYD48ZJmDMyNrGM,https://api.spotify.com/v1/audio-analysis/6X6Mf6RYYD48ZJmDMyNrGM,417720,4,The Accident,spotify:track:6X6Mf6RYYD48ZJmDMyNrGM,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
4,0.723,0.74,9,-12.146,1,0.0606,0.0381,0.874,0.0996,0.242,112.015,audio_features,5msUNEsj1LayVjTQ4QKdgb,spotify:track:5msUNEsj1LayVjTQ4QKdgb,https://api.spotify.com/v1/tracks/5msUNEsj1LayVjTQ4QKdgb,https://api.spotify.com/v1/audio-analysis/5msUNEsj1LayVjTQ4QKdgb,393667,4,Onyx (feat. Oberst & Buchner),spotify:track:5msUNEsj1LayVjTQ4QKdgb,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
5,0.765,0.635,4,-8.919,0,0.0265,0.125,0.771,0.103,0.473,110.305,audio_features,51CGmEnCcq4VdEPuwMwelu,spotify:track:51CGmEnCcq4VdEPuwMwelu,https://api.spotify.com/v1/tracks/51CGmEnCcq4VdEPuwMwelu,https://api.spotify.com/v1/audio-analysis/51CGmEnCcq4VdEPuwMwelu,343333,4,Phantoms (feat. subkutan),spotify:track:51CGmEnCcq4VdEPuwMwelu,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
6,0.807,0.581,8,-11.336,1,0.102,0.115,0.731,0.122,0.411,114.994,audio_features,1Ub96Tr2du2PAlIY4QxXQB,spotify:track:1Ub96Tr2du2PAlIY4QxXQB,https://api.spotify.com/v1/tracks/1Ub96Tr2du2PAlIY4QxXQB,https://api.spotify.com/v1/audio-analysis/1Ub96Tr2du2PAlIY4QxXQB,323827,4,Die Leichtigkeit,spotify:track:1Ub96Tr2du2PAlIY4QxXQB,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
7,0.571,0.699,6,-11.47,1,0.0453,0.274,0.818,0.111,0.195,119.981,audio_features,4bK3QPAhLkPlnovNcyVPB5,spotify:track:4bK3QPAhLkPlnovNcyVPB5,https://api.spotify.com/v1/tracks/4bK3QPAhLkPlnovNcyVPB5,https://api.spotify.com/v1/audio-analysis/4bK3QPAhLkPlnovNcyVPB5,379133,4,In Between,spotify:track:4bK3QPAhLkPlnovNcyVPB5,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
8,0.788,0.746,3,-10.256,0,0.119,0.274,0.86,0.0966,0.281,110.994,audio_features,6NfQ2OoEh8BhOZ2LPSTomb,spotify:track:6NfQ2OoEh8BhOZ2LPSTomb,https://api.spotify.com/v1/tracks/6NfQ2OoEh8BhOZ2LPSTomb,https://api.spotify.com/v1/audio-analysis/6NfQ2OoEh8BhOZ2LPSTomb,387480,4,Footsteps (feat. Rampue),spotify:track:6NfQ2OoEh8BhOZ2LPSTomb,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
9,0.784,0.587,7,-11.542,1,0.0589,0.142,0.841,0.111,0.33,114.003,audio_features,4aE61eHpJibo7brGsoaEhH,spotify:track:4aE61eHpJibo7brGsoaEhH,https://api.spotify.com/v1/tracks/4aE61eHpJibo7brGsoaEhH,https://api.spotify.com/v1/audio-analysis/4aE61eHpJibo7brGsoaEhH,298120,4,Toni,spotify:track:4aE61eHpJibo7brGsoaEhH,Kalipo,7ud6dY3K4gi4Q0uVlLd8Hi
