,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.538,0.812,7,-5.776,1,0.0343,0.0193,4.33e-06,0.11,0.484,81.062,audio_features,2Iov9mHNgKuL1oxePM2hZM,spotify:track:2Iov9mHNgKuL1oxePM2hZM,https://api.spotify.com/v1/tracks/2Iov9mHNgKuL1oxePM2hZM,https://api.spotify.com/v1/audio-analysis/2Iov9mHNgKuL1oxePM2hZM,226693,4,Baby Come Back to Me,spotify:track:2Iov9mHNgKuL1oxePM2hZM,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
1,0.626,0.516,8,-6.05,1,0.0388,0.4,0.0,0.142,0.769,153.653,audio_features,19kUPdKTp85q9RZNwaXM15,spotify:track:19kUPdKTp85q9RZNwaXM15,https://api.spotify.com/v1/tracks/19kUPdKTp85q9RZNwaXM15,https://api.spotify.com/v1/audio-analysis/19kUPdKTp85q9RZNwaXM15,192053,4,Good as You,spotify:track:19kUPdKTp85q9RZNwaXM15,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
2,0.545,0.854,4,-4.968,0,0.0289,0.00244,1.2e-06,0.249,0.436,91.967,audio_features,7epGknfpAlH1u33S71Ur1o,spotify:track:7epGknfpAlH1u33S71Ur1o,https://api.spotify.com/v1/tracks/7epGknfpAlH1u33S71Ur1o,https://api.spotify.com/v1/audio-analysis/7epGknfpAlH1u33S71Ur1o,178987,4,Lose It,spotify:track:7epGknfpAlH1u33S71Ur1o,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
3,0.487,0.683,10,-5.827,0,0.0319,0.0322,0.0,0.0828,0.44,145.968,audio_features,2OdHXtqpzO1Dltkr8z54VH,spotify:track:2OdHXtqpzO1Dltkr8z54VH,https://api.spotify.com/v1/tracks/2OdHXtqpzO1Dltkr8z54VH,https://api.spotify.com/v1/audio-analysis/2OdHXtqpzO1Dltkr8z54VH,191427,4,It Ain't You It's Me,spotify:track:2OdHXtqpzO1Dltkr8z54VH,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
4,0.699,0.893,9,-5.412,1,0.0431,0.0626,0.0,0.253,0.944,128.044,audio_features,6PN7QeNItfzZBpCTQvsLyq,spotify:track:6PN7QeNItfzZBpCTQvsLyq,https://api.spotify.com/v1/tracks/6PN7QeNItfzZBpCTQvsLyq,https://api.spotify.com/v1/audio-analysis/6PN7QeNItfzZBpCTQvsLyq,194147,4,Short Skirt Weather,spotify:track:6PN7QeNItfzZBpCTQvsLyq,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
5,0.701,0.5,8,-8.82,1,0.0303,0.46,0.0,0.234,0.409,97.028,audio_features,30RZAuEkYeDXvy46Iv6l7E,spotify:track:30RZAuEkYeDXvy46Iv6l7E,https://api.spotify.com/v1/tracks/30RZAuEkYeDXvy46Iv6l7E,https://api.spotify.com/v1/audio-analysis/30RZAuEkYeDXvy46Iv6l7E,205400,4,Homesick,spotify:track:30RZAuEkYeDXvy46Iv6l7E,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
6,0.641,0.726,4,-6.298,1,0.049,0.356,0.0,0.315,0.773,80.013,audio_features,2xXOBpWKvLx8FzkJ2UuqQH,spotify:track:2xXOBpWKvLx8FzkJ2UuqQH,https://api.spotify.com/v1/tracks/2xXOBpWKvLx8FzkJ2UuqQH,https://api.spotify.com/v1/audio-analysis/2xXOBpWKvLx8FzkJ2UuqQH,226720,4,Weekend,spotify:track:2xXOBpWKvLx8FzkJ2UuqQH,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
7,0.596,0.5,2,-8.701,1,0.0335,0.584,0.0,0.11,0.434,82.954,audio_features,6nLJMeXeU2zhyMzTjNwIrI,spotify:track:6nLJMeXeU2zhyMzTjNwIrI,https://api.spotify.com/v1/tracks/6nLJMeXeU2zhyMzTjNwIrI,https://api.spotify.com/v1/audio-analysis/6nLJMeXeU2zhyMzTjNwIrI,185760,4,Work,spotify:track:6nLJMeXeU2zhyMzTjNwIrI,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
8,0.649,0.595,6,-6.214,0,0.0325,0.164,0.0,0.112,0.686,77.996,audio_features,5zAZLEN2BiPYJbcnJBybdL,spotify:track:5zAZLEN2BiPYJbcnJBybdL,https://api.spotify.com/v1/tracks/5zAZLEN2BiPYJbcnJBybdL,https://api.spotify.com/v1/audio-analysis/5zAZLEN2BiPYJbcnJBybdL,191787,4,One Night Only,spotify:track:5zAZLEN2BiPYJbcnJBybdL,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
9,0.574,0.872,8,-5.733,1,0.0721,0.0628,0.000593,0.104,0.535,105.045,audio_features,4SkYTbhvBotpFZKCspQhN7,spotify:track:4SkYTbhvBotpFZKCspQhN7,https://api.spotify.com/v1/tracks/4SkYTbhvBotpFZKCspQhN7,https://api.spotify.com/v1/audio-analysis/4SkYTbhvBotpFZKCspQhN7,182040,4,My Where I Come From,spotify:track:4SkYTbhvBotpFZKCspQhN7,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
