,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.465,0.99,1,-0.885,1,0.216,0.00397,0.881,0.173,0.0792,173.983,audio_features,04LnHmJRweO8XIM0Uo5314,spotify:track:04LnHmJRweO8XIM0Uo5314,https://api.spotify.com/v1/tracks/04LnHmJRweO8XIM0Uo5314,https://api.spotify.com/v1/audio-analysis/04LnHmJRweO8XIM0Uo5314,223448,4,Ultralight,spotify:track:04LnHmJRweO8XIM0Uo5314,Kanine,1KiNUGL3r0GgyLwqYCY1yV
1,0.38,0.968,1,-2.969,1,0.082,0.0156,0.819,0.208,0.149,134.503,audio_features,4ZKyMOBSd2M7yTDEoa2LlP,spotify:track:4ZKyMOBSd2M7yTDEoa2LlP,https://api.spotify.com/v1/tracks/4ZKyMOBSd2M7yTDEoa2LlP,https://api.spotify.com/v1/audio-analysis/4ZKyMOBSd2M7yTDEoa2LlP,231556,4,Again,spotify:track:4ZKyMOBSd2M7yTDEoa2LlP,Kanine,1KiNUGL3r0GgyLwqYCY1yV
2,0.309,0.914,11,-2.201,1,0.146,0.00495,0.338,0.673,0.112,175.061,audio_features,5qDvsmyX6iK5QId4pNePB1,spotify:track:5qDvsmyX6iK5QId4pNePB1,https://api.spotify.com/v1/tracks/5qDvsmyX6iK5QId4pNePB1,https://api.spotify.com/v1/audio-analysis/5qDvsmyX6iK5QId4pNePB1,270171,4,Higher,spotify:track:5qDvsmyX6iK5QId4pNePB1,Kanine,1KiNUGL3r0GgyLwqYCY1yV
3,0.431,0.99,1,-2.128,1,0.135,0.0021,0.82,0.327,0.42,173.979,audio_features,1spjaSLCBCY4AWKKNSwsUd,spotify:track:1spjaSLCBCY4AWKKNSwsUd,https://api.spotify.com/v1/tracks/1spjaSLCBCY4AWKKNSwsUd,https://api.spotify.com/v1/audio-analysis/1spjaSLCBCY4AWKKNSwsUd,207581,4,Stronger,spotify:track:1spjaSLCBCY4AWKKNSwsUd,Kanine,1KiNUGL3r0GgyLwqYCY1yV
4,0.536,0.926,8,-2.349,0,0.057,0.0115,0.437,0.124,0.0879,173.991,audio_features,5JewqMDrSgEfimiI91ygcT,spotify:track:5JewqMDrSgEfimiI91ygcT,https://api.spotify.com/v1/tracks/5JewqMDrSgEfimiI91ygcT,https://api.spotify.com/v1/audio-analysis/5JewqMDrSgEfimiI91ygcT,226207,4,Sun Goes Down - Kanine Remix,spotify:track:5JewqMDrSgEfimiI91ygcT,Kanine,1KiNUGL3r0GgyLwqYCY1yV
5,0.827,0.52,1,-9.143,1,0.0815,0.00147,0.275,0.0919,0.736,126.005,audio_features,73hdnGOkcv2PMPaWd8DZ0Z,spotify:track:73hdnGOkcv2PMPaWd8DZ0Z,https://api.spotify.com/v1/tracks/73hdnGOkcv2PMPaWd8DZ0Z,https://api.spotify.com/v1/audio-analysis/73hdnGOkcv2PMPaWd8DZ0Z,366911,4,Sun Goes Down - Luuk van Dijk Remix,spotify:track:73hdnGOkcv2PMPaWd8DZ0Z,Kanine,1KiNUGL3r0GgyLwqYCY1yV
6,0.799,0.819,7,-9.977,1,0.0652,0.000282,0.833,0.113,0.464,127.994,audio_features,2ZxnfBr0OBm4V6h3yAkFM0,spotify:track:2ZxnfBr0OBm4V6h3yAkFM0,https://api.spotify.com/v1/tracks/2ZxnfBr0OBm4V6h3yAkFM0,https://api.spotify.com/v1/audio-analysis/2ZxnfBr0OBm4V6h3yAkFM0,375000,4,Sun Goes Down - Classmatic Remix,spotify:track:2ZxnfBr0OBm4V6h3yAkFM0,Kanine,1KiNUGL3r0GgyLwqYCY1yV
7,0.497,0.943,7,-3.494,0,0.0675,0.00127,0.789,0.291,0.265,174.089,audio_features,1pmxLESVYm0UOeWqKxe8Jk,spotify:track:1pmxLESVYm0UOeWqKxe8Jk,https://api.spotify.com/v1/tracks/1pmxLESVYm0UOeWqKxe8Jk,https://api.spotify.com/v1/audio-analysis/1pmxLESVYm0UOeWqKxe8Jk,228822,4,XTC,spotify:track:1pmxLESVYm0UOeWqKxe8Jk,Kanine,1KiNUGL3r0GgyLwqYCY1yV
8,0.429,0.974,10,-3.366,0,0.0724,7.35e-05,0.0982,0.504,0.0796,173.923,audio_features,2n6jLm27Bi1KVHWw25E1q9,spotify:track:2n6jLm27Bi1KVHWw25E1q9,https://api.spotify.com/v1/tracks/2n6jLm27Bi1KVHWw25E1q9,https://api.spotify.com/v1/audio-analysis/2n6jLm27Bi1KVHWw25E1q9,251911,4,One,spotify:track:2n6jLm27Bi1KVHWw25E1q9,Kanine,1KiNUGL3r0GgyLwqYCY1yV
9,0.489,0.927,8,-3.408,0,0.0983,0.000738,0.0023,0.128,0.256,174.029,audio_features,7CjtnJ0YMFSHOtc3QFg4tc,spotify:track:7CjtnJ0YMFSHOtc3QFg4tc,https://api.spotify.com/v1/tracks/7CjtnJ0YMFSHOtc3QFg4tc,https://api.spotify.com/v1/audio-analysis/7CjtnJ0YMFSHOtc3QFg4tc,228656,4,All Goes Wrong,spotify:track:7CjtnJ0YMFSHOtc3QFg4tc,Kanine,1KiNUGL3r0GgyLwqYCY1yV
10,0.419,0.917,1,-3.086,1,0.0436,0.00016,0.0394,0.103,0.0844,173.978,audio_features,6hNphdzRIjNroU4fyFQGDS,spotify:track:6hNphdzRIjNroU4fyFQGDS,https://api.spotify.com/v1/tracks/6hNphdzRIjNroU4fyFQGDS,https://api.spotify.com/v1/audio-analysis/6hNphdzRIjNroU4fyFQGDS,250971,4,Tell Me,spotify:track:6hNphdzRIjNroU4fyFQGDS,Kanine,1KiNUGL3r0GgyLwqYCY1yV
11,0.602,0.911,8,-2.947,1,0.0402,0.00728,0.0044,0.79,0.191,86.983,audio_features,29hQEkGu159tm0ME0zeQQt,spotify:track:29hQEkGu159tm0ME0zeQQt,https://api.spotify.com/v1/tracks/29hQEkGu159tm0ME0zeQQt,https://api.spotify.com/v1/audio-analysis/29hQEkGu159tm0ME0zeQQt,181779,4,Stand Up (feat. Emily Makis),spotify:track:29hQEkGu159tm0ME0zeQQt,Kanine,1KiNUGL3r0GgyLwqYCY1yV
12,0.548,0.93,4,-1.596,1,0.079,0.0119,3.36e-05,0.109,0.0803,87.038,audio_features,4wNNOIMDhAr564QTGDGJqL,spotify:track:4wNNOIMDhAr564QTGDGJqL,https://api.spotify.com/v1/tracks/4wNNOIMDhAr564QTGDGJqL,https://api.spotify.com/v1/audio-analysis/4wNNOIMDhAr564QTGDGJqL,235862,4,Lighter Crew,spotify:track:4wNNOIMDhAr564QTGDGJqL,Kanine,1KiNUGL3r0GgyLwqYCY1yV
13,0.559,0.887,1,-3.574,0,0.052,0.00149,0.667,0.282,0.0724,174.062,audio_features,0xf1yDG94w7hIOPrS6KaSn,spotify:track:0xf1yDG94w7hIOPrS6KaSn,https://api.spotify.com/v1/tracks/0xf1yDG94w7hIOPrS6KaSn,https://api.spotify.com/v1/audio-analysis/0xf1yDG94w7hIOPrS6KaSn,253793,4,Don't Ever - Kanine Remix,spotify:track:0xf1yDG94w7hIOPrS6KaSn,Kanine,1KiNUGL3r0GgyLwqYCY1yV
14,0.461,0.904,2,-4.961,1,0.0836,0.00225,0.279,0.181,0.162,173.966,audio_features,2nLvgdviA51uIm9KnlcWv8,spotify:track:2nLvgdviA51uIm9KnlcWv8,https://api.spotify.com/v1/tracks/2nLvgdviA51uIm9KnlcWv8,https://api.spotify.com/v1/audio-analysis/2nLvgdviA51uIm9KnlcWv8,235862,4,Kickons,spotify:track:2nLvgdviA51uIm9KnlcWv8,Kanine,1KiNUGL3r0GgyLwqYCY1yV
15,0.393,0.981,11,-3.0,1,0.171,5.68e-05,0.867,0.102,0.0691,174.939,audio_features,1LPcVBiNDLB3TljELa22jI,spotify:track:1LPcVBiNDLB3TljELa22jI,https://api.spotify.com/v1/tracks/1LPcVBiNDLB3TljELa22jI,https://api.spotify.com/v1/audio-analysis/1LPcVBiNDLB3TljELa22jI,252400,4,Prophecy,spotify:track:1LPcVBiNDLB3TljELa22jI,Kanine,1KiNUGL3r0GgyLwqYCY1yV
