,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.583,0.979,6,-9.577,1,0.0415,0.0113,0.925,0.133,0.0798,138.026,audio_features,2DweJ9o3BPZ7vq6vWUDu8O,spotify:track:2DweJ9o3BPZ7vq6vWUDu8O,https://api.spotify.com/v1/tracks/2DweJ9o3BPZ7vq6vWUDu8O,https://api.spotify.com/v1/audio-analysis/2DweJ9o3BPZ7vq6vWUDu8O,537554,4,Mr. Smiley,spotify:track:2DweJ9o3BPZ7vq6vWUDu8O,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
1,0.294,0.456,9,-14.859,0,0.0849,0.563,0.141,0.0937,0.12,132.462,audio_features,20XfJeqJREXsDM9sZXhMKT,spotify:track:20XfJeqJREXsDM9sZXhMKT,https://api.spotify.com/v1/tracks/20XfJeqJREXsDM9sZXhMKT,https://api.spotify.com/v1/audio-analysis/20XfJeqJREXsDM9sZXhMKT,74926,4,Kom Her (Interlude),spotify:track:20XfJeqJREXsDM9sZXhMKT,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
2,0.785,0.931,4,-7.911,0,0.0611,0.0277,0.693,0.122,0.168,108.007,audio_features,6S8v0HKrx5ooZgTzb407sa,spotify:track:6S8v0HKrx5ooZgTzb407sa,https://api.spotify.com/v1/tracks/6S8v0HKrx5ooZgTzb407sa,https://api.spotify.com/v1/audio-analysis/6S8v0HKrx5ooZgTzb407sa,263059,4,Top Soap,spotify:track:6S8v0HKrx5ooZgTzb407sa,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
3,0.84,0.811,11,-8.347,0,0.162,0.0477,0.821,0.697,0.587,119.501,audio_features,0yqKOWaiWgcRsVSrWf1e8g,spotify:track:0yqKOWaiWgcRsVSrWf1e8g,https://api.spotify.com/v1/tracks/0yqKOWaiWgcRsVSrWf1e8g,https://api.spotify.com/v1/audio-analysis/0yqKOWaiWgcRsVSrWf1e8g,304275,4,Mere,spotify:track:0yqKOWaiWgcRsVSrWf1e8g,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
4,0.705,0.837,10,-7.573,0,0.272,0.00098,0.83,0.0954,0.22,165.773,audio_features,5cE8eldmtDSjnjLZFLVt6X,spotify:track:5cE8eldmtDSjnjLZFLVt6X,https://api.spotify.com/v1/tracks/5cE8eldmtDSjnjLZFLVt6X,https://api.spotify.com/v1/audio-analysis/5cE8eldmtDSjnjLZFLVt6X,239885,4,Missing Link,spotify:track:5cE8eldmtDSjnjLZFLVt6X,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
5,0.597,0.986,4,-9.555,0,0.0398,0.0101,0.751,0.108,0.695,131.998,audio_features,6Bb6mfHpivZFy6RoE8vXbq,spotify:track:6Bb6mfHpivZFy6RoE8vXbq,https://api.spotify.com/v1/tracks/6Bb6mfHpivZFy6RoE8vXbq,https://api.spotify.com/v1/audio-analysis/6Bb6mfHpivZFy6RoE8vXbq,354209,4,Mini Trance,spotify:track:6Bb6mfHpivZFy6RoE8vXbq,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
6,0.263,0.231,0,-14.38,1,0.0391,0.856,0.872,0.0892,0.0351,70.858,audio_features,3q2S8ihgv3pMZIeXnzmpdC,spotify:track:3q2S8ihgv3pMZIeXnzmpdC,https://api.spotify.com/v1/tracks/3q2S8ihgv3pMZIeXnzmpdC,https://api.spotify.com/v1/audio-analysis/3q2S8ihgv3pMZIeXnzmpdC,101905,4,1 - 2,spotify:track:3q2S8ihgv3pMZIeXnzmpdC,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
7,0.475,0.91,7,-8.984,0,0.0524,0.0565,0.913,0.12,0.322,106.095,audio_features,1ozHnctskPHiw4FSx0iZwd,spotify:track:1ozHnctskPHiw4FSx0iZwd,https://api.spotify.com/v1/tracks/1ozHnctskPHiw4FSx0iZwd,https://api.spotify.com/v1/audio-analysis/1ozHnctskPHiw4FSx0iZwd,154619,4,Hvad Er Det,spotify:track:1ozHnctskPHiw4FSx0iZwd,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
8,0.729,0.698,1,-11.722,1,0.0829,0.727,0.642,0.122,0.855,101.247,audio_features,0fqhWqbeYEf40Dq9q3f00c,spotify:track:0fqhWqbeYEf40Dq9q3f00c,https://api.spotify.com/v1/tracks/0fqhWqbeYEf40Dq9q3f00c,https://api.spotify.com/v1/audio-analysis/0fqhWqbeYEf40Dq9q3f00c,213179,3,Pling,spotify:track:0fqhWqbeYEf40Dq9q3f00c,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
9,0.635,0.94,0,-8.82,0,0.0461,0.00109,0.94,0.1,0.551,144.0,audio_features,7MPj8aR3P7YgY6GPAKDPNN,spotify:track:7MPj8aR3P7YgY6GPAKDPNN,https://api.spotify.com/v1/tracks/7MPj8aR3P7YgY6GPAKDPNN,https://api.spotify.com/v1/audio-analysis/7MPj8aR3P7YgY6GPAKDPNN,398104,4,Sol,spotify:track:7MPj8aR3P7YgY6GPAKDPNN,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
10,0.618,0.903,6,-10.121,0,0.0385,0.017,0.806,0.595,0.388,129.007,audio_features,4T0ID31kp0iHMJyvAZ8oK7,spotify:track:4T0ID31kp0iHMJyvAZ8oK7,https://api.spotify.com/v1/tracks/4T0ID31kp0iHMJyvAZ8oK7,https://api.spotify.com/v1/audio-analysis/4T0ID31kp0iHMJyvAZ8oK7,490533,4,Kun For Mig,spotify:track:4T0ID31kp0iHMJyvAZ8oK7,Kasper Marott,5LE74dLXX7vQIyPK4gkv8X
