,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.827,0.878,1,-5.644,0,0.0509,0.0723,8.21e-06,0.0596,0.525,99.984,audio_features,6haHsj4WpVvNXxEoF9WdCw,spotify:track:6haHsj4WpVvNXxEoF9WdCw,https://api.spotify.com/v1/tracks/6haHsj4WpVvNXxEoF9WdCw,https://api.spotify.com/v1/audio-analysis/6haHsj4WpVvNXxEoF9WdCw,192000,4,MILLION DOLLAR A$$ (feat. Fler),spotify:track:6haHsj4WpVvNXxEoF9WdCw,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
1,0.863,0.531,2,-7.89,0,0.0727,0.0912,0.00404,0.1,0.506,141.988,audio_features,23xOS72iihT0LqTtnHRjPP,spotify:track:23xOS72iihT0LqTtnHRjPP,https://api.spotify.com/v1/tracks/23xOS72iihT0LqTtnHRjPP,https://api.spotify.com/v1/audio-analysis/23xOS72iihT0LqTtnHRjPP,194314,4,WIR BLEIBEN WACH,spotify:track:23xOS72iihT0LqTtnHRjPP,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
2,0.939,0.502,1,-8.804,0,0.219,0.0259,2.67e-06,0.0532,0.83,136.03,audio_features,0tf8TOI5jtISidwzeRYDL5,spotify:track:0tf8TOI5jtISidwzeRYDL5,https://api.spotify.com/v1/tracks/0tf8TOI5jtISidwzeRYDL5,https://api.spotify.com/v1/audio-analysis/0tf8TOI5jtISidwzeRYDL5,163038,4,STOTTERT DIE BITCH,spotify:track:0tf8TOI5jtISidwzeRYDL5,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
3,0.871,0.567,3,-7.326,0,0.0344,0.211,8.06e-06,0.115,0.275,103.984,audio_features,7iJXOBjO4LXkOnkV7cfC5u,spotify:track:7iJXOBjO4LXkOnkV7cfC5u,https://api.spotify.com/v1/tracks/7iJXOBjO4LXkOnkV7cfC5u,https://api.spotify.com/v1/audio-analysis/7iJXOBjO4LXkOnkV7cfC5u,143675,4,DU BRINGST MICH UM,spotify:track:7iJXOBjO4LXkOnkV7cfC5u,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
4,0.723,0.449,0,-9.432,0,0.045,0.086,0.00259,0.143,0.199,143.964,audio_features,3NtdQgPIxvfQhVrJBkGm6t,spotify:track:3NtdQgPIxvfQhVrJBkGm6t,https://api.spotify.com/v1/tracks/3NtdQgPIxvfQhVrJBkGm6t,https://api.spotify.com/v1/audio-analysis/3NtdQgPIxvfQhVrJBkGm6t,177067,4,ICH SEH,spotify:track:3NtdQgPIxvfQhVrJBkGm6t,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
5,0.843,0.447,1,-8.991,1,0.224,0.195,0.0,0.134,0.517,79.999,audio_features,2UZ3v8gSw9pm2cM7id7XSJ,spotify:track:2UZ3v8gSw9pm2cM7id7XSJ,https://api.spotify.com/v1/tracks/2UZ3v8gSw9pm2cM7id7XSJ,https://api.spotify.com/v1/audio-analysis/2UZ3v8gSw9pm2cM7id7XSJ,177400,4,BÖSE MÄDCHEN,spotify:track:2UZ3v8gSw9pm2cM7id7XSJ,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
6,0.868,0.31,10,-9.958,0,0.0752,0.00278,0.0106,0.0857,0.285,102.967,audio_features,0jMEyCxOwHx13iJxUlrNnP,spotify:track:0jMEyCxOwHx13iJxUlrNnP,https://api.spotify.com/v1/tracks/0jMEyCxOwHx13iJxUlrNnP,https://api.spotify.com/v1/audio-analysis/0jMEyCxOwHx13iJxUlrNnP,142293,4,TIKTOK BADDIE,spotify:track:0jMEyCxOwHx13iJxUlrNnP,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
7,0.801,0.544,1,-8.842,0,0.205,0.195,4.29e-05,0.194,0.278,88.501,audio_features,2h8A5TstdV3sRvw9fFcShk,spotify:track:2h8A5TstdV3sRvw9fFcShk,https://api.spotify.com/v1/tracks/2h8A5TstdV3sRvw9fFcShk,https://api.spotify.com/v1/audio-analysis/2h8A5TstdV3sRvw9fFcShk,163112,4,ALLES SCHON GESEHEN,spotify:track:2h8A5TstdV3sRvw9fFcShk,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
8,0.904,0.385,8,-8.388,1,0.277,0.0106,0.000539,0.087,0.316,90.064,audio_features,0Vdw55xza7zaum3in7GDlS,spotify:track:0Vdw55xza7zaum3in7GDlS,https://api.spotify.com/v1/tracks/0Vdw55xza7zaum3in7GDlS,https://api.spotify.com/v1/audio-analysis/0Vdw55xza7zaum3in7GDlS,138485,4,DIE HÜBSCHE,spotify:track:0Vdw55xza7zaum3in7GDlS,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
9,0.896,0.398,1,-9.827,0,0.0798,0.216,0.000369,0.128,0.197,136.05,audio_features,7hx5Iz015ffTBnMrEvUBTw,spotify:track:7hx5Iz015ffTBnMrEvUBTw,https://api.spotify.com/v1/tracks/7hx5Iz015ffTBnMrEvUBTw,https://api.spotify.com/v1/audio-analysis/7hx5Iz015ffTBnMrEvUBTw,145106,4,SPICY,spotify:track:7hx5Iz015ffTBnMrEvUBTw,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
10,0.618,0.48,9,-10.135,0,0.0353,0.51,5.94e-05,0.111,0.386,144.97,audio_features,6QVxJg8q95hEuPgNRb56jK,spotify:track:6QVxJg8q95hEuPgNRb56jK,https://api.spotify.com/v1/tracks/6QVxJg8q95hEuPgNRb56jK,https://api.spotify.com/v1/audio-analysis/6QVxJg8q95hEuPgNRb56jK,164062,4,HIGHWAY (feat. ELIF),spotify:track:6QVxJg8q95hEuPgNRb56jK,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
11,0.93,0.403,6,-8.537,0,0.265,0.441,3.41e-05,0.0896,0.429,96.978,audio_features,3ddzV99G45HsvDyqpswilS,spotify:track:3ddzV99G45HsvDyqpswilS,https://api.spotify.com/v1/tracks/3ddzV99G45HsvDyqpswilS,https://api.spotify.com/v1/audio-analysis/3ddzV99G45HsvDyqpswilS,148860,4,TSUNAMI,spotify:track:3ddzV99G45HsvDyqpswilS,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
12,0.923,0.697,6,-5.325,1,0.0856,0.07,0.012,0.12,0.817,125.047,audio_features,1KGIjZgyQZuf5OOQ87UqaB,spotify:track:1KGIjZgyQZuf5OOQ87UqaB,https://api.spotify.com/v1/tracks/1KGIjZgyQZuf5OOQ87UqaB,https://api.spotify.com/v1/audio-analysis/1KGIjZgyQZuf5OOQ87UqaB,135034,4,FRIENDZONE,spotify:track:1KGIjZgyQZuf5OOQ87UqaB,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
13,0.732,0.516,0,-7.161,1,0.0744,0.0286,0.149,0.199,0.286,155.006,audio_features,5x2B9QQsDiblA4yCYSXN0H,spotify:track:5x2B9QQsDiblA4yCYSXN0H,https://api.spotify.com/v1/tracks/5x2B9QQsDiblA4yCYSXN0H,https://api.spotify.com/v1/audio-analysis/5x2B9QQsDiblA4yCYSXN0H,130464,4,EURE MAMI,spotify:track:5x2B9QQsDiblA4yCYSXN0H,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
14,0.721,0.166,6,-13.535,0,0.951,0.87,0.0,0.212,0.378,127.303,audio_features,2PNaZUW12nldREZqAhwgcp,spotify:track:2PNaZUW12nldREZqAhwgcp,https://api.spotify.com/v1/tracks/2PNaZUW12nldREZqAhwgcp,https://api.spotify.com/v1/audio-analysis/2PNaZUW12nldREZqAhwgcp,201694,3,Kapitel 1 & Kapitel 2.1 - Die Bitch Bibel,spotify:track:2PNaZUW12nldREZqAhwgcp,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
15,0.7,0.203,9,-12.182,1,0.946,0.815,0.0,0.148,0.27,103.945,audio_features,2o2Xzvgrf73grGs8BSNnoo,spotify:track:2o2Xzvgrf73grGs8BSNnoo,https://api.spotify.com/v1/tracks/2o2Xzvgrf73grGs8BSNnoo,https://api.spotify.com/v1/audio-analysis/2o2Xzvgrf73grGs8BSNnoo,196100,5,Kapitel 2.2 - Die Bitch Bibel,spotify:track:2o2Xzvgrf73grGs8BSNnoo,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
16,0.636,0.188,9,-14.002,1,0.959,0.897,0.0,0.255,0.306,167.162,audio_features,2JGIx6O7ut7kUYbRwyFYza,spotify:track:2JGIx6O7ut7kUYbRwyFYza,https://api.spotify.com/v1/tracks/2JGIx6O7ut7kUYbRwyFYza,https://api.spotify.com/v1/audio-analysis/2JGIx6O7ut7kUYbRwyFYza,196296,5,Kapitel 2.3 & Kapitel 3.1 - Die Bitch Bibel,spotify:track:2JGIx6O7ut7kUYbRwyFYza,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
17,0.676,0.185,6,-15.412,0,0.961,0.89,0.0,0.227,0.356,82.283,audio_features,25BVs8X6e0xrzEYTVgzSmC,spotify:track:25BVs8X6e0xrzEYTVgzSmC,https://api.spotify.com/v1/tracks/25BVs8X6e0xrzEYTVgzSmC,https://api.spotify.com/v1/audio-analysis/25BVs8X6e0xrzEYTVgzSmC,203032,3,Kapitel 3.2 & Kapitel 4.1 - Die Bitch Bibel,spotify:track:25BVs8X6e0xrzEYTVgzSmC,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
18,0.678,0.182,3,-16.176,1,0.961,0.893,0.0,0.226,0.421,87.08,audio_features,59vJ0rtmPuGQOGVJ8jpBRu,spotify:track:59vJ0rtmPuGQOGVJ8jpBRu,https://api.spotify.com/v1/tracks/59vJ0rtmPuGQOGVJ8jpBRu,https://api.spotify.com/v1/audio-analysis/59vJ0rtmPuGQOGVJ8jpBRu,200348,5,Kapitel 4.2 & Kapitel 5.1 - Die Bitch Bibel,spotify:track:59vJ0rtmPuGQOGVJ8jpBRu,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
19,0.727,0.186,6,-14.057,0,0.943,0.884,0.0,0.129,0.397,119.493,audio_features,7C6eS0QWTy9VdJuRR7i2Pt,spotify:track:7C6eS0QWTy9VdJuRR7i2Pt,https://api.spotify.com/v1/tracks/7C6eS0QWTy9VdJuRR7i2Pt,https://api.spotify.com/v1/audio-analysis/7C6eS0QWTy9VdJuRR7i2Pt,190391,3,Kapitel 5.2 & Kapitel 6.1 - Die Bitch Bibel,spotify:track:7C6eS0QWTy9VdJuRR7i2Pt,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
20,0.679,0.121,6,-17.304,0,0.955,0.845,0.0,0.128,0.299,97.915,audio_features,7hlf7o3bqbhcRVCOH2vWvW,spotify:track:7hlf7o3bqbhcRVCOH2vWvW,https://api.spotify.com/v1/tracks/7hlf7o3bqbhcRVCOH2vWvW,https://api.spotify.com/v1/audio-analysis/7hlf7o3bqbhcRVCOH2vWvW,212047,4,Kapitel 6.2 & Kapitel 7.1 - Die Bitch Bibel,spotify:track:7hlf7o3bqbhcRVCOH2vWvW,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
21,0.713,0.133,6,-16.652,0,0.962,0.857,0.0,0.143,0.347,84.134,audio_features,2EHcUaEapXEDSKxKf1w4fC,spotify:track:2EHcUaEapXEDSKxKf1w4fC,https://api.spotify.com/v1/tracks/2EHcUaEapXEDSKxKf1w4fC,https://api.spotify.com/v1/audio-analysis/2EHcUaEapXEDSKxKf1w4fC,194300,5,Kapitel 7.2 - Die Bitch Bibel,spotify:track:2EHcUaEapXEDSKxKf1w4fC,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
22,0.627,0.129,6,-16.923,0,0.963,0.882,0.0,0.298,0.376,172.034,audio_features,1IXsqGf5FJrckAjQgQv7Lh,spotify:track:1IXsqGf5FJrckAjQgQv7Lh,https://api.spotify.com/v1/tracks/1IXsqGf5FJrckAjQgQv7Lh,https://api.spotify.com/v1/audio-analysis/1IXsqGf5FJrckAjQgQv7Lh,213683,5,Kapitel 7.3 & Kapitel 8 & Kapitel 9.1 - Die Bitch Bibel,spotify:track:1IXsqGf5FJrckAjQgQv7Lh,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
23,0.713,0.133,6,-18.866,0,0.956,0.826,0.0,0.151,0.322,129.313,audio_features,363d1YUupzhqgDQWe7dY39,spotify:track:363d1YUupzhqgDQWe7dY39,https://api.spotify.com/v1/tracks/363d1YUupzhqgDQWe7dY39,https://api.spotify.com/v1/audio-analysis/363d1YUupzhqgDQWe7dY39,195802,5,Kapitel 9.2 & Kapitel 10.1 - Die Bitch Bibel,spotify:track:363d1YUupzhqgDQWe7dY39,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
24,0.63,0.147,6,-18.399,0,0.96,0.839,0.0,0.167,0.35,83.401,audio_features,1rzYc6csk0S663vb8VDbW5,spotify:track:1rzYc6csk0S663vb8VDbW5,https://api.spotify.com/v1/tracks/1rzYc6csk0S663vb8VDbW5,https://api.spotify.com/v1/audio-analysis/1rzYc6csk0S663vb8VDbW5,187600,1,Kapitel 10.2 - Die Bitch Bibel,spotify:track:1rzYc6csk0S663vb8VDbW5,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
25,0.714,0.166,6,-16.734,0,0.934,0.823,0.0,0.313,0.243,112.889,audio_features,0YoWbMawkzkYySUYUv0UVz,spotify:track:0YoWbMawkzkYySUYUv0UVz,https://api.spotify.com/v1/tracks/0YoWbMawkzkYySUYUv0UVz,https://api.spotify.com/v1/audio-analysis/0YoWbMawkzkYySUYUv0UVz,198159,3,Kapitel 10.3 & Kapitel 11.1 - Die Bitch Bibel,spotify:track:0YoWbMawkzkYySUYUv0UVz,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
26,0.712,0.172,6,-16.808,0,0.953,0.839,0.0,0.196,0.248,130.321,audio_features,5X2wEJgylgO29Y7DOGGJPi,spotify:track:5X2wEJgylgO29Y7DOGGJPi,https://api.spotify.com/v1/tracks/5X2wEJgylgO29Y7DOGGJPi,https://api.spotify.com/v1/audio-analysis/5X2wEJgylgO29Y7DOGGJPi,204575,3,Kapitel 11.2 & Kapitel 12.1 - Die Bitch Bibel,spotify:track:5X2wEJgylgO29Y7DOGGJPi,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
27,0.643,0.138,6,-17.012,0,0.961,0.804,0.0,0.097,0.322,81.556,audio_features,0M2nIbWwQtYciJqdcgSlW3,spotify:track:0M2nIbWwQtYciJqdcgSlW3,https://api.spotify.com/v1/tracks/0M2nIbWwQtYciJqdcgSlW3,https://api.spotify.com/v1/audio-analysis/0M2nIbWwQtYciJqdcgSlW3,242979,3,Kapitel 12.2 & Kapitel 13.1 - Die Bitch Bibel,spotify:track:0M2nIbWwQtYciJqdcgSlW3,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
28,0.723,0.111,2,-17.834,1,0.95,0.776,0.0,0.148,0.304,117.784,audio_features,0nq5nEXXAWyxgUZtdrbGMc,spotify:track:0nq5nEXXAWyxgUZtdrbGMc,https://api.spotify.com/v1/tracks/0nq5nEXXAWyxgUZtdrbGMc,https://api.spotify.com/v1/audio-analysis/0nq5nEXXAWyxgUZtdrbGMc,192079,4,Kapitel 13.2 & Kapitel 14.1 - Die Bitch Bibel,spotify:track:0nq5nEXXAWyxgUZtdrbGMc,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
29,0.629,0.151,6,-16.254,0,0.962,0.875,0.0,0.222,0.306,172.193,audio_features,1JWyD43A8rLMv3DzlZYx2A,spotify:track:1JWyD43A8rLMv3DzlZYx2A,https://api.spotify.com/v1/tracks/1JWyD43A8rLMv3DzlZYx2A,https://api.spotify.com/v1/audio-analysis/1JWyD43A8rLMv3DzlZYx2A,224007,1,Kapitel 14.2 & Kapitel 15.1 - Die Bitch Bibel,spotify:track:1JWyD43A8rLMv3DzlZYx2A,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
30,0.701,0.171,9,-16.183,1,0.954,0.843,0.0,0.113,0.222,104.915,audio_features,1LVIcPfv6WNLeuU65JrOFi,spotify:track:1LVIcPfv6WNLeuU65JrOFi,https://api.spotify.com/v1/tracks/1LVIcPfv6WNLeuU65JrOFi,https://api.spotify.com/v1/audio-analysis/1LVIcPfv6WNLeuU65JrOFi,267950,5,Kapitel 15.2 & Kapitel 16.1 - Die Bitch Bibel,spotify:track:1LVIcPfv6WNLeuU65JrOFi,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
31,0.74,0.176,9,-16.031,1,0.956,0.897,0.0,0.172,0.38,112.888,audio_features,3Bd6ApOhi9sw3CQUpbXeMv,spotify:track:3Bd6ApOhi9sw3CQUpbXeMv,https://api.spotify.com/v1/tracks/3Bd6ApOhi9sw3CQUpbXeMv,https://api.spotify.com/v1/audio-analysis/3Bd6ApOhi9sw3CQUpbXeMv,187079,3,Kapitel 16.2 & Kapitel 17.1 - Die Bitch Bibel,spotify:track:3Bd6ApOhi9sw3CQUpbXeMv,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
32,0.711,0.164,6,-15.176,0,0.955,0.872,0.0,0.145,0.361,109.404,audio_features,3iP0m01eAf1obPwTcUu1k3,spotify:track:3iP0m01eAf1obPwTcUu1k3,https://api.spotify.com/v1/tracks/3iP0m01eAf1obPwTcUu1k3,https://api.spotify.com/v1/audio-analysis/3iP0m01eAf1obPwTcUu1k3,189490,5,Kapitel 17.2 & Kapitel 18.1 - Die Bitch Bibel,spotify:track:3iP0m01eAf1obPwTcUu1k3,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
33,0.693,0.162,6,-14.297,0,0.959,0.841,0.0,0.227,0.408,90.315,audio_features,6eJWeN86HdzOccliaB3Cnk,spotify:track:6eJWeN86HdzOccliaB3Cnk,https://api.spotify.com/v1/tracks/6eJWeN86HdzOccliaB3Cnk,https://api.spotify.com/v1/audio-analysis/6eJWeN86HdzOccliaB3Cnk,196046,3,Kapitel 18.2 & Kapitel 19.1 - Die Bitch Bibel,spotify:track:6eJWeN86HdzOccliaB3Cnk,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
34,0.711,0.192,9,-14.129,1,0.957,0.843,0.0,0.12,0.409,107.318,audio_features,2ijE2XYsxr0gdbRcdxz1Bs,spotify:track:2ijE2XYsxr0gdbRcdxz1Bs,https://api.spotify.com/v1/tracks/2ijE2XYsxr0gdbRcdxz1Bs,https://api.spotify.com/v1/audio-analysis/2ijE2XYsxr0gdbRcdxz1Bs,230741,3,Kapitel 19.2 & Kapitel 20.1 - Die Bitch Bibel,spotify:track:2ijE2XYsxr0gdbRcdxz1Bs,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
35,0.726,0.2,6,-14.322,0,0.953,0.853,0.0,0.201,0.395,118.941,audio_features,01xfXN7BRZg6hkvYgLIrLz,spotify:track:01xfXN7BRZg6hkvYgLIrLz,https://api.spotify.com/v1/tracks/01xfXN7BRZg6hkvYgLIrLz,https://api.spotify.com/v1/audio-analysis/01xfXN7BRZg6hkvYgLIrLz,216778,4,Kapitel 20.2 & Kapitel 21.1 - Die Bitch Bibel,spotify:track:01xfXN7BRZg6hkvYgLIrLz,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
36,0.723,0.196,6,-13.905,0,0.953,0.811,0.0,0.133,0.473,124.802,audio_features,7jCRXKCpKtebEsZ20RX5xl,spotify:track:7jCRXKCpKtebEsZ20RX5xl,https://api.spotify.com/v1/tracks/7jCRXKCpKtebEsZ20RX5xl,https://api.spotify.com/v1/audio-analysis/7jCRXKCpKtebEsZ20RX5xl,207792,4,Kapitel 21.2 & Kapitel 22.1 - Die Bitch Bibel,spotify:track:7jCRXKCpKtebEsZ20RX5xl,Katja Krasavice,0lFLP59V4TY3XgnrkFIwxK
