,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.645,0.958,10,-5.223,0,0.0423,0.12,0.0997,0.509,0.117,108.002,audio_features,4UyygNqTzY7nQx4Rc0vo0O,spotify:track:4UyygNqTzY7nQx4Rc0vo0O,https://api.spotify.com/v1/tracks/4UyygNqTzY7nQx4Rc0vo0O,https://api.spotify.com/v1/audio-analysis/4UyygNqTzY7nQx4Rc0vo0O,114840,4,Prelude,spotify:track:4UyygNqTzY7nQx4Rc0vo0O,Kavinsky,0UF7XLthtbSF2Eur7559oV
1,0.669,0.904,9,-2.047,1,0.0792,0.0661,0.541,0.154,0.133,112.038,audio_features,7lGrQc4Ih1bsLtkovymWxS,spotify:track:7lGrQc4Ih1bsLtkovymWxS,https://api.spotify.com/v1/tracks/7lGrQc4Ih1bsLtkovymWxS,https://api.spotify.com/v1/audio-analysis/7lGrQc4Ih1bsLtkovymWxS,207893,4,Blizzard,spotify:track:7lGrQc4Ih1bsLtkovymWxS,Kavinsky,0UF7XLthtbSF2Eur7559oV
2,0.54,0.559,1,-2.864,1,0.0605,0.023,0.797,0.106,0.202,110.091,audio_features,4Ywoccr8roq5xDtHQD1mQ8,spotify:track:4Ywoccr8roq5xDtHQD1mQ8,https://api.spotify.com/v1/tracks/4Ywoccr8roq5xDtHQD1mQ8,https://api.spotify.com/v1/audio-analysis/4Ywoccr8roq5xDtHQD1mQ8,205427,4,ProtoVision,spotify:track:4Ywoccr8roq5xDtHQD1mQ8,Kavinsky,0UF7XLthtbSF2Eur7559oV
3,0.578,0.945,6,-2.19,1,0.0852,0.0841,0.0011,0.137,0.4,105.115,audio_features,3tYHCmqDOzZQDV4273W0DV,spotify:track:3tYHCmqDOzZQDV4273W0DV,https://api.spotify.com/v1/tracks/3tYHCmqDOzZQDV4273W0DV,https://api.spotify.com/v1/audio-analysis/3tYHCmqDOzZQDV4273W0DV,289773,4,Odd Look,spotify:track:3tYHCmqDOzZQDV4273W0DV,Kavinsky,0UF7XLthtbSF2Eur7559oV
4,0.432,0.873,5,-3.015,0,0.0588,0.0124,0.0956,0.346,0.503,111.121,audio_features,6gRAOJYu1jQsNgMlrrudT9,spotify:track:6gRAOJYu1jQsNgMlrrudT9,https://api.spotify.com/v1/tracks/6gRAOJYu1jQsNgMlrrudT9,https://api.spotify.com/v1/audio-analysis/6gRAOJYu1jQsNgMlrrudT9,175653,4,Rampage,spotify:track:6gRAOJYu1jQsNgMlrrudT9,Kavinsky,0UF7XLthtbSF2Eur7559oV
5,0.553,0.765,1,-3.516,0,0.13,0.0683,0.0,0.294,0.611,72.81,audio_features,5zlRGNteCoDQ9OtOOUnfRG,spotify:track:5zlRGNteCoDQ9OtOOUnfRG,https://api.spotify.com/v1/tracks/5zlRGNteCoDQ9OtOOUnfRG,https://api.spotify.com/v1/audio-analysis/5zlRGNteCoDQ9OtOOUnfRG,208280,4,Suburbia,spotify:track:5zlRGNteCoDQ9OtOOUnfRG,Kavinsky,0UF7XLthtbSF2Eur7559oV
6,0.525,0.854,1,-4.193,1,0.256,0.0423,0.0,0.449,0.749,130.013,audio_features,6xOTL7jB2pseq51rPRLFmw,spotify:track:6xOTL7jB2pseq51rPRLFmw,https://api.spotify.com/v1/tracks/6xOTL7jB2pseq51rPRLFmw,https://api.spotify.com/v1/audio-analysis/6xOTL7jB2pseq51rPRLFmw,217720,3,Testarossa Autodrive,spotify:track:6xOTL7jB2pseq51rPRLFmw,Kavinsky,0UF7XLthtbSF2Eur7559oV
7,0.509,0.856,9,-5.091,0,0.0553,0.00895,0.0108,0.424,0.427,91.02,audio_features,4PAhh2XNch3bxpeAK5gzgW,spotify:track:4PAhh2XNch3bxpeAK5gzgW,https://api.spotify.com/v1/tracks/4PAhh2XNch3bxpeAK5gzgW,https://api.spotify.com/v1/audio-analysis/4PAhh2XNch3bxpeAK5gzgW,257320,4,Nightcall,spotify:track:4PAhh2XNch3bxpeAK5gzgW,Kavinsky,0UF7XLthtbSF2Eur7559oV
8,0.517,0.699,6,-6.929,1,0.0507,0.00108,0.837,0.262,0.407,176.034,audio_features,5rHaaliUYZySGdbxD6fkfe,spotify:track:5rHaaliUYZySGdbxD6fkfe,https://api.spotify.com/v1/tracks/5rHaaliUYZySGdbxD6fkfe,https://api.spotify.com/v1/audio-analysis/5rHaaliUYZySGdbxD6fkfe,213200,4,Deadcruiser,spotify:track:5rHaaliUYZySGdbxD6fkfe,Kavinsky,0UF7XLthtbSF2Eur7559oV
9,0.413,0.896,7,-2.088,1,0.0479,0.0245,7.09e-05,0.408,0.322,112.194,audio_features,3rPhWa5VnJVAG01yuUyHQ2,spotify:track:3rPhWa5VnJVAG01yuUyHQ2,https://api.spotify.com/v1/tracks/3rPhWa5VnJVAG01yuUyHQ2,https://api.spotify.com/v1/audio-analysis/3rPhWa5VnJVAG01yuUyHQ2,192560,4,Grand Canyon,spotify:track:3rPhWa5VnJVAG01yuUyHQ2,Kavinsky,0UF7XLthtbSF2Eur7559oV
10,0.631,0.922,11,-2.235,0,0.0951,0.119,0.000108,0.152,0.276,110.99,audio_features,1QDqqCau6I7ttf6uQwnY0A,spotify:track:1QDqqCau6I7ttf6uQwnY0A,https://api.spotify.com/v1/tracks/1QDqqCau6I7ttf6uQwnY0A,https://api.spotify.com/v1/audio-analysis/1QDqqCau6I7ttf6uQwnY0A,184707,4,First Blood,spotify:track:1QDqqCau6I7ttf6uQwnY0A,Kavinsky,0UF7XLthtbSF2Eur7559oV
11,0.563,0.642,1,-4.426,0,0.0372,0.0292,0.888,0.0852,0.12,120.07,audio_features,0NnZySMYKcB2BWrWPpSgLf,spotify:track:0NnZySMYKcB2BWrWPpSgLf,https://api.spotify.com/v1/tracks/0NnZySMYKcB2BWrWPpSgLf,https://api.spotify.com/v1/audio-analysis/0NnZySMYKcB2BWrWPpSgLf,224387,4,Roadgame,spotify:track:0NnZySMYKcB2BWrWPpSgLf,Kavinsky,0UF7XLthtbSF2Eur7559oV
