,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.132,0.00836,8,-29.637,0,0.0447,0.973,0.113,0.0692,0.0566,88.739,audio_features,20DkOz8hKc3cwgaAEOZaK9,spotify:track:20DkOz8hKc3cwgaAEOZaK9,https://api.spotify.com/v1/tracks/20DkOz8hKc3cwgaAEOZaK9,https://api.spotify.com/v1/audio-analysis/20DkOz8hKc3cwgaAEOZaK9,152040,4,The Night Sky,spotify:track:20DkOz8hKc3cwgaAEOZaK9,Keaton Henson,6GFfu1alUSrL7qazImC160
1,0.068,0.0684,0,-26.208,1,0.0444,0.984,0.86,0.0949,0.0273,75.81,audio_features,18X6Fwd7q1Qr6YUjRIAFBy,spotify:track:18X6Fwd7q1Qr6YUjRIAFBy,https://api.spotify.com/v1/tracks/18X6Fwd7q1Qr6YUjRIAFBy,https://api.spotify.com/v1/audio-analysis/18X6Fwd7q1Qr6YUjRIAFBy,118360,5,Losing Tusker,spotify:track:18X6Fwd7q1Qr6YUjRIAFBy,Keaton Henson,6GFfu1alUSrL7qazImC160
2,0.145,0.101,6,-20.999,1,0.0422,0.951,0.907,0.0728,0.0299,82.988,audio_features,6d9RJvGk7FBcGxhDEhmShd,spotify:track:6d9RJvGk7FBcGxhDEhmShd,https://api.spotify.com/v1/tracks/6d9RJvGk7FBcGxhDEhmShd,https://api.spotify.com/v1/audio-analysis/6d9RJvGk7FBcGxhDEhmShd,149640,4,The Lake,spotify:track:6d9RJvGk7FBcGxhDEhmShd,Keaton Henson,6GFfu1alUSrL7qazImC160
3,0.101,0.148,5,-19.471,1,0.0436,0.971,0.358,0.111,0.0399,74.271,audio_features,0nSUSbHko1wQ0vlWMu9pyK,spotify:track:0nSUSbHko1wQ0vlWMu9pyK,https://api.spotify.com/v1/tracks/0nSUSbHko1wQ0vlWMu9pyK,https://api.spotify.com/v1/audio-analysis/0nSUSbHko1wQ0vlWMu9pyK,156893,3,The Road To Lilly’s,spotify:track:0nSUSbHko1wQ0vlWMu9pyK,Keaton Henson,6GFfu1alUSrL7qazImC160
4,0.128,0.0614,4,-23.753,0,0.0465,0.917,0.921,0.103,0.0317,94.556,audio_features,30FBZMJo0aoXXgs3Yt8KqG,spotify:track:30FBZMJo0aoXXgs3Yt8KqG,https://api.spotify.com/v1/tracks/30FBZMJo0aoXXgs3Yt8KqG,https://api.spotify.com/v1/audio-analysis/30FBZMJo0aoXXgs3Yt8KqG,247560,4,A Silent Drive,spotify:track:30FBZMJo0aoXXgs3Yt8KqG,Keaton Henson,6GFfu1alUSrL7qazImC160
5,0.169,0.0575,5,-23.703,1,0.0423,0.994,0.97,0.0501,0.0357,79.955,audio_features,05LdaI7JuZTbfItmc10ubj,spotify:track:05LdaI7JuZTbfItmc10ubj,https://api.spotify.com/v1/tracks/05LdaI7JuZTbfItmc10ubj,https://api.spotify.com/v1/audio-analysis/05LdaI7JuZTbfItmc10ubj,93893,3,Stargazing,spotify:track:05LdaI7JuZTbfItmc10ubj,Keaton Henson,6GFfu1alUSrL7qazImC160
6,0.0805,0.023,0,-24.918,1,0.0423,0.986,0.927,0.109,0.0322,69.685,audio_features,4YdmEPEPrcPNIURwVTBocu,spotify:track:4YdmEPEPrcPNIURwVTBocu,https://api.spotify.com/v1/tracks/4YdmEPEPrcPNIURwVTBocu,https://api.spotify.com/v1/audio-analysis/4YdmEPEPrcPNIURwVTBocu,182720,3,Let Me Be With You,spotify:track:4YdmEPEPrcPNIURwVTBocu,Keaton Henson,6GFfu1alUSrL7qazImC160
7,0.0857,0.0922,4,-21.225,1,0.0463,0.973,0.917,0.108,0.035,170.612,audio_features,6DP1APTmmgZbzZm1BcagUe,spotify:track:6DP1APTmmgZbzZm1BcagUe,https://api.spotify.com/v1/tracks/6DP1APTmmgZbzZm1BcagUe,https://api.spotify.com/v1/audio-analysis/6DP1APTmmgZbzZm1BcagUe,233533,5,Supernova,spotify:track:6DP1APTmmgZbzZm1BcagUe,Keaton Henson,6GFfu1alUSrL7qazImC160
8,0.448,0.027,4,-22.689,1,0.0755,0.996,0.915,0.0875,0.118,63.099,audio_features,7t9JvbwfbuIiczBu8JNuBB,spotify:track:7t9JvbwfbuIiczBu8JNuBB,https://api.spotify.com/v1/tracks/7t9JvbwfbuIiczBu8JNuBB,https://api.spotify.com/v1/audio-analysis/7t9JvbwfbuIiczBu8JNuBB,131440,4,Salut d’Amour,spotify:track:7t9JvbwfbuIiczBu8JNuBB,Keaton Henson,6GFfu1alUSrL7qazImC160
9,0.414,0.291,5,-12.828,1,0.0339,0.893,0.00227,0.131,0.102,73.33,audio_features,4pqsxHGrNokZEVlOSiH2MG,spotify:track:4pqsxHGrNokZEVlOSiH2MG,https://api.spotify.com/v1/tracks/4pqsxHGrNokZEVlOSiH2MG,https://api.spotify.com/v1/audio-analysis/4pqsxHGrNokZEVlOSiH2MG,272520,4,Ambulance,spotify:track:4pqsxHGrNokZEVlOSiH2MG,Keaton Henson,6GFfu1alUSrL7qazImC160
10,0.413,0.0997,11,-13.837,1,0.0418,0.943,1.08e-05,0.394,0.0549,128.251,audio_features,3CyLQvjJ1KDpM9FWp04649,spotify:track:3CyLQvjJ1KDpM9FWp04649,https://api.spotify.com/v1/tracks/3CyLQvjJ1KDpM9FWp04649,https://api.spotify.com/v1/audio-analysis/3CyLQvjJ1KDpM9FWp04649,354400,3,Self Portrait,spotify:track:3CyLQvjJ1KDpM9FWp04649,Keaton Henson,6GFfu1alUSrL7qazImC160
11,0.509,0.12,6,-14.72,1,0.0347,0.866,0.0112,0.122,0.117,76.01,audio_features,38YnfAYzaeA2Th1CZOx3aJ,spotify:track:38YnfAYzaeA2Th1CZOx3aJ,https://api.spotify.com/v1/tracks/38YnfAYzaeA2Th1CZOx3aJ,https://api.spotify.com/v1/audio-analysis/38YnfAYzaeA2Th1CZOx3aJ,269240,4,Ontario,spotify:track:38YnfAYzaeA2Th1CZOx3aJ,Keaton Henson,6GFfu1alUSrL7qazImC160
12,0.399,0.116,4,-13.618,1,0.0371,0.887,0.00556,0.0995,0.296,84.789,audio_features,5brKWf4GgeMV9qYF8j9Irf,spotify:track:5brKWf4GgeMV9qYF8j9Irf,https://api.spotify.com/v1/tracks/5brKWf4GgeMV9qYF8j9Irf,https://api.spotify.com/v1/audio-analysis/5brKWf4GgeMV9qYF8j9Irf,285067,4,Career Day,spotify:track:5brKWf4GgeMV9qYF8j9Irf,Keaton Henson,6GFfu1alUSrL7qazImC160
13,0.25,0.0406,1,-17.224,1,0.035,0.973,0.0805,0.1,0.0385,101.474,audio_features,1tZoRYJLGYqPI6x3RlQ2TP,spotify:track:1tZoRYJLGYqPI6x3RlQ2TP,https://api.spotify.com/v1/tracks/1tZoRYJLGYqPI6x3RlQ2TP,https://api.spotify.com/v1/audio-analysis/1tZoRYJLGYqPI6x3RlQ2TP,357080,3,Prayer,spotify:track:1tZoRYJLGYqPI6x3RlQ2TP,Keaton Henson,6GFfu1alUSrL7qazImC160
14,0.298,0.381,10,-9.969,1,0.0367,0.848,0.00326,0.102,0.163,187.865,audio_features,4G1vc3Og2VcZ81urhzjoNX,spotify:track:4G1vc3Og2VcZ81urhzjoNX,https://api.spotify.com/v1/tracks/4G1vc3Og2VcZ81urhzjoNX,https://api.spotify.com/v1/audio-analysis/4G1vc3Og2VcZ81urhzjoNX,230307,4,While I Can,spotify:track:4G1vc3Og2VcZ81urhzjoNX,Keaton Henson,6GFfu1alUSrL7qazImC160
15,0.313,0.11,6,-16.532,0,0.0321,0.925,0.121,0.188,0.0621,96.079,audio_features,5oFmP03qLoTtOlkBxA9JUq,spotify:track:5oFmP03qLoTtOlkBxA9JUq,https://api.spotify.com/v1/tracks/5oFmP03qLoTtOlkBxA9JUq,https://api.spotify.com/v1/audio-analysis/5oFmP03qLoTtOlkBxA9JUq,336373,4,Bed,spotify:track:5oFmP03qLoTtOlkBxA9JUq,Keaton Henson,6GFfu1alUSrL7qazImC160
16,0.446,0.0742,7,-17.554,1,0.0549,0.95,0.00217,0.634,0.157,112.503,audio_features,2SksHis2OSnBdAhDvWAUig,spotify:track:2SksHis2OSnBdAhDvWAUig,https://api.spotify.com/v1/tracks/2SksHis2OSnBdAhDvWAUig,https://api.spotify.com/v1/audio-analysis/2SksHis2OSnBdAhDvWAUig,273400,4,The Grand Old Reason,spotify:track:2SksHis2OSnBdAhDvWAUig,Keaton Henson,6GFfu1alUSrL7qazImC160
17,0.572,0.329,2,-11.008,1,0.0269,0.708,5.87e-05,0.11,0.411,94.512,audio_features,08YDBGflZznaGjtNC2y6I6,spotify:track:08YDBGflZznaGjtNC2y6I6,https://api.spotify.com/v1/tracks/08YDBGflZznaGjtNC2y6I6,https://api.spotify.com/v1/audio-analysis/08YDBGflZznaGjtNC2y6I6,244000,3,Husk,spotify:track:08YDBGflZznaGjtNC2y6I6,Keaton Henson,6GFfu1alUSrL7qazImC160
18,0.368,0.0335,5,-19.429,0,0.0382,0.961,0.0288,0.14,0.0742,118.226,audio_features,1odHMsTQmyuVKCEKFYyDZR,spotify:track:1odHMsTQmyuVKCEKFYyDZR,https://api.spotify.com/v1/tracks/1odHMsTQmyuVKCEKFYyDZR,https://api.spotify.com/v1/audio-analysis/1odHMsTQmyuVKCEKFYyDZR,255293,4,Thesis,spotify:track:1odHMsTQmyuVKCEKFYyDZR,Keaton Henson,6GFfu1alUSrL7qazImC160
19,0.289,0.161,0,-17.784,1,0.0384,0.916,0.0994,0.388,0.0976,81.166,audio_features,6vB6RKkbDwNoou9ap8JLGm,spotify:track:6vB6RKkbDwNoou9ap8JLGm,https://api.spotify.com/v1/tracks/6vB6RKkbDwNoou9ap8JLGm,https://api.spotify.com/v1/audio-analysis/6vB6RKkbDwNoou9ap8JLGm,402773,4,Bygones,spotify:track:6vB6RKkbDwNoou9ap8JLGm,Keaton Henson,6GFfu1alUSrL7qazImC160
20,0.118,0.0605,3,-22.065,0,0.0475,0.878,0.846,0.252,0.0298,94.775,audio_features,6A0fNYStmpKHXhdRfSZ7M1,spotify:track:6A0fNYStmpKHXhdRfSZ7M1,https://api.spotify.com/v1/tracks/6A0fNYStmpKHXhdRfSZ7M1,https://api.spotify.com/v1/audio-analysis/6A0fNYStmpKHXhdRfSZ7M1,573027,3,Initium,spotify:track:6A0fNYStmpKHXhdRfSZ7M1,Keaton Henson,6GFfu1alUSrL7qazImC160
21,0.0806,0.0684,7,-24.075,0,0.0458,0.908,0.748,0.447,0.0354,82.146,audio_features,6dUvDdqCSv0k9nEC3cRtL6,spotify:track:6dUvDdqCSv0k9nEC3cRtL6,https://api.spotify.com/v1/tracks/6dUvDdqCSv0k9nEC3cRtL6,https://api.spotify.com/v1/audio-analysis/6dUvDdqCSv0k9nEC3cRtL6,692240,4,The Falling,spotify:track:6dUvDdqCSv0k9nEC3cRtL6,Keaton Henson,6GFfu1alUSrL7qazImC160
22,0.137,0.0234,4,-26.476,0,0.106,0.86,0.952,0.065,0.0399,101.7,audio_features,7bSDvKn7QDKrlp1QvKlKHU,spotify:track:7bSDvKn7QDKrlp1QvKlKHU,https://api.spotify.com/v1/tracks/7bSDvKn7QDKrlp1QvKlKHU,https://api.spotify.com/v1/audio-analysis/7bSDvKn7QDKrlp1QvKlKHU,408093,4,Trauma / In Chao,spotify:track:7bSDvKn7QDKrlp1QvKlKHU,Keaton Henson,6GFfu1alUSrL7qazImC160
23,0.206,0.0075,7,-30.043,0,0.0522,0.97,0.23,0.0703,0.047,83.33,audio_features,0AGPYWjT3PM5u3PL1ippp3,spotify:track:0AGPYWjT3PM5u3PL1ippp3,https://api.spotify.com/v1/tracks/0AGPYWjT3PM5u3PL1ippp3,https://api.spotify.com/v1/audio-analysis/0AGPYWjT3PM5u3PL1ippp3,215933,4,Unease Concerto - Cadenza,spotify:track:0AGPYWjT3PM5u3PL1ippp3,Keaton Henson,6GFfu1alUSrL7qazImC160
24,0.137,0.137,7,-20.441,0,0.0459,0.883,0.868,0.0684,0.0346,93.053,audio_features,5LuZuczrNZZAweS6ppnMgy,spotify:track:5LuZuczrNZZAweS6ppnMgy,https://api.spotify.com/v1/tracks/5LuZuczrNZZAweS6ppnMgy,https://api.spotify.com/v1/audio-analysis/5LuZuczrNZZAweS6ppnMgy,619067,4,Unease Concerto,spotify:track:5LuZuczrNZZAweS6ppnMgy,Keaton Henson,6GFfu1alUSrL7qazImC160
25,0.144,0.0927,7,-18.37,0,0.0396,0.502,0.949,0.152,0.037,102.679,audio_features,1M7QgJJNj0EHa3DN94ICm4,spotify:track:1M7QgJJNj0EHa3DN94ICm4,https://api.spotify.com/v1/tracks/1M7QgJJNj0EHa3DN94ICm4,https://api.spotify.com/v1/audio-analysis/1M7QgJJNj0EHa3DN94ICm4,634493,5,Lament,spotify:track:1M7QgJJNj0EHa3DN94ICm4,Keaton Henson,6GFfu1alUSrL7qazImC160
26,0.0705,0.0774,3,-25.451,0,0.051,0.449,0.811,0.393,0.0354,76.621,audio_features,6oYhKUxYiShifK8e3iACf1,spotify:track:6oYhKUxYiShifK8e3iACf1,https://api.spotify.com/v1/tracks/6oYhKUxYiShifK8e3iACf1,https://api.spotify.com/v1/audio-analysis/6oYhKUxYiShifK8e3iACf1,741933,3,Breathing Out,spotify:track:6oYhKUxYiShifK8e3iACf1,Keaton Henson,6GFfu1alUSrL7qazImC160
27,0.232,0.238,11,-12.878,1,0.0339,0.363,0.0212,0.118,0.172,136.178,audio_features,5nVDoEjDyn3CGwug0G9o2V,spotify:track:5nVDoEjDyn3CGwug0G9o2V,https://api.spotify.com/v1/tracks/5nVDoEjDyn3CGwug0G9o2V,https://api.spotify.com/v1/audio-analysis/5nVDoEjDyn3CGwug0G9o2V,139638,4,March,spotify:track:5nVDoEjDyn3CGwug0G9o2V,Keaton Henson,6GFfu1alUSrL7qazImC160
28,0.347,0.202,5,-13.587,1,0.0461,0.885,0.0017,0.0927,0.143,96.683,audio_features,7EqB4Si62qbT1P8Yf3ZPKH,spotify:track:7EqB4Si62qbT1P8Yf3ZPKH,https://api.spotify.com/v1/tracks/7EqB4Si62qbT1P8Yf3ZPKH,https://api.spotify.com/v1/audio-analysis/7EqB4Si62qbT1P8Yf3ZPKH,279358,4,Alright,spotify:track:7EqB4Si62qbT1P8Yf3ZPKH,Keaton Henson,6GFfu1alUSrL7qazImC160
29,0.272,0.271,11,-11.102,1,0.0325,0.494,7.41e-05,0.113,0.127,88.339,audio_features,5044qdWzeyYSF2y7C7bzkG,spotify:track:5044qdWzeyYSF2y7C7bzkG,https://api.spotify.com/v1/tracks/5044qdWzeyYSF2y7C7bzkG,https://api.spotify.com/v1/audio-analysis/5044qdWzeyYSF2y7C7bzkG,249238,3,The Pugilist,spotify:track:5044qdWzeyYSF2y7C7bzkG,Keaton Henson,6GFfu1alUSrL7qazImC160
30,0.219,0.193,11,-8.774,1,0.0378,0.387,0.887,0.263,0.0588,75.839,audio_features,5xQ8ql8MKzXQX2vwfXb9Ti,spotify:track:5xQ8ql8MKzXQX2vwfXb9Ti,https://api.spotify.com/v1/tracks/5xQ8ql8MKzXQX2vwfXb9Ti,https://api.spotify.com/v1/audio-analysis/5xQ8ql8MKzXQX2vwfXb9Ti,42961,4,NW Overture,spotify:track:5xQ8ql8MKzXQX2vwfXb9Ti,Keaton Henson,6GFfu1alUSrL7qazImC160
31,0.34,0.075,11,-14.623,1,0.0405,0.961,0.00332,0.0756,0.143,133.753,audio_features,4OvMzk60FUKZljFTR0d7nQ,spotify:track:4OvMzk60FUKZljFTR0d7nQ,https://api.spotify.com/v1/tracks/4OvMzk60FUKZljFTR0d7nQ,https://api.spotify.com/v1/audio-analysis/4OvMzk60FUKZljFTR0d7nQ,322329,4,No Witnesses,spotify:track:4OvMzk60FUKZljFTR0d7nQ,Keaton Henson,6GFfu1alUSrL7qazImC160
32,0.24,0.271,5,-11.677,0,0.0331,0.393,0.000124,0.247,0.085,109.489,audio_features,53oqOlXh6lvemuYSe5gzRV,spotify:track:53oqOlXh6lvemuYSe5gzRV,https://api.spotify.com/v1/tracks/53oqOlXh6lvemuYSe5gzRV,https://api.spotify.com/v1/audio-analysis/53oqOlXh6lvemuYSe5gzRV,302853,3,Good Lust,spotify:track:53oqOlXh6lvemuYSe5gzRV,Keaton Henson,6GFfu1alUSrL7qazImC160
33,0.208,0.567,9,-10.762,0,0.0369,0.27,0.000523,0.101,0.254,159.915,audio_features,5pXqaP4eN74LdqFXF8nu5f,spotify:track:5pXqaP4eN74LdqFXF8nu5f,https://api.spotify.com/v1/tracks/5pXqaP4eN74LdqFXF8nu5f,https://api.spotify.com/v1/audio-analysis/5pXqaP4eN74LdqFXF8nu5f,264544,3,Comfortable Love,spotify:track:5pXqaP4eN74LdqFXF8nu5f,Keaton Henson,6GFfu1alUSrL7qazImC160
34,0.429,0.121,1,-14.723,1,0.0448,0.935,1.59e-05,0.304,0.155,108.684,audio_features,1BGfRhzOfggqjNyqFKIRnT,spotify:track:1BGfRhzOfggqjNyqFKIRnT,https://api.spotify.com/v1/tracks/1BGfRhzOfggqjNyqFKIRnT,https://api.spotify.com/v1/audio-analysis/1BGfRhzOfggqjNyqFKIRnT,305579,3,Old Lovers in Dressing Rooms,spotify:track:1BGfRhzOfggqjNyqFKIRnT,Keaton Henson,6GFfu1alUSrL7qazImC160
35,0.322,0.116,2,-13.374,1,0.0416,0.898,0.00045,0.201,0.154,163.634,audio_features,6j0V3ox7f8aE7CrRZR7MtT,spotify:track:6j0V3ox7f8aE7CrRZR7MtT,https://api.spotify.com/v1/tracks/6j0V3ox7f8aE7CrRZR7MtT,https://api.spotify.com/v1/audio-analysis/6j0V3ox7f8aE7CrRZR7MtT,229350,5,Polyhymnia,spotify:track:6j0V3ox7f8aE7CrRZR7MtT,Keaton Henson,6GFfu1alUSrL7qazImC160
36,0.368,0.371,0,-15.348,1,0.0344,0.886,0.0965,0.0729,0.328,111.316,audio_features,2n6qihPuKheuUeOD67tMgf,spotify:track:2n6qihPuKheuUeOD67tMgf,https://api.spotify.com/v1/tracks/2n6qihPuKheuUeOD67tMgf,https://api.spotify.com/v1/audio-analysis/2n6qihPuKheuUeOD67tMgf,139957,3,Gabe,spotify:track:2n6qihPuKheuUeOD67tMgf,Keaton Henson,6GFfu1alUSrL7qazImC160
37,0.355,0.362,11,-10.517,0,0.0403,0.658,0.0,0.307,0.414,93.71,audio_features,3xr1Y7YhDfOc9mcP3iATZK,spotify:track:3xr1Y7YhDfOc9mcP3iATZK,https://api.spotify.com/v1/tracks/3xr1Y7YhDfOc9mcP3iATZK,https://api.spotify.com/v1/audio-analysis/3xr1Y7YhDfOc9mcP3iATZK,206845,4,Holy Lover,spotify:track:3xr1Y7YhDfOc9mcP3iATZK,Keaton Henson,6GFfu1alUSrL7qazImC160
38,0.383,0.061,1,-14.727,1,0.0379,0.953,0.000207,0.0797,0.183,117.629,audio_features,0aAMG8KoZi6djCr8xqLMz6,spotify:track:0aAMG8KoZi6djCr8xqLMz6,https://api.spotify.com/v1/tracks/0aAMG8KoZi6djCr8xqLMz6,https://api.spotify.com/v1/audio-analysis/0aAMG8KoZi6djCr8xqLMz6,352105,4,How Could I Have Known,spotify:track:0aAMG8KoZi6djCr8xqLMz6,Keaton Henson,6GFfu1alUSrL7qazImC160
39,0.193,0.128,10,-23.235,0,0.0371,0.969,0.922,0.112,0.0393,150.014,audio_features,0HwJ5fiR1Q0XMWeS1oHvtz,spotify:track:0HwJ5fiR1Q0XMWeS1oHvtz,https://api.spotify.com/v1/tracks/0HwJ5fiR1Q0XMWeS1oHvtz,https://api.spotify.com/v1/audio-analysis/0HwJ5fiR1Q0XMWeS1oHvtz,244847,1,The Prophet,spotify:track:0HwJ5fiR1Q0XMWeS1oHvtz,Keaton Henson,6GFfu1alUSrL7qazImC160
40,0.601,0.443,11,-18.72,1,0.0491,0.386,0.873,0.468,0.035,100.02,audio_features,54nsy1i7DAKZP3JgUJ3EjM,spotify:track:54nsy1i7DAKZP3JgUJ3EjM,https://api.spotify.com/v1/tracks/54nsy1i7DAKZP3JgUJ3EjM,https://api.spotify.com/v1/audio-analysis/54nsy1i7DAKZP3JgUJ3EjM,178734,4,Kieren Turns,spotify:track:54nsy1i7DAKZP3JgUJ3EjM,Keaton Henson,6GFfu1alUSrL7qazImC160
41,0.118,0.0299,1,-27.479,1,0.0438,0.981,0.922,0.0842,0.0332,86.662,audio_features,3UE0fjJi55kW8I8w9SpHI5,spotify:track:3UE0fjJi55kW8I8w9SpHI5,https://api.spotify.com/v1/tracks/3UE0fjJi55kW8I8w9SpHI5,https://api.spotify.com/v1/audio-analysis/3UE0fjJi55kW8I8w9SpHI5,218011,4,Back to Roarton,spotify:track:3UE0fjJi55kW8I8w9SpHI5,Keaton Henson,6GFfu1alUSrL7qazImC160
42,0.196,0.0366,4,-24.666,0,0.0389,0.984,0.934,0.11,0.0387,117.302,audio_features,5H43i7buJANQWQNt1e8bfA,spotify:track:5H43i7buJANQWQNt1e8bfA,https://api.spotify.com/v1/tracks/5H43i7buJANQWQNt1e8bfA,https://api.spotify.com/v1/audio-analysis/5H43i7buJANQWQNt1e8bfA,131237,3,The Rotters,spotify:track:5H43i7buJANQWQNt1e8bfA,Keaton Henson,6GFfu1alUSrL7qazImC160
43,0.43,0.163,4,-26.124,0,0.0357,0.968,0.918,0.157,0.348,99.977,audio_features,0L9vsvpUogO7QSiscwT6qz,spotify:track:0L9vsvpUogO7QSiscwT6qz,https://api.spotify.com/v1/tracks/0L9vsvpUogO7QSiscwT6qz,https://api.spotify.com/v1/audio-analysis/0L9vsvpUogO7QSiscwT6qz,83920,4,Amy Dyer,spotify:track:0L9vsvpUogO7QSiscwT6qz,Keaton Henson,6GFfu1alUSrL7qazImC160
