,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.623,0.852,6,-8.571,0,0.0447,0.0241,0.764,0.296,0.355,128.985,audio_features,3fOMlzxXz9RptOBr8Jrii3,spotify:track:3fOMlzxXz9RptOBr8Jrii3,https://api.spotify.com/v1/tracks/3fOMlzxXz9RptOBr8Jrii3,https://api.spotify.com/v1/audio-analysis/3fOMlzxXz9RptOBr8Jrii3,316304,4,Re-Wild (Breaka Remix),spotify:track:3fOMlzxXz9RptOBr8Jrii3,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
1,0.63,0.521,10,-13.01,1,0.0455,0.00047,0.594,0.138,0.216,140.033,audio_features,0VHkYLDvd40aWY2DK0TlMs,spotify:track:0VHkYLDvd40aWY2DK0TlMs,https://api.spotify.com/v1/tracks/0VHkYLDvd40aWY2DK0TlMs,https://api.spotify.com/v1/audio-analysis/0VHkYLDvd40aWY2DK0TlMs,207402,4,Wake-Up (Loraine James Remix),spotify:track:0VHkYLDvd40aWY2DK0TlMs,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
2,0.608,0.895,4,-9.351,0,0.0396,0.0181,0.827,0.35,0.259,131.007,audio_features,4X1RNdAg9Ax7EqMdVjdgDM,spotify:track:4X1RNdAg9Ax7EqMdVjdgDM,https://api.spotify.com/v1/tracks/4X1RNdAg9Ax7EqMdVjdgDM,https://api.spotify.com/v1/audio-analysis/4X1RNdAg9Ax7EqMdVjdgDM,515280,4,On (Elkka Remix),spotify:track:4X1RNdAg9Ax7EqMdVjdgDM,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
3,0.788,0.828,11,-10.168,0,0.0752,0.00103,0.859,0.124,0.549,133.985,audio_features,2OBMqUXXohXoOgWDOkq9OZ,spotify:track:2OBMqUXXohXoOgWDOkq9OZ,https://api.spotify.com/v1/tracks/2OBMqUXXohXoOgWDOkq9OZ,https://api.spotify.com/v1/audio-analysis/2OBMqUXXohXoOgWDOkq9OZ,366788,4,Night (Roza Terenzi Remix),spotify:track:2OBMqUXXohXoOgWDOkq9OZ,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
4,0.593,0.954,11,-8.482,0,0.0619,0.00241,0.89,0.103,0.841,145.008,audio_features,0POA4NgvhRckWsCMPvWDL2,spotify:track:0POA4NgvhRckWsCMPvWDL2,https://api.spotify.com/v1/tracks/0POA4NgvhRckWsCMPvWDL2,https://api.spotify.com/v1/audio-analysis/0POA4NgvhRckWsCMPvWDL2,268236,4,L.I.N.E. (Yazzus Remix),spotify:track:0POA4NgvhRckWsCMPvWDL2,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
5,0.796,0.428,8,-16.396,0,0.0534,0.111,0.851,0.0997,0.706,130.0,audio_features,5fdxW3XVjGQIQ3BjbOCDMi,spotify:track:5fdxW3XVjGQIQ3BjbOCDMi,https://api.spotify.com/v1/tracks/5fdxW3XVjGQIQ3BjbOCDMi,https://api.spotify.com/v1/audio-analysis/5fdxW3XVjGQIQ3BjbOCDMi,524655,3,Corner Of My Sky ft. John Cale (Coby Sey Remix),spotify:track:5fdxW3XVjGQIQ3BjbOCDMi,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
6,0.58,0.768,5,-8.54,1,0.09,0.0861,0.877,0.0867,0.395,165.003,audio_features,6Jtr8oeEOVZ8TYqzbOrK70,spotify:track:6Jtr8oeEOVZ8TYqzbOrK70,https://api.spotify.com/v1/tracks/6Jtr8oeEOVZ8TYqzbOrK70,https://api.spotify.com/v1/audio-analysis/6Jtr8oeEOVZ8TYqzbOrK70,314628,3,Jeanette (Haider Remix),spotify:track:6Jtr8oeEOVZ8TYqzbOrK70,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
7,0.69,0.321,11,-13.058,0,0.0583,0.121,0.954,0.0896,0.485,158.012,audio_features,6OQTJ7llyUiejKFxR4MUuy,spotify:track:6OQTJ7llyUiejKFxR4MUuy,https://api.spotify.com/v1/tracks/6OQTJ7llyUiejKFxR4MUuy,https://api.spotify.com/v1/audio-analysis/6OQTJ7llyUiejKFxR4MUuy,285880,3,Arpeggi,spotify:track:6OQTJ7llyUiejKFxR4MUuy,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
8,0.694,0.403,7,-12.829,1,0.0421,0.0419,0.723,0.0708,0.376,130.995,audio_features,167c1Blr84k9YpSCHLNh9m,spotify:track:167c1Blr84k9YpSCHLNh9m,https://api.spotify.com/v1/tracks/167c1Blr84k9YpSCHLNh9m,https://api.spotify.com/v1/audio-analysis/167c1Blr84k9YpSCHLNh9m,357240,4,On,spotify:track:167c1Blr84k9YpSCHLNh9m,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
9,0.785,0.919,7,-13.059,1,0.0552,0.00772,0.916,0.11,0.443,131.037,audio_features,1f4cKwcKfNiLbQr8x2tZ3C,spotify:track:1f4cKwcKfNiLbQr8x2tZ3C,https://api.spotify.com/v1/tracks/1f4cKwcKfNiLbQr8x2tZ3C,https://api.spotify.com/v1/audio-analysis/1f4cKwcKfNiLbQr8x2tZ3C,214307,4,Melt!,spotify:track:1f4cKwcKfNiLbQr8x2tZ3C,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
10,0.167,0.429,6,-10.131,0,0.0709,0.221,0.00568,0.111,0.183,69.174,audio_features,3LIckgqzRWLAgB1YKKxyF0,spotify:track:3LIckgqzRWLAgB1YKKxyF0,https://api.spotify.com/v1/tracks/3LIckgqzRWLAgB1YKKxyF0,https://api.spotify.com/v1/audio-analysis/3LIckgqzRWLAgB1YKKxyF0,222200,5,Re-Wild,spotify:track:3LIckgqzRWLAgB1YKKxyF0,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
11,0.583,0.542,8,-14.645,0,0.0503,0.653,0.884,0.117,0.286,130.006,audio_features,66KnxPOG7pEbzqyKhLaIE0,spotify:track:66KnxPOG7pEbzqyKhLaIE0,https://api.spotify.com/v1/tracks/66KnxPOG7pEbzqyKhLaIE0,https://api.spotify.com/v1/audio-analysis/66KnxPOG7pEbzqyKhLaIE0,374360,4,Jeanette,spotify:track:66KnxPOG7pEbzqyKhLaIE0,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
12,0.468,0.417,11,-12.777,0,0.0351,0.457,0.876,0.299,0.183,167.95,audio_features,5hoyAjPforf4hBg27qUlXs,spotify:track:5hoyAjPforf4hBg27qUlXs,https://api.spotify.com/v1/tracks/5hoyAjPforf4hBg27qUlXs,https://api.spotify.com/v1/audio-analysis/5hoyAjPforf4hBg27qUlXs,227813,4,L.I.N.E.,spotify:track:5hoyAjPforf4hBg27qUlXs,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
13,0.658,0.226,9,-15.271,1,0.0326,0.561,0.832,0.109,0.34,130.002,audio_features,0Kx5mnfoluqEcrZmQDin6m,spotify:track:0Kx5mnfoluqEcrZmQDin6m,https://api.spotify.com/v1/tracks/0Kx5mnfoluqEcrZmQDin6m,https://api.spotify.com/v1/audio-analysis/0Kx5mnfoluqEcrZmQDin6m,447453,4,Corner Of My Sky ft. John Cale,spotify:track:0Kx5mnfoluqEcrZmQDin6m,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
14,0.774,0.592,7,-13.016,1,0.0423,0.0696,0.91,0.105,0.0876,127.011,audio_features,1N1Dhz6cFIMv9Zkl15qPpC,spotify:track:1N1Dhz6cFIMv9Zkl15qPpC,https://api.spotify.com/v1/tracks/1N1Dhz6cFIMv9Zkl15qPpC,https://api.spotify.com/v1/audio-analysis/1N1Dhz6cFIMv9Zkl15qPpC,310467,4,Night,spotify:track:1N1Dhz6cFIMv9Zkl15qPpC,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
15,0.776,0.587,7,-12.228,1,0.112,0.616,0.919,0.134,0.0845,111.999,audio_features,3b3BFPExE3l0BRr3LiCurN,spotify:track:3b3BFPExE3l0BRr3LiCurN,https://api.spotify.com/v1/tracks/3b3BFPExE3l0BRr3LiCurN,https://api.spotify.com/v1/audio-analysis/3b3BFPExE3l0BRr3LiCurN,294240,4,Flow,spotify:track:3b3BFPExE3l0BRr3LiCurN,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
16,0.491,0.424,4,-11.921,0,0.0332,0.232,0.497,0.115,0.125,165.01,audio_features,1gHZQqfZOjXVj8p9EBevNs,spotify:track:1gHZQqfZOjXVj8p9EBevNs,https://api.spotify.com/v1/tracks/1gHZQqfZOjXVj8p9EBevNs,https://api.spotify.com/v1/audio-analysis/1gHZQqfZOjXVj8p9EBevNs,266547,4,Wake-Up,spotify:track:1gHZQqfZOjXVj8p9EBevNs,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
17,0.219,0.584,6,-11.579,1,0.055,0.38,0.886,0.401,0.232,179.651,audio_features,4EJXhBMVHuHdigkg2QTZOd,spotify:track:4EJXhBMVHuHdigkg2QTZOd,https://api.spotify.com/v1/tracks/4EJXhBMVHuHdigkg2QTZOd,https://api.spotify.com/v1/audio-analysis/4EJXhBMVHuHdigkg2QTZOd,192674,4,S.O,spotify:track:4EJXhBMVHuHdigkg2QTZOd,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
18,0.61,0.546,4,-14.677,0,0.0397,0.742,0.937,0.394,0.0603,109.994,audio_features,75iQyGmYQ1fZk4CBchmheb,spotify:track:75iQyGmYQ1fZk4CBchmheb,https://api.spotify.com/v1/tracks/75iQyGmYQ1fZk4CBchmheb,https://api.spotify.com/v1/audio-analysis/75iQyGmYQ1fZk4CBchmheb,245250,4,Arthur,spotify:track:75iQyGmYQ1fZk4CBchmheb,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
19,0.614,0.52,5,-15.733,1,0.0446,0.659,0.938,0.107,0.144,119.962,audio_features,3uMw9f5a7MTeXqG5RK49DL,spotify:track:3uMw9f5a7MTeXqG5RK49DL,https://api.spotify.com/v1/tracks/3uMw9f5a7MTeXqG5RK49DL,https://api.spotify.com/v1/audio-analysis/3uMw9f5a7MTeXqG5RK49DL,227258,4,Anxi.,spotify:track:3uMw9f5a7MTeXqG5RK49DL,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
20,0.337,0.597,6,-11.217,0,0.0427,0.453,0.42,0.0987,0.0438,162.195,audio_features,29ZPzprmBTJskzsfBWlyZL,spotify:track:29ZPzprmBTJskzsfBWlyZL,https://api.spotify.com/v1/tracks/29ZPzprmBTJskzsfBWlyZL,https://api.spotify.com/v1/audio-analysis/29ZPzprmBTJskzsfBWlyZL,212640,3,Lucid,spotify:track:29ZPzprmBTJskzsfBWlyZL,Kelly Lee Owens,5eitAUlYmlha3LLWg7aBn5
