,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.582,0.928,1,-3.771,1,0.0665,0.00771,2.14e-05,0.0985,0.665,122.013,audio_features,0vleRfOdZmbhzdzWVph38W,spotify:track:0vleRfOdZmbhzdzWVph38W,https://api.spotify.com/v1/tracks/0vleRfOdZmbhzdzWVph38W,https://api.spotify.com/v1/audio-analysis/0vleRfOdZmbhzdzWVph38W,205747,4,We Do,spotify:track:0vleRfOdZmbhzdzWVph38W,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
1,0.506,0.813,9,-3.575,1,0.0532,0.0505,0.0,0.12,0.706,147.996,audio_features,7qRVyZDt1Caftkk8CQlKtk,spotify:track:7qRVyZDt1Caftkk8CQlKtk,https://api.spotify.com/v1/tracks/7qRVyZDt1Caftkk8CQlKtk,https://api.spotify.com/v1/audio-analysis/7qRVyZDt1Caftkk8CQlKtk,171493,4,Here And Now,spotify:track:7qRVyZDt1Caftkk8CQlKtk,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
2,0.66,0.681,5,-5.045,1,0.0293,0.00982,0.0,0.159,0.664,109.021,audio_features,0OURixtwzJF8pON5JpMHKv,spotify:track:0OURixtwzJF8pON5JpMHKv,https://api.spotify.com/v1/tracks/0OURixtwzJF8pON5JpMHKv,https://api.spotify.com/v1/audio-analysis/0OURixtwzJF8pON5JpMHKv,204987,4,Everyone She Knows,spotify:track:0OURixtwzJF8pON5JpMHKv,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
3,0.583,0.732,7,-3.866,1,0.0437,0.102,0.0,0.0811,0.598,144.046,audio_features,1u6hbJHremktur2t4cN5jB,spotify:track:1u6hbJHremktur2t4cN5jB,https://api.spotify.com/v1/tracks/1u6hbJHremktur2t4cN5jB,https://api.spotify.com/v1/audio-analysis/1u6hbJHremktur2t4cN5jB,228987,4,Wasted,spotify:track:1u6hbJHremktur2t4cN5jB,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
4,0.557,0.565,7,-6.12,1,0.026,0.229,3.9e-06,0.119,0.187,125.956,audio_features,2EEfUuBRZA4Ax1vYcluFS0,spotify:track:2EEfUuBRZA4Ax1vYcluFS0,https://api.spotify.com/v1/tracks/2EEfUuBRZA4Ax1vYcluFS0,https://api.spotify.com/v1/audio-analysis/2EEfUuBRZA4Ax1vYcluFS0,226267,3,Knowing You,spotify:track:2EEfUuBRZA4Ax1vYcluFS0,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
5,0.58,0.925,7,-3.911,1,0.0444,0.0133,0.0,0.297,0.856,129.002,audio_features,15wbKmWK5XeeNI7pyLcuks,spotify:track:15wbKmWK5XeeNI7pyLcuks,https://api.spotify.com/v1/tracks/15wbKmWK5XeeNI7pyLcuks,https://api.spotify.com/v1/audio-analysis/15wbKmWK5XeeNI7pyLcuks,196547,4,Heartbreakers,spotify:track:15wbKmWK5XeeNI7pyLcuks,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
6,0.619,0.522,10,-7.081,1,0.0277,0.234,0.0,0.0935,0.3,153.928,audio_features,246P68tmf7rB6ffkosdaos,spotify:track:246P68tmf7rB6ffkosdaos,https://api.spotify.com/v1/tracks/246P68tmf7rB6ffkosdaos,https://api.spotify.com/v1/audio-analysis/246P68tmf7rB6ffkosdaos,211533,4,Someone To Fix,spotify:track:246P68tmf7rB6ffkosdaos,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
7,0.715,0.665,6,-5.486,1,0.0383,0.3,0.0,0.123,0.597,109.018,audio_features,2v08cjj3Th8RpfJgluECcj,spotify:track:2v08cjj3Th8RpfJgluECcj,https://api.spotify.com/v1/tracks/2v08cjj3Th8RpfJgluECcj,https://api.spotify.com/v1/audio-analysis/2v08cjj3Th8RpfJgluECcj,168733,4,Happy Does,spotify:track:2v08cjj3Th8RpfJgluECcj,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
8,0.667,0.542,5,-5.6,1,0.0251,0.0832,0.0,0.0702,0.471,95.026,audio_features,2swcTZtPZtKZs1CjJzxRwu,spotify:track:2swcTZtPZtKZs1CjJzxRwu,https://api.spotify.com/v1/tracks/2swcTZtPZtKZs1CjJzxRwu,https://api.spotify.com/v1/audio-analysis/2swcTZtPZtKZs1CjJzxRwu,199413,4,Tip of My Tongue,spotify:track:2swcTZtPZtKZs1CjJzxRwu,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
9,0.362,0.528,5,-7.395,1,0.0409,0.171,0.0,0.0993,0.318,73.78,audio_features,0evD8RKcpsMnxrT6wHglkk,spotify:track:0evD8RKcpsMnxrT6wHglkk,https://api.spotify.com/v1/tracks/0evD8RKcpsMnxrT6wHglkk,https://api.spotify.com/v1/audio-analysis/0evD8RKcpsMnxrT6wHglkk,216533,4,You Don't Get To,spotify:track:0evD8RKcpsMnxrT6wHglkk,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
10,0.61,0.673,1,-5.305,1,0.0289,0.507,0.0,0.124,0.684,125.102,audio_features,0SQfhDZ7yxHTZD6puoqLLa,spotify:track:0SQfhDZ7yxHTZD6puoqLLa,https://api.spotify.com/v1/tracks/0SQfhDZ7yxHTZD6puoqLLa,https://api.spotify.com/v1/audio-analysis/0SQfhDZ7yxHTZD6puoqLLa,190787,4,Beautiful World,spotify:track:0SQfhDZ7yxHTZD6puoqLLa,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
11,0.474,0.183,4,-10.267,1,0.0337,0.932,0.000341,0.0936,0.187,142.037,audio_features,1GKxg9Qigiiwg6vV5T788U,spotify:track:1GKxg9Qigiiwg6vV5T788U,https://api.spotify.com/v1/tracks/1GKxg9Qigiiwg6vV5T788U,https://api.spotify.com/v1/audio-analysis/1GKxg9Qigiiwg6vV5T788U,242507,3,Guys Named Captain,spotify:track:1GKxg9Qigiiwg6vV5T788U,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
12,0.581,0.928,1,-3.771,1,0.0663,0.00784,2.62e-05,0.0987,0.671,122.015,audio_features,0Ou693uYp6yqTyHOJVRd6I,spotify:track:0Ou693uYp6yqTyHOJVRd6I,https://api.spotify.com/v1/tracks/0Ou693uYp6yqTyHOJVRd6I,https://api.spotify.com/v1/audio-analysis/0Ou693uYp6yqTyHOJVRd6I,205747,4,We Do,spotify:track:0Ou693uYp6yqTyHOJVRd6I,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
13,0.506,0.813,9,-3.567,1,0.0538,0.0505,0.0,0.12,0.714,147.994,audio_features,30du0iBBv6bO06qmQX1oXm,spotify:track:30du0iBBv6bO06qmQX1oXm,https://api.spotify.com/v1/tracks/30du0iBBv6bO06qmQX1oXm,https://api.spotify.com/v1/audio-analysis/30du0iBBv6bO06qmQX1oXm,171493,4,Here And Now,spotify:track:30du0iBBv6bO06qmQX1oXm,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
14,0.659,0.682,5,-5.045,1,0.0293,0.00992,0.0,0.159,0.664,109.022,audio_features,5Ai36X3u6Z75f7nhJ1CJXe,spotify:track:5Ai36X3u6Z75f7nhJ1CJXe,https://api.spotify.com/v1/tracks/5Ai36X3u6Z75f7nhJ1CJXe,https://api.spotify.com/v1/audio-analysis/5Ai36X3u6Z75f7nhJ1CJXe,204987,4,Everyone She Knows,spotify:track:5Ai36X3u6Z75f7nhJ1CJXe,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
15,0.583,0.732,7,-3.866,1,0.0435,0.103,0.0,0.0811,0.598,144.045,audio_features,1A4wavWqOzXXDOTrhEFqAg,spotify:track:1A4wavWqOzXXDOTrhEFqAg,https://api.spotify.com/v1/tracks/1A4wavWqOzXXDOTrhEFqAg,https://api.spotify.com/v1/audio-analysis/1A4wavWqOzXXDOTrhEFqAg,228987,4,Wasted,spotify:track:1A4wavWqOzXXDOTrhEFqAg,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
16,0.568,0.562,7,-6.12,1,0.0258,0.23,3.41e-06,0.119,0.178,125.981,audio_features,0TIlvmY6ttGfpkFtOIr5TV,spotify:track:0TIlvmY6ttGfpkFtOIr5TV,https://api.spotify.com/v1/tracks/0TIlvmY6ttGfpkFtOIr5TV,https://api.spotify.com/v1/audio-analysis/0TIlvmY6ttGfpkFtOIr5TV,226267,3,Knowing You,spotify:track:0TIlvmY6ttGfpkFtOIr5TV,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
17,0.58,0.925,7,-3.911,1,0.0444,0.0133,0.0,0.297,0.857,128.998,audio_features,0Rf8xUA3YRRL1qgpE1cERN,spotify:track:0Rf8xUA3YRRL1qgpE1cERN,https://api.spotify.com/v1/tracks/0Rf8xUA3YRRL1qgpE1cERN,https://api.spotify.com/v1/audio-analysis/0Rf8xUA3YRRL1qgpE1cERN,196547,4,Heartbreakers,spotify:track:0Rf8xUA3YRRL1qgpE1cERN,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
18,0.62,0.522,10,-7.081,1,0.0277,0.233,0.0,0.0934,0.298,153.918,audio_features,6ueqAWJKvGYKaelQYsm4I9,spotify:track:6ueqAWJKvGYKaelQYsm4I9,https://api.spotify.com/v1/tracks/6ueqAWJKvGYKaelQYsm4I9,https://api.spotify.com/v1/audio-analysis/6ueqAWJKvGYKaelQYsm4I9,211533,4,Someone To Fix,spotify:track:6ueqAWJKvGYKaelQYsm4I9,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
19,0.716,0.665,6,-5.486,1,0.0382,0.304,0.0,0.123,0.598,109.021,audio_features,1TzYtkiNFQsAvziFzE2yms,spotify:track:1TzYtkiNFQsAvziFzE2yms,https://api.spotify.com/v1/tracks/1TzYtkiNFQsAvziFzE2yms,https://api.spotify.com/v1/audio-analysis/1TzYtkiNFQsAvziFzE2yms,168733,4,Happy Does,spotify:track:1TzYtkiNFQsAvziFzE2yms,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
20,0.667,0.542,5,-5.6,1,0.0251,0.0832,0.0,0.0702,0.471,95.026,audio_features,607XGSTQ30QqYLXYN4jOlz,spotify:track:607XGSTQ30QqYLXYN4jOlz,https://api.spotify.com/v1/tracks/607XGSTQ30QqYLXYN4jOlz,https://api.spotify.com/v1/audio-analysis/607XGSTQ30QqYLXYN4jOlz,199413,4,Tip of My Tongue,spotify:track:607XGSTQ30QqYLXYN4jOlz,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
21,0.377,0.525,5,-7.397,1,0.0392,0.176,0.0,0.0993,0.33,74.323,audio_features,3aXr0PpnnHFqtvDNrdDM2F,spotify:track:3aXr0PpnnHFqtvDNrdDM2F,https://api.spotify.com/v1/tracks/3aXr0PpnnHFqtvDNrdDM2F,https://api.spotify.com/v1/audio-analysis/3aXr0PpnnHFqtvDNrdDM2F,216533,4,You Don't Get To,spotify:track:3aXr0PpnnHFqtvDNrdDM2F,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
