,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.6,0.38,5,-12.121,0,0.0839,0.566,0.818,0.101,0.237,160.051,audio_features,6iNi68Y86Ach1JHz8QKJ0N,spotify:track:6iNi68Y86Ach1JHz8QKJ0N,https://api.spotify.com/v1/tracks/6iNi68Y86Ach1JHz8QKJ0N,https://api.spotify.com/v1/audio-analysis/6iNi68Y86Ach1JHz8QKJ0N,141023,4,Ocean Drive,spotify:track:6iNi68Y86Ach1JHz8QKJ0N,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
1,0.733,0.279,4,-15.156,1,0.0359,0.877,0.73,0.111,0.174,79.98,audio_features,10KZLn7w5ukQC9pX8gq5nM,spotify:track:10KZLn7w5ukQC9pX8gq5nM,https://api.spotify.com/v1/tracks/10KZLn7w5ukQC9pX8gq5nM,https://api.spotify.com/v1/audio-analysis/10KZLn7w5ukQC9pX8gq5nM,156000,4,Daze Days,spotify:track:10KZLn7w5ukQC9pX8gq5nM,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
2,0.624,0.136,7,-18.877,0,0.0455,0.932,0.927,0.0968,0.331,170.033,audio_features,6EPlTsg70ICwJHrrh5ttcQ,spotify:track:6EPlTsg70ICwJHrrh5ttcQ,https://api.spotify.com/v1/tracks/6EPlTsg70ICwJHrrh5ttcQ,https://api.spotify.com/v1/audio-analysis/6EPlTsg70ICwJHrrh5ttcQ,138353,4,Mirage,spotify:track:6EPlTsg70ICwJHrrh5ttcQ,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
3,0.669,0.229,10,-13.834,0,0.0512,0.74,0.856,0.113,0.322,79.999,audio_features,4R5XwZAhF0xtDtLnVjfeFk,spotify:track:4R5XwZAhF0xtDtLnVjfeFk,https://api.spotify.com/v1/tracks/4R5XwZAhF0xtDtLnVjfeFk,https://api.spotify.com/v1/audio-analysis/4R5XwZAhF0xtDtLnVjfeFk,120000,4,Mount Chilliad,spotify:track:4R5XwZAhF0xtDtLnVjfeFk,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
4,0.638,0.295,8,-12.821,1,0.0427,0.868,0.944,0.124,0.293,79.995,audio_features,3MFVuNOnFe0oEPoECUu3fd,spotify:track:3MFVuNOnFe0oEPoECUu3fd,https://api.spotify.com/v1/tracks/3MFVuNOnFe0oEPoECUu3fd,https://api.spotify.com/v1/audio-analysis/3MFVuNOnFe0oEPoECUu3fd,153000,4,Chapstick,spotify:track:3MFVuNOnFe0oEPoECUu3fd,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
5,0.642,0.29,1,-12.926,0,0.0344,0.763,0.943,0.11,0.24,79.996,audio_features,2U4403VBNdU0UEjHRRbzIV,spotify:track:2U4403VBNdU0UEjHRRbzIV,https://api.spotify.com/v1/tracks/2U4403VBNdU0UEjHRRbzIV,https://api.spotify.com/v1/audio-analysis/2U4403VBNdU0UEjHRRbzIV,150000,4,Plummet,spotify:track:2U4403VBNdU0UEjHRRbzIV,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
6,0.744,0.331,11,-10.555,0,0.04,0.863,0.832,0.0959,0.35,77.042,audio_features,6jTb11YdjrgCpq4jP7dTPh,spotify:track:6jTb11YdjrgCpq4jP7dTPh,https://api.spotify.com/v1/tracks/6jTb11YdjrgCpq4jP7dTPh,https://api.spotify.com/v1/audio-analysis/6jTb11YdjrgCpq4jP7dTPh,171429,4,House of Sand,spotify:track:6jTb11YdjrgCpq4jP7dTPh,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
7,0.451,0.267,1,-10.362,1,0.0553,0.653,0.916,0.0967,0.255,69.832,audio_features,4pnUi7VKB2hIrxdQo7blxq,spotify:track:4pnUi7VKB2hIrxdQo7blxq,https://api.spotify.com/v1/tracks/4pnUi7VKB2hIrxdQo7blxq,https://api.spotify.com/v1/audio-analysis/4pnUi7VKB2hIrxdQo7blxq,145714,4,Notice,spotify:track:4pnUi7VKB2hIrxdQo7blxq,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
8,0.672,0.223,1,-10.321,1,0.0359,0.827,0.905,0.113,0.343,80.024,audio_features,2mBHh6qmMbI3E4UkpcChjh,spotify:track:2mBHh6qmMbI3E4UkpcChjh,https://api.spotify.com/v1/tracks/2mBHh6qmMbI3E4UkpcChjh,https://api.spotify.com/v1/audio-analysis/2mBHh6qmMbI3E4UkpcChjh,129000,4,Pretend,spotify:track:2mBHh6qmMbI3E4UkpcChjh,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
9,0.602,0.382,3,-11.869,0,0.0382,0.878,0.946,0.101,0.112,149.916,audio_features,7C3jWjgrThp6qP0KS6zZwy,spotify:track:7C3jWjgrThp6qP0KS6zZwy,https://api.spotify.com/v1/tracks/7C3jWjgrThp6qP0KS6zZwy,https://api.spotify.com/v1/audio-analysis/7C3jWjgrThp6qP0KS6zZwy,128100,4,Paper Plane,spotify:track:7C3jWjgrThp6qP0KS6zZwy,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
10,0.696,0.441,1,-11.969,1,0.0354,0.287,0.789,0.16,0.284,80.015,audio_features,675ZXlDDFj5Ldg5dLrmBqj,spotify:track:675ZXlDDFj5Ldg5dLrmBqj,https://api.spotify.com/v1/tracks/675ZXlDDFj5Ldg5dLrmBqj,https://api.spotify.com/v1/audio-analysis/675ZXlDDFj5Ldg5dLrmBqj,101398,4,Bees in my Lemonade,spotify:track:675ZXlDDFj5Ldg5dLrmBqj,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
11,0.741,0.402,6,-7.692,0,0.0277,0.307,0.548,0.0751,0.552,74.989,audio_features,1KI9Q6kMjVerTRZwzgWLms,spotify:track:1KI9Q6kMjVerTRZwzgWLms,https://api.spotify.com/v1/tracks/1KI9Q6kMjVerTRZwzgWLms,https://api.spotify.com/v1/audio-analysis/1KI9Q6kMjVerTRZwzgWLms,103404,4,Blueberry Beach,spotify:track:1KI9Q6kMjVerTRZwzgWLms,Kid Kio,5Y2wHchGaDlDsk9FPC0YSE
