,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.599,0.545,6,-8.949,0,0.559,0.108,0.0,0.362,0.347,97.018,audio_features,3qWL20TkqztXOJtMtHlwnR,spotify:track:3qWL20TkqztXOJtMtHlwnR,https://api.spotify.com/v1/tracks/3qWL20TkqztXOJtMtHlwnR,https://api.spotify.com/v1/audio-analysis/3qWL20TkqztXOJtMtHlwnR,274695,4,Stars,spotify:track:3qWL20TkqztXOJtMtHlwnR,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
1,0.473,0.543,9,-11.971,0,0.214,0.74,0.0198,0.18,0.14,89.389,audio_features,3ZRJBfHjwdYlMkvxeiKWcl,spotify:track:3ZRJBfHjwdYlMkvxeiKWcl,https://api.spotify.com/v1/tracks/3ZRJBfHjwdYlMkvxeiKWcl,https://api.spotify.com/v1/audio-analysis/3ZRJBfHjwdYlMkvxeiKWcl,236722,4,Longing,spotify:track:3ZRJBfHjwdYlMkvxeiKWcl,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
2,0.612,0.461,0,-9.525,1,0.148,0.502,0.0,0.327,0.171,112.975,audio_features,5cbfRoxel4A4hnDDy9DGbq,spotify:track:5cbfRoxel4A4hnDDy9DGbq,https://api.spotify.com/v1/tracks/5cbfRoxel4A4hnDDy9DGbq,https://api.spotify.com/v1/audio-analysis/5cbfRoxel4A4hnDDy9DGbq,320708,4,Ice Palaces,spotify:track:5cbfRoxel4A4hnDDy9DGbq,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
3,0.853,0.5,11,-7.633,0,0.141,0.0449,1.15e-05,0.0894,0.368,137.959,audio_features,3zaxNxGG7lUnjMhyDJvi8s,spotify:track:3zaxNxGG7lUnjMhyDJvi8s,https://api.spotify.com/v1/tracks/3zaxNxGG7lUnjMhyDJvi8s,https://api.spotify.com/v1/audio-analysis/3zaxNxGG7lUnjMhyDJvi8s,226957,4,Questions,spotify:track:3zaxNxGG7lUnjMhyDJvi8s,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
4,0.86,0.559,8,-8.805,0,0.154,0.0257,0.0,0.0874,0.535,109.946,audio_features,7zVg25jMFQICuQrCAm92tZ,spotify:track:7zVg25jMFQICuQrCAm92tZ,https://api.spotify.com/v1/tracks/7zVg25jMFQICuQrCAm92tZ,https://api.spotify.com/v1/audio-analysis/7zVg25jMFQICuQrCAm92tZ,212154,4,Escape,spotify:track:7zVg25jMFQICuQrCAm92tZ,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
5,0.591,0.375,2,-8.533,1,0.119,0.784,4.2e-05,0.113,0.0388,105.706,audio_features,7GyvVyf0clJeCtQV5SmwNW,spotify:track:7GyvVyf0clJeCtQV5SmwNW,https://api.spotify.com/v1/tracks/7GyvVyf0clJeCtQV5SmwNW,https://api.spotify.com/v1/audio-analysis/7GyvVyf0clJeCtQV5SmwNW,198789,5,I'm Blue,spotify:track:7GyvVyf0clJeCtQV5SmwNW,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
6,0.932,0.448,7,-9.094,1,0.33,0.0112,0.0,0.0795,0.261,122.061,audio_features,43a6t6358iWCCK7mmBzyy3,spotify:track:43a6t6358iWCCK7mmBzyy3,https://api.spotify.com/v1/tracks/43a6t6358iWCCK7mmBzyy3,https://api.spotify.com/v1/audio-analysis/43a6t6358iWCCK7mmBzyy3,221311,4,Sad Femme Club,spotify:track:43a6t6358iWCCK7mmBzyy3,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
7,0.74,0.452,0,-9.247,1,0.0425,0.31,0.000126,0.0758,0.23,66.988,audio_features,0vPYb1TZDwQv4tGpx4aedX,spotify:track:0vPYb1TZDwQv4tGpx4aedX,https://api.spotify.com/v1/tracks/0vPYb1TZDwQv4tGpx4aedX,https://api.spotify.com/v1/audio-analysis/0vPYb1TZDwQv4tGpx4aedX,238209,4,Portal,spotify:track:0vPYb1TZDwQv4tGpx4aedX,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
8,0.455,0.789,5,-7.765,0,0.442,0.0962,0.0,0.361,0.25,174.704,audio_features,3HzQW91otGREjqyHz1Grjk,spotify:track:3HzQW91otGREjqyHz1Grjk,https://api.spotify.com/v1/tracks/3HzQW91otGREjqyHz1Grjk,https://api.spotify.com/v1/audio-analysis/3HzQW91otGREjqyHz1Grjk,195500,4,88 and Beyond,spotify:track:3HzQW91otGREjqyHz1Grjk,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
9,0.924,0.561,11,-8.546,0,0.337,0.114,0.0,0.108,0.665,98.002,audio_features,1lRsHMriCHxV9vFP2uTGJl,spotify:track:1lRsHMriCHxV9vFP2uTGJl,https://api.spotify.com/v1/tracks/1lRsHMriCHxV9vFP2uTGJl,https://api.spotify.com/v1/audio-analysis/1lRsHMriCHxV9vFP2uTGJl,168367,4,Activation,spotify:track:1lRsHMriCHxV9vFP2uTGJl,Kimmortal,0ioYxkShKhYOKpQh0ERVFS
