,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.533,0.591,8,-6.523,0,0.0607,0.559,0.0214,0.103,0.49,132.252,audio_features,3vaaVAhBwB0BunoAUIuyic,spotify:track:3vaaVAhBwB0BunoAUIuyic,https://api.spotify.com/v1/tracks/3vaaVAhBwB0BunoAUIuyic,https://api.spotify.com/v1/audio-analysis/3vaaVAhBwB0BunoAUIuyic,223507,3,Tough On Myself,spotify:track:3vaaVAhBwB0BunoAUIuyic,King Princess,6beUvFUlKliUYJdLOXNj9C
1,0.655,0.677,11,-5.668,1,0.0388,0.283,0.0269,0.57,0.782,114.912,audio_features,5FoGDwLdeKtmdzCAizb58f,spotify:track:5FoGDwLdeKtmdzCAizb58f,https://api.spotify.com/v1/tracks/5FoGDwLdeKtmdzCAizb58f,https://api.spotify.com/v1/audio-analysis/5FoGDwLdeKtmdzCAizb58f,76280,4,Useless Phrases,spotify:track:5FoGDwLdeKtmdzCAizb58f,King Princess,6beUvFUlKliUYJdLOXNj9C
2,0.704,0.502,1,-6.272,1,0.137,0.743,2.44e-05,0.113,0.501,87.013,audio_features,7tuqDd7TWkyBxXnPNu9lcI,spotify:track:7tuqDd7TWkyBxXnPNu9lcI,https://api.spotify.com/v1/tracks/7tuqDd7TWkyBxXnPNu9lcI,https://api.spotify.com/v1/audio-analysis/7tuqDd7TWkyBxXnPNu9lcI,161947,4,Cheap Queen,spotify:track:7tuqDd7TWkyBxXnPNu9lcI,King Princess,6beUvFUlKliUYJdLOXNj9C
3,0.714,0.658,0,-5.497,1,0.0315,0.267,0.0,0.176,0.766,81.553,audio_features,19GNKzUEcHVZqXzV35V2dJ,spotify:track:19GNKzUEcHVZqXzV35V2dJ,https://api.spotify.com/v1/tracks/19GNKzUEcHVZqXzV35V2dJ,https://api.spotify.com/v1/audio-analysis/19GNKzUEcHVZqXzV35V2dJ,202280,4,Ain't Together,spotify:track:19GNKzUEcHVZqXzV35V2dJ,King Princess,6beUvFUlKliUYJdLOXNj9C
4,0.589,0.559,1,-8.167,0,0.212,0.809,0.000585,0.103,0.312,129.801,audio_features,6UxU84SbSxqb6ZD4q6lnkN,spotify:track:6UxU84SbSxqb6ZD4q6lnkN,https://api.spotify.com/v1/tracks/6UxU84SbSxqb6ZD4q6lnkN,https://api.spotify.com/v1/audio-analysis/6UxU84SbSxqb6ZD4q6lnkN,105587,4,Do You Wanna See Me Crying?,spotify:track:6UxU84SbSxqb6ZD4q6lnkN,King Princess,6beUvFUlKliUYJdLOXNj9C
5,0.59,0.423,0,-6.969,1,0.0301,0.355,1.57e-06,0.156,0.148,124.874,audio_features,3i5giNIftEaDShtbomT1g2,spotify:track:3i5giNIftEaDShtbomT1g2,https://api.spotify.com/v1/tracks/3i5giNIftEaDShtbomT1g2,https://api.spotify.com/v1/audio-analysis/3i5giNIftEaDShtbomT1g2,181067,3,Homegirl,spotify:track:3i5giNIftEaDShtbomT1g2,King Princess,6beUvFUlKliUYJdLOXNj9C
6,0.516,0.833,2,-3.046,1,0.108,0.116,0.000414,0.0993,0.605,166.007,audio_features,57nC9EAQQpNpGzcoQq4FPu,spotify:track:57nC9EAQQpNpGzcoQq4FPu,https://api.spotify.com/v1/tracks/57nC9EAQQpNpGzcoQq4FPu,https://api.spotify.com/v1/audio-analysis/57nC9EAQQpNpGzcoQq4FPu,249773,4,Prophet,spotify:track:57nC9EAQQpNpGzcoQq4FPu,King Princess,6beUvFUlKliUYJdLOXNj9C
7,0.344,0.334,6,-8.235,0,0.0389,0.934,0.0504,0.101,0.104,133.658,audio_features,0yq6J8t1Dulzvlg0GyALjy,spotify:track:0yq6J8t1Dulzvlg0GyALjy,https://api.spotify.com/v1/tracks/0yq6J8t1Dulzvlg0GyALjy,https://api.spotify.com/v1/audio-analysis/0yq6J8t1Dulzvlg0GyALjy,133493,4,"Isabel's Moment (feat. Tobias Jesso, Jr.)",spotify:track:0yq6J8t1Dulzvlg0GyALjy,King Princess,6beUvFUlKliUYJdLOXNj9C
8,0.609,0.911,6,-4.219,1,0.0745,0.118,0.000605,0.135,0.611,79.987,audio_features,6fXsaYU6qPZeiVLUZcpZNl,spotify:track:6fXsaYU6qPZeiVLUZcpZNl,https://api.spotify.com/v1/tracks/6fXsaYU6qPZeiVLUZcpZNl,https://api.spotify.com/v1/audio-analysis/6fXsaYU6qPZeiVLUZcpZNl,195067,4,Trust Nobody,spotify:track:6fXsaYU6qPZeiVLUZcpZNl,King Princess,6beUvFUlKliUYJdLOXNj9C
9,0.605,0.353,11,-6.855,0,0.0307,0.754,9.47e-05,0.0879,0.135,119.485,audio_features,3aznQYcAHbzbVs6FMbYNSr,spotify:track:3aznQYcAHbzbVs6FMbYNSr,https://api.spotify.com/v1/tracks/3aznQYcAHbzbVs6FMbYNSr,https://api.spotify.com/v1/audio-analysis/3aznQYcAHbzbVs6FMbYNSr,180027,4,Watching My Phone,spotify:track:3aznQYcAHbzbVs6FMbYNSr,King Princess,6beUvFUlKliUYJdLOXNj9C
10,0.439,0.858,9,-4.645,0,0.166,0.187,0.042,0.0707,0.767,203.911,audio_features,4LqNX66HrbvI6ZirFVVswF,spotify:track:4LqNX66HrbvI6ZirFVVswF,https://api.spotify.com/v1/tracks/4LqNX66HrbvI6ZirFVVswF,https://api.spotify.com/v1/audio-analysis/4LqNX66HrbvI6ZirFVVswF,220747,4,You Destroyed My Heart,spotify:track:4LqNX66HrbvI6ZirFVVswF,King Princess,6beUvFUlKliUYJdLOXNj9C
11,0.578,0.784,7,-5.38,1,0.0905,0.106,0.00134,0.126,0.254,113.452,audio_features,3SP8bUtudlP0xkBdrzqxuE,spotify:track:3SP8bUtudlP0xkBdrzqxuE,https://api.spotify.com/v1/tracks/3SP8bUtudlP0xkBdrzqxuE,https://api.spotify.com/v1/audio-analysis/3SP8bUtudlP0xkBdrzqxuE,203827,4,Hit the Back,spotify:track:3SP8bUtudlP0xkBdrzqxuE,King Princess,6beUvFUlKliUYJdLOXNj9C
