,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.677,0.878,2,-6.634,1,0.0364,0.00156,0.808,0.109,0.0776,126.982,audio_features,2ZhLCyNK6Fzbph6D7quCAS,spotify:track:2ZhLCyNK6Fzbph6D7quCAS,https://api.spotify.com/v1/tracks/2ZhLCyNK6Fzbph6D7quCAS,https://api.spotify.com/v1/audio-analysis/2ZhLCyNK6Fzbph6D7quCAS,458973,4,Love Frequency - Tom Rowlands Remix,spotify:track:2ZhLCyNK6Fzbph6D7quCAS,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
1,0.2,0.873,9,-4.331,1,0.0628,4.64e-05,0.00289,0.055,0.345,123.758,audio_features,4wG4bEcYGV4UeeDK1l6Mmj,spotify:track:4wG4bEcYGV4UeeDK1l6Mmj,https://api.spotify.com/v1/tracks/4wG4bEcYGV4UeeDK1l6Mmj,https://api.spotify.com/v1/audio-analysis/4wG4bEcYGV4UeeDK1l6Mmj,228312,4,Echoes,spotify:track:4wG4bEcYGV4UeeDK1l6Mmj,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
2,0.339,0.954,7,-3.295,0,0.0582,0.00107,9.74e-05,0.342,0.641,78.66,audio_features,3BAmLOKlNsvgrgPewr4swg,spotify:track:3BAmLOKlNsvgrgPewr4swg,https://api.spotify.com/v1/tracks/3BAmLOKlNsvgrgPewr4swg,https://api.spotify.com/v1/audio-analysis/3BAmLOKlNsvgrgPewr4swg,192173,4,The Same Space,spotify:track:3BAmLOKlNsvgrgPewr4swg,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
3,0.263,0.955,11,-3.361,0,0.16,0.00666,2.14e-06,0.159,0.434,129.009,audio_features,097Vjf1FO5xpVvbDeIcB83,spotify:track:097Vjf1FO5xpVvbDeIcB83,https://api.spotify.com/v1/tracks/097Vjf1FO5xpVvbDeIcB83,https://api.spotify.com/v1/audio-analysis/097Vjf1FO5xpVvbDeIcB83,157626,3,Surfing The Void,spotify:track:097Vjf1FO5xpVvbDeIcB83,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
4,0.275,0.98,9,-3.859,0,0.143,0.008,0.0,0.686,0.466,173.257,audio_features,2ASyO6LA7oaYJewf3CSA4R,spotify:track:2ASyO6LA7oaYJewf3CSA4R,https://api.spotify.com/v1/tracks/2ASyO6LA7oaYJewf3CSA4R,https://api.spotify.com/v1/audio-analysis/2ASyO6LA7oaYJewf3CSA4R,197061,4,Valley Of The Calm Trees,spotify:track:2ASyO6LA7oaYJewf3CSA4R,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
5,0.411,0.936,2,-4.273,1,0.0563,0.00143,0.00518,0.0371,0.272,116.72,audio_features,1xHhmaZYqWgYiuaOxmLXGJ,spotify:track:1xHhmaZYqWgYiuaOxmLXGJ,https://api.spotify.com/v1/tracks/1xHhmaZYqWgYiuaOxmLXGJ,https://api.spotify.com/v1/audio-analysis/1xHhmaZYqWgYiuaOxmLXGJ,248018,4,Venusia,spotify:track:1xHhmaZYqWgYiuaOxmLXGJ,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
6,0.243,0.983,0,-3.578,1,0.208,0.000279,0.00087,0.183,0.23,132.603,audio_features,1YADXiBSmvBrwKhoTLtXhY,spotify:track:1YADXiBSmvBrwKhoTLtXhY,https://api.spotify.com/v1/tracks/1YADXiBSmvBrwKhoTLtXhY,https://api.spotify.com/v1/audio-analysis/1YADXiBSmvBrwKhoTLtXhY,197542,4,Extra Astronomical,spotify:track:1YADXiBSmvBrwKhoTLtXhY,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
7,0.425,0.948,6,-4.008,0,0.083,0.00044,0.0,0.658,0.52,105.057,audio_features,64DIOHRA5QBCBm0ouh7Iev,spotify:track:64DIOHRA5QBCBm0ouh7Iev,https://api.spotify.com/v1/tracks/64DIOHRA5QBCBm0ouh7Iev,https://api.spotify.com/v1/audio-analysis/64DIOHRA5QBCBm0ouh7Iev,251619,4,Twin Flames,spotify:track:64DIOHRA5QBCBm0ouh7Iev,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
8,0.367,0.988,10,-4.331,1,0.183,0.000613,5.23e-06,0.589,0.137,140.332,audio_features,6ikA3qggFrGEjbF8WCwjhA,spotify:track:6ikA3qggFrGEjbF8WCwjhA,https://api.spotify.com/v1/tracks/6ikA3qggFrGEjbF8WCwjhA,https://api.spotify.com/v1/audio-analysis/6ikA3qggFrGEjbF8WCwjhA,316488,4,Flashover,spotify:track:6ikA3qggFrGEjbF8WCwjhA,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
9,0.429,0.91,9,-3.76,0,0.0469,0.000514,0.000183,0.317,0.45,127.162,audio_features,0h6zw93LgL9nYPD3KQDixs,spotify:track:0h6zw93LgL9nYPD3KQDixs,https://api.spotify.com/v1/tracks/0h6zw93LgL9nYPD3KQDixs,https://api.spotify.com/v1/audio-analysis/0h6zw93LgL9nYPD3KQDixs,223187,4,Future Memories,spotify:track:0h6zw93LgL9nYPD3KQDixs,Klaxons,2qlAMLpUyBjZgnzuFXXZXI
