,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.89,0.497,1,-8.648,1,0.458,0.0742,5.61e-06,0.139,0.533,154.91,audio_features,0SAmBTm0jPCpKCCCCjIvtS,spotify:track:0SAmBTm0jPCpKCCCCjIvtS,https://api.spotify.com/v1/tracks/0SAmBTm0jPCpKCCCCjIvtS,https://api.spotify.com/v1/audio-analysis/0SAmBTm0jPCpKCCCCjIvtS,173431,4,Round The Roses,spotify:track:0SAmBTm0jPCpKCCCCjIvtS,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
1,0.956,0.465,1,-6.368,1,0.0578,0.034,0.0,0.0951,0.579,123.031,audio_features,6GKULvjhIhS3Hvv3vqN4xK,spotify:track:6GKULvjhIhS3Hvv3vqN4xK,https://api.spotify.com/v1/tracks/6GKULvjhIhS3Hvv3vqN4xK,https://api.spotify.com/v1/audio-analysis/6GKULvjhIhS3Hvv3vqN4xK,156113,4,Z Look Jamaican,spotify:track:6GKULvjhIhS3Hvv3vqN4xK,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
2,0.909,0.514,10,-8.563,1,0.212,0.184,0.0,0.0759,0.805,142.013,audio_features,0UVvyKARPfM6MISVAzMdyg,spotify:track:0UVvyKARPfM6MISVAzMdyg,https://api.spotify.com/v1/tracks/0UVvyKARPfM6MISVAzMdyg,https://api.spotify.com/v1/audio-analysis/0UVvyKARPfM6MISVAzMdyg,131809,4,Basement on Fire,spotify:track:0UVvyKARPfM6MISVAzMdyg,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
3,0.678,0.558,0,-7.1,1,0.11,0.00186,0.0,0.267,0.178,136.97,audio_features,1qtnG1M9L6v5j0NzTefbDY,spotify:track:1qtnG1M9L6v5j0NzTefbDY,https://api.spotify.com/v1/tracks/1qtnG1M9L6v5j0NzTefbDY,https://api.spotify.com/v1/audio-analysis/1qtnG1M9L6v5j0NzTefbDY,213723,4,Dejanbem,spotify:track:1qtnG1M9L6v5j0NzTefbDY,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
4,0.474,0.512,10,-6.045,1,0.13,0.0243,0.0,0.251,0.337,73.458,audio_features,7ho9FDkJ1exkbLO6MvwnxE,spotify:track:7ho9FDkJ1exkbLO6MvwnxE,https://api.spotify.com/v1/tracks/7ho9FDkJ1exkbLO6MvwnxE,https://api.spotify.com/v1/audio-analysis/7ho9FDkJ1exkbLO6MvwnxE,169402,1,Dirty K,spotify:track:7ho9FDkJ1exkbLO6MvwnxE,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
5,0.847,0.665,8,-5.984,1,0.263,0.0382,1.54e-06,0.106,0.495,136.011,audio_features,0qlf1CBlqH9d8qnK5wzrSg,spotify:track:0qlf1CBlqH9d8qnK5wzrSg,https://api.spotify.com/v1/tracks/0qlf1CBlqH9d8qnK5wzrSg,https://api.spotify.com/v1/audio-analysis/0qlf1CBlqH9d8qnK5wzrSg,171867,4,Maffioso,spotify:track:0qlf1CBlqH9d8qnK5wzrSg,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
6,0.716,0.263,0,-11.217,1,0.906,0.461,0.0,0.561,0.198,125.626,audio_features,7vfVIEOztwMK3CUmuL7dFX,spotify:track:7vfVIEOztwMK3CUmuL7dFX,https://api.spotify.com/v1/tracks/7vfVIEOztwMK3CUmuL7dFX,https://api.spotify.com/v1/audio-analysis/7vfVIEOztwMK3CUmuL7dFX,131919,1,Oracle,spotify:track:7vfVIEOztwMK3CUmuL7dFX,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
7,0.77,0.617,4,-7.304,0,0.382,0.0467,0.0,0.205,0.245,159.942,audio_features,5uGBlA7PxMhRLkQxHSwxV9,spotify:track:5uGBlA7PxMhRLkQxHSwxV9,https://api.spotify.com/v1/tracks/5uGBlA7PxMhRLkQxHSwxV9,https://api.spotify.com/v1/audio-analysis/5uGBlA7PxMhRLkQxHSwxV9,156000,4,Don’t Leave Me,spotify:track:5uGBlA7PxMhRLkQxHSwxV9,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
8,0.78,0.712,11,-3.624,0,0.0598,0.155,0.0,0.334,0.0757,135.009,audio_features,1Z3aYTJH4HZNUF3HDRDvJl,spotify:track:1Z3aYTJH4HZNUF3HDRDvJl,https://api.spotify.com/v1/tracks/1Z3aYTJH4HZNUF3HDRDvJl,https://api.spotify.com/v1/audio-analysis/1Z3aYTJH4HZNUF3HDRDvJl,203892,4,Remember The Times,spotify:track:1Z3aYTJH4HZNUF3HDRDvJl,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
9,0.895,0.83,10,-4.87,1,0.112,0.0449,0.0,0.438,0.609,116.011,audio_features,2uUQMxcZUgR59AmRB8iHMb,spotify:track:2uUQMxcZUgR59AmRB8iHMb,https://api.spotify.com/v1/tracks/2uUQMxcZUgR59AmRB8iHMb,https://api.spotify.com/v1/audio-analysis/2uUQMxcZUgR59AmRB8iHMb,112813,5,I Wanna Live,spotify:track:2uUQMxcZUgR59AmRB8iHMb,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
