,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.514,0.614,4,-5.983,1,0.0299,0.142,0.0,0.0867,0.341,126.004,audio_features,2WrbYYLpHqdqZB4AMtz0JQ,spotify:track:2WrbYYLpHqdqZB4AMtz0JQ,https://api.spotify.com/v1/tracks/2WrbYYLpHqdqZB4AMtz0JQ,https://api.spotify.com/v1/audio-analysis/2WrbYYLpHqdqZB4AMtz0JQ,185005,4,Wherever You Are,spotify:track:2WrbYYLpHqdqZB4AMtz0JQ,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
1,0.56,0.734,1,-6.357,1,0.0267,0.00365,0.0,0.347,0.474,94.99,audio_features,0w4orPDl9AkzImGz9petEZ,spotify:track:0w4orPDl9AkzImGz9petEZ,https://api.spotify.com/v1/tracks/0w4orPDl9AkzImGz9petEZ,https://api.spotify.com/v1/audio-analysis/0w4orPDl9AkzImGz9petEZ,228275,4,Sometimes,spotify:track:0w4orPDl9AkzImGz9petEZ,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
2,0.449,0.718,3,-5.95,1,0.0295,0.0299,0.0,0.0942,0.368,156.063,audio_features,3U9yedkwZMmbSIWYDNpjrF,spotify:track:3U9yedkwZMmbSIWYDNpjrF,https://api.spotify.com/v1/tracks/3U9yedkwZMmbSIWYDNpjrF,https://api.spotify.com/v1/audio-analysis/3U9yedkwZMmbSIWYDNpjrF,230899,4,Saving Grace,spotify:track:3U9yedkwZMmbSIWYDNpjrF,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
3,0.34,0.353,4,-9.079,1,0.0308,0.0449,0.0,0.167,0.22,103.883,audio_features,5udT3brntv80xxxHRTJMvW,spotify:track:5udT3brntv80xxxHRTJMvW,https://api.spotify.com/v1/tracks/5udT3brntv80xxxHRTJMvW,https://api.spotify.com/v1/audio-analysis/5udT3brntv80xxxHRTJMvW,233999,4,Say Something,spotify:track:5udT3brntv80xxxHRTJMvW,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
4,0.5,0.614,11,-8.052,1,0.0339,0.0235,0.000479,0.0705,0.213,120.009,audio_features,17mFOSXiGNYU2GL507KKq4,spotify:track:17mFOSXiGNYU2GL507KKq4,https://api.spotify.com/v1/tracks/17mFOSXiGNYU2GL507KKq4,https://api.spotify.com/v1/audio-analysis/17mFOSXiGNYU2GL507KKq4,260190,4,The Evening,spotify:track:17mFOSXiGNYU2GL507KKq4,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
5,0.209,0.343,1,-10.759,1,0.0322,0.698,1.71e-05,0.0832,0.369,172.32,audio_features,0IQ4t8040kaaMYZYlbJvgq,spotify:track:0IQ4t8040kaaMYZYlbJvgq,https://api.spotify.com/v1/tracks/0IQ4t8040kaaMYZYlbJvgq,https://api.spotify.com/v1/audio-analysis/0IQ4t8040kaaMYZYlbJvgq,200201,3,Spend It with You,spotify:track:0IQ4t8040kaaMYZYlbJvgq,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
6,0.475,0.688,11,-6.831,1,0.045,0.374,0.0,0.148,0.263,167.962,audio_features,6fQHCwrXw0i62zrzB98ygJ,spotify:track:6fQHCwrXw0i62zrzB98ygJ,https://api.spotify.com/v1/tracks/6fQHCwrXw0i62zrzB98ygJ,https://api.spotify.com/v1/audio-analysis/6fQHCwrXw0i62zrzB98ygJ,179814,4,Care,spotify:track:6fQHCwrXw0i62zrzB98ygJ,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
7,0.476,0.44,6,-10.884,0,0.0319,0.749,0.00352,0.171,0.0977,117.066,audio_features,5AUfd7OI3XV9qZLpuhE3zR,spotify:track:5AUfd7OI3XV9qZLpuhE3zR,https://api.spotify.com/v1/tracks/5AUfd7OI3XV9qZLpuhE3zR,https://api.spotify.com/v1/audio-analysis/5AUfd7OI3XV9qZLpuhE3zR,208238,4,Heart Open,spotify:track:5AUfd7OI3XV9qZLpuhE3zR,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
8,0.455,0.612,8,-8.373,1,0.045,0.42,0.000413,0.0958,0.302,143.994,audio_features,2ga3sXU4lvOFJlaAZckQGh,spotify:track:2ga3sXU4lvOFJlaAZckQGh,https://api.spotify.com/v1/tracks/2ga3sXU4lvOFJlaAZckQGh,https://api.spotify.com/v1/audio-analysis/2ga3sXU4lvOFJlaAZckQGh,208957,4,Everyone Changes,spotify:track:2ga3sXU4lvOFJlaAZckQGh,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
9,0.532,0.252,4,-14.285,1,0.0334,0.937,0.000931,0.12,0.193,115.805,audio_features,3wpwHPztnUvhSDG8ZILQlF,spotify:track:3wpwHPztnUvhSDG8ZILQlF,https://api.spotify.com/v1/tracks/3wpwHPztnUvhSDG8ZILQlF,https://api.spotify.com/v1/audio-analysis/3wpwHPztnUvhSDG8ZILQlF,209688,4,In the End,spotify:track:3wpwHPztnUvhSDG8ZILQlF,Kodaline,4BxCuXFJrSWGi1KHcVqaU4
