,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.555,0.642,6,-12.532,0,0.0373,0.0307,0.848,0.103,0.0686,127.011,audio_features,2zRLIXASgmNTd0jACYQHTP,spotify:track:2zRLIXASgmNTd0jACYQHTP,https://api.spotify.com/v1/tracks/2zRLIXASgmNTd0jACYQHTP,https://api.spotify.com/v1/audio-analysis/2zRLIXASgmNTd0jACYQHTP,362734,4,6PHe03,spotify:track:2zRLIXASgmNTd0jACYQHTP,Koltbach,7Gh2MFtYW3bviFGoult3NI
1,0.417,0.767,4,-10.903,1,0.0382,0.825,0.892,0.113,0.127,118.006,audio_features,0KZQuzWsNJYcFZgB00iCqY,spotify:track:0KZQuzWsNJYcFZgB00iCqY,https://api.spotify.com/v1/tracks/0KZQuzWsNJYcFZgB00iCqY,https://api.spotify.com/v1/audio-analysis/0KZQuzWsNJYcFZgB00iCqY,253389,4,4CFe13,spotify:track:0KZQuzWsNJYcFZgB00iCqY,Koltbach,7Gh2MFtYW3bviFGoult3NI
2,0.777,0.639,1,-12.025,1,0.0844,0.0179,0.888,0.0784,0.374,126.997,audio_features,2iQeDAqnTr8cLNSFvyFM9d,spotify:track:2iQeDAqnTr8cLNSFvyFM9d,https://api.spotify.com/v1/tracks/2iQeDAqnTr8cLNSFvyFM9d,https://api.spotify.com/v1/audio-analysis/2iQeDAqnTr8cLNSFvyFM9d,370329,4,6PMo10,spotify:track:2iQeDAqnTr8cLNSFvyFM9d,Koltbach,7Gh2MFtYW3bviFGoult3NI
3,0.569,0.427,4,-15.833,0,0.0428,0.772,0.91,0.113,0.0566,120.006,audio_features,64UjbJeJ9seGV8ZeevsEfj,spotify:track:64UjbJeJ9seGV8ZeevsEfj,https://api.spotify.com/v1/tracks/64UjbJeJ9seGV8ZeevsEfj,https://api.spotify.com/v1/audio-analysis/64UjbJeJ9seGV8ZeevsEfj,372176,4,6PMr12,spotify:track:64UjbJeJ9seGV8ZeevsEfj,Koltbach,7Gh2MFtYW3bviFGoult3NI
4,0.743,0.689,8,-10.129,0,0.038,0.415,0.879,0.139,0.531,126.99,audio_features,3uR8YiFfS3BLo6irJb3ULi,spotify:track:3uR8YiFfS3BLo6irJb3ULi,https://api.spotify.com/v1/tracks/3uR8YiFfS3BLo6irJb3ULi,https://api.spotify.com/v1/audio-analysis/3uR8YiFfS3BLo6irJb3ULi,321599,4,5PFe21,spotify:track:3uR8YiFfS3BLo6irJb3ULi,Koltbach,7Gh2MFtYW3bviFGoult3NI
5,0.716,0.685,9,-9.544,0,0.0479,0.0614,0.696,0.0681,0.146,123.984,audio_features,5Y7MyQwmEBqAkvQEdwi8Av,spotify:track:5Y7MyQwmEBqAkvQEdwi8Av,https://api.spotify.com/v1/tracks/5Y7MyQwmEBqAkvQEdwi8Av,https://api.spotify.com/v1/audio-analysis/5Y7MyQwmEBqAkvQEdwi8Av,442476,4,7RFl22,spotify:track:5Y7MyQwmEBqAkvQEdwi8Av,Koltbach,7Gh2MFtYW3bviFGoult3NI
6,0.426,0.733,6,-13.733,0,0.0497,0.534,0.833,0.0682,0.164,99.908,audio_features,5Ua4dxLCDYemOQ4qCFPUx7,spotify:track:5Ua4dxLCDYemOQ4qCFPUx7,https://api.spotify.com/v1/tracks/5Ua4dxLCDYemOQ4qCFPUx7,https://api.spotify.com/v1/audio-analysis/5Ua4dxLCDYemOQ4qCFPUx7,235001,4,3PNa55,spotify:track:5Ua4dxLCDYemOQ4qCFPUx7,Koltbach,7Gh2MFtYW3bviFGoult3NI
7,0.672,0.448,4,-13.66,1,0.0322,0.489,0.915,0.0887,0.227,126.999,audio_features,6n26Vb9GTZwERNcRAxal85,spotify:track:6n26Vb9GTZwERNcRAxal85,https://api.spotify.com/v1/tracks/6n26Vb9GTZwERNcRAxal85,https://api.spotify.com/v1/audio-analysis/6n26Vb9GTZwERNcRAxal85,280871,4,4PMa40,spotify:track:6n26Vb9GTZwERNcRAxal85,Koltbach,7Gh2MFtYW3bviFGoult3NI
8,0.68,0.73,8,-8.896,0,0.0773,0.038,0.126,0.139,0.222,118.082,audio_features,3ExoDoQQQiMdCE476Fc6Dy,spotify:track:3ExoDoQQQiMdCE476Fc6Dy,https://api.spotify.com/v1/tracks/3ExoDoQQQiMdCE476Fc6Dy,https://api.spotify.com/v1/audio-analysis/3ExoDoQQQiMdCE476Fc6Dy,142187,4,2CTy22,spotify:track:3ExoDoQQQiMdCE476Fc6Dy,Koltbach,7Gh2MFtYW3bviFGoult3NI
9,0.749,0.69,8,-10.299,0,0.0371,0.0227,0.862,0.304,0.463,127.04,audio_features,6F4Ihn9j1WeNvI4fED4qi4,spotify:track:6F4Ihn9j1WeNvI4fED4qi4,https://api.spotify.com/v1/tracks/6F4Ihn9j1WeNvI4fED4qi4,https://api.spotify.com/v1/audio-analysis/6F4Ihn9j1WeNvI4fED4qi4,192759,4,3PBr12,spotify:track:6F4Ihn9j1WeNvI4fED4qi4,Koltbach,7Gh2MFtYW3bviFGoult3NI
10,0.666,0.488,11,-11.684,0,0.0372,0.216,0.861,0.139,0.289,122.993,audio_features,5MuWQq1UpmiUNUJuOgaLmN,spotify:track:5MuWQq1UpmiUNUJuOgaLmN,https://api.spotify.com/v1/tracks/5MuWQq1UpmiUNUJuOgaLmN,https://api.spotify.com/v1/audio-analysis/5MuWQq1UpmiUNUJuOgaLmN,455347,4,7PSa35,spotify:track:5MuWQq1UpmiUNUJuOgaLmN,Koltbach,7Gh2MFtYW3bviFGoult3NI
