,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.481,0.804,5,-6.431,0,0.0512,3.49e-05,0.306,0.368,0.42,124.977,audio_features,0IQEb8COH2gimdm9n7bBK1,spotify:track:0IQEb8COH2gimdm9n7bBK1,https://api.spotify.com/v1/tracks/0IQEb8COH2gimdm9n7bBK1,https://api.spotify.com/v1/audio-analysis/0IQEb8COH2gimdm9n7bBK1,90720,4,The End Begins,spotify:track:0IQEb8COH2gimdm9n7bBK1,Korn,3RNrq3jvMZxD9ZyoOZbQOD
1,0.408,0.92,2,-3.082,1,0.141,0.00197,0.00106,0.0751,0.337,101.44,audio_features,5KVISJL93AgXcQG0WRJ3Gq,spotify:track:5KVISJL93AgXcQG0WRJ3Gq,https://api.spotify.com/v1/tracks/5KVISJL93AgXcQG0WRJ3Gq,https://api.spotify.com/v1/audio-analysis/5KVISJL93AgXcQG0WRJ3Gq,225732,3,Cold,spotify:track:5KVISJL93AgXcQG0WRJ3Gq,Korn,3RNrq3jvMZxD9ZyoOZbQOD
2,0.581,0.903,8,-5.013,1,0.0786,9.07e-05,0.124,0.187,0.177,107.028,audio_features,0xcF2mC6MktbXOT7kRiXoF,spotify:track:0xcF2mC6MktbXOT7kRiXoF,https://api.spotify.com/v1/tracks/0xcF2mC6MktbXOT7kRiXoF,https://api.spotify.com/v1/audio-analysis/0xcF2mC6MktbXOT7kRiXoF,220881,4,You'll Never Find Me,spotify:track:0xcF2mC6MktbXOT7kRiXoF,Korn,3RNrq3jvMZxD9ZyoOZbQOD
3,0.551,0.957,2,-3.609,1,0.0986,0.000378,0.023,0.349,0.148,104.988,audio_features,3PpoBKcbnoGQudHGkwJA4C,spotify:track:3PpoBKcbnoGQudHGkwJA4C,https://api.spotify.com/v1/tracks/3PpoBKcbnoGQudHGkwJA4C,https://api.spotify.com/v1/audio-analysis/3PpoBKcbnoGQudHGkwJA4C,220055,4,The Darkness is Revealing,spotify:track:3PpoBKcbnoGQudHGkwJA4C,Korn,3RNrq3jvMZxD9ZyoOZbQOD
4,0.618,0.915,7,-3.519,1,0.0384,0.000343,0.595,0.128,0.361,122.043,audio_features,324feiafM58soZXlBMVT1u,spotify:track:324feiafM58soZXlBMVT1u,https://api.spotify.com/v1/tracks/324feiafM58soZXlBMVT1u,https://api.spotify.com/v1/audio-analysis/324feiafM58soZXlBMVT1u,278925,4,Idiosyncrasy,spotify:track:324feiafM58soZXlBMVT1u,Korn,3RNrq3jvMZxD9ZyoOZbQOD
5,0.702,0.718,0,-6.445,1,0.0509,0.0129,0.00144,0.0858,0.457,120.034,audio_features,4TQMrjNglepW8qyG9WOhld,spotify:track:4TQMrjNglepW8qyG9WOhld,https://api.spotify.com/v1/tracks/4TQMrjNglepW8qyG9WOhld,https://api.spotify.com/v1/audio-analysis/4TQMrjNglepW8qyG9WOhld,102885,4,The Seduction of Indulgence,spotify:track:4TQMrjNglepW8qyG9WOhld,Korn,3RNrq3jvMZxD9ZyoOZbQOD
6,0.589,0.983,11,-4.023,0,0.135,0.0138,2.01e-06,0.0876,0.0996,106.054,audio_features,2l8w820sB8uOrrWwyNlzaZ,spotify:track:2l8w820sB8uOrrWwyNlzaZ,https://api.spotify.com/v1/tracks/2l8w820sB8uOrrWwyNlzaZ,https://api.spotify.com/v1/audio-analysis/2l8w820sB8uOrrWwyNlzaZ,233421,4,Finally Free,spotify:track:2l8w820sB8uOrrWwyNlzaZ,Korn,3RNrq3jvMZxD9ZyoOZbQOD
7,0.567,0.925,2,-4.131,1,0.0446,0.000316,0.0235,0.186,0.457,120.057,audio_features,5VXeawVov6ikGAaT0If8n9,spotify:track:5VXeawVov6ikGAaT0If8n9,https://api.spotify.com/v1/tracks/5VXeawVov6ikGAaT0If8n9,https://api.spotify.com/v1/audio-analysis/5VXeawVov6ikGAaT0If8n9,172867,4,Can You Hear Me,spotify:track:5VXeawVov6ikGAaT0If8n9,Korn,3RNrq3jvMZxD9ZyoOZbQOD
8,0.599,0.962,5,-3.615,1,0.0798,0.00178,0.000333,0.0893,0.43,95.021,audio_features,4QJF3PvtxWQ4LVOTmjTPC8,spotify:track:4QJF3PvtxWQ4LVOTmjTPC8,https://api.spotify.com/v1/tracks/4QJF3PvtxWQ4LVOTmjTPC8,https://api.spotify.com/v1/audio-analysis/4QJF3PvtxWQ4LVOTmjTPC8,180724,4,The Ringmaster,spotify:track:4QJF3PvtxWQ4LVOTmjTPC8,Korn,3RNrq3jvMZxD9ZyoOZbQOD
9,0.622,0.898,1,-3.78,0,0.0463,0.0002,0.0109,0.0516,0.511,97.037,audio_features,452Q1DpbgvxBGidPqYICcc,spotify:track:452Q1DpbgvxBGidPqYICcc,https://api.spotify.com/v1/tracks/452Q1DpbgvxBGidPqYICcc,https://api.spotify.com/v1/audio-analysis/452Q1DpbgvxBGidPqYICcc,214849,4,Gravity of Discomfort,spotify:track:452Q1DpbgvxBGidPqYICcc,Korn,3RNrq3jvMZxD9ZyoOZbQOD
10,0.438,0.977,2,-4.086,1,0.194,0.000196,0.0641,0.211,0.155,188.038,audio_features,3CrRFQfOIek5ImjatYqfx0,spotify:track:3CrRFQfOIek5ImjatYqfx0,https://api.spotify.com/v1/tracks/3CrRFQfOIek5ImjatYqfx0,https://api.spotify.com/v1/audio-analysis/3CrRFQfOIek5ImjatYqfx0,287363,4,H@rd3r,spotify:track:3CrRFQfOIek5ImjatYqfx0,Korn,3RNrq3jvMZxD9ZyoOZbQOD
11,0.546,0.942,9,-3.619,1,0.0903,0.0023,0.0235,0.118,0.304,94.005,audio_features,6Um6eK3ODYd8Our3PnJUEf,spotify:track:6Um6eK3ODYd8Our3PnJUEf,https://api.spotify.com/v1/tracks/6Um6eK3ODYd8Our3PnJUEf,https://api.spotify.com/v1/audio-analysis/6Um6eK3ODYd8Our3PnJUEf,281182,4,This Loss,spotify:track:6Um6eK3ODYd8Our3PnJUEf,Korn,3RNrq3jvMZxD9ZyoOZbQOD
12,0.682,0.686,1,-7.026,1,0.0322,0.141,0.0141,0.0864,0.118,120.05,audio_features,1pGOKSBqXhwkREvVYdrA0w,spotify:track:1pGOKSBqXhwkREvVYdrA0w,https://api.spotify.com/v1/tracks/1pGOKSBqXhwkREvVYdrA0w,https://api.spotify.com/v1/audio-analysis/1pGOKSBqXhwkREvVYdrA0w,141086,4,Surrender to Failure,spotify:track:1pGOKSBqXhwkREvVYdrA0w,Korn,3RNrq3jvMZxD9ZyoOZbQOD
13,0.503,0.905,11,-3.985,0,0.0517,1.05e-05,0.113,0.277,0.334,93.989,audio_features,6dzbHbDS3htE0Xr0FkELFK,spotify:track:6dzbHbDS3htE0Xr0FkELFK,https://api.spotify.com/v1/tracks/6dzbHbDS3htE0Xr0FkELFK,https://api.spotify.com/v1/audio-analysis/6dzbHbDS3htE0Xr0FkELFK,230053,4,Insane,spotify:track:6dzbHbDS3htE0Xr0FkELFK,Korn,3RNrq3jvMZxD9ZyoOZbQOD
