,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.757,0.359,1,-10.975,1,0.0395,0.822,0.0895,0.0811,0.443,128.086,audio_features,3cgpebEMLY2beHyHKnK9Ek,spotify:track:3cgpebEMLY2beHyHKnK9Ek,https://api.spotify.com/v1/tracks/3cgpebEMLY2beHyHKnK9Ek,https://api.spotify.com/v1/audio-analysis/3cgpebEMLY2beHyHKnK9Ek,187858,4,Renegades,spotify:track:3cgpebEMLY2beHyHKnK9Ek,L'aupaire,6d9XIbBseVi999qdzDEtwE
1,0.658,0.773,2,-7.748,1,0.0356,0.00225,0.133,0.0563,0.503,119.974,audio_features,4pEl7ybNVYYiWng4K1oKen,spotify:track:4pEl7ybNVYYiWng4K1oKen,https://api.spotify.com/v1/tracks/4pEl7ybNVYYiWng4K1oKen,https://api.spotify.com/v1/audio-analysis/4pEl7ybNVYYiWng4K1oKen,209836,4,Cinderella,spotify:track:4pEl7ybNVYYiWng4K1oKen,L'aupaire,6d9XIbBseVi999qdzDEtwE
2,0.559,0.505,11,-10.529,0,0.0411,0.859,0.093,0.256,0.291,137.923,audio_features,4ZtcliUZ7v6d7bKU3oHMFb,spotify:track:4ZtcliUZ7v6d7bKU3oHMFb,https://api.spotify.com/v1/tracks/4ZtcliUZ7v6d7bKU3oHMFb,https://api.spotify.com/v1/audio-analysis/4ZtcliUZ7v6d7bKU3oHMFb,190342,4,Whoever You Are,spotify:track:4ZtcliUZ7v6d7bKU3oHMFb,L'aupaire,6d9XIbBseVi999qdzDEtwE
3,0.683,0.859,7,-6.585,0,0.0413,0.0207,0.00221,0.375,0.795,138.95,audio_features,1ExwaZBhTtxe8rujjbKuUB,spotify:track:1ExwaZBhTtxe8rujjbKuUB,https://api.spotify.com/v1/tracks/1ExwaZBhTtxe8rujjbKuUB,https://api.spotify.com/v1/audio-analysis/1ExwaZBhTtxe8rujjbKuUB,179568,4,Goldrush,spotify:track:1ExwaZBhTtxe8rujjbKuUB,L'aupaire,6d9XIbBseVi999qdzDEtwE
4,0.517,0.137,7,-10.209,1,0.0358,0.917,0.0,0.111,0.253,104.476,audio_features,6QN5h7lKpES8Z6RGkRzcff,spotify:track:6QN5h7lKpES8Z6RGkRzcff,https://api.spotify.com/v1/tracks/6QN5h7lKpES8Z6RGkRzcff,https://api.spotify.com/v1/audio-analysis/6QN5h7lKpES8Z6RGkRzcff,184824,3,Whole Wide World,spotify:track:6QN5h7lKpES8Z6RGkRzcff,L'aupaire,6d9XIbBseVi999qdzDEtwE
5,0.887,0.523,0,-8.428,1,0.0351,0.0674,8.57e-05,0.35,0.673,111.982,audio_features,6zcg3pPkYBgpNO7M7geAGH,spotify:track:6zcg3pPkYBgpNO7M7geAGH,https://api.spotify.com/v1/tracks/6zcg3pPkYBgpNO7M7geAGH,https://api.spotify.com/v1/audio-analysis/6zcg3pPkYBgpNO7M7geAGH,238558,4,Rainmaker,spotify:track:6zcg3pPkYBgpNO7M7geAGH,L'aupaire,6d9XIbBseVi999qdzDEtwE
6,0.711,0.323,6,-8.409,1,0.0362,0.908,4.69e-06,0.106,0.255,88.108,audio_features,7v04CGAOhwFs5obFwWfJI8,spotify:track:7v04CGAOhwFs5obFwWfJI8,https://api.spotify.com/v1/tracks/7v04CGAOhwFs5obFwWfJI8,https://api.spotify.com/v1/audio-analysis/7v04CGAOhwFs5obFwWfJI8,198369,4,Keep On Pressing,spotify:track:7v04CGAOhwFs5obFwWfJI8,L'aupaire,6d9XIbBseVi999qdzDEtwE
7,0.85,0.55,10,-7.624,1,0.0363,0.259,1.24e-05,0.125,0.933,127.941,audio_features,3F9jGLJG2Ij68OaGqSprQG,spotify:track:3F9jGLJG2Ij68OaGqSprQG,https://api.spotify.com/v1/tracks/3F9jGLJG2Ij68OaGqSprQG,https://api.spotify.com/v1/audio-analysis/3F9jGLJG2Ij68OaGqSprQG,201230,4,Jin Joo,spotify:track:3F9jGLJG2Ij68OaGqSprQG,L'aupaire,6d9XIbBseVi999qdzDEtwE
8,0.371,0.0845,4,-12.463,0,0.05,0.971,1.67e-06,0.0966,0.126,78.735,audio_features,2Ih8LzKyT7EDSXvTOt8CYV,spotify:track:2Ih8LzKyT7EDSXvTOt8CYV,https://api.spotify.com/v1/tracks/2Ih8LzKyT7EDSXvTOt8CYV,https://api.spotify.com/v1/audio-analysis/2Ih8LzKyT7EDSXvTOt8CYV,255009,4,Waterfall - Piano Version,spotify:track:2Ih8LzKyT7EDSXvTOt8CYV,L'aupaire,6d9XIbBseVi999qdzDEtwE
9,0.525,0.478,4,-8.043,0,0.0282,0.269,0.222,0.0992,0.258,75.015,audio_features,72lKwYDa1xgXYPqEphE3Uc,spotify:track:72lKwYDa1xgXYPqEphE3Uc,https://api.spotify.com/v1/tracks/72lKwYDa1xgXYPqEphE3Uc,https://api.spotify.com/v1/audio-analysis/72lKwYDa1xgXYPqEphE3Uc,312746,4,Truth,spotify:track:72lKwYDa1xgXYPqEphE3Uc,L'aupaire,6d9XIbBseVi999qdzDEtwE
10,0.706,0.448,0,-13.968,0,0.0322,0.292,3.47e-05,0.224,0.656,100.032,audio_features,665yue9XAfMOUzapTnMQC6,spotify:track:665yue9XAfMOUzapTnMQC6,https://api.spotify.com/v1/tracks/665yue9XAfMOUzapTnMQC6,https://api.spotify.com/v1/audio-analysis/665yue9XAfMOUzapTnMQC6,264026,4,Dancing in the Moonlight,spotify:track:665yue9XAfMOUzapTnMQC6,L'aupaire,6d9XIbBseVi999qdzDEtwE
11,0.829,0.17,2,-14.809,1,0.0582,0.666,0.00075,0.0745,0.383,108.004,audio_features,3ntvo9iXhccB8cgx5nXYjp,spotify:track:3ntvo9iXhccB8cgx5nXYjp,https://api.spotify.com/v1/tracks/3ntvo9iXhccB8cgx5nXYjp,https://api.spotify.com/v1/audio-analysis/3ntvo9iXhccB8cgx5nXYjp,229947,4,Cool Kids,spotify:track:3ntvo9iXhccB8cgx5nXYjp,L'aupaire,6d9XIbBseVi999qdzDEtwE
12,0.439,0.041,2,-19.507,1,0.0514,0.924,0.000863,0.0775,0.167,100.403,audio_features,6TFCgluE84Pi3AXLDRilI8,spotify:track:6TFCgluE84Pi3AXLDRilI8,https://api.spotify.com/v1/tracks/6TFCgluE84Pi3AXLDRilI8,https://api.spotify.com/v1/audio-analysis/6TFCgluE84Pi3AXLDRilI8,244966,4,Friends,spotify:track:6TFCgluE84Pi3AXLDRilI8,L'aupaire,6d9XIbBseVi999qdzDEtwE
13,0.814,0.278,11,-15.613,0,0.0613,0.802,0.000271,0.117,0.397,95.004,audio_features,0DlCtLYJ03w92mzN6VTGD8,spotify:track:0DlCtLYJ03w92mzN6VTGD8,https://api.spotify.com/v1/tracks/0DlCtLYJ03w92mzN6VTGD8,https://api.spotify.com/v1/audio-analysis/0DlCtLYJ03w92mzN6VTGD8,192960,4,( Sittin' On ) the Dock of the Bay,spotify:track:0DlCtLYJ03w92mzN6VTGD8,L'aupaire,6d9XIbBseVi999qdzDEtwE
14,0.68,0.273,0,-16.716,1,0.0378,0.422,0.0123,0.13,0.162,114.808,audio_features,3j2kpE7xF1820d0ZtSoOVR,spotify:track:3j2kpE7xF1820d0ZtSoOVR,https://api.spotify.com/v1/tracks/3j2kpE7xF1820d0ZtSoOVR,https://api.spotify.com/v1/audio-analysis/3j2kpE7xF1820d0ZtSoOVR,188516,4,Wooden Chair,spotify:track:3j2kpE7xF1820d0ZtSoOVR,L'aupaire,6d9XIbBseVi999qdzDEtwE
15,0.664,0.473,4,-8.233,1,0.0372,0.58,0.109,0.0697,0.317,101.924,audio_features,26zO1cc2Kg9WFRBsccHxkr,spotify:track:26zO1cc2Kg9WFRBsccHxkr,https://api.spotify.com/v1/tracks/26zO1cc2Kg9WFRBsccHxkr,https://api.spotify.com/v1/audio-analysis/26zO1cc2Kg9WFRBsccHxkr,244634,4,Hometown,spotify:track:26zO1cc2Kg9WFRBsccHxkr,L'aupaire,6d9XIbBseVi999qdzDEtwE
16,0.636,0.451,9,-9.562,0,0.0438,0.586,0.000943,0.105,0.0509,140.004,audio_features,4sx6YeEbaXnU1NAaJ7BhMB,spotify:track:4sx6YeEbaXnU1NAaJ7BhMB,https://api.spotify.com/v1/tracks/4sx6YeEbaXnU1NAaJ7BhMB,https://api.spotify.com/v1/audio-analysis/4sx6YeEbaXnU1NAaJ7BhMB,293721,4,Rollercoaster Girl - 2016 Version,spotify:track:4sx6YeEbaXnU1NAaJ7BhMB,L'aupaire,6d9XIbBseVi999qdzDEtwE
17,0.614,0.549,1,-8.158,1,0.0288,0.0845,0.033,0.0965,0.444,109.965,audio_features,0p8XJTfLuyw6oobA1ah05K,spotify:track:0p8XJTfLuyw6oobA1ah05K,https://api.spotify.com/v1/tracks/0p8XJTfLuyw6oobA1ah05K,https://api.spotify.com/v1/audio-analysis/0p8XJTfLuyw6oobA1ah05K,220220,4,Flowers,spotify:track:0p8XJTfLuyw6oobA1ah05K,L'aupaire,6d9XIbBseVi999qdzDEtwE
18,0.602,0.553,2,-7.876,1,0.0285,0.149,0.00593,0.103,0.157,119.975,audio_features,0DP9RIv6W4m8Ax1xl1yfhH,spotify:track:0DP9RIv6W4m8Ax1xl1yfhH,https://api.spotify.com/v1/tracks/0DP9RIv6W4m8Ax1xl1yfhH,https://api.spotify.com/v1/audio-analysis/0DP9RIv6W4m8Ax1xl1yfhH,299153,4,Uptown Diva,spotify:track:0DP9RIv6W4m8Ax1xl1yfhH,L'aupaire,6d9XIbBseVi999qdzDEtwE
19,0.489,0.228,2,-12.236,1,0.0267,0.362,0.0917,0.0996,0.105,89.581,audio_features,1Og4TKYvtJPLUhbWUeFaBR,spotify:track:1Og4TKYvtJPLUhbWUeFaBR,https://api.spotify.com/v1/tracks/1Og4TKYvtJPLUhbWUeFaBR,https://api.spotify.com/v1/audio-analysis/1Og4TKYvtJPLUhbWUeFaBR,279523,4,Hold On,spotify:track:1Og4TKYvtJPLUhbWUeFaBR,L'aupaire,6d9XIbBseVi999qdzDEtwE
20,0.572,0.584,5,-8.652,1,0.0286,0.275,0.00804,0.0892,0.521,164.988,audio_features,4FQ75qjhf1l2qm4WUIm27d,spotify:track:4FQ75qjhf1l2qm4WUIm27d,https://api.spotify.com/v1/tracks/4FQ75qjhf1l2qm4WUIm27d,https://api.spotify.com/v1/audio-analysis/4FQ75qjhf1l2qm4WUIm27d,266875,4,Always Travelling - 2016 Version,spotify:track:4FQ75qjhf1l2qm4WUIm27d,L'aupaire,6d9XIbBseVi999qdzDEtwE
21,0.797,0.629,1,-8.799,0,0.0413,0.221,0.00078,0.123,0.799,123.998,audio_features,24eYxTzI0sACszVD6l15Z9,spotify:track:24eYxTzI0sACszVD6l15Z9,https://api.spotify.com/v1/tracks/24eYxTzI0sACszVD6l15Z9,https://api.spotify.com/v1/audio-analysis/24eYxTzI0sACszVD6l15Z9,228782,4,You,spotify:track:24eYxTzI0sACszVD6l15Z9,L'aupaire,6d9XIbBseVi999qdzDEtwE
22,0.707,0.463,6,-7.489,1,0.0332,0.179,0.00634,0.146,0.488,115.995,audio_features,2BBc4Pr8fE1jE2gmoMiqSC,spotify:track:2BBc4Pr8fE1jE2gmoMiqSC,https://api.spotify.com/v1/tracks/2BBc4Pr8fE1jE2gmoMiqSC,https://api.spotify.com/v1/audio-analysis/2BBc4Pr8fE1jE2gmoMiqSC,212240,4,I Would Do It All Again,spotify:track:2BBc4Pr8fE1jE2gmoMiqSC,L'aupaire,6d9XIbBseVi999qdzDEtwE
23,0.694,0.638,11,-9.183,0,0.0363,0.241,0.0184,0.366,0.64,128.036,audio_features,7xR65SznLAjt7f4l3GoMUD,spotify:track:7xR65SznLAjt7f4l3GoMUD,https://api.spotify.com/v1/tracks/7xR65SznLAjt7f4l3GoMUD,https://api.spotify.com/v1/audio-analysis/7xR65SznLAjt7f4l3GoMUD,214390,4,The River,spotify:track:7xR65SznLAjt7f4l3GoMUD,L'aupaire,6d9XIbBseVi999qdzDEtwE
24,0.54,0.366,5,-11.834,1,0.0289,0.535,0.336,0.09,0.141,101.006,audio_features,3DKoynlDnyDrKC4z5rzW2U,spotify:track:3DKoynlDnyDrKC4z5rzW2U,https://api.spotify.com/v1/tracks/3DKoynlDnyDrKC4z5rzW2U,https://api.spotify.com/v1/audio-analysis/3DKoynlDnyDrKC4z5rzW2U,328165,4,Black Coffee Girl,spotify:track:3DKoynlDnyDrKC4z5rzW2U,L'aupaire,6d9XIbBseVi999qdzDEtwE
25,0.652,0.512,4,-9.508,0,0.0308,0.398,0.0383,0.0944,0.27,119.969,audio_features,0VVheGifh79kMYyeKw26TQ,spotify:track:0VVheGifh79kMYyeKw26TQ,https://api.spotify.com/v1/tracks/0VVheGifh79kMYyeKw26TQ,https://api.spotify.com/v1/audio-analysis/0VVheGifh79kMYyeKw26TQ,233295,4,You Will Be Loved,spotify:track:0VVheGifh79kMYyeKw26TQ,L'aupaire,6d9XIbBseVi999qdzDEtwE
26,0.321,0.0666,8,-13.764,1,0.032,0.982,0.000563,0.0824,0.199,141.638,audio_features,2arzlDO3e07ZQNYv6qAG7u,spotify:track:2arzlDO3e07ZQNYv6qAG7u,https://api.spotify.com/v1/tracks/2arzlDO3e07ZQNYv6qAG7u,https://api.spotify.com/v1/audio-analysis/2arzlDO3e07ZQNYv6qAG7u,226957,5,When the Music Is Over,spotify:track:2arzlDO3e07ZQNYv6qAG7u,L'aupaire,6d9XIbBseVi999qdzDEtwE
27,0.565,0.528,7,-6.587,1,0.0248,0.0385,0.0,0.0811,0.517,99.958,audio_features,14K3e8krwCtti8NFbcngqq,spotify:track:14K3e8krwCtti8NFbcngqq,https://api.spotify.com/v1/tracks/14K3e8krwCtti8NFbcngqq,https://api.spotify.com/v1/audio-analysis/14K3e8krwCtti8NFbcngqq,221853,4,Jingle Bells,spotify:track:14K3e8krwCtti8NFbcngqq,L'aupaire,6d9XIbBseVi999qdzDEtwE
28,0.756,0.722,7,-6.514,1,0.0296,0.0952,4.27e-05,0.122,0.753,128.015,audio_features,35rzA09y4y5jqVxuDIcqCj,spotify:track:35rzA09y4y5jqVxuDIcqCj,https://api.spotify.com/v1/tracks/35rzA09y4y5jqVxuDIcqCj,https://api.spotify.com/v1/audio-analysis/35rzA09y4y5jqVxuDIcqCj,249076,4,Lisbon (feat. lùisa),spotify:track:35rzA09y4y5jqVxuDIcqCj,L'aupaire,6d9XIbBseVi999qdzDEtwE
29,0.756,0.722,7,-6.513,1,0.0296,0.0952,4.27e-05,0.121,0.753,128.014,audio_features,53w0tKVDTNnpuTEj2bp4NO,spotify:track:53w0tKVDTNnpuTEj2bp4NO,https://api.spotify.com/v1/tracks/53w0tKVDTNnpuTEj2bp4NO,https://api.spotify.com/v1/audio-analysis/53w0tKVDTNnpuTEj2bp4NO,251660,4,Lisbon,spotify:track:53w0tKVDTNnpuTEj2bp4NO,L'aupaire,6d9XIbBseVi999qdzDEtwE
30,0.661,0.408,7,-8.315,1,0.0294,0.772,0.0146,0.0965,0.511,119.962,audio_features,0qiDeRWvEinqEh7kjv0F3s,spotify:track:0qiDeRWvEinqEh7kjv0F3s,https://api.spotify.com/v1/tracks/0qiDeRWvEinqEh7kjv0F3s,https://api.spotify.com/v1/audio-analysis/0qiDeRWvEinqEh7kjv0F3s,223769,4,When I Fall,spotify:track:0qiDeRWvEinqEh7kjv0F3s,L'aupaire,6d9XIbBseVi999qdzDEtwE
31,0.508,0.44,2,-7.661,1,0.0272,0.813,0.000813,0.119,0.379,141.167,audio_features,0D7g9CeoakEWMrZ50wNcTp,spotify:track:0D7g9CeoakEWMrZ50wNcTp,https://api.spotify.com/v1/tracks/0D7g9CeoakEWMrZ50wNcTp,https://api.spotify.com/v1/audio-analysis/0D7g9CeoakEWMrZ50wNcTp,173529,4,Boatman's Call,spotify:track:0D7g9CeoakEWMrZ50wNcTp,L'aupaire,6d9XIbBseVi999qdzDEtwE
32,0.613,0.678,4,-8.88,0,0.0277,0.0598,0.000403,0.29,0.558,99.913,audio_features,30gZHk0eUcndmRDKyNUmDt,spotify:track:30gZHk0eUcndmRDKyNUmDt,https://api.spotify.com/v1/tracks/30gZHk0eUcndmRDKyNUmDt,https://api.spotify.com/v1/audio-analysis/30gZHk0eUcndmRDKyNUmDt,219947,4,Bubbles,spotify:track:30gZHk0eUcndmRDKyNUmDt,L'aupaire,6d9XIbBseVi999qdzDEtwE
33,0.704,0.691,5,-6.344,0,0.0372,0.102,0.401,0.107,0.83,105.959,audio_features,5W4vK6pgU2JTzbsI6mRV44,spotify:track:5W4vK6pgU2JTzbsI6mRV44,https://api.spotify.com/v1/tracks/5W4vK6pgU2JTzbsI6mRV44,https://api.spotify.com/v1/audio-analysis/5W4vK6pgU2JTzbsI6mRV44,218827,4,Bubbles (feat. Martin Rott),spotify:track:5W4vK6pgU2JTzbsI6mRV44,L'aupaire,6d9XIbBseVi999qdzDEtwE
34,0.492,0.49,7,-11.012,1,0.0271,0.309,0.0106,0.158,0.386,171.777,audio_features,2x8cZDQWncATNukN3H1fSJ,spotify:track:2x8cZDQWncATNukN3H1fSJ,https://api.spotify.com/v1/tracks/2x8cZDQWncATNukN3H1fSJ,https://api.spotify.com/v1/audio-analysis/2x8cZDQWncATNukN3H1fSJ,250625,4,Ocean Girl,spotify:track:2x8cZDQWncATNukN3H1fSJ,L'aupaire,6d9XIbBseVi999qdzDEtwE
35,0.659,0.688,8,-6.723,1,0.0434,0.114,0.000101,0.36,0.261,133.889,audio_features,3zCF1YDoADR0ECnFaT7ZZ6,spotify:track:3zCF1YDoADR0ECnFaT7ZZ6,https://api.spotify.com/v1/tracks/3zCF1YDoADR0ECnFaT7ZZ6,https://api.spotify.com/v1/audio-analysis/3zCF1YDoADR0ECnFaT7ZZ6,231477,4,Sail Away,spotify:track:3zCF1YDoADR0ECnFaT7ZZ6,L'aupaire,6d9XIbBseVi999qdzDEtwE
36,0.518,0.261,7,-9.749,1,0.0248,0.772,2.58e-06,0.11,0.1,82.013,audio_features,5qaSVuTTs9U0dEwLC2g2Pc,spotify:track:5qaSVuTTs9U0dEwLC2g2Pc,https://api.spotify.com/v1/tracks/5qaSVuTTs9U0dEwLC2g2Pc,https://api.spotify.com/v1/audio-analysis/5qaSVuTTs9U0dEwLC2g2Pc,217658,4,"Waterfall - From ""Whatever Happens""",spotify:track:5qaSVuTTs9U0dEwLC2g2Pc,L'aupaire,6d9XIbBseVi999qdzDEtwE
37,0.381,0.0612,4,-14.603,0,0.0558,0.971,3.47e-06,0.0971,0.118,83.445,audio_features,7wFhtHpJCVZrjgeOpeqQzM,spotify:track:7wFhtHpJCVZrjgeOpeqQzM,https://api.spotify.com/v1/tracks/7wFhtHpJCVZrjgeOpeqQzM,https://api.spotify.com/v1/audio-analysis/7wFhtHpJCVZrjgeOpeqQzM,255009,4,Waterfall - Piano Version,spotify:track:7wFhtHpJCVZrjgeOpeqQzM,L'aupaire,6d9XIbBseVi999qdzDEtwE
38,0.72,0.651,0,-6.493,0,0.0299,0.37,6.38e-06,0.152,0.608,99.987,audio_features,158vsGWxOIQAj4p9DHFX9u,spotify:track:158vsGWxOIQAj4p9DHFX9u,https://api.spotify.com/v1/tracks/158vsGWxOIQAj4p9DHFX9u,https://api.spotify.com/v1/audio-analysis/158vsGWxOIQAj4p9DHFX9u,261163,4,Dancing In The Moonlight,spotify:track:158vsGWxOIQAj4p9DHFX9u,L'aupaire,6d9XIbBseVi999qdzDEtwE
39,0.833,0.794,1,-5.465,0,0.0325,0.0728,0.199,0.136,0.842,123.982,audio_features,3murRrlD9FVHTX4TxbyHJg,spotify:track:3murRrlD9FVHTX4TxbyHJg,https://api.spotify.com/v1/tracks/3murRrlD9FVHTX4TxbyHJg,https://api.spotify.com/v1/audio-analysis/3murRrlD9FVHTX4TxbyHJg,209108,4,You - Radio Edit,spotify:track:3murRrlD9FVHTX4TxbyHJg,L'aupaire,6d9XIbBseVi999qdzDEtwE
40,0.478,0.745,1,-5.598,0,0.0313,0.22,0.00212,0.271,0.363,80.03,audio_features,3FftXmmlyEgTQxIgL5rO4B,spotify:track:3FftXmmlyEgTQxIgL5rO4B,https://api.spotify.com/v1/tracks/3FftXmmlyEgTQxIgL5rO4B,https://api.spotify.com/v1/audio-analysis/3FftXmmlyEgTQxIgL5rO4B,186000,4,You - FlicFlac Remix,spotify:track:3FftXmmlyEgTQxIgL5rO4B,L'aupaire,6d9XIbBseVi999qdzDEtwE
41,0.612,0.835,1,-4.631,1,0.0496,0.0124,2.35e-05,0.0579,0.208,121.98,audio_features,4YGev2ftNEzxsltrl2507p,spotify:track:4YGev2ftNEzxsltrl2507p,https://api.spotify.com/v1/tracks/4YGev2ftNEzxsltrl2507p,https://api.spotify.com/v1/audio-analysis/4YGev2ftNEzxsltrl2507p,238033,4,Flowers - Freischwimmer Remix,spotify:track:4YGev2ftNEzxsltrl2507p,L'aupaire,6d9XIbBseVi999qdzDEtwE
42,0.731,0.68,11,-7.521,0,0.0391,0.049,0.000604,0.385,0.608,123.033,audio_features,0UfHPWFTfYOYbqUDmOvu0u,spotify:track:0UfHPWFTfYOYbqUDmOvu0u,https://api.spotify.com/v1/tracks/0UfHPWFTfYOYbqUDmOvu0u,https://api.spotify.com/v1/audio-analysis/0UfHPWFTfYOYbqUDmOvu0u,192813,4,The River - Achtabahn Remix,spotify:track:0UfHPWFTfYOYbqUDmOvu0u,L'aupaire,6d9XIbBseVi999qdzDEtwE
43,0.722,0.448,11,-9.935,0,0.068,0.471,0.00169,0.188,0.279,121.98,audio_features,08lhPniGV1fEmZqJ9NgQ6Y,spotify:track:08lhPniGV1fEmZqJ9NgQ6Y,https://api.spotify.com/v1/tracks/08lhPniGV1fEmZqJ9NgQ6Y,https://api.spotify.com/v1/audio-analysis/08lhPniGV1fEmZqJ9NgQ6Y,193227,4,The River - Whistle Back Remix,spotify:track:08lhPniGV1fEmZqJ9NgQ6Y,L'aupaire,6d9XIbBseVi999qdzDEtwE
44,0.708,0.757,4,-9.284,0,0.0408,0.000747,0.673,0.147,0.337,121.997,audio_features,41Y8MKvt8Jn51705qHMIbX,spotify:track:41Y8MKvt8Jn51705qHMIbX,https://api.spotify.com/v1/tracks/41Y8MKvt8Jn51705qHMIbX,https://api.spotify.com/v1/audio-analysis/41Y8MKvt8Jn51705qHMIbX,398520,4,The River - Niconé & Dirty Doering Remix,spotify:track:41Y8MKvt8Jn51705qHMIbX,L'aupaire,6d9XIbBseVi999qdzDEtwE
