,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.793,0.541,4,-11.734,1,0.212,0.696,4.22e-05,0.101,0.565,100.038,audio_features,7xriBHqtc0ZWWCws3uTgQa,spotify:track:7xriBHqtc0ZWWCws3uTgQa,https://api.spotify.com/v1/tracks/7xriBHqtc0ZWWCws3uTgQa,https://api.spotify.com/v1/audio-analysis/7xriBHqtc0ZWWCws3uTgQa,243021,4,Live A Little,spotify:track:7xriBHqtc0ZWWCws3uTgQa,La Felix,3PoWaGWGbWmC3DrCOyGXOj
1,0.793,0.717,0,-7.508,0,0.0753,0.0529,1.4e-05,0.0681,0.944,100.002,audio_features,6ohDFdQ0OffJnyKCIxl58t,spotify:track:6ohDFdQ0OffJnyKCIxl58t,https://api.spotify.com/v1/tracks/6ohDFdQ0OffJnyKCIxl58t,https://api.spotify.com/v1/audio-analysis/6ohDFdQ0OffJnyKCIxl58t,167040,4,Unwind,spotify:track:6ohDFdQ0OffJnyKCIxl58t,La Felix,3PoWaGWGbWmC3DrCOyGXOj
2,0.692,0.797,5,-5.447,1,0.0348,0.113,0.0,0.0741,0.619,96.995,audio_features,3RMJaWF3fHTNYoW4L4W7EC,spotify:track:3RMJaWF3fHTNYoW4L4W7EC,https://api.spotify.com/v1/tracks/3RMJaWF3fHTNYoW4L4W7EC,https://api.spotify.com/v1/audio-analysis/3RMJaWF3fHTNYoW4L4W7EC,234720,4,イチリンソウ - La Felix Remix,spotify:track:3RMJaWF3fHTNYoW4L4W7EC,La Felix,3PoWaGWGbWmC3DrCOyGXOj
3,0.655,0.684,6,-7.18,1,0.233,0.564,0.0,0.119,0.747,87.08,audio_features,4N9Zjl1E4QLDrLnDslJkdO,spotify:track:4N9Zjl1E4QLDrLnDslJkdO,https://api.spotify.com/v1/tracks/4N9Zjl1E4QLDrLnDslJkdO,https://api.spotify.com/v1/audio-analysis/4N9Zjl1E4QLDrLnDslJkdO,204152,4,My Kinda Love,spotify:track:4N9Zjl1E4QLDrLnDslJkdO,La Felix,3PoWaGWGbWmC3DrCOyGXOj
4,0.771,0.787,9,-7.279,1,0.086,0.0459,0.0289,0.108,0.254,110.004,audio_features,03RSLnOXkenGfzCHNTLah9,spotify:track:03RSLnOXkenGfzCHNTLah9,https://api.spotify.com/v1/tracks/03RSLnOXkenGfzCHNTLah9,https://api.spotify.com/v1/audio-analysis/03RSLnOXkenGfzCHNTLah9,171560,4,Higher Than This (Remix),spotify:track:03RSLnOXkenGfzCHNTLah9,La Felix,3PoWaGWGbWmC3DrCOyGXOj
5,0.715,0.616,4,-8.554,1,0.0864,0.342,0.00111,0.103,0.663,171.976,audio_features,0QvhuMRO7K7Fx5mReWTdCQ,spotify:track:0QvhuMRO7K7Fx5mReWTdCQ,https://api.spotify.com/v1/tracks/0QvhuMRO7K7Fx5mReWTdCQ,https://api.spotify.com/v1/audio-analysis/0QvhuMRO7K7Fx5mReWTdCQ,159079,4,Unlovable,spotify:track:0QvhuMRO7K7Fx5mReWTdCQ,La Felix,3PoWaGWGbWmC3DrCOyGXOj
6,0.759,0.701,4,-7.079,0,0.0749,0.00789,0.0157,0.0757,0.515,114.979,audio_features,1dUb4K7GURCq0geULfPPEh,spotify:track:1dUb4K7GURCq0geULfPPEh,https://api.spotify.com/v1/tracks/1dUb4K7GURCq0geULfPPEh,https://api.spotify.com/v1/audio-analysis/1dUb4K7GURCq0geULfPPEh,127453,4,Careful - La Felix Remix,spotify:track:1dUb4K7GURCq0geULfPPEh,La Felix,3PoWaGWGbWmC3DrCOyGXOj
7,0.636,0.757,11,-5.715,0,0.0547,0.221,0.0,0.275,0.388,97.985,audio_features,66Ikk0LhfNNtAe57LKQvoA,spotify:track:66Ikk0LhfNNtAe57LKQvoA,https://api.spotify.com/v1/tracks/66Ikk0LhfNNtAe57LKQvoA,https://api.spotify.com/v1/audio-analysis/66Ikk0LhfNNtAe57LKQvoA,173697,4,Take Care Of You,spotify:track:66Ikk0LhfNNtAe57LKQvoA,La Felix,3PoWaGWGbWmC3DrCOyGXOj
8,0.666,0.553,4,-9.77,1,0.0352,0.745,0.0295,0.171,0.674,114.97,audio_features,1vxSA8NSsYWS1OC4GJhweV,spotify:track:1vxSA8NSsYWS1OC4GJhweV,https://api.spotify.com/v1/tracks/1vxSA8NSsYWS1OC4GJhweV,https://api.spotify.com/v1/audio-analysis/1vxSA8NSsYWS1OC4GJhweV,212039,4,Recuerda - La Felix Remix,spotify:track:1vxSA8NSsYWS1OC4GJhweV,La Felix,3PoWaGWGbWmC3DrCOyGXOj
9,0.722,0.585,8,-8.3,0,0.0482,0.158,3.1e-06,0.308,0.32,108.02,audio_features,1BNMWvkuYEci0BRg3aZJQw,spotify:track:1BNMWvkuYEci0BRg3aZJQw,https://api.spotify.com/v1/tracks/1BNMWvkuYEci0BRg3aZJQw,https://api.spotify.com/v1/audio-analysis/1BNMWvkuYEci0BRg3aZJQw,146667,4,Alone Together - La Felix Remix,spotify:track:1BNMWvkuYEci0BRg3aZJQw,La Felix,3PoWaGWGbWmC3DrCOyGXOj
