,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.781,0.803,7,-8.43,1,0.0848,0.00168,0.828,0.306,0.713,126.011,audio_features,5BsioCI4Q5wu12TMgQjD5P,spotify:track:5BsioCI4Q5wu12TMgQjD5P,https://api.spotify.com/v1/tracks/5BsioCI4Q5wu12TMgQjD5P,https://api.spotify.com/v1/audio-analysis/5BsioCI4Q5wu12TMgQjD5P,270476,4,Prepare - Mixed,spotify:track:5BsioCI4Q5wu12TMgQjD5P,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
1,0.791,0.849,7,-8.614,1,0.079,0.0161,0.75,0.108,0.271,126.01,audio_features,1TKN9QZqnRtmfE198LI3TQ,spotify:track:1TKN9QZqnRtmfE198LI3TQ,https://api.spotify.com/v1/tracks/1TKN9QZqnRtmfE198LI3TQ,https://api.spotify.com/v1/audio-analysis/1TKN9QZqnRtmfE198LI3TQ,297143,4,Imaginary Friend - Lampe Remix - Mixed,spotify:track:1TKN9QZqnRtmfE198LI3TQ,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
2,0.763,0.799,9,-8.08,0,0.0715,0.000384,0.667,0.115,0.45,126.001,audio_features,6mWqMPzZmi52uQDIjUORNl,spotify:track:6mWqMPzZmi52uQDIjUORNl,https://api.spotify.com/v1/tracks/6mWqMPzZmi52uQDIjUORNl,https://api.spotify.com/v1/audio-analysis/6mWqMPzZmi52uQDIjUORNl,281905,4,Fake Producer - Mixed,spotify:track:6mWqMPzZmi52uQDIjUORNl,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
3,0.76,0.774,6,-9.112,0,0.0522,0.159,0.756,0.0765,0.237,126.033,audio_features,3lgxVVpgkg9hI1y4CPUI07,spotify:track:3lgxVVpgkg9hI1y4CPUI07,https://api.spotify.com/v1/tracks/3lgxVVpgkg9hI1y4CPUI07,https://api.spotify.com/v1/audio-analysis/3lgxVVpgkg9hI1y4CPUI07,213333,4,The Damned - Lampe Remix - Mixed,spotify:track:3lgxVVpgkg9hI1y4CPUI07,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
4,0.802,0.818,6,-7.801,0,0.0621,0.0005,0.818,0.115,0.578,126.032,audio_features,3FtUxMWntbx1ykG20O3AmL,spotify:track:3FtUxMWntbx1ykG20O3AmL,https://api.spotify.com/v1/tracks/3FtUxMWntbx1ykG20O3AmL,https://api.spotify.com/v1/audio-analysis/3FtUxMWntbx1ykG20O3AmL,304762,4,Take It - Mixed,spotify:track:3FtUxMWntbx1ykG20O3AmL,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
5,0.672,0.895,7,-8.93,1,0.047,0.00207,0.83,0.0658,0.0655,126.015,audio_features,6iOUzuyhwKRa3zDeXjTX8q,spotify:track:6iOUzuyhwKRa3zDeXjTX8q,https://api.spotify.com/v1/tracks/6iOUzuyhwKRa3zDeXjTX8q,https://api.spotify.com/v1/audio-analysis/6iOUzuyhwKRa3zDeXjTX8q,304762,4,Less Talking - Mixed,spotify:track:6iOUzuyhwKRa3zDeXjTX8q,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
6,0.704,0.622,9,-9.45,1,0.058,0.00015,0.88,0.246,0.36,126.043,audio_features,3UxM34ioNVa1t5OSrD3SgJ,spotify:track:3UxM34ioNVa1t5OSrD3SgJ,https://api.spotify.com/v1/tracks/3UxM34ioNVa1t5OSrD3SgJ,https://api.spotify.com/v1/audio-analysis/3UxM34ioNVa1t5OSrD3SgJ,339048,4,Black Smoke - Mixed,spotify:track:3UxM34ioNVa1t5OSrD3SgJ,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
7,0.811,0.76,2,-7.597,1,0.0516,0.000459,0.883,0.133,0.598,126.015,audio_features,0EZ33wSMPwNKSjPs71mdEv,spotify:track:0EZ33wSMPwNKSjPs71mdEv,https://api.spotify.com/v1/tracks/0EZ33wSMPwNKSjPs71mdEv,https://api.spotify.com/v1/audio-analysis/0EZ33wSMPwNKSjPs71mdEv,327619,4,My Mind - Mixed,spotify:track:0EZ33wSMPwNKSjPs71mdEv,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
8,0.803,0.802,7,-8.987,1,0.077,0.0891,0.802,0.187,0.193,126.014,audio_features,7eh86uBuEV9xl4zvQEBkmP,spotify:track:7eh86uBuEV9xl4zvQEBkmP,https://api.spotify.com/v1/tracks/7eh86uBuEV9xl4zvQEBkmP,https://api.spotify.com/v1/audio-analysis/7eh86uBuEV9xl4zvQEBkmP,335238,4,Wake Up - Mixed,spotify:track:7eh86uBuEV9xl4zvQEBkmP,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
9,0.835,0.742,1,-9.531,0,0.052,0.000154,0.812,0.15,0.662,126.015,audio_features,248tyjZyNglynQ6Le2ey3K,spotify:track:248tyjZyNglynQ6Le2ey3K,https://api.spotify.com/v1/tracks/248tyjZyNglynQ6Le2ey3K,https://api.spotify.com/v1/audio-analysis/248tyjZyNglynQ6Le2ey3K,382857,4,Right Here - Mixed,spotify:track:248tyjZyNglynQ6Le2ey3K,Lampe,7hvD2Cs8fbF3HvhQCmV3xq
