,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.177,0.668,7,-9.701,0,0.0951,0.528,0.022,0.29,0.136,93.254,audio_features,2Tc5K6c5XRMye3zrR2Ms2F,spotify:track:2Tc5K6c5XRMye3zrR2Ms2F,https://api.spotify.com/v1/tracks/2Tc5K6c5XRMye3zrR2Ms2F,https://api.spotify.com/v1/audio-analysis/2Tc5K6c5XRMye3zrR2Ms2F,71189,5,LIVE.EVIL!¡,spotify:track:2Tc5K6c5XRMye3zrR2Ms2F,Lancey Foux,2LakckgvXEtJlKOYP6BO11
1,0.714,0.642,2,-6.949,1,0.065,0.000345,0.0,0.144,0.198,139.826,audio_features,2mvYDYUUJMX5Owpos9OyFt,spotify:track:2mvYDYUUJMX5Owpos9OyFt,https://api.spotify.com/v1/tracks/2mvYDYUUJMX5Owpos9OyFt,https://api.spotify.com/v1/audio-analysis/2mvYDYUUJMX5Owpos9OyFt,111901,4,RESPECT,spotify:track:2mvYDYUUJMX5Owpos9OyFt,Lancey Foux,2LakckgvXEtJlKOYP6BO11
2,0.651,0.798,1,-4.88,1,0.143,0.00311,0.0,0.221,0.237,143.973,audio_features,3vs733LJpo6r1lxMBsMYal,spotify:track:3vs733LJpo6r1lxMBsMYal,https://api.spotify.com/v1/tracks/3vs733LJpo6r1lxMBsMYal,https://api.spotify.com/v1/audio-analysis/3vs733LJpo6r1lxMBsMYal,185330,4,OUTTAMYMIND! (feat. Lil Yachty),spotify:track:3vs733LJpo6r1lxMBsMYal,Lancey Foux,2LakckgvXEtJlKOYP6BO11
3,0.683,0.91,8,-4.993,0,0.0403,0.0262,0.0322,0.206,0.804,141.998,audio_features,7bPtCXMIUrFzbbEQiQvyaY,spotify:track:7bPtCXMIUrFzbbEQiQvyaY,https://api.spotify.com/v1/tracks/7bPtCXMIUrFzbbEQiQvyaY,https://api.spotify.com/v1/audio-analysis/7bPtCXMIUrFzbbEQiQvyaY,166499,4,SWEET!,spotify:track:7bPtCXMIUrFzbbEQiQvyaY,Lancey Foux,2LakckgvXEtJlKOYP6BO11
4,0.63,0.654,4,-9.515,0,0.108,0.0653,1.07e-05,0.0955,0.248,139.982,audio_features,4hB1QujIdFVgmcHeUj11dS,spotify:track:4hB1QujIdFVgmcHeUj11dS,https://api.spotify.com/v1/tracks/4hB1QujIdFVgmcHeUj11dS,https://api.spotify.com/v1/audio-analysis/4hB1QujIdFVgmcHeUj11dS,136181,4,tellyafriends !¡,spotify:track:4hB1QujIdFVgmcHeUj11dS,Lancey Foux,2LakckgvXEtJlKOYP6BO11
5,0.729,0.789,10,-7.456,0,0.231,0.033,3.69e-05,0.151,0.326,143.142,audio_features,6OgeWqPDiT5Q7mS3decJ0f,spotify:track:6OgeWqPDiT5Q7mS3decJ0f,https://api.spotify.com/v1/tracks/6OgeWqPDiT5Q7mS3decJ0f,https://api.spotify.com/v1/audio-analysis/6OgeWqPDiT5Q7mS3decJ0f,86357,4,b€Zerk,spotify:track:6OgeWqPDiT5Q7mS3decJ0f,Lancey Foux,2LakckgvXEtJlKOYP6BO11
6,0.691,0.511,2,-7.201,0,0.0476,0.666,2.23e-06,0.112,0.471,139.897,audio_features,0pPDLZbcgxt865PDjK6313,spotify:track:0pPDLZbcgxt865PDjK6313,https://api.spotify.com/v1/tracks/0pPDLZbcgxt865PDjK6313,https://api.spotify.com/v1/audio-analysis/0pPDLZbcgxt865PDjK6313,193349,4,I KNOW,spotify:track:0pPDLZbcgxt865PDjK6313,Lancey Foux,2LakckgvXEtJlKOYP6BO11
7,0.765,0.598,10,-5.829,1,0.0358,0.091,4.37e-05,0.166,0.117,136.025,audio_features,4FbEljjTdoUcnY2aYsxDDh,spotify:track:4FbEljjTdoUcnY2aYsxDDh,https://api.spotify.com/v1/tracks/4FbEljjTdoUcnY2aYsxDDh,https://api.spotify.com/v1/audio-analysis/4FbEljjTdoUcnY2aYsxDDh,143413,4,25WAGG3DOU2,spotify:track:4FbEljjTdoUcnY2aYsxDDh,Lancey Foux,2LakckgvXEtJlKOYP6BO11
8,0.469,0.531,8,-8.125,1,0.119,0.185,5.28e-05,0.143,0.153,153.881,audio_features,529iZny0OpvvZIvRt1cbHL,spotify:track:529iZny0OpvvZIvRt1cbHL,https://api.spotify.com/v1/tracks/529iZny0OpvvZIvRt1cbHL,https://api.spotify.com/v1/audio-analysis/529iZny0OpvvZIvRt1cbHL,242432,4,Wait In Miami,spotify:track:529iZny0OpvvZIvRt1cbHL,Lancey Foux,2LakckgvXEtJlKOYP6BO11
9,0.663,0.392,11,-10.696,1,0.224,0.196,2.91e-06,0.136,0.307,135.844,audio_features,4M0M2KF95LkvfM5CFexPZb,spotify:track:4M0M2KF95LkvfM5CFexPZb,https://api.spotify.com/v1/tracks/4M0M2KF95LkvfM5CFexPZb,https://api.spotify.com/v1/audio-analysis/4M0M2KF95LkvfM5CFexPZb,100203,4,chaNGE,spotify:track:4M0M2KF95LkvfM5CFexPZb,Lancey Foux,2LakckgvXEtJlKOYP6BO11
