,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.369,0.416,6,-5.972,1,0.0313,0.541,0.0,0.365,0.181,113.699,audio_features,0tOyuyJV1F3YVK86yb9msv,spotify:track:0tOyuyJV1F3YVK86yb9msv,https://api.spotify.com/v1/tracks/0tOyuyJV1F3YVK86yb9msv,https://api.spotify.com/v1/audio-analysis/0tOyuyJV1F3YVK86yb9msv,283787,3,It Was Me,spotify:track:0tOyuyJV1F3YVK86yb9msv,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
1,0.64,0.705,6,-4.779,1,0.0287,0.0567,0.0,0.342,0.439,96.941,audio_features,29ufNQmUgtS15wnMwdvpNz,spotify:track:29ufNQmUgtS15wnMwdvpNz,https://api.spotify.com/v1/tracks/29ufNQmUgtS15wnMwdvpNz,https://api.spotify.com/v1/audio-analysis/29ufNQmUgtS15wnMwdvpNz,174533,4,If The World Was A Small Town,spotify:track:29ufNQmUgtS15wnMwdvpNz,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
2,0.533,0.609,11,-5.447,1,0.0379,0.358,0.0,0.105,0.415,94.22,audio_features,3oShMTPOCWXOgayc4AEG8l,spotify:track:3oShMTPOCWXOgayc4AEG8l,https://api.spotify.com/v1/tracks/3oShMTPOCWXOgayc4AEG8l,https://api.spotify.com/v1/audio-analysis/3oShMTPOCWXOgayc4AEG8l,200373,4,Getting Good,spotify:track:3oShMTPOCWXOgayc4AEG8l,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
3,0.632,0.701,5,-3.751,1,0.031,0.0561,0.0,0.246,0.749,99.045,audio_features,1grdUbldRIJH2udgV8T8nh,spotify:track:1grdUbldRIJH2udgV8T8nh,https://api.spotify.com/v1/tracks/1grdUbldRIJH2udgV8T8nh,https://api.spotify.com/v1/audio-analysis/1grdUbldRIJH2udgV8T8nh,200093,4,"Same Story, Different Saturday Night",spotify:track:1grdUbldRIJH2udgV8T8nh,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
4,0.599,0.386,9,-6.687,1,0.029,0.733,0.0,0.105,0.404,169.799,audio_features,2jKmVOyCxBwUhIvEp23icx,spotify:track:2jKmVOyCxBwUhIvEp23icx,https://api.spotify.com/v1/tracks/2jKmVOyCxBwUhIvEp23icx,https://api.spotify.com/v1/audio-analysis/2jKmVOyCxBwUhIvEp23icx,196507,3,On Top Of The World,spotify:track:2jKmVOyCxBwUhIvEp23icx,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
5,0.429,0.744,9,-5.507,1,0.0471,0.0203,0.0,0.0572,0.405,200.045,audio_features,7A6yW0cJXrWGO34eQcvXy1,spotify:track:7A6yW0cJXrWGO34eQcvXy1,https://api.spotify.com/v1/tracks/7A6yW0cJXrWGO34eQcvXy1,https://api.spotify.com/v1/audio-analysis/7A6yW0cJXrWGO34eQcvXy1,199600,4,Run,spotify:track:7A6yW0cJXrWGO34eQcvXy1,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
6,0.597,0.332,8,-6.661,1,0.0329,0.823,0.0,0.0962,0.331,80.82,audio_features,4ICoDFfCdUPHmVe1QNVCsw,spotify:track:4ICoDFfCdUPHmVe1QNVCsw,https://api.spotify.com/v1/tracks/4ICoDFfCdUPHmVe1QNVCsw,https://api.spotify.com/v1/audio-analysis/4ICoDFfCdUPHmVe1QNVCsw,218573,4,What Do You Think Of?,spotify:track:4ICoDFfCdUPHmVe1QNVCsw,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
7,0.494,0.605,0,-5.01,1,0.0265,0.136,0.0,0.0948,0.33,143.998,audio_features,0Jb6tCbyYQl3WF4wBcfafj,spotify:track:0Jb6tCbyYQl3WF4wBcfafj,https://api.spotify.com/v1/tracks/0Jb6tCbyYQl3WF4wBcfafj,https://api.spotify.com/v1/audio-analysis/0Jb6tCbyYQl3WF4wBcfafj,200493,4,I'm Not Sad Anymore,spotify:track:0Jb6tCbyYQl3WF4wBcfafj,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
8,0.564,0.848,8,-4.725,1,0.0716,0.102,0.0,0.112,0.433,154.053,audio_features,3WqT52bSkjn8tG7N9rn3Ba,spotify:track:3WqT52bSkjn8tG7N9rn3Ba,https://api.spotify.com/v1/tracks/3WqT52bSkjn8tG7N9rn3Ba,https://api.spotify.com/v1/audio-analysis/3WqT52bSkjn8tG7N9rn3Ba,166693,4,Getting Over Him,spotify:track:3WqT52bSkjn8tG7N9rn3Ba,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
9,0.622,0.455,11,-7.051,1,0.0286,0.698,0.0,0.0757,0.329,134.882,audio_features,78uoWKqFLD3jaGv5awBe4r,spotify:track:78uoWKqFLD3jaGv5awBe4r,https://api.spotify.com/v1/tracks/78uoWKqFLD3jaGv5awBe4r,https://api.spotify.com/v1/audio-analysis/78uoWKqFLD3jaGv5awBe4r,206533,4,Good Ole Boy,spotify:track:78uoWKqFLD3jaGv5awBe4r,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv
