,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.583,0.484,6,-8.898,0,0.0342,0.005,0.427,0.0963,0.564,154.023,audio_features,7LJcVOt1QSkzSxCR3MLmbe,spotify:track:7LJcVOt1QSkzSxCR3MLmbe,https://api.spotify.com/v1/tracks/7LJcVOt1QSkzSxCR3MLmbe,https://api.spotify.com/v1/audio-analysis/7LJcVOt1QSkzSxCR3MLmbe,367043,3,Lifetime Achievement Award,spotify:track:7LJcVOt1QSkzSxCR3MLmbe,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
1,0.625,0.71,0,-8.577,0,0.0535,0.196,0.0012,0.181,0.573,160.147,audio_features,1tmRlF5pFo8G5OfJYUjWrR,spotify:track:1tmRlF5pFo8G5OfJYUjWrR,https://api.spotify.com/v1/tracks/1tmRlF5pFo8G5OfJYUjWrR,https://api.spotify.com/v1/audio-analysis/1tmRlF5pFo8G5OfJYUjWrR,282732,4,Touch-Tone Telephone,spotify:track:1tmRlF5pFo8G5OfJYUjWrR,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
2,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988,audio_features,0lrtYwuy37bJzsO2LHz2kj,spotify:track:0lrtYwuy37bJzsO2LHz2kj,https://api.spotify.com/v1/tracks/0lrtYwuy37bJzsO2LHz2kj,https://api.spotify.com/v1/audio-analysis/0lrtYwuy37bJzsO2LHz2kj,262675,4,Cabinet Man,spotify:track:0lrtYwuy37bJzsO2LHz2kj,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
3,0.654,0.277,10,-11.224,1,0.0263,0.302,0.0,0.288,0.423,104.095,audio_features,0uKK5v0Rl7wkx7DjhMfDIz,spotify:track:0uKK5v0Rl7wkx7DjhMfDIz,https://api.spotify.com/v1/tracks/0uKK5v0Rl7wkx7DjhMfDIz,https://api.spotify.com/v1/audio-analysis/0uKK5v0Rl7wkx7DjhMfDIz,260168,4,No Eyed Girl,spotify:track:0uKK5v0Rl7wkx7DjhMfDIz,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
4,0.704,0.643,10,-8.833,1,0.0421,0.107,0.0121,0.361,0.571,94.033,audio_features,4dRBLORJbxTdRKqMpygLSd,spotify:track:4dRBLORJbxTdRKqMpygLSd,https://api.spotify.com/v1/tracks/4dRBLORJbxTdRKqMpygLSd,https://api.spotify.com/v1/audio-analysis/4dRBLORJbxTdRKqMpygLSd,273628,4,When He Died,spotify:track:4dRBLORJbxTdRKqMpygLSd,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
5,0.81,0.532,7,-6.41,0,0.0352,0.0067,0.00394,0.338,0.96,110.003,audio_features,3lLIFgBuVG5sL0FKElIYJE,spotify:track:3lLIFgBuVG5sL0FKElIYJE,https://api.spotify.com/v1/tracks/3lLIFgBuVG5sL0FKElIYJE,https://api.spotify.com/v1/audio-analysis/3lLIFgBuVG5sL0FKElIYJE,250726,4,Sweet Bod,spotify:track:3lLIFgBuVG5sL0FKElIYJE,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
6,0.488,0.68,2,-8.143,0,0.0328,0.00329,0.398,0.144,0.64,139.984,audio_features,7BxJz17EyAHjZlHEEqrtm6,spotify:track:7BxJz17EyAHjZlHEEqrtm6,https://api.spotify.com/v1/tracks/7BxJz17EyAHjZlHEEqrtm6,https://api.spotify.com/v1/audio-analysis/7BxJz17EyAHjZlHEEqrtm6,282126,4,Eighth Wonder,spotify:track:7BxJz17EyAHjZlHEEqrtm6,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
7,0.45,0.796,6,-7.941,0,0.0665,0.0198,0.0698,0.225,0.282,178.94,audio_features,36mP3dFv3jHm4VC0SZZ4JS,spotify:track:36mP3dFv3jHm4VC0SZZ4JS,https://api.spotify.com/v1/tracks/36mP3dFv3jHm4VC0SZZ4JS,https://api.spotify.com/v1/audio-analysis/36mP3dFv3jHm4VC0SZZ4JS,256144,3,Ancient Aliens,spotify:track:36mP3dFv3jHm4VC0SZZ4JS,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
8,0.626,0.889,7,-6.403,1,0.034,0.000273,0.00386,0.178,0.949,144.985,audio_features,6gh78DdZtoLjnMs9I1Jkam,spotify:track:6gh78DdZtoLjnMs9I1Jkam,https://api.spotify.com/v1/tracks/6gh78DdZtoLjnMs9I1Jkam,https://api.spotify.com/v1/audio-analysis/6gh78DdZtoLjnMs9I1Jkam,174462,4,Soft Fuzzy Man,spotify:track:6gh78DdZtoLjnMs9I1Jkam,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
9,0.579,0.688,1,-6.809,1,0.0392,1.98e-05,0.027,0.387,0.923,154.978,audio_features,29L9B2aDs2NhrQGbs8pf9M,spotify:track:29L9B2aDs2NhrQGbs8pf9M,https://api.spotify.com/v1/tracks/29L9B2aDs2NhrQGbs8pf9M,https://api.spotify.com/v1/audio-analysis/29L9B2aDs2NhrQGbs8pf9M,173123,4,As Your Father I Expressly Forbid It,spotify:track:29L9B2aDs2NhrQGbs8pf9M,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
10,0.705,0.824,0,-6.714,1,0.0846,0.184,6.5e-05,0.145,0.857,73.022,audio_features,4RI2XoSY5KiiDshVhA9Khe,spotify:track:4RI2XoSY5KiiDshVhA9Khe,https://api.spotify.com/v1/tracks/4RI2XoSY5KiiDshVhA9Khe,https://api.spotify.com/v1/audio-analysis/4RI2XoSY5KiiDshVhA9Khe,190773,4,I Earn My Life,spotify:track:4RI2XoSY5KiiDshVhA9Khe,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
11,0.587,0.679,7,-7.413,0,0.0405,0.00797,7.31e-05,0.105,0.873,134.941,audio_features,6ForyBso37QPHoEM06IDwK,spotify:track:6ForyBso37QPHoEM06IDwK,https://api.spotify.com/v1/tracks/6ForyBso37QPHoEM06IDwK,https://api.spotify.com/v1/audio-analysis/6ForyBso37QPHoEM06IDwK,211914,3,Reaganomics,spotify:track:6ForyBso37QPHoEM06IDwK,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
12,0.595,0.76,9,-7.466,0,0.037,0.00517,0.0127,0.145,0.467,124.998,audio_features,1151Q8Aev8vtz6UfuaBhAy,spotify:track:1151Q8Aev8vtz6UfuaBhAy,https://api.spotify.com/v1/tracks/1151Q8Aev8vtz6UfuaBhAy,https://api.spotify.com/v1/audio-analysis/1151Q8Aev8vtz6UfuaBhAy,217808,4,Man-Made Object,spotify:track:1151Q8Aev8vtz6UfuaBhAy,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
13,0.493,0.565,10,-8.287,1,0.0362,0.00202,0.0285,0.0954,0.324,177.997,audio_features,77hzctaLvLRLAh71LwNPE3,spotify:track:77hzctaLvLRLAh71LwNPE3,https://api.spotify.com/v1/tracks/77hzctaLvLRLAh71LwNPE3,https://api.spotify.com/v1/audio-analysis/77hzctaLvLRLAh71LwNPE3,360715,4,Spiral of Ants,spotify:track:77hzctaLvLRLAh71LwNPE3,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
14,0.456,0.996,0,-8.389,0,0.0515,0.00408,0.899,0.134,0.812,149.976,audio_features,39sUegmfcD8SmzYr97PCKJ,spotify:track:39sUegmfcD8SmzYr97PCKJ,https://api.spotify.com/v1/tracks/39sUegmfcD8SmzYr97PCKJ,https://api.spotify.com/v1/audio-analysis/39sUegmfcD8SmzYr97PCKJ,220599,4,Angelfire (Bonus Track),spotify:track:39sUegmfcD8SmzYr97PCKJ,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
15,0.475,0.857,1,-7.11,1,0.0677,0.00222,0.00534,0.0445,0.456,170.022,audio_features,6ccw5IYiknwRKy5FMdLosQ,spotify:track:6ccw5IYiknwRKy5FMdLosQ,https://api.spotify.com/v1/tracks/6ccw5IYiknwRKy5FMdLosQ,https://api.spotify.com/v1/audio-analysis/6ccw5IYiknwRKy5FMdLosQ,294015,4,Angry People (Bonus Tracks),spotify:track:6ccw5IYiknwRKy5FMdLosQ,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
16,0.805,0.708,4,-10.302,0,0.0361,0.123,0.77,0.0764,0.96,80.014,audio_features,3N8OeVkKTkDk4bFqQuOUNE,spotify:track:3N8OeVkKTkDk4bFqQuOUNE,https://api.spotify.com/v1/tracks/3N8OeVkKTkDk4bFqQuOUNE,https://api.spotify.com/v1/audio-analysis/3N8OeVkKTkDk4bFqQuOUNE,161390,4,Cabinet Man (Demo) (Bonus Track),spotify:track:3N8OeVkKTkDk4bFqQuOUNE,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
17,0.778,0.829,7,-10.204,1,0.0427,0.0111,0.885,0.125,0.304,104.991,audio_features,5furpJBXj7zOfs8nh3ubzq,spotify:track:5furpJBXj7zOfs8nh3ubzq,https://api.spotify.com/v1/tracks/5furpJBXj7zOfs8nh3ubzq,https://api.spotify.com/v1/audio-analysis/5furpJBXj7zOfs8nh3ubzq,186773,4,Cat Hacks (Bonus Track),spotify:track:5furpJBXj7zOfs8nh3ubzq,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
18,0.63,0.811,7,-6.992,1,0.0564,0.00221,0.665,0.11,0.548,167.973,audio_features,7q50Ebwk5chgKT4YUsZFwU,spotify:track:7q50Ebwk5chgKT4YUsZFwU,https://api.spotify.com/v1/tracks/7q50Ebwk5chgKT4YUsZFwU,https://api.spotify.com/v1/audio-analysis/7q50Ebwk5chgKT4YUsZFwU,287592,4,Crisis Actors (Bonus Track),spotify:track:7q50Ebwk5chgKT4YUsZFwU,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
19,0.652,0.706,8,-10.859,1,0.0558,0.00727,0.401,0.194,0.917,144.991,audio_features,5oWvaufpXpgJ8eCXLaMVsM,spotify:track:5oWvaufpXpgJ8eCXLaMVsM,https://api.spotify.com/v1/tracks/5oWvaufpXpgJ8eCXLaMVsM,https://api.spotify.com/v1/audio-analysis/5oWvaufpXpgJ8eCXLaMVsM,205424,4,Geocities (Bonus Track),spotify:track:5oWvaufpXpgJ8eCXLaMVsM,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
20,0.747,0.409,0,-9.112,0,0.031,0.0181,0.51,0.0832,0.512,95.041,audio_features,3Yegw4kXcio6ffFdyK8zcC,spotify:track:3Yegw4kXcio6ffFdyK8zcC,https://api.spotify.com/v1/tracks/3Yegw4kXcio6ffFdyK8zcC,https://api.spotify.com/v1/audio-analysis/3Yegw4kXcio6ffFdyK8zcC,53032,1,Gravitron (Bonus Track),spotify:track:3Yegw4kXcio6ffFdyK8zcC,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
21,0.492,0.892,0,-6.281,1,0.0279,0.000258,0.905,0.255,0.719,90.008,audio_features,62bBoMilgUYwgdgJpOtnHG,spotify:track:62bBoMilgUYwgdgJpOtnHG,https://api.spotify.com/v1/tracks/62bBoMilgUYwgdgJpOtnHG,https://api.spotify.com/v1/audio-analysis/62bBoMilgUYwgdgJpOtnHG,163731,4,Kubrick and the Beast (Bonus Track),spotify:track:62bBoMilgUYwgdgJpOtnHG,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
22,0.685,0.766,9,-10.179,1,0.0371,0.00961,0.0027,0.36,0.871,136.041,audio_features,26DfjRO6zswKjNqfMwOQSv,spotify:track:26DfjRO6zswKjNqfMwOQSv,https://api.spotify.com/v1/tracks/26DfjRO6zswKjNqfMwOQSv,https://api.spotify.com/v1/audio-analysis/26DfjRO6zswKjNqfMwOQSv,140790,4,Moon's Request (Bonus Track),spotify:track:26DfjRO6zswKjNqfMwOQSv,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
23,0.686,0.79,0,-7.029,1,0.0556,0.00212,7.91e-05,0.101,0.628,111.013,audio_features,5xMq2RJLFn9PNCldXihOJK,spotify:track:5xMq2RJLFn9PNCldXihOJK,https://api.spotify.com/v1/tracks/5xMq2RJLFn9PNCldXihOJK,https://api.spotify.com/v1/audio-analysis/5xMq2RJLFn9PNCldXihOJK,90552,4,Pizza Heroes (Bonus Track),spotify:track:5xMq2RJLFn9PNCldXihOJK,Lemon Demon,4llAOeA6kEF4ytaB2fsmcW
