,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.734,0.647,5,-9.286,0,0.0314,0.0285,0.453,0.132,0.858,119.019,audio_features,5QHbTBgcLTszflSGqTNXXk,spotify:track:5QHbTBgcLTszflSGqTNXXk,https://api.spotify.com/v1/tracks/5QHbTBgcLTszflSGqTNXXk,https://api.spotify.com/v1/audio-analysis/5QHbTBgcLTszflSGqTNXXk,214784,4,Enough - David Bay Remix,spotify:track:5QHbTBgcLTszflSGqTNXXk,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
1,0.735,0.715,0,-8.412,0,0.0498,0.00987,0.0862,0.207,0.622,122.027,audio_features,2AnmcqWvJj6YdmWMxmpJwE,spotify:track:2AnmcqWvJj6YdmWMxmpJwE,https://api.spotify.com/v1/tracks/2AnmcqWvJj6YdmWMxmpJwE,https://api.spotify.com/v1/audio-analysis/2AnmcqWvJj6YdmWMxmpJwE,210681,4,Enough - Feiertag Remix,spotify:track:2AnmcqWvJj6YdmWMxmpJwE,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
2,0.632,0.778,0,-6.119,0,0.103,0.147,0.000481,0.205,0.739,121.964,audio_features,0jeUsJ5tuxVZgq8Cc2OIgn,spotify:track:0jeUsJ5tuxVZgq8Cc2OIgn,https://api.spotify.com/v1/tracks/0jeUsJ5tuxVZgq8Cc2OIgn,https://api.spotify.com/v1/audio-analysis/0jeUsJ5tuxVZgq8Cc2OIgn,174098,4,Enough,spotify:track:0jeUsJ5tuxVZgq8Cc2OIgn,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
3,0.703,0.54,10,-8.109,0,0.155,0.491,1.3e-06,0.447,0.532,122.098,audio_features,1Z233J7fLYFRXheho2DnIP,spotify:track:1Z233J7fLYFRXheho2DnIP,https://api.spotify.com/v1/tracks/1Z233J7fLYFRXheho2DnIP,https://api.spotify.com/v1/audio-analysis/1Z233J7fLYFRXheho2DnIP,226229,4,Jaded,spotify:track:1Z233J7fLYFRXheho2DnIP,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
4,0.709,0.86,8,-6.374,1,0.0447,0.00234,0.111,0.0586,0.888,121.994,audio_features,4tlCcPE3plFg7UJjBNEcar,spotify:track:4tlCcPE3plFg7UJjBNEcar,https://api.spotify.com/v1/tracks/4tlCcPE3plFg7UJjBNEcar,https://api.spotify.com/v1/audio-analysis/4tlCcPE3plFg7UJjBNEcar,247992,4,Jaded - Moullinex Remix,spotify:track:4tlCcPE3plFg7UJjBNEcar,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
5,0.89,0.489,10,-10.65,0,0.103,0.00279,0.54,0.0434,0.713,117.996,audio_features,1QYEJgY4vve2VY1RUEsvpI,spotify:track:1QYEJgY4vve2VY1RUEsvpI,https://api.spotify.com/v1/tracks/1QYEJgY4vve2VY1RUEsvpI,https://api.spotify.com/v1/audio-analysis/1QYEJgY4vve2VY1RUEsvpI,374967,4,Fuhl's Gold,spotify:track:1QYEJgY4vve2VY1RUEsvpI,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
6,0.899,0.475,0,-12.587,1,0.151,0.00244,0.843,0.152,0.447,123.009,audio_features,6VXLtSUU4nuq9HVMcVwKWO,spotify:track:6VXLtSUU4nuq9HVMcVwKWO,https://api.spotify.com/v1/tracks/6VXLtSUU4nuq9HVMcVwKWO,https://api.spotify.com/v1/audio-analysis/6VXLtSUU4nuq9HVMcVwKWO,360000,4,Smile,spotify:track:6VXLtSUU4nuq9HVMcVwKWO,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
7,0.618,0.71,11,-9.165,0,0.0376,0.115,0.335,0.0722,0.304,112.029,audio_features,3KDKQOmjMVZoaT0pXp3PQ2,spotify:track:3KDKQOmjMVZoaT0pXp3PQ2,https://api.spotify.com/v1/tracks/3KDKQOmjMVZoaT0pXp3PQ2,https://api.spotify.com/v1/audio-analysis/3KDKQOmjMVZoaT0pXp3PQ2,260833,4,White Cliffs,spotify:track:3KDKQOmjMVZoaT0pXp3PQ2,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
8,0.606,0.581,5,-9.925,0,0.0431,0.398,0.00107,0.124,0.356,103.974,audio_features,1QdGF0ZKvNJdmK82XzLwOV,spotify:track:1QdGF0ZKvNJdmK82XzLwOV,https://api.spotify.com/v1/tracks/1QdGF0ZKvNJdmK82XzLwOV,https://api.spotify.com/v1/audio-analysis/1QdGF0ZKvNJdmK82XzLwOV,276628,4,Mystic Ways,spotify:track:1QdGF0ZKvNJdmK82XzLwOV,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
9,0.297,0.158,3,-14.657,0,0.0376,0.706,0.921,0.109,0.309,82.702,audio_features,1fDxVF9w0rEl6xfLVf42TJ,spotify:track:1fDxVF9w0rEl6xfLVf42TJ,https://api.spotify.com/v1/tracks/1fDxVF9w0rEl6xfLVf42TJ,https://api.spotify.com/v1/audio-analysis/1fDxVF9w0rEl6xfLVf42TJ,155892,5,Coorbital (Interlude),spotify:track:1fDxVF9w0rEl6xfLVf42TJ,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
10,0.791,0.553,1,-10.081,0,0.0638,0.398,0.594,0.0866,0.725,116.999,audio_features,1bb3JaYuUEtcmlChBj2OYR,spotify:track:1bb3JaYuUEtcmlChBj2OYR,https://api.spotify.com/v1/tracks/1bb3JaYuUEtcmlChBj2OYR,https://api.spotify.com/v1/audio-analysis/1bb3JaYuUEtcmlChBj2OYR,358492,4,"Coda, Pt. 1 & 2",spotify:track:1bb3JaYuUEtcmlChBj2OYR,Les Loups,3U6FqAuXdKYRrGUIyv9MWa
