,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.506,0.563,2,-10.139,1,0.0357,0.00242,0.848,0.216,0.0377,105.973,audio_features,4MZZerLu7nptoV8ym0YSYa,spotify:track:4MZZerLu7nptoV8ym0YSYa,https://api.spotify.com/v1/tracks/4MZZerLu7nptoV8ym0YSYa,https://api.spotify.com/v1/audio-analysis/4MZZerLu7nptoV8ym0YSYa,115445,4,Whitewater,spotify:track:4MZZerLu7nptoV8ym0YSYa,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
1,0.716,0.552,0,-6.927,0,0.0863,0.202,0.0,0.0942,0.181,103.002,audio_features,59rdoga3q8OVCR5WnSGVM8,spotify:track:59rdoga3q8OVCR5WnSGVM8,https://api.spotify.com/v1/tracks/59rdoga3q8OVCR5WnSGVM8,https://api.spotify.com/v1/audio-analysis/59rdoga3q8OVCR5WnSGVM8,248977,4,Hot Pink,spotify:track:59rdoga3q8OVCR5WnSGVM8,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
2,0.488,0.597,0,-6.974,1,0.0589,0.434,0.0,0.0896,0.341,125.912,audio_features,14W3TbQQ1lHNCmeiTHCh1G,spotify:track:14W3TbQQ1lHNCmeiTHCh1G,https://api.spotify.com/v1/tracks/14W3TbQQ1lHNCmeiTHCh1G,https://api.spotify.com/v1/audio-analysis/14W3TbQQ1lHNCmeiTHCh1G,235630,4,It's Not Just Me,spotify:track:14W3TbQQ1lHNCmeiTHCh1G,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
3,0.527,0.858,9,-5.51,0,0.0415,0.00226,0.000106,0.0797,0.214,110.006,audio_features,6fIOgIkJNCII14BMTqSoct,spotify:track:6fIOgIkJNCII14BMTqSoct,https://api.spotify.com/v1/tracks/6fIOgIkJNCII14BMTqSoct,https://api.spotify.com/v1/audio-analysis/6fIOgIkJNCII14BMTqSoct,346489,4,Falling Into Me,spotify:track:6fIOgIkJNCII14BMTqSoct,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
4,0.506,0.644,1,-6.844,1,0.03,0.119,0.000276,0.138,0.245,141.97,audio_features,1BYtgOZhetQ3qqxd0FEg66,spotify:track:1BYtgOZhetQ3qqxd0FEg66,https://api.spotify.com/v1/tracks/1BYtgOZhetQ3qqxd0FEg66,https://api.spotify.com/v1/audio-analysis/1BYtgOZhetQ3qqxd0FEg66,357454,3,Snakes & Ladders,spotify:track:1BYtgOZhetQ3qqxd0FEg66,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
5,0.826,0.7,5,-11.3,1,0.0564,0.92,0.882,0.0968,0.484,114.979,audio_features,0uTg8lJzFMlUmRveihcV0I,spotify:track:0uTg8lJzFMlUmRveihcV0I,https://api.spotify.com/v1/tracks/0uTg8lJzFMlUmRveihcV0I,https://api.spotify.com/v1/audio-analysis/0uTg8lJzFMlUmRveihcV0I,37227,4,Missed Call (1),spotify:track:0uTg8lJzFMlUmRveihcV0I,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
6,0.512,0.698,0,-6.884,1,0.027,0.13,0.296,0.0917,0.0851,110.023,audio_features,6w0vp4n3yy58c8Er5bQdC0,spotify:track:6w0vp4n3yy58c8Er5bQdC0,https://api.spotify.com/v1/tracks/6w0vp4n3yy58c8Er5bQdC0,https://api.spotify.com/v1/audio-analysis/6w0vp4n3yy58c8Er5bQdC0,263248,4,I Will Be Waiting,spotify:track:6w0vp4n3yy58c8Er5bQdC0,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
7,0.358,0.44,10,-20.477,1,0.0753,0.734,0.876,0.101,0.747,123.773,audio_features,27JCJwqvEZeUJLG7Tc0SCN,spotify:track:27JCJwqvEZeUJLG7Tc0SCN,https://api.spotify.com/v1/tracks/27JCJwqvEZeUJLG7Tc0SCN,https://api.spotify.com/v1/audio-analysis/27JCJwqvEZeUJLG7Tc0SCN,65511,5,The Cat's Pyjamas,spotify:track:27JCJwqvEZeUJLG7Tc0SCN,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
8,0.544,0.369,2,-10.015,1,0.0269,0.534,0.0117,0.101,0.0468,97.0,audio_features,6zzeOMcKjurmer7YWUkkMb,spotify:track:6zzeOMcKjurmer7YWUkkMb,https://api.spotify.com/v1/tracks/6zzeOMcKjurmer7YWUkkMb,https://api.spotify.com/v1/audio-analysis/6zzeOMcKjurmer7YWUkkMb,557848,4,Cool & Collected,spotify:track:6zzeOMcKjurmer7YWUkkMb,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
9,0.636,0.143,7,-14.02,0,0.0362,0.903,3.65e-05,0.0719,0.316,108.183,audio_features,5h2vufboNIhOLSmUqGRduU,spotify:track:5h2vufboNIhOLSmUqGRduU,https://api.spotify.com/v1/tracks/5h2vufboNIhOLSmUqGRduU,https://api.spotify.com/v1/audio-analysis/5h2vufboNIhOLSmUqGRduU,184025,3,Ava,spotify:track:5h2vufboNIhOLSmUqGRduU,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF
