,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.614,0.924,2,-2.772,1,0.0661,0.413,0.00261,0.365,0.604,175.123,audio_features,06A15nSgFGTMSH1NT4PSgt,spotify:track:06A15nSgFGTMSH1NT4PSgt,https://api.spotify.com/v1/tracks/06A15nSgFGTMSH1NT4PSgt,https://api.spotify.com/v1/audio-analysis/06A15nSgFGTMSH1NT4PSgt,183031,4,Us Against The World,spotify:track:06A15nSgFGTMSH1NT4PSgt,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
1,0.527,0.923,0,-5.008,1,0.0414,0.00128,0.794,0.411,0.287,173.974,audio_features,4K7c0QbdrAiXyV3TSxq5e9,spotify:track:4K7c0QbdrAiXyV3TSxq5e9,https://api.spotify.com/v1/tracks/4K7c0QbdrAiXyV3TSxq5e9,https://api.spotify.com/v1/audio-analysis/4K7c0QbdrAiXyV3TSxq5e9,297847,4,Devotion,spotify:track:4K7c0QbdrAiXyV3TSxq5e9,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
2,0.501,0.774,7,-4.805,0,0.0356,0.000633,0.765,0.0849,0.101,174.009,audio_features,4ofMM6SzN4JSKFvEhTdObw,spotify:track:4ofMM6SzN4JSKFvEhTdObw,https://api.spotify.com/v1/tracks/4ofMM6SzN4JSKFvEhTdObw,https://api.spotify.com/v1/audio-analysis/4ofMM6SzN4JSKFvEhTdObw,251047,4,Love Hearts,spotify:track:4ofMM6SzN4JSKFvEhTdObw,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
3,0.672,0.958,5,-3.644,0,0.0528,0.000654,0.838,0.0707,0.455,174.001,audio_features,5qASzt6gbwX56mWBJy6Jfd,spotify:track:5qASzt6gbwX56mWBJy6Jfd,https://api.spotify.com/v1/tracks/5qASzt6gbwX56mWBJy6Jfd,https://api.spotify.com/v1/audio-analysis/5qASzt6gbwX56mWBJy6Jfd,318239,4,Keeping Yourself Warm,spotify:track:5qASzt6gbwX56mWBJy6Jfd,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
4,0.455,0.828,0,-4.072,1,0.036,0.00095,0.00207,0.227,0.0428,175.005,audio_features,27PwL98Z5OVfOYR2KmZDgX,spotify:track:27PwL98Z5OVfOYR2KmZDgX,https://api.spotify.com/v1/tracks/27PwL98Z5OVfOYR2KmZDgX,https://api.spotify.com/v1/audio-analysis/27PwL98Z5OVfOYR2KmZDgX,269943,4,Waterfalls,spotify:track:27PwL98Z5OVfOYR2KmZDgX,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
5,0.575,0.676,9,-4.947,0,0.0388,0.266,0.877,0.123,0.194,175.978,audio_features,34Cbu30Z6wv5JAJztopZqr,spotify:track:34Cbu30Z6wv5JAJztopZqr,https://api.spotify.com/v1/tracks/34Cbu30Z6wv5JAJztopZqr,https://api.spotify.com/v1/audio-analysis/34Cbu30Z6wv5JAJztopZqr,223525,4,Fire Away,spotify:track:34Cbu30Z6wv5JAJztopZqr,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
6,0.433,0.855,7,-5.337,0,0.0371,0.000812,0.672,0.134,0.0584,171.967,audio_features,3yWDJU7eMlykN97I8mGEk7,spotify:track:3yWDJU7eMlykN97I8mGEk7,https://api.spotify.com/v1/tracks/3yWDJU7eMlykN97I8mGEk7,https://api.spotify.com/v1/audio-analysis/3yWDJU7eMlykN97I8mGEk7,318401,4,Radiate,spotify:track:3yWDJU7eMlykN97I8mGEk7,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
7,0.551,0.786,3,-5.021,1,0.0337,0.00441,0.0538,0.109,0.356,87.001,audio_features,24yv8t27XMi6Ec4a1B4z3E,spotify:track:24yv8t27XMi6Ec4a1B4z3E,https://api.spotify.com/v1/tracks/24yv8t27XMi6Ec4a1B4z3E,https://api.spotify.com/v1/audio-analysis/24yv8t27XMi6Ec4a1B4z3E,215143,4,Reminiscence,spotify:track:24yv8t27XMi6Ec4a1B4z3E,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
8,0.551,0.618,1,-8.034,0,0.0606,0.00169,0.39,0.0813,0.0756,174.021,audio_features,0c2V5gNI9d61FgXsuy4az0,spotify:track:0c2V5gNI9d61FgXsuy4az0,https://api.spotify.com/v1/tracks/0c2V5gNI9d61FgXsuy4az0,https://api.spotify.com/v1/audio-analysis/0c2V5gNI9d61FgXsuy4az0,291715,4,Run From The Sun,spotify:track:0c2V5gNI9d61FgXsuy4az0,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
9,0.516,0.631,5,-6.036,0,0.0472,0.0609,0.563,0.328,0.0788,173.988,audio_features,2RA5Hj1SM9tijdYRYB7bIr,spotify:track:2RA5Hj1SM9tijdYRYB7bIr,https://api.spotify.com/v1/tracks/2RA5Hj1SM9tijdYRYB7bIr,https://api.spotify.com/v1/audio-analysis/2RA5Hj1SM9tijdYRYB7bIr,318795,4,Escape,spotify:track:2RA5Hj1SM9tijdYRYB7bIr,Liquicity,5XMGnpkjgqC1t9NWOm7nG4
