,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.642,0.565,4,-8.104,1,0.025,0.415,0.0049,0.0941,0.323,103.984,audio_features,4yKdd6PCIs1f8pPp5m5FgD,spotify:track:4yKdd6PCIs1f8pPp5m5FgD,https://api.spotify.com/v1/tracks/4yKdd6PCIs1f8pPp5m5FgD,https://api.spotify.com/v1/audio-analysis/4yKdd6PCIs1f8pPp5m5FgD,183894,4,Everybody Wants To Rule The World,spotify:track:4yKdd6PCIs1f8pPp5m5FgD,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
1,0.682,0.506,4,-8.721,0,0.0936,0.104,7.92e-06,0.0987,0.569,75.09,audio_features,6fLgZhsIfLxGNbiQauYrJy,spotify:track:6fLgZhsIfLxGNbiQauYrJy,https://api.spotify.com/v1/tracks/6fLgZhsIfLxGNbiQauYrJy,https://api.spotify.com/v1/audio-analysis/6fLgZhsIfLxGNbiQauYrJy,225200,4,Black Dream,spotify:track:6fLgZhsIfLxGNbiQauYrJy,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
2,0.759,0.594,2,-7.975,1,0.0429,0.199,0.00278,0.107,0.747,92.004,audio_features,2QRUr6noAS2Jn43WriRHqx,spotify:track:2QRUr6noAS2Jn43WriRHqx,https://api.spotify.com/v1/tracks/2QRUr6noAS2Jn43WriRHqx,https://api.spotify.com/v1/audio-analysis/2QRUr6noAS2Jn43WriRHqx,226957,4,Begins With a Dream,spotify:track:2QRUr6noAS2Jn43WriRHqx,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
3,0.788,0.648,0,-8.835,0,0.0319,0.0115,0.441,0.136,0.87,120.042,audio_features,6dCnNmgCCdW0RZT3rtcLH4,spotify:track:6dCnNmgCCdW0RZT3rtcLH4,https://api.spotify.com/v1/tracks/6dCnNmgCCdW0RZT3rtcLH4,https://api.spotify.com/v1/audio-analysis/6dCnNmgCCdW0RZT3rtcLH4,198000,4,Like Me - Baillie Jnr Remix,spotify:track:6dCnNmgCCdW0RZT3rtcLH4,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
4,0.701,0.457,9,-11.302,0,0.0304,0.448,0.000588,0.109,0.427,114.978,audio_features,6iHpxnpoGNgymt5S50VIiz,spotify:track:6iHpxnpoGNgymt5S50VIiz,https://api.spotify.com/v1/tracks/6iHpxnpoGNgymt5S50VIiz,https://api.spotify.com/v1/audio-analysis/6iHpxnpoGNgymt5S50VIiz,209870,4,Friend's Romance,spotify:track:6iHpxnpoGNgymt5S50VIiz,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
5,0.714,0.446,0,-7.565,0,0.0311,0.568,0.0136,0.0957,0.561,96.997,audio_features,1ySidoCchFLj6VrFGPyzOT,spotify:track:1ySidoCchFLj6VrFGPyzOT,https://api.spotify.com/v1/tracks/1ySidoCchFLj6VrFGPyzOT,https://api.spotify.com/v1/audio-analysis/1ySidoCchFLj6VrFGPyzOT,195173,4,Perfect World,spotify:track:1ySidoCchFLj6VrFGPyzOT,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
6,0.798,0.541,0,-7.499,0,0.0257,0.465,4.65e-05,0.112,0.853,101.972,audio_features,1FZaKpuI623JsLdoMILPUK,spotify:track:1FZaKpuI623JsLdoMILPUK,https://api.spotify.com/v1/tracks/1FZaKpuI623JsLdoMILPUK,https://api.spotify.com/v1/audio-analysis/1FZaKpuI623JsLdoMILPUK,233235,4,Like Me,spotify:track:1FZaKpuI623JsLdoMILPUK,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
7,0.749,0.661,6,-8.742,0,0.0551,0.642,0.449,0.172,0.648,95.021,audio_features,31XzaHXz7ndSaQCec9KQpb,spotify:track:31XzaHXz7ndSaQCec9KQpb,https://api.spotify.com/v1/tracks/31XzaHXz7ndSaQCec9KQpb,https://api.spotify.com/v1/audio-analysis/31XzaHXz7ndSaQCec9KQpb,197817,4,Alien Lady,spotify:track:31XzaHXz7ndSaQCec9KQpb,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
8,0.197,0.384,0,-10.151,1,0.0314,0.836,0.0033,0.0734,0.22,95.409,audio_features,3ZmVGEKVITKxMXwIZXLzzc,spotify:track:3ZmVGEKVITKxMXwIZXLzzc,https://api.spotify.com/v1/tracks/3ZmVGEKVITKxMXwIZXLzzc,https://api.spotify.com/v1/audio-analysis/3ZmVGEKVITKxMXwIZXLzzc,229051,3,Worth to You,spotify:track:3ZmVGEKVITKxMXwIZXLzzc,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
9,0.543,0.693,10,-8.895,0,0.0374,0.244,5.37e-05,0.244,0.766,81.526,audio_features,2vLEs5rlPh46bNwwjFUFoB,spotify:track:2vLEs5rlPh46bNwwjFUFoB,https://api.spotify.com/v1/tracks/2vLEs5rlPh46bNwwjFUFoB,https://api.spotify.com/v1/audio-analysis/2vLEs5rlPh46bNwwjFUFoB,234684,4,Loverboy,spotify:track:2vLEs5rlPh46bNwwjFUFoB,Lomboy,7laFKr0vZdtV9KNGfJ0Ird
