,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.458,0.591,0,-7.99,1,0.0497,0.222,0.0,0.12,0.884,147.486,audio_features,1vWP6yXgOYn42swQpZnbgG,spotify:track:1vWP6yXgOYn42swQpZnbgG,https://api.spotify.com/v1/tracks/1vWP6yXgOYn42swQpZnbgG,https://api.spotify.com/v1/audio-analysis/1vWP6yXgOYn42swQpZnbgG,127650,4,Blue Christmas - Re-Record,spotify:track:1vWP6yXgOYn42swQpZnbgG,Looking Glass,5jJN1nmKXzRjodMl1THQeI
1,0.685,0.554,11,-8.44,1,0.0336,0.0141,0.000168,0.0791,0.812,122.979,audio_features,4ShD6APwW0ik2qFb140XSz,spotify:track:4ShD6APwW0ik2qFb140XSz,https://api.spotify.com/v1/tracks/4ShD6APwW0ik2qFb140XSz,https://api.spotify.com/v1/audio-analysis/4ShD6APwW0ik2qFb140XSz,147171,4,Winter Wonderland - Re-Record,spotify:track:4ShD6APwW0ik2qFb140XSz,Looking Glass,5jJN1nmKXzRjodMl1THQeI
2,0.725,0.631,0,-8.558,1,0.0391,0.198,0.0,0.1,0.784,126.006,audio_features,7kDFdoMK1yu6BaaQbxwk84,spotify:track:7kDFdoMK1yu6BaaQbxwk84,https://api.spotify.com/v1/tracks/7kDFdoMK1yu6BaaQbxwk84,https://api.spotify.com/v1/audio-analysis/7kDFdoMK1yu6BaaQbxwk84,129828,4,Jingle Bell Rock - Re-Record,spotify:track:7kDFdoMK1yu6BaaQbxwk84,Looking Glass,5jJN1nmKXzRjodMl1THQeI
3,0.583,0.32,7,-14.301,1,0.0323,0.684,5.3e-05,0.325,0.389,76.957,audio_features,45pE0KKmGbXO7FVcPAJsqg,spotify:track:45pE0KKmGbXO7FVcPAJsqg,https://api.spotify.com/v1/tracks/45pE0KKmGbXO7FVcPAJsqg,https://api.spotify.com/v1/audio-analysis/45pE0KKmGbXO7FVcPAJsqg,135790,4,Have Yourself a Merry Little Christmas - Re-Record,spotify:track:45pE0KKmGbXO7FVcPAJsqg,Looking Glass,5jJN1nmKXzRjodMl1THQeI
4,0.73,0.435,1,-14.833,0,0.0525,0.174,5.06e-06,0.202,0.293,109.115,audio_features,6LMo507Sko5BRirHH5XOVV,spotify:track:6LMo507Sko5BRirHH5XOVV,https://api.spotify.com/v1/tracks/6LMo507Sko5BRirHH5XOVV,https://api.spotify.com/v1/audio-analysis/6LMo507Sko5BRirHH5XOVV,177217,4,"Let It Snow, Let It Snow, Let It Snow - Re-Record",spotify:track:6LMo507Sko5BRirHH5XOVV,Looking Glass,5jJN1nmKXzRjodMl1THQeI
5,0.779,0.473,2,-11.938,1,0.0548,0.00132,0.00045,0.0764,0.712,123.278,audio_features,2JJTvzwCI9pBVddTii2AG7,spotify:track:2JJTvzwCI9pBVddTii2AG7,https://api.spotify.com/v1/tracks/2JJTvzwCI9pBVddTii2AG7,https://api.spotify.com/v1/audio-analysis/2JJTvzwCI9pBVddTii2AG7,196882,4,Little Drummer Boy - Re-Record,spotify:track:2JJTvzwCI9pBVddTii2AG7,Looking Glass,5jJN1nmKXzRjodMl1THQeI
6,0.613,0.422,5,-10.149,1,0.0243,0.468,0.0,0.522,0.532,61.485,audio_features,41JriixarEgiZDUHgqIp5X,spotify:track:41JriixarEgiZDUHgqIp5X,https://api.spotify.com/v1/tracks/41JriixarEgiZDUHgqIp5X,https://api.spotify.com/v1/audio-analysis/41JriixarEgiZDUHgqIp5X,196284,4,Santa Claus is Coming to Town - Re-Record,spotify:track:41JriixarEgiZDUHgqIp5X,Looking Glass,5jJN1nmKXzRjodMl1THQeI
7,0.608,0.604,4,-9.784,0,0.0338,0.77,0.000158,0.41,0.905,136.018,audio_features,3WknsOoTmbQFbxqjn7uZo8,spotify:track:3WknsOoTmbQFbxqjn7uZo8,https://api.spotify.com/v1/tracks/3WknsOoTmbQFbxqjn7uZo8,https://api.spotify.com/v1/audio-analysis/3WknsOoTmbQFbxqjn7uZo8,218027,4,Jimmy Loves Mary-Anne,spotify:track:3WknsOoTmbQFbxqjn7uZo8,Looking Glass,5jJN1nmKXzRjodMl1THQeI
8,0.676,0.688,7,-9.089,1,0.027,0.527,0.00128,0.687,0.89,135.319,audio_features,6PlCIeY2bGCLdF8I4FIsVh,spotify:track:6PlCIeY2bGCLdF8I4FIsVh,https://api.spotify.com/v1/tracks/6PlCIeY2bGCLdF8I4FIsVh,https://api.spotify.com/v1/audio-analysis/6PlCIeY2bGCLdF8I4FIsVh,202373,4,City Lady,spotify:track:6PlCIeY2bGCLdF8I4FIsVh,Looking Glass,5jJN1nmKXzRjodMl1THQeI
9,0.399,0.165,5,-14.806,1,0.0302,0.975,0.000101,0.103,0.291,143.07,audio_features,1TRJ46PI6zPflcbnZfPPzO,spotify:track:1TRJ46PI6zPflcbnZfPPzO,https://api.spotify.com/v1/tracks/1TRJ46PI6zPflcbnZfPPzO,https://api.spotify.com/v1/audio-analysis/1TRJ46PI6zPflcbnZfPPzO,196200,4,For Skipper,spotify:track:1TRJ46PI6zPflcbnZfPPzO,Looking Glass,5jJN1nmKXzRjodMl1THQeI
