,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.741,0.659,7,-12.979,1,0.121,0.536,0.66,0.293,0.932,119.848,audio_features,09EpfdE3joLco2NLEdGu4H,spotify:track:09EpfdE3joLco2NLEdGu4H,https://api.spotify.com/v1/tracks/09EpfdE3joLco2NLEdGu4H,https://api.spotify.com/v1/audio-analysis/09EpfdE3joLco2NLEdGu4H,206600,4,Karneval,spotify:track:09EpfdE3joLco2NLEdGu4H,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
1,0.921,0.233,7,-16.077,1,0.13,0.843,4.68e-06,0.0903,0.682,120.932,audio_features,3i6Pv5PrzCRhzmyykQbKyv,spotify:track:3i6Pv5PrzCRhzmyykQbKyv,https://api.spotify.com/v1/tracks/3i6Pv5PrzCRhzmyykQbKyv,https://api.spotify.com/v1/audio-analysis/3i6Pv5PrzCRhzmyykQbKyv,172334,4,Prøv og Gør Ligesom Jeg,spotify:track:3i6Pv5PrzCRhzmyykQbKyv,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
2,0.639,0.498,4,-12.747,1,0.0419,0.739,0.0713,0.114,0.59,130.432,audio_features,6mjgSfyctTCpGjg2nK2XQq,spotify:track:6mjgSfyctTCpGjg2nK2XQq,https://api.spotify.com/v1/tracks/6mjgSfyctTCpGjg2nK2XQq,https://api.spotify.com/v1/audio-analysis/6mjgSfyctTCpGjg2nK2XQq,200000,4,Syng og Leg,spotify:track:6mjgSfyctTCpGjg2nK2XQq,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
3,0.613,0.608,5,-17.151,0,0.328,0.585,0.00993,0.0903,0.254,99.141,audio_features,16trMOKDy9tOBKn9nFyQeE,spotify:track:16trMOKDy9tOBKn9nFyQeE,https://api.spotify.com/v1/tracks/16trMOKDy9tOBKn9nFyQeE,https://api.spotify.com/v1/audio-analysis/16trMOKDy9tOBKn9nFyQeE,138000,4,Stopdans,spotify:track:16trMOKDy9tOBKn9nFyQeE,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
4,0.786,0.652,5,-11.77,0,0.244,0.0686,1.82e-06,0.048,0.79,135.373,audio_features,0JQDIRFuhk2RF5dLyn75aT,spotify:track:0JQDIRFuhk2RF5dLyn75aT,https://api.spotify.com/v1/tracks/0JQDIRFuhk2RF5dLyn75aT,https://api.spotify.com/v1/audio-analysis/0JQDIRFuhk2RF5dLyn75aT,78773,4,Tillykke Tillykke,spotify:track:0JQDIRFuhk2RF5dLyn75aT,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
5,0.933,0.379,7,-12.327,1,0.289,0.736,5.33e-05,0.0735,0.866,113.262,audio_features,51LWe5mfpA9LzKT70wC2GI,spotify:track:51LWe5mfpA9LzKT70wC2GI,https://api.spotify.com/v1/tracks/51LWe5mfpA9LzKT70wC2GI,https://api.spotify.com/v1/audio-analysis/51LWe5mfpA9LzKT70wC2GI,146267,4,Hjemme I Vores Gård,spotify:track:51LWe5mfpA9LzKT70wC2GI,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
6,0.858,0.36,2,-13.252,0,0.0586,0.559,0.00267,0.0799,0.891,139.975,audio_features,6FgI0SqvNu1slRh7Bm6GuW,spotify:track:6FgI0SqvNu1slRh7Bm6GuW,https://api.spotify.com/v1/tracks/6FgI0SqvNu1slRh7Bm6GuW,https://api.spotify.com/v1/audio-analysis/6FgI0SqvNu1slRh7Bm6GuW,218787,4,Sliksang,spotify:track:6FgI0SqvNu1slRh7Bm6GuW,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
7,0.827,0.413,5,-12.149,1,0.0349,0.533,0.000986,0.0889,0.844,106.544,audio_features,78EAk7mZN6Fy3i7xbZAfeW,spotify:track:78EAk7mZN6Fy3i7xbZAfeW,https://api.spotify.com/v1/tracks/78EAk7mZN6Fy3i7xbZAfeW,https://api.spotify.com/v1/audio-analysis/78EAk7mZN6Fy3i7xbZAfeW,190613,4,Du Kan Bruge Din Krop,spotify:track:78EAk7mZN6Fy3i7xbZAfeW,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
8,0.877,0.285,0,-13.205,0,0.0793,0.732,0.00025,0.107,0.7,127.874,audio_features,1v5tKMAlE4akZBd3bibGpE,spotify:track:1v5tKMAlE4akZBd3bibGpE,https://api.spotify.com/v1/tracks/1v5tKMAlE4akZBd3bibGpE,https://api.spotify.com/v1/audio-analysis/1v5tKMAlE4akZBd3bibGpE,135347,4,Hvad Ska Jeg Gøre Ved Det,spotify:track:1v5tKMAlE4akZBd3bibGpE,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
9,0.826,0.645,0,-10.62,1,0.0313,0.513,0.795,0.0741,0.944,127.731,audio_features,29RDi7UocOvpKifpgWkR28,spotify:track:29RDi7UocOvpKifpgWkR28,https://api.spotify.com/v1/tracks/29RDi7UocOvpKifpgWkR28,https://api.spotify.com/v1/audio-analysis/29RDi7UocOvpKifpgWkR28,164560,4,Dansemusik,spotify:track:29RDi7UocOvpKifpgWkR28,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
10,0.623,0.466,6,-17.739,1,0.129,0.909,0.949,0.0822,0.456,123.649,audio_features,3xqfPSD9kEgeKCCfliLflU,spotify:track:3xqfPSD9kEgeKCCfliLflU,https://api.spotify.com/v1/tracks/3xqfPSD9kEgeKCCfliLflU,https://api.spotify.com/v1/audio-analysis/3xqfPSD9kEgeKCCfliLflU,101413,4,Trommedans,spotify:track:3xqfPSD9kEgeKCCfliLflU,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
11,0.698,0.192,10,-17.781,0,0.0429,0.663,0.251,0.107,0.674,132.614,audio_features,2QOuTYmVEmtjUNveKnUmea,spotify:track:2QOuTYmVEmtjUNveKnUmea,https://api.spotify.com/v1/tracks/2QOuTYmVEmtjUNveKnUmea,https://api.spotify.com/v1/audio-analysis/2QOuTYmVEmtjUNveKnUmea,287725,4,Byen Er Stille,spotify:track:2QOuTYmVEmtjUNveKnUmea,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
12,0.803,0.47,7,-13.522,1,0.0609,0.389,0.0,0.109,0.344,90.032,audio_features,6hFiF4JNQkzTDscPg0rWTz,spotify:track:6hFiF4JNQkzTDscPg0rWTz,https://api.spotify.com/v1/tracks/6hFiF4JNQkzTDscPg0rWTz,https://api.spotify.com/v1/audio-analysis/6hFiF4JNQkzTDscPg0rWTz,168533,4,"Solen Skinner, Himlen Er Blå",spotify:track:6hFiF4JNQkzTDscPg0rWTz,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
13,0.942,0.532,1,-10.574,0,0.0447,0.262,0.00245,0.0999,0.876,122.995,audio_features,0nqIukN2WGb7AGTQBJaQ1L,spotify:track:0nqIukN2WGb7AGTQBJaQ1L,https://api.spotify.com/v1/tracks/0nqIukN2WGb7AGTQBJaQ1L,https://api.spotify.com/v1/audio-analysis/0nqIukN2WGb7AGTQBJaQ1L,198733,4,Anna Er Min Allerbedste Ven,spotify:track:0nqIukN2WGb7AGTQBJaQ1L,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
14,0.916,0.418,10,-12.75,0,0.103,0.454,0.000375,0.0584,0.773,119.948,audio_features,7eELFvJrqojLyniVBtF5Re,spotify:track:7eELFvJrqojLyniVBtF5Re,https://api.spotify.com/v1/tracks/7eELFvJrqojLyniVBtF5Re,https://api.spotify.com/v1/audio-analysis/7eELFvJrqojLyniVBtF5Re,145040,4,Højt Op' I Luften,spotify:track:7eELFvJrqojLyniVBtF5Re,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
15,0.882,0.306,5,-14.696,1,0.0489,0.859,6.3e-05,0.0872,0.77,95.981,audio_features,4tqDYNkqV5o2qEYwuQWFkK,spotify:track:4tqDYNkqV5o2qEYwuQWFkK,https://api.spotify.com/v1/tracks/4tqDYNkqV5o2qEYwuQWFkK,https://api.spotify.com/v1/audio-analysis/4tqDYNkqV5o2qEYwuQWFkK,171813,4,Inde I En Slikbutik,spotify:track:4tqDYNkqV5o2qEYwuQWFkK,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
16,0.799,0.306,11,-14.772,1,0.0834,0.594,2.84e-06,0.0909,0.779,160.074,audio_features,3lkHTTrNeqs9XlAa0fOSA8,spotify:track:3lkHTTrNeqs9XlAa0fOSA8,https://api.spotify.com/v1/tracks/3lkHTTrNeqs9XlAa0fOSA8,https://api.spotify.com/v1/audio-analysis/3lkHTTrNeqs9XlAa0fOSA8,145840,4,Missemor,spotify:track:3lkHTTrNeqs9XlAa0fOSA8,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
17,0.916,0.427,5,-13.841,0,0.0838,0.513,3.41e-05,0.0844,0.857,123.121,audio_features,4TFCCRa9J7LfSY4H5MmRvE,spotify:track:4TFCCRa9J7LfSY4H5MmRvE,https://api.spotify.com/v1/tracks/4TFCCRa9J7LfSY4H5MmRvE,https://api.spotify.com/v1/audio-analysis/4TFCCRa9J7LfSY4H5MmRvE,167267,4,Der Er Så Mange Spøgelser,spotify:track:4TFCCRa9J7LfSY4H5MmRvE,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
18,0.573,0.332,0,-13.737,1,0.054,0.702,0.0,0.0985,0.405,125.84,audio_features,7z67228GTsOZxrRMEoonUr,spotify:track:7z67228GTsOZxrRMEoonUr,https://api.spotify.com/v1/tracks/7z67228GTsOZxrRMEoonUr,https://api.spotify.com/v1/audio-analysis/7z67228GTsOZxrRMEoonUr,247480,3,Fuglene / Fluerne,spotify:track:7z67228GTsOZxrRMEoonUr,Lotte Kærså & Græsrødderne,4v3qImw8IRy1FRPI3mMUNh
