,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.205,0.309,6,-12.696,0,0.0404,0.767,0.903,0.616,0.0743,110.315,audio_features,4pR52gI2cMoVKBRkwGYnrt,spotify:track:4pR52gI2cMoVKBRkwGYnrt,https://api.spotify.com/v1/tracks/4pR52gI2cMoVKBRkwGYnrt,https://api.spotify.com/v1/audio-analysis/4pR52gI2cMoVKBRkwGYnrt,110798,3,The Path to Inner World,spotify:track:4pR52gI2cMoVKBRkwGYnrt,Lou Berry,6ZejT5CyVklEhKncKniiNQ
1,0.82,0.676,4,-8.438,0,0.0601,0.112,0.375,0.365,0.807,136.025,audio_features,0Ll4skpIWF9QSOGocSd76w,spotify:track:0Ll4skpIWF9QSOGocSd76w,https://api.spotify.com/v1/tracks/0Ll4skpIWF9QSOGocSd76w,https://api.spotify.com/v1/audio-analysis/0Ll4skpIWF9QSOGocSd76w,244220,4,No Homecoming,spotify:track:0Ll4skpIWF9QSOGocSd76w,Lou Berry,6ZejT5CyVklEhKncKniiNQ
2,0.0,0.115,2,-19.393,1,0.0,0.746,0.834,0.133,0.0,0.0,audio_features,49M8z8h38vgWCDvta5zVul,spotify:track:49M8z8h38vgWCDvta5zVul,https://api.spotify.com/v1/tracks/49M8z8h38vgWCDvta5zVul,https://api.spotify.com/v1/audio-analysis/49M8z8h38vgWCDvta5zVul,36722,0,It's a New Day,spotify:track:49M8z8h38vgWCDvta5zVul,Lou Berry,6ZejT5CyVklEhKncKniiNQ
3,0.541,0.499,2,-9.515,0,0.162,0.691,0.0054,0.186,0.296,94.771,audio_features,1tGgWknk2xituPDZ6cn7e4,spotify:track:1tGgWknk2xituPDZ6cn7e4,https://api.spotify.com/v1/tracks/1tGgWknk2xituPDZ6cn7e4,https://api.spotify.com/v1/audio-analysis/1tGgWknk2xituPDZ6cn7e4,226508,4,Dreamers,spotify:track:1tGgWknk2xituPDZ6cn7e4,Lou Berry,6ZejT5CyVklEhKncKniiNQ
4,0.604,0.283,0,-13.564,0,0.0355,0.734,0.0572,0.0658,0.12,139.931,audio_features,1oXS3nbhGIMfsvlrWlIPsL,spotify:track:1oXS3nbhGIMfsvlrWlIPsL,https://api.spotify.com/v1/tracks/1oXS3nbhGIMfsvlrWlIPsL,https://api.spotify.com/v1/audio-analysis/1oXS3nbhGIMfsvlrWlIPsL,163622,4,Is It?,spotify:track:1oXS3nbhGIMfsvlrWlIPsL,Lou Berry,6ZejT5CyVklEhKncKniiNQ
5,0.733,0.53,11,-7.444,0,0.122,0.439,2.58e-05,0.137,0.545,73.978,audio_features,1376sgK69xu3SOiV4Vdoxc,spotify:track:1376sgK69xu3SOiV4Vdoxc,https://api.spotify.com/v1/tracks/1376sgK69xu3SOiV4Vdoxc,https://api.spotify.com/v1/audio-analysis/1376sgK69xu3SOiV4Vdoxc,212236,4,Mary's Lies,spotify:track:1376sgK69xu3SOiV4Vdoxc,Lou Berry,6ZejT5CyVklEhKncKniiNQ
6,0.831,0.686,0,-7.893,0,0.0772,0.294,0.000159,0.312,0.579,99.981,audio_features,3B6m2bT1cZ2omn3oIzePTa,spotify:track:3B6m2bT1cZ2omn3oIzePTa,https://api.spotify.com/v1/tracks/3B6m2bT1cZ2omn3oIzePTa,https://api.spotify.com/v1/audio-analysis/3B6m2bT1cZ2omn3oIzePTa,226433,4,Runaway,spotify:track:3B6m2bT1cZ2omn3oIzePTa,Lou Berry,6ZejT5CyVklEhKncKniiNQ
7,0.65,0.576,5,-14.634,0,0.0521,0.788,0.493,0.0978,0.0792,148.013,audio_features,48PdNcVVjyHduzpau55Fed,spotify:track:48PdNcVVjyHduzpau55Fed,https://api.spotify.com/v1/tracks/48PdNcVVjyHduzpau55Fed,https://api.spotify.com/v1/audio-analysis/48PdNcVVjyHduzpau55Fed,72366,4,Come Back,spotify:track:48PdNcVVjyHduzpau55Fed,Lou Berry,6ZejT5CyVklEhKncKniiNQ
8,0.619,0.43,7,-11.511,0,0.0364,0.375,0.0245,0.164,0.0387,103.037,audio_features,05380IfWMtm2KnFnWq1VFQ,spotify:track:05380IfWMtm2KnFnWq1VFQ,https://api.spotify.com/v1/tracks/05380IfWMtm2KnFnWq1VFQ,https://api.spotify.com/v1/audio-analysis/05380IfWMtm2KnFnWq1VFQ,196901,4,Underneath,spotify:track:05380IfWMtm2KnFnWq1VFQ,Lou Berry,6ZejT5CyVklEhKncKniiNQ
9,0.51,0.352,1,-10.367,1,0.0247,0.027,0.815,0.0844,0.217,98.077,audio_features,6PZZagkj4GSiHeFz8ankb0,spotify:track:6PZZagkj4GSiHeFz8ankb0,https://api.spotify.com/v1/tracks/6PZZagkj4GSiHeFz8ankb0,https://api.spotify.com/v1/audio-analysis/6PZZagkj4GSiHeFz8ankb0,127037,4,Doomed Stars,spotify:track:6PZZagkj4GSiHeFz8ankb0,Lou Berry,6ZejT5CyVklEhKncKniiNQ
