,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.542,0.777,8,-5.465,1,0.107,0.0313,8.34e-05,0.389,0.236,150.09,audio_features,7JgyTfodgKwFCl2rPqHNv6,spotify:track:7JgyTfodgKwFCl2rPqHNv6,https://api.spotify.com/v1/tracks/7JgyTfodgKwFCl2rPqHNv6,https://api.spotify.com/v1/audio-analysis/7JgyTfodgKwFCl2rPqHNv6,166966,4,Lose Control,spotify:track:7JgyTfodgKwFCl2rPqHNv6,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
1,0.63,0.878,1,-3.924,1,0.038,0.0172,0.00116,0.27,0.155,89.977,audio_features,0yOr538miZzpzkZq3803nf,spotify:track:0yOr538miZzpzkZq3803nf,https://api.spotify.com/v1/tracks/0yOr538miZzpzkZq3803nf,https://api.spotify.com/v1/audio-analysis/0yOr538miZzpzkZq3803nf,178556,4,LIE,spotify:track:0yOr538miZzpzkZq3803nf,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
2,0.446,0.898,1,-4.802,1,0.054,0.00816,7.08e-05,0.0663,0.0578,179.886,audio_features,2wpraXWPxgzwnAy7BsHaS3,spotify:track:2wpraXWPxgzwnAy7BsHaS3,https://api.spotify.com/v1/tracks/2wpraXWPxgzwnAy7BsHaS3,https://api.spotify.com/v1/audio-analysis/2wpraXWPxgzwnAy7BsHaS3,180192,4,I Am Fire,spotify:track:2wpraXWPxgzwnAy7BsHaS3,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
3,0.614,0.93,10,-4.046,0,0.0493,0.0251,0.0,0.0893,0.152,119.943,audio_features,6r01im7ZMdH0rOGMv4cdTP,spotify:track:6r01im7ZMdH0rOGMv4cdTP,https://api.spotify.com/v1/tracks/6r01im7ZMdH0rOGMv4cdTP,https://api.spotify.com/v1/audio-analysis/6r01im7ZMdH0rOGMv4cdTP,143202,4,Everybody,spotify:track:6r01im7ZMdH0rOGMv4cdTP,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
4,0.471,0.946,8,-6.414,1,0.054,0.00415,0.0793,0.0475,0.0395,161.94,audio_features,09VmB1nIYPBoULpwDAj9cs,spotify:track:09VmB1nIYPBoULpwDAj9cs,https://api.spotify.com/v1/tracks/09VmB1nIYPBoULpwDAj9cs,https://api.spotify.com/v1/audio-analysis/09VmB1nIYPBoULpwDAj9cs,200166,4,I Need You,spotify:track:09VmB1nIYPBoULpwDAj9cs,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
5,0.564,0.546,9,-6.899,0,0.0278,0.139,0.0,0.419,0.187,99.93,audio_features,3xQSVngL4OJu5RXAchFQPm,spotify:track:3xQSVngL4OJu5RXAchFQPm,https://api.spotify.com/v1/tracks/3xQSVngL4OJu5RXAchFQPm,https://api.spotify.com/v1/audio-analysis/3xQSVngL4OJu5RXAchFQPm,146469,4,Black Blood,spotify:track:3xQSVngL4OJu5RXAchFQPm,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
6,0.6,0.808,2,-7.109,1,0.0333,0.00305,0.0494,0.128,0.157,150.014,audio_features,0B7vr2fZDZwLvqf6S2obKK,spotify:track:0B7vr2fZDZwLvqf6S2obKK,https://api.spotify.com/v1/tracks/0B7vr2fZDZwLvqf6S2obKK,https://api.spotify.com/v1/audio-analysis/0B7vr2fZDZwLvqf6S2obKK,166433,4,Everyday,spotify:track:0B7vr2fZDZwLvqf6S2obKK,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
7,0.641,0.713,11,-7.246,1,0.0256,0.00102,0.922,0.383,0.111,100.001,audio_features,25WRSMRvF8W0NGpwZDwuYR,spotify:track:25WRSMRvF8W0NGpwZDwuYR,https://api.spotify.com/v1/tracks/25WRSMRvF8W0NGpwZDwuYR,https://api.spotify.com/v1/audio-analysis/25WRSMRvF8W0NGpwZDwuYR,163206,4,Tbilisi 2077,spotify:track:25WRSMRvF8W0NGpwZDwuYR,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
8,0.673,0.941,10,-2.869,0,0.185,0.0903,0.0,0.0671,0.224,80.011,audio_features,0ZzNWCqoK57ZoesaDXdWOC,spotify:track:0ZzNWCqoK57ZoesaDXdWOC,https://api.spotify.com/v1/tracks/0ZzNWCqoK57ZoesaDXdWOC,https://api.spotify.com/v1/audio-analysis/0ZzNWCqoK57ZoesaDXdWOC,149074,4,Adrenaline,spotify:track:0ZzNWCqoK57ZoesaDXdWOC,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
9,0.502,0.857,5,-3.866,0,0.0533,0.00376,0.000344,0.535,0.187,160.006,audio_features,4OxKYEiGSlf7XszVXG2mlf,spotify:track:4OxKYEiGSlf7XszVXG2mlf,https://api.spotify.com/v1/tracks/4OxKYEiGSlf7XszVXG2mlf,https://api.spotify.com/v1/audio-analysis/4OxKYEiGSlf7XszVXG2mlf,147712,4,Science,spotify:track:4OxKYEiGSlf7XszVXG2mlf,Lukasoprom,3d8NwLM2U7JYt2H97W5ls1
