,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.497,0.968,2,-4.314,1,0.0548,0.000715,0.00961,0.102,0.306,155.895,audio_features,5zk8TmQkuRdYS0Nv8wWghz,spotify:track:5zk8TmQkuRdYS0Nv8wWghz,https://api.spotify.com/v1/tracks/5zk8TmQkuRdYS0Nv8wWghz,https://api.spotify.com/v1/audio-analysis/5zk8TmQkuRdYS0Nv8wWghz,130720,4,Better Unknown,spotify:track:5zk8TmQkuRdYS0Nv8wWghz,Lustra,3IJ770I1QPmwVp7yug0eJ4
1,0.478,0.921,2,-5.3,1,0.0375,1.13e-05,0.219,0.168,0.594,139.04,audio_features,5ATBeZqOGjNss4SvVmGy4P,spotify:track:5ATBeZqOGjNss4SvVmGy4P,https://api.spotify.com/v1/tracks/5ATBeZqOGjNss4SvVmGy4P,https://api.spotify.com/v1/audio-analysis/5ATBeZqOGjNss4SvVmGy4P,214173,4,Dinosaur,spotify:track:5ATBeZqOGjNss4SvVmGy4P,Lustra,3IJ770I1QPmwVp7yug0eJ4
2,0.559,0.942,0,-7.675,1,0.0502,1.69e-05,0.0129,0.107,0.447,101.529,audio_features,5W36lK79muOPhyYDx6C1bJ,spotify:track:5W36lK79muOPhyYDx6C1bJ,https://api.spotify.com/v1/tracks/5W36lK79muOPhyYDx6C1bJ,https://api.spotify.com/v1/audio-analysis/5W36lK79muOPhyYDx6C1bJ,176493,4,It's a Shame About Boston,spotify:track:5W36lK79muOPhyYDx6C1bJ,Lustra,3IJ770I1QPmwVp7yug0eJ4
3,0.595,0.868,9,-6.489,0,0.0591,0.00101,0.0386,0.0845,0.396,121.995,audio_features,43ZcUdv1wSFE1EFsSwwKv1,spotify:track:43ZcUdv1wSFE1EFsSwwKv1,https://api.spotify.com/v1/tracks/43ZcUdv1wSFE1EFsSwwKv1,https://api.spotify.com/v1/audio-analysis/43ZcUdv1wSFE1EFsSwwKv1,205747,4,White Powder,spotify:track:43ZcUdv1wSFE1EFsSwwKv1,Lustra,3IJ770I1QPmwVp7yug0eJ4
4,0.358,0.959,7,-4.532,1,0.0702,5.78e-05,4.13e-05,0.215,0.343,154.055,audio_features,2j5lp4gCFP62VHYigmMeQx,spotify:track:2j5lp4gCFP62VHYigmMeQx,https://api.spotify.com/v1/tracks/2j5lp4gCFP62VHYigmMeQx,https://api.spotify.com/v1/audio-analysis/2j5lp4gCFP62VHYigmMeQx,166840,4,It's Gone,spotify:track:2j5lp4gCFP62VHYigmMeQx,Lustra,3IJ770I1QPmwVp7yug0eJ4
5,0.599,0.756,2,-6.529,1,0.0513,5.01e-05,0.000737,0.0733,0.556,133.148,audio_features,4BvMM4xfamMcLRG8xL2J9F,spotify:track:4BvMM4xfamMcLRG8xL2J9F,https://api.spotify.com/v1/tracks/4BvMM4xfamMcLRG8xL2J9F,https://api.spotify.com/v1/audio-analysis/4BvMM4xfamMcLRG8xL2J9F,187227,4,Kids in Makeup,spotify:track:4BvMM4xfamMcLRG8xL2J9F,Lustra,3IJ770I1QPmwVp7yug0eJ4
6,0.314,0.908,9,-5.829,0,0.0403,2.18e-06,0.0241,0.135,0.447,155.153,audio_features,4W8s21bPps5FzNinUCTHBS,spotify:track:4W8s21bPps5FzNinUCTHBS,https://api.spotify.com/v1/tracks/4W8s21bPps5FzNinUCTHBS,https://api.spotify.com/v1/audio-analysis/4W8s21bPps5FzNinUCTHBS,257147,4,Greeting Card,spotify:track:4W8s21bPps5FzNinUCTHBS,Lustra,3IJ770I1QPmwVp7yug0eJ4
7,0.332,0.991,2,-5.043,1,0.254,0.000161,0.698,0.0801,0.0788,169.973,audio_features,0VyyhEODifq9906xRntAUE,spotify:track:0VyyhEODifq9906xRntAUE,https://api.spotify.com/v1/tracks/0VyyhEODifq9906xRntAUE,https://api.spotify.com/v1/audio-analysis/0VyyhEODifq9906xRntAUE,141627,4,Lady Boy,spotify:track:0VyyhEODifq9906xRntAUE,Lustra,3IJ770I1QPmwVp7yug0eJ4
8,0.656,0.698,2,-8.134,0,0.0371,0.0148,0.0704,0.0977,0.449,121.003,audio_features,2Koss6C6HnGdpgCVzp0BcM,spotify:track:2Koss6C6HnGdpgCVzp0BcM,https://api.spotify.com/v1/tracks/2Koss6C6HnGdpgCVzp0BcM,https://api.spotify.com/v1/audio-analysis/2Koss6C6HnGdpgCVzp0BcM,181747,4,No One Like Me,spotify:track:2Koss6C6HnGdpgCVzp0BcM,Lustra,3IJ770I1QPmwVp7yug0eJ4
9,0.405,0.951,4,-5.763,0,0.0612,4.74e-06,3.59e-05,0.219,0.351,145.038,audio_features,01HQf1JIJnEZHDR2V0XzBu,spotify:track:01HQf1JIJnEZHDR2V0XzBu,https://api.spotify.com/v1/tracks/01HQf1JIJnEZHDR2V0XzBu,https://api.spotify.com/v1/audio-analysis/01HQf1JIJnEZHDR2V0XzBu,177520,4,Say You're In,spotify:track:01HQf1JIJnEZHDR2V0XzBu,Lustra,3IJ770I1QPmwVp7yug0eJ4
