,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.596,0.864,8,-5.627,0,0.0323,0.0346,0.869,0.275,0.326,99.99,audio_features,1xdyIMz6SknJolDNcfMM75,spotify:track:1xdyIMz6SknJolDNcfMM75,https://api.spotify.com/v1/tracks/1xdyIMz6SknJolDNcfMM75,https://api.spotify.com/v1/audio-analysis/1xdyIMz6SknJolDNcfMM75,235200,4,Whatever You Need,spotify:track:1xdyIMz6SknJolDNcfMM75,Lxury,65A90NWrD8qdbNtsRgVXdf
1,0.64,0.622,8,-6.848,1,0.0589,0.000163,0.667,0.171,0.528,124.023,audio_features,14PKyZQsD9qZLVXuWM84ZU,spotify:track:14PKyZQsD9qZLVXuWM84ZU,https://api.spotify.com/v1/tracks/14PKyZQsD9qZLVXuWM84ZU,https://api.spotify.com/v1/audio-analysis/14PKyZQsD9qZLVXuWM84ZU,176130,4,Acid Rain - Edit,spotify:track:14PKyZQsD9qZLVXuWM84ZU,Lxury,65A90NWrD8qdbNtsRgVXdf
2,0.729,0.85,6,-6.544,1,0.0856,0.0387,0.879,0.154,0.437,108.17,audio_features,35VPOquC79gPM333u1qKbS,spotify:track:35VPOquC79gPM333u1qKbS,https://api.spotify.com/v1/tracks/35VPOquC79gPM333u1qKbS,https://api.spotify.com/v1/audio-analysis/35VPOquC79gPM333u1qKbS,207367,4,Transport,spotify:track:35VPOquC79gPM333u1qKbS,Lxury,65A90NWrD8qdbNtsRgVXdf
3,0.621,0.818,8,-5.083,1,0.0444,0.00117,0.841,0.403,0.559,114.024,audio_features,7LW4AlVyfMsJ94qcWyNTHJ,spotify:track:7LW4AlVyfMsJ94qcWyNTHJ,https://api.spotify.com/v1/tracks/7LW4AlVyfMsJ94qcWyNTHJ,https://api.spotify.com/v1/audio-analysis/7LW4AlVyfMsJ94qcWyNTHJ,250981,4,No Roads,spotify:track:7LW4AlVyfMsJ94qcWyNTHJ,Lxury,65A90NWrD8qdbNtsRgVXdf
4,0.811,0.802,1,-7.188,1,0.276,0.0445,0.0469,0.566,0.485,123.064,audio_features,7tVzNyi7GJNqSX92T7O1GK,spotify:track:7tVzNyi7GJNqSX92T7O1GK,https://api.spotify.com/v1/tracks/7tVzNyi7GJNqSX92T7O1GK,https://api.spotify.com/v1/audio-analysis/7tVzNyi7GJNqSX92T7O1GK,253449,4,C&a Drive,spotify:track:7tVzNyi7GJNqSX92T7O1GK,Lxury,65A90NWrD8qdbNtsRgVXdf
5,0.655,0.896,10,-5.169,0,0.342,0.0338,0.00131,0.0867,0.659,127.024,audio_features,7rQE4hEcoLqQBCayior3ju,spotify:track:7rQE4hEcoLqQBCayior3ju,https://api.spotify.com/v1/tracks/7rQE4hEcoLqQBCayior3ju,https://api.spotify.com/v1/audio-analysis/7rQE4hEcoLqQBCayior3ju,192139,4,24hrs,spotify:track:7rQE4hEcoLqQBCayior3ju,Lxury,65A90NWrD8qdbNtsRgVXdf
6,0.668,0.949,4,-4.557,0,0.119,0.00704,0.935,0.0663,0.496,106.005,audio_features,3TfFNW6DKmwuKeX8q4Gz8S,spotify:track:3TfFNW6DKmwuKeX8q4Gz8S,https://api.spotify.com/v1/tracks/3TfFNW6DKmwuKeX8q4Gz8S,https://api.spotify.com/v1/audio-analysis/3TfFNW6DKmwuKeX8q4Gz8S,273000,4,Hunter,spotify:track:3TfFNW6DKmwuKeX8q4Gz8S,Lxury,65A90NWrD8qdbNtsRgVXdf
7,0.496,0.725,10,-4.794,0,0.227,0.00474,0.0396,0.176,0.7,84.957,audio_features,7AwRcQHK24UiMfkKn9X9cs,spotify:track:7AwRcQHK24UiMfkKn9X9cs,https://api.spotify.com/v1/tracks/7AwRcQHK24UiMfkKn9X9cs,https://api.spotify.com/v1/audio-analysis/7AwRcQHK24UiMfkKn9X9cs,197048,4,Do Whatever,spotify:track:7AwRcQHK24UiMfkKn9X9cs,Lxury,65A90NWrD8qdbNtsRgVXdf
8,0.763,0.749,7,-8.404,1,0.0574,0.0173,0.895,0.366,0.722,123.063,audio_features,6d1XpRtrPTnO97vHxXQHWy,spotify:track:6d1XpRtrPTnO97vHxXQHWy,https://api.spotify.com/v1/tracks/6d1XpRtrPTnO97vHxXQHWy,https://api.spotify.com/v1/audio-analysis/6d1XpRtrPTnO97vHxXQHWy,138245,4,Crash,spotify:track:6d1XpRtrPTnO97vHxXQHWy,Lxury,65A90NWrD8qdbNtsRgVXdf
9,0.651,0.968,9,-6.144,0,0.0805,0.0124,0.814,0.226,0.31,116.997,audio_features,39ZotZQYRiwiUzO8XwhPK9,spotify:track:39ZotZQYRiwiUzO8XwhPK9,https://api.spotify.com/v1/tracks/39ZotZQYRiwiUzO8XwhPK9,https://api.spotify.com/v1/audio-analysis/39ZotZQYRiwiUzO8XwhPK9,268094,4,10 Feet Street,spotify:track:39ZotZQYRiwiUzO8XwhPK9,Lxury,65A90NWrD8qdbNtsRgVXdf
10,0.493,0.874,8,-7.808,1,0.0417,0.0418,0.907,0.18,0.292,134.987,audio_features,1SvlDAUHxYtBZEeQ8HFUjb,spotify:track:1SvlDAUHxYtBZEeQ8HFUjb,https://api.spotify.com/v1/tracks/1SvlDAUHxYtBZEeQ8HFUjb,https://api.spotify.com/v1/audio-analysis/1SvlDAUHxYtBZEeQ8HFUjb,297038,4,Sins.00,spotify:track:1SvlDAUHxYtBZEeQ8HFUjb,Lxury,65A90NWrD8qdbNtsRgVXdf
11,0.736,0.786,7,-6.972,0,0.214,0.00173,0.703,0.193,0.62,125.062,audio_features,4Lw7F3V9nMtsyq6v1vhRhy,spotify:track:4Lw7F3V9nMtsyq6v1vhRhy,https://api.spotify.com/v1/tracks/4Lw7F3V9nMtsyq6v1vhRhy,https://api.spotify.com/v1/audio-analysis/4Lw7F3V9nMtsyq6v1vhRhy,380280,4,Concrete - Extended Mix,spotify:track:4Lw7F3V9nMtsyq6v1vhRhy,Lxury,65A90NWrD8qdbNtsRgVXdf
12,0.732,0.762,7,-7.596,1,0.0768,0.0714,0.917,0.0963,0.337,118.023,audio_features,1fh1KhAFj7S3XL3ZGHgu9b,spotify:track:1fh1KhAFj7S3XL3ZGHgu9b,https://api.spotify.com/v1/tracks/1fh1KhAFj7S3XL3ZGHgu9b,https://api.spotify.com/v1/audio-analysis/1fh1KhAFj7S3XL3ZGHgu9b,181017,4,Gaffa,spotify:track:1fh1KhAFj7S3XL3ZGHgu9b,Lxury,65A90NWrD8qdbNtsRgVXdf
13,0.475,0.848,9,-7.581,1,0.0317,0.00541,0.907,0.067,0.464,155.01,audio_features,6BoI0MFO4CaD4kGxfjcdXu,spotify:track:6BoI0MFO4CaD4kGxfjcdXu,https://api.spotify.com/v1/tracks/6BoI0MFO4CaD4kGxfjcdXu,https://api.spotify.com/v1/audio-analysis/6BoI0MFO4CaD4kGxfjcdXu,318048,4,Pretending to Be Awake,spotify:track:6BoI0MFO4CaD4kGxfjcdXu,Lxury,65A90NWrD8qdbNtsRgVXdf
14,0.549,0.688,0,-6.456,1,0.229,0.00916,0.0497,0.168,0.434,87.506,audio_features,53XaGd9LeWakYjTdgefto1,spotify:track:53XaGd9LeWakYjTdgefto1,https://api.spotify.com/v1/tracks/53XaGd9LeWakYjTdgefto1,https://api.spotify.com/v1/audio-analysis/53XaGd9LeWakYjTdgefto1,163700,4,Lost in Casino,spotify:track:53XaGd9LeWakYjTdgefto1,Lxury,65A90NWrD8qdbNtsRgVXdf
15,0.605,0.875,11,-5.676,0,0.135,0.000107,0.0628,0.115,0.53,123.999,audio_features,3xo1aV2cQWcMpllshCAEwz,spotify:track:3xo1aV2cQWcMpllshCAEwz,https://api.spotify.com/v1/tracks/3xo1aV2cQWcMpllshCAEwz,https://api.spotify.com/v1/audio-analysis/3xo1aV2cQWcMpllshCAEwz,200000,4,On Ice,spotify:track:3xo1aV2cQWcMpllshCAEwz,Lxury,65A90NWrD8qdbNtsRgVXdf
16,0.745,0.79,8,-7.227,1,0.122,6.74e-05,0.922,0.168,0.512,121.013,audio_features,0akUgFFDPAE1BPEtxOnUbg,spotify:track:0akUgFFDPAE1BPEtxOnUbg,https://api.spotify.com/v1/tracks/0akUgFFDPAE1BPEtxOnUbg,https://api.spotify.com/v1/audio-analysis/0akUgFFDPAE1BPEtxOnUbg,254485,4,Radio Fire,spotify:track:0akUgFFDPAE1BPEtxOnUbg,Lxury,65A90NWrD8qdbNtsRgVXdf
17,0.59,0.853,6,-8.962,0,0.0442,0.00482,0.917,0.496,0.396,125.025,audio_features,2FGfPE21ekz4N96atiQ7O5,spotify:track:2FGfPE21ekz4N96atiQ7O5,https://api.spotify.com/v1/tracks/2FGfPE21ekz4N96atiQ7O5,https://api.spotify.com/v1/audio-analysis/2FGfPE21ekz4N96atiQ7O5,247167,4,1722,spotify:track:2FGfPE21ekz4N96atiQ7O5,Lxury,65A90NWrD8qdbNtsRgVXdf
18,0.761,0.733,9,-7.496,1,0.087,0.0153,0.617,0.0551,0.581,129.981,audio_features,1ACPMDQtaCcIGfJ6OxCCuM,spotify:track:1ACPMDQtaCcIGfJ6OxCCuM,https://api.spotify.com/v1/tracks/1ACPMDQtaCcIGfJ6OxCCuM,https://api.spotify.com/v1/audio-analysis/1ACPMDQtaCcIGfJ6OxCCuM,312178,4,Spin,spotify:track:1ACPMDQtaCcIGfJ6OxCCuM,Lxury,65A90NWrD8qdbNtsRgVXdf
19,0.751,0.988,1,-6.002,0,0.0571,0.00689,0.906,0.0777,0.118,127.993,audio_features,1gxdVBf5IkqSv5nnHRJhOy,spotify:track:1gxdVBf5IkqSv5nnHRJhOy,https://api.spotify.com/v1/tracks/1gxdVBf5IkqSv5nnHRJhOy,https://api.spotify.com/v1/audio-analysis/1gxdVBf5IkqSv5nnHRJhOy,260338,4,PAD MA,spotify:track:1gxdVBf5IkqSv5nnHRJhOy,Lxury,65A90NWrD8qdbNtsRgVXdf
20,0.767,0.917,5,-7.513,1,0.146,0.167,0.253,0.224,0.328,131.974,audio_features,4kITQYzPZ9OXQfKzkGjq0F,spotify:track:4kITQYzPZ9OXQfKzkGjq0F,https://api.spotify.com/v1/tracks/4kITQYzPZ9OXQfKzkGjq0F,https://api.spotify.com/v1/audio-analysis/4kITQYzPZ9OXQfKzkGjq0F,285459,4,When I Wake Up,spotify:track:4kITQYzPZ9OXQfKzkGjq0F,Lxury,65A90NWrD8qdbNtsRgVXdf
21,0.815,0.786,0,-9.831,1,0.189,0.0102,0.912,0.128,0.634,116.078,audio_features,1csLOo6J7koRUDubYhQeje,spotify:track:1csLOo6J7koRUDubYhQeje,https://api.spotify.com/v1/tracks/1csLOo6J7koRUDubYhQeje,https://api.spotify.com/v1/audio-analysis/1csLOo6J7koRUDubYhQeje,366121,4,Up High,spotify:track:1csLOo6J7koRUDubYhQeje,Lxury,65A90NWrD8qdbNtsRgVXdf
22,0.815,0.786,0,-9.831,1,0.189,0.0102,0.912,0.128,0.634,116.078,audio_features,7w5rc4pyAPMwK3RiEB8gjE,spotify:track:7w5rc4pyAPMwK3RiEB8gjE,https://api.spotify.com/v1/tracks/7w5rc4pyAPMwK3RiEB8gjE,https://api.spotify.com/v1/audio-analysis/7w5rc4pyAPMwK3RiEB8gjE,366121,4,Up High,spotify:track:7w5rc4pyAPMwK3RiEB8gjE,Lxury,65A90NWrD8qdbNtsRgVXdf
23,0.761,0.733,9,-7.496,1,0.087,0.0153,0.617,0.0551,0.581,129.981,audio_features,5GdNhoQyKJQKGEIDxDY6gO,spotify:track:5GdNhoQyKJQKGEIDxDY6gO,https://api.spotify.com/v1/tracks/5GdNhoQyKJQKGEIDxDY6gO,https://api.spotify.com/v1/audio-analysis/5GdNhoQyKJQKGEIDxDY6gO,312178,4,Spin,spotify:track:5GdNhoQyKJQKGEIDxDY6gO,Lxury,65A90NWrD8qdbNtsRgVXdf
24,0.751,0.988,1,-6.002,0,0.0571,0.00689,0.906,0.0777,0.118,127.993,audio_features,543PMl4twvQuJ6TtT0AyXG,spotify:track:543PMl4twvQuJ6TtT0AyXG,https://api.spotify.com/v1/tracks/543PMl4twvQuJ6TtT0AyXG,https://api.spotify.com/v1/audio-analysis/543PMl4twvQuJ6TtT0AyXG,260338,4,PAD MA,spotify:track:543PMl4twvQuJ6TtT0AyXG,Lxury,65A90NWrD8qdbNtsRgVXdf
25,0.59,0.853,6,-8.962,0,0.0442,0.00482,0.917,0.496,0.396,125.025,audio_features,7izNamNU2xr6zFNUoe5smk,spotify:track:7izNamNU2xr6zFNUoe5smk,https://api.spotify.com/v1/tracks/7izNamNU2xr6zFNUoe5smk,https://api.spotify.com/v1/audio-analysis/7izNamNU2xr6zFNUoe5smk,247167,4,1722,spotify:track:7izNamNU2xr6zFNUoe5smk,Lxury,65A90NWrD8qdbNtsRgVXdf
26,0.411,0.928,1,-5.113,0,0.127,0.00218,0.248,0.335,0.294,117.05,audio_features,2mSACbxcYSoAcj5y6aLAbz,spotify:track:2mSACbxcYSoAcj5y6aLAbz,https://api.spotify.com/v1/tracks/2mSACbxcYSoAcj5y6aLAbz,https://api.spotify.com/v1/audio-analysis/2mSACbxcYSoAcj5y6aLAbz,250451,4,T Garden,spotify:track:2mSACbxcYSoAcj5y6aLAbz,Lxury,65A90NWrD8qdbNtsRgVXdf
27,0.705,0.842,1,-8.551,0,0.0903,0.00204,0.14,0.139,0.176,119.984,audio_features,6RfZnTTJPMJz6BF9p6Si02,spotify:track:6RfZnTTJPMJz6BF9p6Si02,https://api.spotify.com/v1/tracks/6RfZnTTJPMJz6BF9p6Si02,https://api.spotify.com/v1/audio-analysis/6RfZnTTJPMJz6BF9p6Si02,289845,4,Tokyo,spotify:track:6RfZnTTJPMJz6BF9p6Si02,Lxury,65A90NWrD8qdbNtsRgVXdf
28,0.746,0.894,10,-7.266,0,0.046,0.00688,0.747,0.124,0.439,118.986,audio_features,7tE6fz7BppGw4r6m3t450G,spotify:track:7tE6fz7BppGw4r6m3t450G,https://api.spotify.com/v1/tracks/7tE6fz7BppGw4r6m3t450G,https://api.spotify.com/v1/audio-analysis/7tE6fz7BppGw4r6m3t450G,294465,4,Skydance,spotify:track:7tE6fz7BppGw4r6m3t450G,Lxury,65A90NWrD8qdbNtsRgVXdf
29,0.677,0.845,1,-8.329,1,0.0341,0.000562,0.639,0.0597,0.547,122.007,audio_features,0rYDCanZeej7UvsCDEcn8X,spotify:track:0rYDCanZeej7UvsCDEcn8X,https://api.spotify.com/v1/tracks/0rYDCanZeej7UvsCDEcn8X,https://api.spotify.com/v1/audio-analysis/0rYDCanZeej7UvsCDEcn8X,223008,4,Blue Orchid,spotify:track:0rYDCanZeej7UvsCDEcn8X,Lxury,65A90NWrD8qdbNtsRgVXdf
30,0.689,0.654,11,-8.256,0,0.137,0.00175,0.893,0.198,0.0393,127.009,audio_features,59TLFrAYkNTPv8Ral4pGAv,spotify:track:59TLFrAYkNTPv8Ral4pGAv,https://api.spotify.com/v1/tracks/59TLFrAYkNTPv8Ral4pGAv,https://api.spotify.com/v1/audio-analysis/59TLFrAYkNTPv8Ral4pGAv,204154,4,Dimly Lit,spotify:track:59TLFrAYkNTPv8Ral4pGAv,Lxury,65A90NWrD8qdbNtsRgVXdf
31,0.647,0.758,11,-8.66,0,0.155,0.0534,0.712,0.386,0.0708,128.002,audio_features,72I5tTm8VFHpScFXF5YQfz,spotify:track:72I5tTm8VFHpScFXF5YQfz,https://api.spotify.com/v1/tracks/72I5tTm8VFHpScFXF5YQfz,https://api.spotify.com/v1/audio-analysis/72I5tTm8VFHpScFXF5YQfz,346890,4,Memphis,spotify:track:72I5tTm8VFHpScFXF5YQfz,Lxury,65A90NWrD8qdbNtsRgVXdf
32,0.821,0.719,0,-8.942,1,0.148,0.00439,0.888,0.145,0.776,127.018,audio_features,06XkTccB8MyBwkAT3QQVvM,spotify:track:06XkTccB8MyBwkAT3QQVvM,https://api.spotify.com/v1/tracks/06XkTccB8MyBwkAT3QQVvM,https://api.spotify.com/v1/audio-analysis/06XkTccB8MyBwkAT3QQVvM,273698,4,Go - Dub,spotify:track:06XkTccB8MyBwkAT3QQVvM,Lxury,65A90NWrD8qdbNtsRgVXdf
33,0.689,0.654,11,-8.256,0,0.137,0.00175,0.893,0.198,0.0393,127.009,audio_features,7r4ezmH4X7tIQi1eO2AXlv,spotify:track:7r4ezmH4X7tIQi1eO2AXlv,https://api.spotify.com/v1/tracks/7r4ezmH4X7tIQi1eO2AXlv,https://api.spotify.com/v1/audio-analysis/7r4ezmH4X7tIQi1eO2AXlv,204154,4,Dimly Lit,spotify:track:7r4ezmH4X7tIQi1eO2AXlv,Lxury,65A90NWrD8qdbNtsRgVXdf
