,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.574,0.882,9,-4.267,0,0.0617,0.000954,4.21e-05,0.132,0.51,125.218,audio_features,3Y61oYfVcK2wMnQhT9ixC3,spotify:track:3Y61oYfVcK2wMnQhT9ixC3,https://api.spotify.com/v1/tracks/3Y61oYfVcK2wMnQhT9ixC3,https://api.spotify.com/v1/audio-analysis/3Y61oYfVcK2wMnQhT9ixC3,179838,4,Youth Knows No Pain,spotify:track:3Y61oYfVcK2wMnQhT9ixC3,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
1,0.598,0.534,9,-14.032,0,0.0473,0.473,0.00159,0.235,0.625,122.262,audio_features,4MlJsZhXAhxlT3cUQ7X2yX,spotify:track:4MlJsZhXAhxlT3cUQ7X2yX,https://api.spotify.com/v1/tracks/4MlJsZhXAhxlT3cUQ7X2yX,https://api.spotify.com/v1/audio-analysis/4MlJsZhXAhxlT3cUQ7X2yX,228467,4,I Follow Rivers,spotify:track:4MlJsZhXAhxlT3cUQ7X2yX,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
2,0.491,0.572,4,-6.854,1,0.0353,0.577,0.0974,0.11,0.33,117.291,audio_features,2cftDUwyQRSz2G9774fU4Y,spotify:track:2cftDUwyQRSz2G9774fU4Y,https://api.spotify.com/v1/tracks/2cftDUwyQRSz2G9774fU4Y,https://api.spotify.com/v1/audio-analysis/2cftDUwyQRSz2G9774fU4Y,283622,4,Love out of Lust,spotify:track:2cftDUwyQRSz2G9774fU4Y,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
3,0.386,0.215,9,-7.769,1,0.0299,0.909,0.0,0.0959,0.215,162.486,audio_features,4JchPIUJohCLsIP4yKd0YT,spotify:track:4JchPIUJohCLsIP4yKd0YT,https://api.spotify.com/v1/tracks/4JchPIUJohCLsIP4yKd0YT,https://api.spotify.com/v1/audio-analysis/4JchPIUJohCLsIP4yKd0YT,191435,3,Unrequited Love,spotify:track:4JchPIUJohCLsIP4yKd0YT,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
4,0.582,0.875,6,-4.752,1,0.0644,0.0135,0.00704,0.336,0.602,101.838,audio_features,77xik5R8pJqWIdZoYTeWV3,spotify:track:77xik5R8pJqWIdZoYTeWV3,https://api.spotify.com/v1/tracks/77xik5R8pJqWIdZoYTeWV3,https://api.spotify.com/v1/audio-analysis/77xik5R8pJqWIdZoYTeWV3,202589,4,Get Some,spotify:track:77xik5R8pJqWIdZoYTeWV3,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
5,0.273,0.674,6,-5.13,0,0.056,0.000582,0.00524,0.107,0.244,127.72,audio_features,46rtJrqvfA6zWA5LNxgdWB,spotify:track:46rtJrqvfA6zWA5LNxgdWB,https://api.spotify.com/v1/tracks/46rtJrqvfA6zWA5LNxgdWB,https://api.spotify.com/v1/audio-analysis/46rtJrqvfA6zWA5LNxgdWB,181815,4,Rich Kids Blues,spotify:track:46rtJrqvfA6zWA5LNxgdWB,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
6,0.296,0.733,0,-4.849,1,0.0438,0.00497,0.000503,0.405,0.491,119.11,audio_features,46xqG8kPo6CtzR2miB8rwe,spotify:track:46xqG8kPo6CtzR2miB8rwe,https://api.spotify.com/v1/tracks/46xqG8kPo6CtzR2miB8rwe,https://api.spotify.com/v1/audio-analysis/46xqG8kPo6CtzR2miB8rwe,240753,4,Sadness Is a Blessing,spotify:track:46xqG8kPo6CtzR2miB8rwe,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
7,0.369,0.114,7,-14.043,0,0.0334,0.764,0.0145,0.0872,0.0486,102.057,audio_features,3LdIJUv10SzbGrQgRjg9OY,spotify:track:3LdIJUv10SzbGrQgRjg9OY,https://api.spotify.com/v1/tracks/3LdIJUv10SzbGrQgRjg9OY,https://api.spotify.com/v1/audio-analysis/3LdIJUv10SzbGrQgRjg9OY,386787,4,I Know Places,spotify:track:3LdIJUv10SzbGrQgRjg9OY,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
8,0.495,0.918,2,-6.489,1,0.124,0.205,0.00815,0.0684,0.0683,125.13,audio_features,7uzEl5yCNYy80srAWxiqEw,spotify:track:7uzEl5yCNYy80srAWxiqEw,https://api.spotify.com/v1/tracks/7uzEl5yCNYy80srAWxiqEw,https://api.spotify.com/v1/audio-analysis/7uzEl5yCNYy80srAWxiqEw,262546,4,Jerome,spotify:track:7uzEl5yCNYy80srAWxiqEw,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
9,0.269,0.314,4,-7.236,0,0.0318,0.502,0.0,0.167,0.249,84.379,audio_features,4sSnfaFS4V9GBGyaCivkJB,spotify:track:4sSnfaFS4V9GBGyaCivkJB,https://api.spotify.com/v1/tracks/4sSnfaFS4V9GBGyaCivkJB,https://api.spotify.com/v1/audio-analysis/4sSnfaFS4V9GBGyaCivkJB,324341,4,Silent My Song,spotify:track:4sSnfaFS4V9GBGyaCivkJB,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
10,0.17,0.587,1,-6.341,1,0.069,0.665,0.000184,0.232,0.183,75.349,audio_features,1ynJGUIr1jOKMg7Lgo6cLc,spotify:track:1ynJGUIr1jOKMg7Lgo6cLc,https://api.spotify.com/v1/tracks/1ynJGUIr1jOKMg7Lgo6cLc,https://api.spotify.com/v1/audio-analysis/1ynJGUIr1jOKMg7Lgo6cLc,166638,4,Made You Move,spotify:track:1ynJGUIr1jOKMg7Lgo6cLc,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
