,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.615,0.487,5,-8.682,1,0.0374,0.415,0.898,0.0957,0.538,94.006,audio_features,5geYbwpdBHdiU2mIOGdTKQ,spotify:track:5geYbwpdBHdiU2mIOGdTKQ,https://api.spotify.com/v1/tracks/5geYbwpdBHdiU2mIOGdTKQ,https://api.spotify.com/v1/audio-analysis/5geYbwpdBHdiU2mIOGdTKQ,173387,4,Solar Noon,spotify:track:5geYbwpdBHdiU2mIOGdTKQ,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
1,0.861,0.623,5,-6.148,1,0.0284,0.248,0.0,0.0883,0.887,106.021,audio_features,27lIIiBrBkNvi5FY4VZ4KX,spotify:track:27lIIiBrBkNvi5FY4VZ4KX,https://api.spotify.com/v1/tracks/27lIIiBrBkNvi5FY4VZ4KX,https://api.spotify.com/v1/audio-analysis/27lIIiBrBkNvi5FY4VZ4KX,196806,4,Everybody is a Summer Body,spotify:track:27lIIiBrBkNvi5FY4VZ4KX,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
2,0.719,0.84,10,-6.088,1,0.0355,0.0606,0.0,0.332,0.76,109.971,audio_features,2MYkaV6jeP6768375pjvKU,spotify:track:2MYkaV6jeP6768375pjvKU,https://api.spotify.com/v1/tracks/2MYkaV6jeP6768375pjvKU,https://api.spotify.com/v1/audio-analysis/2MYkaV6jeP6768375pjvKU,177409,4,Poolside,spotify:track:2MYkaV6jeP6768375pjvKU,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
3,0.556,0.703,2,-7.735,1,0.0348,0.298,0.94,0.146,0.63,80.066,audio_features,35AbrpHyw0GJ0NjMXQNJ75,spotify:track:35AbrpHyw0GJ0NjMXQNJ75,https://api.spotify.com/v1/tracks/35AbrpHyw0GJ0NjMXQNJ75,https://api.spotify.com/v1/audio-analysis/35AbrpHyw0GJ0NjMXQNJ75,204960,4,Even the Sea Feels Fine (Sometimes),spotify:track:35AbrpHyw0GJ0NjMXQNJ75,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
4,0.819,0.648,7,-7.352,0,0.0595,0.469,3.63e-06,0.101,0.844,156.928,audio_features,7dZ90UYFk5u4RN1EKcMw8U,spotify:track:7dZ90UYFk5u4RN1EKcMw8U,https://api.spotify.com/v1/tracks/7dZ90UYFk5u4RN1EKcMw8U,https://api.spotify.com/v1/audio-analysis/7dZ90UYFk5u4RN1EKcMw8U,198566,4,Another Weekend,spotify:track:7dZ90UYFk5u4RN1EKcMw8U,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
5,0.605,0.577,10,-7.964,0,0.0274,0.123,0.516,0.135,0.592,94.002,audio_features,0wZkfIFqN2Y1mc30Y2CRFr,spotify:track:0wZkfIFqN2Y1mc30Y2CRFr,https://api.spotify.com/v1/tracks/0wZkfIFqN2Y1mc30Y2CRFr,https://api.spotify.com/v1/audio-analysis/0wZkfIFqN2Y1mc30Y2CRFr,86080,4,Departure,spotify:track:0wZkfIFqN2Y1mc30Y2CRFr,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
6,0.839,0.676,0,-6.637,1,0.0503,0.355,0.0,0.145,0.891,133.968,audio_features,0DNQW1QSzzYvmYlxAUulXD,spotify:track:0DNQW1QSzzYvmYlxAUulXD,https://api.spotify.com/v1/tracks/0DNQW1QSzzYvmYlxAUulXD,https://api.spotify.com/v1/audio-analysis/0DNQW1QSzzYvmYlxAUulXD,177280,4,Loving To Go,spotify:track:0DNQW1QSzzYvmYlxAUulXD,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
7,0.773,0.58,0,-8.827,1,0.068,0.666,0.664,0.811,0.477,99.897,audio_features,1UZnRWnct8cgUEXWQrIh1D,spotify:track:1UZnRWnct8cgUEXWQrIh1D,https://api.spotify.com/v1/tracks/1UZnRWnct8cgUEXWQrIh1D,https://api.spotify.com/v1/audio-analysis/1UZnRWnct8cgUEXWQrIh1D,144000,4,Green Wave,spotify:track:1UZnRWnct8cgUEXWQrIh1D,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
8,0.689,0.584,8,-8.52,1,0.0395,0.535,1.68e-05,0.238,0.559,89.986,audio_features,2tgU6hHbTAfxv1fLRLYG1W,spotify:track:2tgU6hHbTAfxv1fLRLYG1W,https://api.spotify.com/v1/tracks/2tgU6hHbTAfxv1fLRLYG1W,https://api.spotify.com/v1/audio-analysis/2tgU6hHbTAfxv1fLRLYG1W,177152,4,Need A Witness,spotify:track:2tgU6hHbTAfxv1fLRLYG1W,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
9,0.926,0.54,9,-6.494,1,0.0405,0.299,0.000533,0.136,0.885,117.056,audio_features,5XiXpGVlm0Eu0luclu7qE3,spotify:track:5XiXpGVlm0Eu0luclu7qE3,https://api.spotify.com/v1/tracks/5XiXpGVlm0Eu0luclu7qE3,https://api.spotify.com/v1/audio-analysis/5XiXpGVlm0Eu0luclu7qE3,167749,4,Prisoner (feat. Benny Sings),spotify:track:5XiXpGVlm0Eu0luclu7qE3,M.I.L.K.,2ekValwbXG7P55xYXwWOZx
