,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,audio_features,46nvQpUDsxpS08UTFOeKTA,spotify:track:46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA,165524,4,Tell It To My Heart,spotify:track:46nvQpUDsxpS08UTFOeKTA,MEDUZA,0xRXCcSX89eobfrshSVdyu
1,0.609,0.8,11,-5.102,0,0.0337,0.0992,0.00132,0.0887,0.192,126.031,audio_features,6D2cTvk73bKZZlwvN488vI,spotify:track:6D2cTvk73bKZZlwvN488vI,https://api.spotify.com/v1/tracks/6D2cTvk73bKZZlwvN488vI,https://api.spotify.com/v1/audio-analysis/6D2cTvk73bKZZlwvN488vI,194332,4,Bad Habits - MEDUZA Remix,spotify:track:6D2cTvk73bKZZlwvN488vI,MEDUZA,0xRXCcSX89eobfrshSVdyu
2,0.623,0.758,7,-6.791,0,0.0434,0.124,0.195,0.219,0.196,124.024,audio_features,5TvEN16rGvvXUGrdg4BxUC,spotify:track:5TvEN16rGvvXUGrdg4BxUC,https://api.spotify.com/v1/tracks/5TvEN16rGvvXUGrdg4BxUC,https://api.spotify.com/v1/audio-analysis/5TvEN16rGvvXUGrdg4BxUC,191613,4,Innadadance (feat. Suli Breaks & Jazzie B) [Meduza Remix] - Edit,spotify:track:5TvEN16rGvvXUGrdg4BxUC,MEDUZA,0xRXCcSX89eobfrshSVdyu
3,0.623,0.758,7,-6.791,0,0.0434,0.124,0.195,0.219,0.196,124.024,audio_features,10WgsNzjXbJ2XZpWXr6wGX,spotify:track:10WgsNzjXbJ2XZpWXr6wGX,https://api.spotify.com/v1/tracks/10WgsNzjXbJ2XZpWXr6wGX,https://api.spotify.com/v1/audio-analysis/10WgsNzjXbJ2XZpWXr6wGX,191613,4,Innadadance (feat. Suli Breaks & Jazzie B) (Meduza Remix) (Edit),spotify:track:10WgsNzjXbJ2XZpWXr6wGX,MEDUZA,0xRXCcSX89eobfrshSVdyu
4,0.623,0.673,8,-8.252,1,0.0613,0.0537,0.65,0.155,0.384,124.01,audio_features,3TTMESPMxybEdsMsP1f8Xm,spotify:track:3TTMESPMxybEdsMsP1f8Xm,https://api.spotify.com/v1/tracks/3TTMESPMxybEdsMsP1f8Xm,https://api.spotify.com/v1/audio-analysis/3TTMESPMxybEdsMsP1f8Xm,170323,4,Headrush (feat. Elroii),spotify:track:3TTMESPMxybEdsMsP1f8Xm,MEDUZA,0xRXCcSX89eobfrshSVdyu
5,0.719,0.69,1,-8.892,1,0.0582,0.0459,0.625,0.106,0.35,124.002,audio_features,5eBF0gdCqqb6wlEW42Ps5r,spotify:track:5eBF0gdCqqb6wlEW42Ps5r,https://api.spotify.com/v1/tracks/5eBF0gdCqqb6wlEW42Ps5r,https://api.spotify.com/v1/audio-analysis/5eBF0gdCqqb6wlEW42Ps5r,363871,4,Headrush (feat. Elroii) - Extended Mix,spotify:track:5eBF0gdCqqb6wlEW42Ps5r,MEDUZA,0xRXCcSX89eobfrshSVdyu
6,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,audio_features,1JntItx8QhL33XUPAFu7Uz,spotify:track:1JntItx8QhL33XUPAFu7Uz,https://api.spotify.com/v1/tracks/1JntItx8QhL33XUPAFu7Uz,https://api.spotify.com/v1/audio-analysis/1JntItx8QhL33XUPAFu7Uz,167903,4,Paradise,spotify:track:1JntItx8QhL33XUPAFu7Uz,MEDUZA,0xRXCcSX89eobfrshSVdyu
7,0.537,0.831,8,-5.777,0,0.0829,0.113,0.0665,0.0751,0.172,122.84,audio_features,6NMS08eexE1YP8Bw8OVjTx,spotify:track:6NMS08eexE1YP8Bw8OVjTx,https://api.spotify.com/v1/tracks/6NMS08eexE1YP8Bw8OVjTx,https://api.spotify.com/v1/audio-analysis/6NMS08eexE1YP8Bw8OVjTx,173710,4,Paradise - Topic Remix,spotify:track:6NMS08eexE1YP8Bw8OVjTx,MEDUZA,0xRXCcSX89eobfrshSVdyu
8,0.622,0.842,1,-6.574,0,0.0388,0.00142,3.58e-05,0.0923,0.379,125.04,audio_features,3okf4RaWSaR49GcTCQs1vw,spotify:track:3okf4RaWSaR49GcTCQs1vw,https://api.spotify.com/v1/tracks/3okf4RaWSaR49GcTCQs1vw,https://api.spotify.com/v1/audio-analysis/3okf4RaWSaR49GcTCQs1vw,216930,4,Paradise - Vintage Culture Remix,spotify:track:3okf4RaWSaR49GcTCQs1vw,MEDUZA,0xRXCcSX89eobfrshSVdyu
9,0.7,0.966,1,-5.778,1,0.0513,0.0738,0.621,0.101,0.708,125.999,audio_features,6Lf7UB0HT5RlEVOQq77Hmc,spotify:track:6Lf7UB0HT5RlEVOQq77Hmc,https://api.spotify.com/v1/tracks/6Lf7UB0HT5RlEVOQq77Hmc,https://api.spotify.com/v1/audio-analysis/6Lf7UB0HT5RlEVOQq77Hmc,179174,4,Paradise - Loco Dice Remix,spotify:track:6Lf7UB0HT5RlEVOQq77Hmc,MEDUZA,0xRXCcSX89eobfrshSVdyu
