,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.697,0.636,8,-9.719,1,0.314,0.142,4.63e-06,0.115,0.88,147.952,audio_features,5RNsrkuHnRb3uWySXhRzad,spotify:track:5RNsrkuHnRb3uWySXhRzad,https://api.spotify.com/v1/tracks/5RNsrkuHnRb3uWySXhRzad,https://api.spotify.com/v1/audio-analysis/5RNsrkuHnRb3uWySXhRzad,233920,4,She Works Out Too Much - Matthew Dear Remix,spotify:track:5RNsrkuHnRb3uWySXhRzad,MGMT,0SwO7SWeDHJijQ3XNS7xEE
1,0.255,0.716,6,-10.164,1,0.0821,0.017,0.071,0.141,0.131,195.061,audio_features,1k4P4JjOURWktUWASyLz2S,spotify:track:1k4P4JjOURWktUWASyLz2S,https://api.spotify.com/v1/tracks/1k4P4JjOURWktUWASyLz2S,https://api.spotify.com/v1/audio-analysis/1k4P4JjOURWktUWASyLz2S,137867,4,Little Dark Age - Matthew Dear Remix,spotify:track:1k4P4JjOURWktUWASyLz2S,MGMT,0SwO7SWeDHJijQ3XNS7xEE
2,0.609,0.733,11,-8.262,0,0.124,0.02,0.304,0.148,0.214,140.99,audio_features,4TqeCRpAIAmHX8ta0DAxKN,spotify:track:4TqeCRpAIAmHX8ta0DAxKN,https://api.spotify.com/v1/tracks/4TqeCRpAIAmHX8ta0DAxKN,https://api.spotify.com/v1/audio-analysis/4TqeCRpAIAmHX8ta0DAxKN,243560,4,When You Die - Matthew Dear Remix,spotify:track:4TqeCRpAIAmHX8ta0DAxKN,MGMT,0SwO7SWeDHJijQ3XNS7xEE
3,0.747,0.866,1,-6.66,1,0.21,0.00113,1.58e-05,0.337,0.365,111.996,audio_features,1ZF2A3n8j4oySWVOG1YELI,spotify:track:1ZF2A3n8j4oySWVOG1YELI,https://api.spotify.com/v1/tracks/1ZF2A3n8j4oySWVOG1YELI,https://api.spotify.com/v1/audio-analysis/1ZF2A3n8j4oySWVOG1YELI,506800,4,Me and Michael - Matthew Dear Remix,spotify:track:1ZF2A3n8j4oySWVOG1YELI,MGMT,0SwO7SWeDHJijQ3XNS7xEE
4,0.552,0.69,4,-8.343,0,0.438,0.0778,0.000166,0.128,0.61,174.064,audio_features,3UyYqRc8wPX1IHzD4L03mT,spotify:track:3UyYqRc8wPX1IHzD4L03mT,https://api.spotify.com/v1/tracks/3UyYqRc8wPX1IHzD4L03mT,https://api.spotify.com/v1/audio-analysis/3UyYqRc8wPX1IHzD4L03mT,365693,4,TSLAMP - Matthew Dear Remix,spotify:track:3UyYqRc8wPX1IHzD4L03mT,MGMT,0SwO7SWeDHJijQ3XNS7xEE
5,0.634,0.414,8,-11.107,1,0.595,0.0877,8.37e-06,0.0806,0.361,111.791,audio_features,2UbM6m86yW6SReYLf3R3Mu,spotify:track:2UbM6m86yW6SReYLf3R3Mu,https://api.spotify.com/v1/tracks/2UbM6m86yW6SReYLf3R3Mu,https://api.spotify.com/v1/audio-analysis/2UbM6m86yW6SReYLf3R3Mu,139560,1,James - Matthew Dear Remix,spotify:track:2UbM6m86yW6SReYLf3R3Mu,MGMT,0SwO7SWeDHJijQ3XNS7xEE
6,0.691,0.707,1,-12.935,1,0.0743,0.314,0.728,0.38,0.429,100.009,audio_features,1AWuY8dBNGoAoJkuKS79hE,spotify:track:1AWuY8dBNGoAoJkuKS79hE,https://api.spotify.com/v1/tracks/1AWuY8dBNGoAoJkuKS79hE,https://api.spotify.com/v1/audio-analysis/1AWuY8dBNGoAoJkuKS79hE,138400,4,Days That Got Away - Matthew Dear Remix,spotify:track:1AWuY8dBNGoAoJkuKS79hE,MGMT,0SwO7SWeDHJijQ3XNS7xEE
7,0.7,0.628,8,-9.746,1,0.0443,0.235,0.0,0.0758,0.185,128.008,audio_features,5XgNcByI2TG2JgOU1yVfpX,spotify:track:5XgNcByI2TG2JgOU1yVfpX,https://api.spotify.com/v1/tracks/5XgNcByI2TG2JgOU1yVfpX,https://api.spotify.com/v1/audio-analysis/5XgNcByI2TG2JgOU1yVfpX,147520,4,One Thing Left to Try - Matthew Dear Remix,spotify:track:5XgNcByI2TG2JgOU1yVfpX,MGMT,0SwO7SWeDHJijQ3XNS7xEE
8,0.074,0.958,9,-9.514,0,0.0957,0.916,0.951,0.161,0.031,175.194,audio_features,2mdXvrasH3NYMahaUAjkML,spotify:track:2mdXvrasH3NYMahaUAjkML,https://api.spotify.com/v1/tracks/2mdXvrasH3NYMahaUAjkML,https://api.spotify.com/v1/audio-analysis/2mdXvrasH3NYMahaUAjkML,206893,4,When You're Small - Matthew Dear Remix,spotify:track:2mdXvrasH3NYMahaUAjkML,MGMT,0SwO7SWeDHJijQ3XNS7xEE
9,0.28,0.575,1,-9.487,0,0.0594,0.178,8.82e-06,0.116,0.315,86.326,audio_features,1FiOKW26vmeDb7calwXEwa,spotify:track:1FiOKW26vmeDb7calwXEwa,https://api.spotify.com/v1/tracks/1FiOKW26vmeDb7calwXEwa,https://api.spotify.com/v1/audio-analysis/1FiOKW26vmeDb7calwXEwa,321840,4,Hand It Over - Matthew Dear Remix,spotify:track:1FiOKW26vmeDb7calwXEwa,MGMT,0SwO7SWeDHJijQ3XNS7xEE
10,0.633,0.919,5,-6.208,0,0.0343,0.00596,0.273,0.43,0.805,147.97,audio_features,3XOKU8CKSiQsuQHD5vhzo5,spotify:track:3XOKU8CKSiQsuQHD5vhzo5,https://api.spotify.com/v1/tracks/3XOKU8CKSiQsuQHD5vhzo5,https://api.spotify.com/v1/audio-analysis/3XOKU8CKSiQsuQHD5vhzo5,278387,4,She Works Out Too Much,spotify:track:3XOKU8CKSiQsuQHD5vhzo5,MGMT,0SwO7SWeDHJijQ3XNS7xEE
11,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,audio_features,2Y0iGXY6m6immVb2ktbseM,spotify:track:2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM,299960,4,Little Dark Age,spotify:track:2Y0iGXY6m6immVb2ktbseM,MGMT,0SwO7SWeDHJijQ3XNS7xEE
