,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,audio_features,2WprqxEZnMjAdFxekmyMCl,spotify:track:2WprqxEZnMjAdFxekmyMCl,https://api.spotify.com/v1/tracks/2WprqxEZnMjAdFxekmyMCl,https://api.spotify.com/v1/audio-analysis/2WprqxEZnMjAdFxekmyMCl,227395,4,Beautiful Mistakes (feat. Megan Thee Stallion),spotify:track:2WprqxEZnMjAdFxekmyMCl,Maroon 5,04gDigrS5kc9YWfZHwBETP
1,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,audio_features,18XlJEroUwFo0tLZxscgXE,spotify:track:18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/tracks/18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/audio-analysis/18XlJEroUwFo0tLZxscgXE,172598,4,Lost,spotify:track:18XlJEroUwFo0tLZxscgXE,Maroon 5,04gDigrS5kc9YWfZHwBETP
2,0.759,0.67,1,-5.309,1,0.0509,0.0204,0.0,0.0953,0.741,136.027,audio_features,2sZM041bdHDc3Lxo26BqPH,spotify:track:2sZM041bdHDc3Lxo26BqPH,https://api.spotify.com/v1/tracks/2sZM041bdHDc3Lxo26BqPH,https://api.spotify.com/v1/audio-analysis/2sZM041bdHDc3Lxo26BqPH,178620,4,Echo (feat. blackbear),spotify:track:2sZM041bdHDc3Lxo26BqPH,Maroon 5,04gDigrS5kc9YWfZHwBETP
3,0.675,0.699,0,-5.894,1,0.0296,0.00248,0.000604,0.114,0.43,123.042,audio_features,2KaNa78Hx7OjJ2Ci2swris,spotify:track:2KaNa78Hx7OjJ2Ci2swris,https://api.spotify.com/v1/tracks/2KaNa78Hx7OjJ2Ci2swris,https://api.spotify.com/v1/audio-analysis/2KaNa78Hx7OjJ2Ci2swris,185068,4,Lovesick,spotify:track:2KaNa78Hx7OjJ2Ci2swris,Maroon 5,04gDigrS5kc9YWfZHwBETP
4,0.752,0.65,6,-7.305,0,0.0608,0.0998,0.0,0.305,0.727,131.95,audio_features,76rtUOvvHXnPNdrBOu5lrO,spotify:track:76rtUOvvHXnPNdrBOu5lrO,https://api.spotify.com/v1/tracks/76rtUOvvHXnPNdrBOu5lrO,https://api.spotify.com/v1/audio-analysis/76rtUOvvHXnPNdrBOu5lrO,149492,3,Remedy (feat. Stevie Nicks),spotify:track:76rtUOvvHXnPNdrBOu5lrO,Maroon 5,04gDigrS5kc9YWfZHwBETP
5,0.638,0.504,8,-8.335,1,0.0578,0.509,2.18e-05,0.103,0.281,140.204,audio_features,0xpMHF1RzzFuynDEyheQiz,spotify:track:0xpMHF1RzzFuynDEyheQiz,https://api.spotify.com/v1/tracks/0xpMHF1RzzFuynDEyheQiz,https://api.spotify.com/v1/audio-analysis/0xpMHF1RzzFuynDEyheQiz,168304,4,Seasons,spotify:track:0xpMHF1RzzFuynDEyheQiz,Maroon 5,04gDigrS5kc9YWfZHwBETP
6,0.81,0.642,10,-5.801,1,0.0712,0.106,0.0,0.0805,0.596,105.968,audio_features,1AvwXW9PtxIVDI9e1MmLNM,spotify:track:1AvwXW9PtxIVDI9e1MmLNM,https://api.spotify.com/v1/tracks/1AvwXW9PtxIVDI9e1MmLNM,https://api.spotify.com/v1/audio-analysis/1AvwXW9PtxIVDI9e1MmLNM,214390,4,One Light (feat. Bantu),spotify:track:1AvwXW9PtxIVDI9e1MmLNM,Maroon 5,04gDigrS5kc9YWfZHwBETP
7,0.378,0.677,5,-6.998,0,0.0475,0.079,9.38e-05,0.102,0.481,199.656,audio_features,3lluuLlgqtRTtlkueKK8RG,spotify:track:3lluuLlgqtRTtlkueKK8RG,https://api.spotify.com/v1/tracks/3lluuLlgqtRTtlkueKK8RG,https://api.spotify.com/v1/audio-analysis/3lluuLlgqtRTtlkueKK8RG,187682,4,Convince Me Otherwise (with H.E.R.),spotify:track:3lluuLlgqtRTtlkueKK8RG,Maroon 5,04gDigrS5kc9YWfZHwBETP
8,0.485,0.567,1,-6.456,1,0.0388,0.316,0.0,0.0949,0.157,93.676,audio_features,6GJ32mRQ5s8mAp3oYJYCQj,spotify:track:6GJ32mRQ5s8mAp3oYJYCQj,https://api.spotify.com/v1/tracks/6GJ32mRQ5s8mAp3oYJYCQj,https://api.spotify.com/v1/audio-analysis/6GJ32mRQ5s8mAp3oYJYCQj,211254,4,Nobody's Love,spotify:track:6GJ32mRQ5s8mAp3oYJYCQj,Maroon 5,04gDigrS5kc9YWfZHwBETP
9,0.727,0.53,8,-7.296,1,0.0703,0.159,0.0,0.105,0.43,139.996,audio_features,2vX8ML6nhRxdZjKkSu0N53,spotify:track:2vX8ML6nhRxdZjKkSu0N53,https://api.spotify.com/v1/tracks/2vX8ML6nhRxdZjKkSu0N53,https://api.spotify.com/v1/audio-analysis/2vX8ML6nhRxdZjKkSu0N53,196898,4,Can't Leave You Alone (feat. Juice WRLD),spotify:track:2vX8ML6nhRxdZjKkSu0N53,Maroon 5,04gDigrS5kc9YWfZHwBETP
10,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,audio_features,43Y4jyeS225qvkV5qM23kA,spotify:track:43Y4jyeS225qvkV5qM23kA,https://api.spotify.com/v1/tracks/43Y4jyeS225qvkV5qM23kA,https://api.spotify.com/v1/audio-analysis/43Y4jyeS225qvkV5qM23kA,189486,4,Memories,spotify:track:43Y4jyeS225qvkV5qM23kA,Maroon 5,04gDigrS5kc9YWfZHwBETP
11,0.804,0.398,11,-7.417,1,0.0546,0.838,0.0,0.0841,0.686,91.098,audio_features,4vgjYkxGF93QjeTaNl4K3m,spotify:track:4vgjYkxGF93QjeTaNl4K3m,https://api.spotify.com/v1/tracks/4vgjYkxGF93QjeTaNl4K3m,https://api.spotify.com/v1/audio-analysis/4vgjYkxGF93QjeTaNl4K3m,189486,4,Memories Remix (feat. Nipsey Hussle & YG),spotify:track:4vgjYkxGF93QjeTaNl4K3m,Maroon 5,04gDigrS5kc9YWfZHwBETP
12,0.717,0.657,10,-6.355,1,0.0714,0.129,0.0,0.397,0.589,100.924,audio_features,5A7CdTwbdE5VrV1g2cDItg,spotify:track:5A7CdTwbdE5VrV1g2cDItg,https://api.spotify.com/v1/tracks/5A7CdTwbdE5VrV1g2cDItg,https://api.spotify.com/v1/audio-analysis/5A7CdTwbdE5VrV1g2cDItg,164224,4,Button (feat. Anuel AA & Tainy),spotify:track:5A7CdTwbdE5VrV1g2cDItg,Maroon 5,04gDigrS5kc9YWfZHwBETP
13,0.752,0.678,10,-5.127,0,0.0393,0.0207,0.0,0.133,0.63,122.988,audio_features,5KEFCPnSK2xF5qOmZ6lA1g,spotify:track:5KEFCPnSK2xF5qOmZ6lA1g,https://api.spotify.com/v1/tracks/5KEFCPnSK2xF5qOmZ6lA1g,https://api.spotify.com/v1/audio-analysis/5KEFCPnSK2xF5qOmZ6lA1g,153865,4,Lifestyle (Jason Derulo feat. Adam Levine),spotify:track:5KEFCPnSK2xF5qOmZ6lA1g,Maroon 5,04gDigrS5kc9YWfZHwBETP
14,0.526,0.608,10,-5.776,0,0.169,0.127,0.0,0.113,0.372,93.311,audio_features,1mimxOfJyT9LHzI5Y5XB2F,spotify:track:1mimxOfJyT9LHzI5Y5XB2F,https://api.spotify.com/v1/tracks/1mimxOfJyT9LHzI5Y5XB2F,https://api.spotify.com/v1/audio-analysis/1mimxOfJyT9LHzI5Y5XB2F,239760,4,Best 4 U,spotify:track:1mimxOfJyT9LHzI5Y5XB2F,Maroon 5,04gDigrS5kc9YWfZHwBETP
15,0.796,0.608,5,-5.124,0,0.0568,0.0834,3.54e-06,0.125,0.425,110.025,audio_features,5BvcK5Cns4owVBSswDArJG,spotify:track:5BvcK5Cns4owVBSswDArJG,https://api.spotify.com/v1/tracks/5BvcK5Cns4owVBSswDArJG,https://api.spotify.com/v1/audio-analysis/5BvcK5Cns4owVBSswDArJG,199853,4,What Lovers Do,spotify:track:5BvcK5Cns4owVBSswDArJG,Maroon 5,04gDigrS5kc9YWfZHwBETP
16,0.654,0.589,8,-5.009,1,0.0582,0.0986,0.0,0.103,0.455,126.13,audio_features,0nvU7ZwJHNPOJODxwxSR8C,spotify:track:0nvU7ZwJHNPOJODxwxSR8C,https://api.spotify.com/v1/tracks/0nvU7ZwJHNPOJODxwxSR8C,https://api.spotify.com/v1/audio-analysis/0nvU7ZwJHNPOJODxwxSR8C,190640,4,Wait,spotify:track:0nvU7ZwJHNPOJODxwxSR8C,Maroon 5,04gDigrS5kc9YWfZHwBETP
17,0.653,0.547,9,-6.631,1,0.0329,0.144,4.49e-06,0.088,0.118,103.047,audio_features,6X0pyufTQG5EFVXEeLhBfq,spotify:track:6X0pyufTQG5EFVXEeLhBfq,https://api.spotify.com/v1/tracks/6X0pyufTQG5EFVXEeLhBfq,https://api.spotify.com/v1/audio-analysis/6X0pyufTQG5EFVXEeLhBfq,216933,4,Lips On You,spotify:track:6X0pyufTQG5EFVXEeLhBfq,Maroon 5,04gDigrS5kc9YWfZHwBETP
18,0.764,0.591,8,-6.669,0,0.0514,0.126,0.0,0.156,0.422,121.109,audio_features,7kjT4UbmDA6kEN5omfBitu,spotify:track:7kjT4UbmDA6kEN5omfBitu,https://api.spotify.com/v1/tracks/7kjT4UbmDA6kEN5omfBitu,https://api.spotify.com/v1/audio-analysis/7kjT4UbmDA6kEN5omfBitu,196120,4,Bet My Heart,spotify:track:7kjT4UbmDA6kEN5omfBitu,Maroon 5,04gDigrS5kc9YWfZHwBETP
19,0.935,0.565,11,-4.796,1,0.0628,0.447,2.54e-05,0.0998,0.529,115.082,audio_features,2WTAN36QVHH2x4LRO9ky5F,spotify:track:2WTAN36QVHH2x4LRO9ky5F,https://api.spotify.com/v1/tracks/2WTAN36QVHH2x4LRO9ky5F,https://api.spotify.com/v1/audio-analysis/2WTAN36QVHH2x4LRO9ky5F,193600,4,Help Me Out,spotify:track:2WTAN36QVHH2x4LRO9ky5F,Maroon 5,04gDigrS5kc9YWfZHwBETP
20,0.793,0.676,5,-4.009,1,0.0962,0.165,1.1e-05,0.244,0.667,125.037,audio_features,7vuwqUPpwYMfaCrACzN81P,spotify:track:7vuwqUPpwYMfaCrACzN81P,https://api.spotify.com/v1/tracks/7vuwqUPpwYMfaCrACzN81P,https://api.spotify.com/v1/audio-analysis/7vuwqUPpwYMfaCrACzN81P,183427,4,Who I Am,spotify:track:7vuwqUPpwYMfaCrACzN81P,Maroon 5,04gDigrS5kc9YWfZHwBETP
