,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.551,0.622,9,-8.844,0,0.462,0.444,2.35e-06,0.889,0.506,100.367,audio_features,31d0mEzd1xM1Z7EI5A8D8V,spotify:track:31d0mEzd1xM1Z7EI5A8D8V,https://api.spotify.com/v1/tracks/31d0mEzd1xM1Z7EI5A8D8V,https://api.spotify.com/v1/audio-analysis/31d0mEzd1xM1Z7EI5A8D8V,110467,4,Pow! (Intro),spotify:track:31d0mEzd1xM1Z7EI5A8D8V,Madvillain,2aoFQUeHD1U7pL098lRsDU
1,0.616,0.843,1,-6.757,1,0.325,0.182,0.0,0.602,0.701,96.241,audio_features,7JZJbTUDcda68g9fOJCFAt,spotify:track:7JZJbTUDcda68g9fOJCFAt,https://api.spotify.com/v1/tracks/7JZJbTUDcda68g9fOJCFAt,https://api.spotify.com/v1/audio-analysis/7JZJbTUDcda68g9fOJCFAt,128027,4,No Brain,spotify:track:7JZJbTUDcda68g9fOJCFAt,Madvillain,2aoFQUeHD1U7pL098lRsDU
2,0.383,0.606,1,-9.041,1,0.119,0.226,0.0524,0.331,0.637,101.171,audio_features,1qfSNhujVl8A30RgrcOFLm,spotify:track:1qfSNhujVl8A30RgrcOFLm,https://api.spotify.com/v1/tracks/1qfSNhujVl8A30RgrcOFLm,https://api.spotify.com/v1/audio-analysis/1qfSNhujVl8A30RgrcOFLm,161093,1,Pearls,spotify:track:1qfSNhujVl8A30RgrcOFLm,Madvillain,2aoFQUeHD1U7pL098lRsDU
3,0.589,0.81,1,-7.159,1,0.241,0.00191,1.57e-05,0.229,0.589,97.787,audio_features,4JQzDgW7WklgkJgdDXeUIA,spotify:track:4JQzDgW7WklgkJgdDXeUIA,https://api.spotify.com/v1/tracks/4JQzDgW7WklgkJgdDXeUIA,https://api.spotify.com/v1/audio-analysis/4JQzDgW7WklgkJgdDXeUIA,129813,4,Light of the Past,spotify:track:4JQzDgW7WklgkJgdDXeUIA,Madvillain,2aoFQUeHD1U7pL098lRsDU
4,0.612,0.788,4,-7.801,1,0.464,0.28,0.0,0.321,0.592,88.837,audio_features,7lsxeAF1F7y8riBFqZWJLo,spotify:track:7lsxeAF1F7y8riBFqZWJLo,https://api.spotify.com/v1/tracks/7lsxeAF1F7y8riBFqZWJLo,https://api.spotify.com/v1/audio-analysis/7lsxeAF1F7y8riBFqZWJLo,142040,4,Boulder Holder,spotify:track:7lsxeAF1F7y8riBFqZWJLo,Madvillain,2aoFQUeHD1U7pL098lRsDU
5,0.521,0.539,4,-7.481,0,0.305,0.00434,1.99e-05,0.332,0.422,92.993,audio_features,5oOQm2NBDu0oWflFOB9Ccs,spotify:track:5oOQm2NBDu0oWflFOB9Ccs,https://api.spotify.com/v1/tracks/5oOQm2NBDu0oWflFOB9Ccs,https://api.spotify.com/v1/audio-analysis/5oOQm2NBDu0oWflFOB9Ccs,180400,4,Borrowed Time,spotify:track:5oOQm2NBDu0oWflFOB9Ccs,Madvillain,2aoFQUeHD1U7pL098lRsDU
6,0.46,0.839,9,-6.158,1,0.295,0.165,1.61e-05,0.527,0.81,97.213,audio_features,3laYMUELZV94qnyvlX2RMZ,spotify:track:3laYMUELZV94qnyvlX2RMZ,https://api.spotify.com/v1/tracks/3laYMUELZV94qnyvlX2RMZ,https://api.spotify.com/v1/audio-analysis/3laYMUELZV94qnyvlX2RMZ,220547,3,Space Ho's Coast to Coast,spotify:track:3laYMUELZV94qnyvlX2RMZ,Madvillain,2aoFQUeHD1U7pL098lRsDU
7,0.752,0.79,1,-10.709,1,0.269,0.0974,0.0293,0.274,0.666,97.487,audio_features,2WgT4UsBfu0c5i76LMvWKE,spotify:track:2WgT4UsBfu0c5i76LMvWKE,https://api.spotify.com/v1/tracks/2WgT4UsBfu0c5i76LMvWKE,https://api.spotify.com/v1/audio-analysis/2WgT4UsBfu0c5i76LMvWKE,72987,4,Invazion (Interlude),spotify:track:2WgT4UsBfu0c5i76LMvWKE,Madvillain,2aoFQUeHD1U7pL098lRsDU
8,0.468,0.875,9,-7.529,1,0.414,0.0586,0.0,0.39,0.31,94.403,audio_features,7MnowYYhuD1AVx0jeJOGuQ,spotify:track:7MnowYYhuD1AVx0jeJOGuQ,https://api.spotify.com/v1/tracks/7MnowYYhuD1AVx0jeJOGuQ,https://api.spotify.com/v1/audio-analysis/7MnowYYhuD1AVx0jeJOGuQ,206573,4,Drainos,spotify:track:7MnowYYhuD1AVx0jeJOGuQ,Madvillain,2aoFQUeHD1U7pL098lRsDU
9,0.641,0.556,7,-9.877,1,0.329,0.0267,8.59e-05,0.334,0.58,93.689,audio_features,5PvCu9rNSfQMsXmczTHkA5,spotify:track:5PvCu9rNSfQMsXmczTHkA5,https://api.spotify.com/v1/tracks/5PvCu9rNSfQMsXmczTHkA5,https://api.spotify.com/v1/audio-analysis/5PvCu9rNSfQMsXmczTHkA5,154533,4,Fire In The Hole,spotify:track:5PvCu9rNSfQMsXmczTHkA5,Madvillain,2aoFQUeHD1U7pL098lRsDU
