,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.675,0.948,8,-7.201,1,0.0452,0.0451,0.874,0.322,0.965,130.021,audio_features,2E6s0gAVuGexncDUdOD9QB,spotify:track:2E6s0gAVuGexncDUdOD9QB,https://api.spotify.com/v1/tracks/2E6s0gAVuGexncDUdOD9QB,https://api.spotify.com/v1/audio-analysis/2E6s0gAVuGexncDUdOD9QB,273853,4,Full Attention,spotify:track:2E6s0gAVuGexncDUdOD9QB,Maribou State,7zrkALJ9ayRjzysp4QYoEg
1,0.549,0.917,10,-6.063,0,0.0526,0.0746,0.841,0.111,0.962,192.031,audio_features,0ZESt6b5VmOeHOLzvyT0N6,spotify:track:0ZESt6b5VmOeHOLzvyT0N6,https://api.spotify.com/v1/tracks/0ZESt6b5VmOeHOLzvyT0N6,https://api.spotify.com/v1/audio-analysis/0ZESt6b5VmOeHOLzvyT0N6,280093,4,Under The Sun,spotify:track:0ZESt6b5VmOeHOLzvyT0N6,Maribou State,7zrkALJ9ayRjzysp4QYoEg
2,0.628,0.972,7,-6.279,1,0.0606,0.0113,0.674,0.114,0.629,138.975,audio_features,12MrWvMX0fNZz8Aw9whJNu,spotify:track:12MrWvMX0fNZz8Aw9whJNu,https://api.spotify.com/v1/tracks/12MrWvMX0fNZz8Aw9whJNu,https://api.spotify.com/v1/audio-analysis/12MrWvMX0fNZz8Aw9whJNu,255760,4,Blue Kiss,spotify:track:12MrWvMX0fNZz8Aw9whJNu,Maribou State,7zrkALJ9ayRjzysp4QYoEg
3,0.455,0.934,8,-7.71,0,0.0763,0.414,0.539,0.128,0.766,130.615,audio_features,3dE5JkCceos3FiuQmTKfOx,spotify:track:3dE5JkCceos3FiuQmTKfOx,https://api.spotify.com/v1/tracks/3dE5JkCceos3FiuQmTKfOx,https://api.spotify.com/v1/audio-analysis/3dE5JkCceos3FiuQmTKfOx,269360,4,L.D.R.A,spotify:track:3dE5JkCceos3FiuQmTKfOx,Maribou State,7zrkALJ9ayRjzysp4QYoEg
4,0.67,0.939,6,-7.211,1,0.048,0.0016,0.817,0.134,0.877,129.995,audio_features,2LxCIxNVIOW2c2e0jzVy6W,spotify:track:2LxCIxNVIOW2c2e0jzVy6W,https://api.spotify.com/v1/tracks/2LxCIxNVIOW2c2e0jzVy6W,https://api.spotify.com/v1/audio-analysis/2LxCIxNVIOW2c2e0jzVy6W,289840,4,Over You,spotify:track:2LxCIxNVIOW2c2e0jzVy6W,Maribou State,7zrkALJ9ayRjzysp4QYoEg
5,0.692,0.932,9,-6.64,1,0.0554,0.108,0.608,0.347,0.939,131.918,audio_features,4mYXAyo9ja4AzTBv4NEWHE,spotify:track:4mYXAyo9ja4AzTBv4NEWHE,https://api.spotify.com/v1/tracks/4mYXAyo9ja4AzTBv4NEWHE,https://api.spotify.com/v1/audio-analysis/4mYXAyo9ja4AzTBv4NEWHE,308880,4,Burnin’ Jungle,spotify:track:4mYXAyo9ja4AzTBv4NEWHE,Maribou State,7zrkALJ9ayRjzysp4QYoEg
6,0.774,0.793,1,-10.899,0,0.0483,0.505,0.745,0.0932,0.685,127.986,audio_features,4OwMTUrschknwvALozCuoD,spotify:track:4OwMTUrschknwvALozCuoD,https://api.spotify.com/v1/tracks/4OwMTUrschknwvALozCuoD,https://api.spotify.com/v1/audio-analysis/4OwMTUrschknwvALozCuoD,245200,4,London. Paris. Berlin.,spotify:track:4OwMTUrschknwvALozCuoD,Maribou State,7zrkALJ9ayRjzysp4QYoEg
7,0.782,0.824,7,-6.957,1,0.13,0.076,0.848,0.113,0.443,126.996,audio_features,06TLpAsxf7ZkPqma02KjhN,spotify:track:06TLpAsxf7ZkPqma02KjhN,https://api.spotify.com/v1/tracks/06TLpAsxf7ZkPqma02KjhN,https://api.spotify.com/v1/audio-analysis/06TLpAsxf7ZkPqma02KjhN,401185,4,Mind Games,spotify:track:06TLpAsxf7ZkPqma02KjhN,Maribou State,7zrkALJ9ayRjzysp4QYoEg
8,0.492,0.245,6,-17.088,1,0.0592,0.993,0.853,0.0975,0.221,77.172,audio_features,7wh6TFHTVpd3kFr10gHxyi,spotify:track:7wh6TFHTVpd3kFr10gHxyi,https://api.spotify.com/v1/tracks/7wh6TFHTVpd3kFr10gHxyi,https://api.spotify.com/v1/audio-analysis/7wh6TFHTVpd3kFr10gHxyi,112002,4,Serve No Tea,spotify:track:7wh6TFHTVpd3kFr10gHxyi,Maribou State,7zrkALJ9ayRjzysp4QYoEg
9,0.235,0.722,9,-24.993,0,0.702,0.932,0.974,0.317,0.0366,104.104,audio_features,7z1uVT6WGxITze8GBg1pZw,spotify:track:7z1uVT6WGxITze8GBg1pZw,https://api.spotify.com/v1/tracks/7z1uVT6WGxITze8GBg1pZw,https://api.spotify.com/v1/audio-analysis/7z1uVT6WGxITze8GBg1pZw,31227,5,Intro - Mixed,spotify:track:7z1uVT6WGxITze8GBg1pZw,Maribou State,7zrkALJ9ayRjzysp4QYoEg
