,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.737,0.896,5,-5.312,1,0.0459,0.0199,3.93e-05,0.0402,0.661,103.361,audio_features,3gQKLNBf70Qdj7hU72g7k1,spotify:track:3gQKLNBf70Qdj7hU72g7k1,https://api.spotify.com/v1/tracks/3gQKLNBf70Qdj7hU72g7k1,https://api.spotify.com/v1/audio-analysis/3gQKLNBf70Qdj7hU72g7k1,307787,4,Martika's Kitchen,spotify:track:3gQKLNBf70Qdj7hU72g7k1,Martika,40enFxfEXXsEXKOt1vgx0k
1,0.63,0.961,1,-6.186,1,0.0581,0.0197,0.0625,0.0881,0.894,118.23,audio_features,5HLEgf43kqdwT1Q5VcUmXf,spotify:track:5HLEgf43kqdwT1Q5VcUmXf,https://api.spotify.com/v1/tracks/5HLEgf43kqdwT1Q5VcUmXf,https://api.spotify.com/v1/audio-analysis/5HLEgf43kqdwT1Q5VcUmXf,277947,4,Spirit,spotify:track:5HLEgf43kqdwT1Q5VcUmXf,Martika,40enFxfEXXsEXKOt1vgx0k
2,0.663,0.34,2,-10.995,1,0.0286,0.4,0.00363,0.163,0.269,91.38,audio_features,61n0HIKhgIXOGusfWBIyEI,spotify:track:61n0HIKhgIXOGusfWBIyEI,https://api.spotify.com/v1/tracks/61n0HIKhgIXOGusfWBIyEI,https://api.spotify.com/v1/audio-analysis/61n0HIKhgIXOGusfWBIyEI,302773,4,Love...Thy Will Be Done,spotify:track:61n0HIKhgIXOGusfWBIyEI,Martika,40enFxfEXXsEXKOt1vgx0k
3,0.669,0.787,9,-4.437,1,0.0275,0.00261,0.000312,0.141,0.253,113.026,audio_features,2D46uLTsVdzY16Xr3qEu8O,spotify:track:2D46uLTsVdzY16Xr3qEu8O,https://api.spotify.com/v1/tracks/2D46uLTsVdzY16Xr3qEu8O,https://api.spotify.com/v1/audio-analysis/2D46uLTsVdzY16Xr3qEu8O,280867,4,A Magical Place,spotify:track:2D46uLTsVdzY16Xr3qEu8O,Martika,40enFxfEXXsEXKOt1vgx0k
4,0.576,0.85,6,-5.6,1,0.0477,0.0934,1.35e-05,0.056,0.795,183.721,audio_features,6OsuzwLjp4svPVYWZtGjuy,spotify:track:6OsuzwLjp4svPVYWZtGjuy,https://api.spotify.com/v1/tracks/6OsuzwLjp4svPVYWZtGjuy,https://api.spotify.com/v1/audio-analysis/6OsuzwLjp4svPVYWZtGjuy,276653,4,Coloured Kisses,spotify:track:6OsuzwLjp4svPVYWZtGjuy,Martika,40enFxfEXXsEXKOt1vgx0k
5,0.57,0.539,4,-8.139,1,0.0257,0.179,2.24e-06,0.122,0.168,145.763,audio_features,09aRYk2tMJCQTtk4UmMY5L,spotify:track:09aRYk2tMJCQTtk4UmMY5L,https://api.spotify.com/v1/tracks/09aRYk2tMJCQTtk4UmMY5L,https://api.spotify.com/v1/audio-analysis/09aRYk2tMJCQTtk4UmMY5L,309240,4,Safe In The Arms Of Love,spotify:track:09aRYk2tMJCQTtk4UmMY5L,Martika,40enFxfEXXsEXKOt1vgx0k
6,0.689,0.819,1,-6.487,1,0.034,0.542,0.0,0.0445,0.598,110.898,audio_features,78vTZlREGDazR3HY26roo3,spotify:track:78vTZlREGDazR3HY26roo3,https://api.spotify.com/v1/tracks/78vTZlREGDazR3HY26roo3,https://api.spotify.com/v1/audio-analysis/78vTZlREGDazR3HY26roo3,312027,4,Pride & Prejudice,spotify:track:78vTZlREGDazR3HY26roo3,Martika,40enFxfEXXsEXKOt1vgx0k
7,0.531,0.76,4,-5.846,0,0.0341,0.316,2.42e-06,0.362,0.642,156.719,audio_features,5C3tZVdfeNoHRN7V60Xbvc,spotify:track:5C3tZVdfeNoHRN7V60Xbvc,https://api.spotify.com/v1/tracks/5C3tZVdfeNoHRN7V60Xbvc,https://api.spotify.com/v1/audio-analysis/5C3tZVdfeNoHRN7V60Xbvc,274347,4,Take Me to Forever,spotify:track:5C3tZVdfeNoHRN7V60Xbvc,Martika,40enFxfEXXsEXKOt1vgx0k
8,0.656,0.971,7,-4.946,0,0.055,0.128,0.000485,0.346,0.884,102.837,audio_features,1iOvp3Bs0sKKxPytiUvzpz,spotify:track:1iOvp3Bs0sKKxPytiUvzpz,https://api.spotify.com/v1/tracks/1iOvp3Bs0sKKxPytiUvzpz,https://api.spotify.com/v1/audio-analysis/1iOvp3Bs0sKKxPytiUvzpz,285960,4,Temptation,spotify:track:1iOvp3Bs0sKKxPytiUvzpz,Martika,40enFxfEXXsEXKOt1vgx0k
9,0.728,0.792,8,-6.935,1,0.045,0.0144,0.0732,0.0593,0.596,117.04,audio_features,0OkVgOPBZvkAnwZHMkDv8n,spotify:track:0OkVgOPBZvkAnwZHMkDv8n,https://api.spotify.com/v1/tracks/0OkVgOPBZvkAnwZHMkDv8n,https://api.spotify.com/v1/audio-analysis/0OkVgOPBZvkAnwZHMkDv8n,262933,4,Don't Say U Love Me,spotify:track:0OkVgOPBZvkAnwZHMkDv8n,Martika,40enFxfEXXsEXKOt1vgx0k
