,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.738,0.808,9,-6.266,1,0.201,0.366,0.0975,0.101,0.692,154.065,audio_features,08asvh8VcyZbG33XPqKyKs,spotify:track:08asvh8VcyZbG33XPqKyKs,https://api.spotify.com/v1/tracks/08asvh8VcyZbG33XPqKyKs,https://api.spotify.com/v1/audio-analysis/08asvh8VcyZbG33XPqKyKs,137143,4,All Along,spotify:track:08asvh8VcyZbG33XPqKyKs,Martron,25Amc1hdYDyPHAeprRXCgx
1,0.52,0.723,8,-6.16,1,0.124,0.131,0.000145,0.0647,0.242,159.961,audio_features,3Hu0yiDLs7IDBHa9v9WkA0,spotify:track:3Hu0yiDLs7IDBHa9v9WkA0,https://api.spotify.com/v1/tracks/3Hu0yiDLs7IDBHa9v9WkA0,https://api.spotify.com/v1/audio-analysis/3Hu0yiDLs7IDBHa9v9WkA0,202500,4,Rolling,spotify:track:3Hu0yiDLs7IDBHa9v9WkA0,Martron,25Amc1hdYDyPHAeprRXCgx
2,0.883,0.791,2,-4.407,1,0.0969,0.0651,6.06e-06,0.108,0.54,129.972,audio_features,0JjyoGFiYiSpt2tktIvkxi,spotify:track:0JjyoGFiYiSpt2tktIvkxi,https://api.spotify.com/v1/tracks/0JjyoGFiYiSpt2tktIvkxi,https://api.spotify.com/v1/audio-analysis/0JjyoGFiYiSpt2tktIvkxi,180000,4,Best in Me,spotify:track:0JjyoGFiYiSpt2tktIvkxi,Martron,25Amc1hdYDyPHAeprRXCgx
3,0.625,0.631,11,-8.159,1,0.316,0.41,0.00142,0.155,0.438,74.977,audio_features,73HbwSaVlJ5yvz57RTQSgW,spotify:track:73HbwSaVlJ5yvz57RTQSgW,https://api.spotify.com/v1/tracks/73HbwSaVlJ5yvz57RTQSgW,https://api.spotify.com/v1/audio-analysis/73HbwSaVlJ5yvz57RTQSgW,144014,4,Where We Came From,spotify:track:73HbwSaVlJ5yvz57RTQSgW,Martron,25Amc1hdYDyPHAeprRXCgx
4,0.797,0.699,1,-5.925,1,0.496,0.323,0.0317,0.115,0.715,165.134,audio_features,2j4rICi6BUnYvuQBxCeGCz,spotify:track:2j4rICi6BUnYvuQBxCeGCz,https://api.spotify.com/v1/tracks/2j4rICi6BUnYvuQBxCeGCz,https://api.spotify.com/v1/audio-analysis/2j4rICi6BUnYvuQBxCeGCz,170909,4,Vibe,spotify:track:2j4rICi6BUnYvuQBxCeGCz,Martron,25Amc1hdYDyPHAeprRXCgx
5,0.806,0.79,1,-5.988,1,0.454,0.0914,0.0,0.101,0.338,127.995,audio_features,0IcSYBt5UinHLMeHugjieT,spotify:track:0IcSYBt5UinHLMeHugjieT,https://api.spotify.com/v1/tracks/0IcSYBt5UinHLMeHugjieT,https://api.spotify.com/v1/audio-analysis/0IcSYBt5UinHLMeHugjieT,183720,4,Let U Go,spotify:track:0IcSYBt5UinHLMeHugjieT,Martron,25Amc1hdYDyPHAeprRXCgx
6,0.817,0.859,2,-1.567,1,0.0784,0.204,0.00942,0.262,0.411,135.024,audio_features,1FVdZTJfbQinw3OeI5tKrZ,spotify:track:1FVdZTJfbQinw3OeI5tKrZ,https://api.spotify.com/v1/tracks/1FVdZTJfbQinw3OeI5tKrZ,https://api.spotify.com/v1/audio-analysis/1FVdZTJfbQinw3OeI5tKrZ,152907,4,Pãramramram - Martron Remix,spotify:track:1FVdZTJfbQinw3OeI5tKrZ,Martron,25Amc1hdYDyPHAeprRXCgx
7,0.819,0.95,0,-6.949,1,0.0497,0.767,0.516,0.097,0.357,128.004,audio_features,3JZQnpdu0MGDamwpQmzp7j,spotify:track:3JZQnpdu0MGDamwpQmzp7j,https://api.spotify.com/v1/tracks/3JZQnpdu0MGDamwpQmzp7j,https://api.spotify.com/v1/audio-analysis/3JZQnpdu0MGDamwpQmzp7j,183500,4,A Christmas Miracle,spotify:track:3JZQnpdu0MGDamwpQmzp7j,Martron,25Amc1hdYDyPHAeprRXCgx
8,0.677,0.675,0,-6.202,1,0.0461,0.333,0.00323,0.389,0.79,98.063,audio_features,4OB6aHnXC4VlDXyPeJo5qQ,spotify:track:4OB6aHnXC4VlDXyPeJo5qQ,https://api.spotify.com/v1/tracks/4OB6aHnXC4VlDXyPeJo5qQ,https://api.spotify.com/v1/audio-analysis/4OB6aHnXC4VlDXyPeJo5qQ,131370,4,Sticky Situation (with Madison Olds),spotify:track:4OB6aHnXC4VlDXyPeJo5qQ,Martron,25Amc1hdYDyPHAeprRXCgx
9,0.738,0.531,9,-7.169,0,0.188,0.361,1.51e-05,0.0736,0.618,112.931,audio_features,1UrbuUNqN7Qbq01F9UeeJZ,spotify:track:1UrbuUNqN7Qbq01F9UeeJZ,https://api.spotify.com/v1/tracks/1UrbuUNqN7Qbq01F9UeeJZ,https://api.spotify.com/v1/audio-analysis/1UrbuUNqN7Qbq01F9UeeJZ,238190,4,Sticky Situation (Shakur Ahmad Remix),spotify:track:1UrbuUNqN7Qbq01F9UeeJZ,Martron,25Amc1hdYDyPHAeprRXCgx
