,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.778,0.641,7,-5.258,1,0.0449,0.753,0.0,0.104,0.434,131.914,audio_features,6H1OZfzhdwK4lmaPnOLJ0b,spotify:track:6H1OZfzhdwK4lmaPnOLJ0b,https://api.spotify.com/v1/tracks/6H1OZfzhdwK4lmaPnOLJ0b,https://api.spotify.com/v1/audio-analysis/6H1OZfzhdwK4lmaPnOLJ0b,206171,4,Todo Mundo Menos Você,spotify:track:6H1OZfzhdwK4lmaPnOLJ0b,Marília Mendonça,1yR65psqiazQpeM79CcGh8
1,0.671,0.636,7,-6.496,1,0.0608,0.333,0.0,0.122,0.704,125.851,audio_features,35B2LFQK4YvhXZr8Ybcz6P,spotify:track:35B2LFQK4YvhXZr8Ybcz6P,https://api.spotify.com/v1/tracks/35B2LFQK4YvhXZr8Ybcz6P,https://api.spotify.com/v1/audio-analysis/35B2LFQK4YvhXZr8Ybcz6P,170866,4,Motel Afrodite,spotify:track:35B2LFQK4YvhXZr8Ybcz6P,Marília Mendonça,1yR65psqiazQpeM79CcGh8
2,0.643,0.699,4,-5.458,1,0.112,0.266,0.0,0.116,0.636,115.947,audio_features,2B31lT0nRQn8NT2BFedgxJ,spotify:track:2B31lT0nRQn8NT2BFedgxJ,https://api.spotify.com/v1/tracks/2B31lT0nRQn8NT2BFedgxJ,https://api.spotify.com/v1/audio-analysis/2B31lT0nRQn8NT2BFedgxJ,169586,4,Não Sei o Que Lá,spotify:track:2B31lT0nRQn8NT2BFedgxJ,Marília Mendonça,1yR65psqiazQpeM79CcGh8
3,0.698,0.604,4,-4.574,1,0.0457,0.501,0.0,0.251,0.353,127.707,audio_features,64I6t2tuUGnIlaDIzHJ6YI,spotify:track:64I6t2tuUGnIlaDIzHJ6YI,https://api.spotify.com/v1/tracks/64I6t2tuUGnIlaDIzHJ6YI,https://api.spotify.com/v1/audio-analysis/64I6t2tuUGnIlaDIzHJ6YI,215979,4,Quero Você do Jeito Que Quiser,spotify:track:64I6t2tuUGnIlaDIzHJ6YI,Marília Mendonça,1yR65psqiazQpeM79CcGh8
4,0.652,0.612,7,-3.426,1,0.0521,0.288,0.0,0.111,0.461,143.582,audio_features,7HaSsqUFunfYlT7MTEnxCx,spotify:track:7HaSsqUFunfYlT7MTEnxCx,https://api.spotify.com/v1/tracks/7HaSsqUFunfYlT7MTEnxCx,https://api.spotify.com/v1/audio-analysis/7HaSsqUFunfYlT7MTEnxCx,223552,4,10 de Setembro,spotify:track:7HaSsqUFunfYlT7MTEnxCx,Marília Mendonça,1yR65psqiazQpeM79CcGh8
5,0.598,0.787,9,-2.625,0,0.0482,0.0661,0.0,0.144,0.544,143.591,audio_features,2hqRWWmbHT9CTc5a4a9NVe,spotify:track:2hqRWWmbHT9CTc5a4a9NVe,https://api.spotify.com/v1/tracks/2hqRWWmbHT9CTc5a4a9NVe,https://api.spotify.com/v1/audio-analysis/2hqRWWmbHT9CTc5a4a9NVe,230507,4,Uma Vida a Mais (Listen To Your Heart),spotify:track:2hqRWWmbHT9CTc5a4a9NVe,Marília Mendonça,1yR65psqiazQpeM79CcGh8
6,0.634,0.767,4,-3.959,1,0.085,0.313,0.0,0.181,0.55,157.912,audio_features,47iy0GeY7LlaVe5Y7JnAia,spotify:track:47iy0GeY7LlaVe5Y7JnAia,https://api.spotify.com/v1/tracks/47iy0GeY7LlaVe5Y7JnAia,https://api.spotify.com/v1/audio-analysis/47iy0GeY7LlaVe5Y7JnAia,219168,4,Assunto Delicado,spotify:track:47iy0GeY7LlaVe5Y7JnAia,Marília Mendonça,1yR65psqiazQpeM79CcGh8
7,0.757,0.807,10,-3.704,1,0.0568,0.315,0.0,0.168,0.499,111.955,audio_features,0zhnWntcmhChM7PXSWuNNq,spotify:track:0zhnWntcmhChM7PXSWuNNq,https://api.spotify.com/v1/tracks/0zhnWntcmhChM7PXSWuNNq,https://api.spotify.com/v1/audio-analysis/0zhnWntcmhChM7PXSWuNNq,231627,4,Você Nem É Tudo Isso,spotify:track:0zhnWntcmhChM7PXSWuNNq,Marília Mendonça,1yR65psqiazQpeM79CcGh8
8,0.625,0.76,5,-2.587,1,0.0328,0.406,0.0,0.0952,0.525,77.95,audio_features,68GVqB0D4APjNWrvwZuPFI,spotify:track:68GVqB0D4APjNWrvwZuPFI,https://api.spotify.com/v1/tracks/68GVqB0D4APjNWrvwZuPFI,https://api.spotify.com/v1/audio-analysis/68GVqB0D4APjNWrvwZuPFI,247125,4,Coração Bandido,spotify:track:68GVqB0D4APjNWrvwZuPFI,Marília Mendonça,1yR65psqiazQpeM79CcGh8
9,0.569,0.709,7,-2.902,1,0.0489,0.631,0.0,0.323,0.484,82.688,audio_features,4Q32TwgO41XGG5dEMu1U74,spotify:track:4Q32TwgO41XGG5dEMu1U74,https://api.spotify.com/v1/tracks/4Q32TwgO41XGG5dEMu1U74,https://api.spotify.com/v1/audio-analysis/4Q32TwgO41XGG5dEMu1U74,231936,4,A Solidão É uma Ressaca,spotify:track:4Q32TwgO41XGG5dEMu1U74,Marília Mendonça,1yR65psqiazQpeM79CcGh8
