,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.355,0.965,5,-2.894,1,0.0579,0.00403,0.0392,0.393,0.175,174.017,audio_features,3I1B9VVoguS2v6otDAeX4u,spotify:track:3I1B9VVoguS2v6otDAeX4u,https://api.spotify.com/v1/tracks/3I1B9VVoguS2v6otDAeX4u,https://api.spotify.com/v1/audio-analysis/3I1B9VVoguS2v6otDAeX4u,213793,4,Believe,spotify:track:3I1B9VVoguS2v6otDAeX4u,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
1,0.471,0.891,2,-3.047,1,0.0632,0.0264,2.97e-06,0.149,0.309,174.012,audio_features,7C1CxvYqjrns7G0AEBHRvx,spotify:track:7C1CxvYqjrns7G0AEBHRvx,https://api.spotify.com/v1/tracks/7C1CxvYqjrns7G0AEBHRvx,https://api.spotify.com/v1/audio-analysis/7C1CxvYqjrns7G0AEBHRvx,190388,4,Got You There,spotify:track:7C1CxvYqjrns7G0AEBHRvx,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
2,0.407,0.95,4,-2.736,0,0.0434,0.0336,0.336,0.139,0.07,174.009,audio_features,3Db276qW1Me8HOEmv9oxdo,spotify:track:3Db276qW1Me8HOEmv9oxdo,https://api.spotify.com/v1/tracks/3Db276qW1Me8HOEmv9oxdo,https://api.spotify.com/v1/audio-analysis/3Db276qW1Me8HOEmv9oxdo,246940,4,Live Another Day - M&F's Smoke & Mirrors Mix,spotify:track:3Db276qW1Me8HOEmv9oxdo,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
3,0.374,0.979,0,-3.64,1,0.0379,0.0208,0.00106,0.289,0.272,174.022,audio_features,28xDyjuy8GlH1xsn3zyoCW,spotify:track:28xDyjuy8GlH1xsn3zyoCW,https://api.spotify.com/v1/tracks/28xDyjuy8GlH1xsn3zyoCW,https://api.spotify.com/v1/audio-analysis/28xDyjuy8GlH1xsn3zyoCW,193147,4,Spellbound,spotify:track:28xDyjuy8GlH1xsn3zyoCW,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
4,0.458,0.974,6,-3.604,1,0.0463,0.000471,0.835,0.199,0.0396,174.031,audio_features,1AhfAIRg2lzJgCHstv73Fa,spotify:track:1AhfAIRg2lzJgCHstv73Fa,https://api.spotify.com/v1/tracks/1AhfAIRg2lzJgCHstv73Fa,https://api.spotify.com/v1/audio-analysis/1AhfAIRg2lzJgCHstv73Fa,224871,4,Mystery Machine,spotify:track:1AhfAIRg2lzJgCHstv73Fa,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
5,0.492,0.87,6,-3.413,0,0.0437,0.0883,0.0367,0.146,0.285,174.095,audio_features,41TCum2t68E5ErW8mWjlVb,spotify:track:41TCum2t68E5ErW8mWjlVb,https://api.spotify.com/v1/tracks/41TCum2t68E5ErW8mWjlVb,https://api.spotify.com/v1/audio-analysis/41TCum2t68E5ErW8mWjlVb,229009,4,Follow Me,spotify:track:41TCum2t68E5ErW8mWjlVb,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
6,0.511,0.897,9,-2.087,0,0.0324,0.218,0.000142,0.573,0.369,86.994,audio_features,1ie5zWkotxj3UxH2atGrPE,spotify:track:1ie5zWkotxj3UxH2atGrPE,https://api.spotify.com/v1/tracks/1ie5zWkotxj3UxH2atGrPE,https://api.spotify.com/v1/audio-analysis/1ie5zWkotxj3UxH2atGrPE,228969,4,Control,spotify:track:1ie5zWkotxj3UxH2atGrPE,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
7,0.554,0.911,9,-3.281,0,0.0904,0.0824,1.88e-06,0.147,0.605,138.462,audio_features,4fl9LqO84NzurEcdTc0YCx,spotify:track:4fl9LqO84NzurEcdTc0YCx,https://api.spotify.com/v1/tracks/4fl9LqO84NzurEcdTc0YCx,https://api.spotify.com/v1/audio-analysis/4fl9LqO84NzurEcdTc0YCx,176967,4,Hindsight,spotify:track:4fl9LqO84NzurEcdTc0YCx,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
8,0.502,0.941,2,-2.287,1,0.0525,0.000704,0.805,0.063,0.421,173.995,audio_features,3FO4ZJovCg0PMKvPBOcR9A,spotify:track:3FO4ZJovCg0PMKvPBOcR9A,https://api.spotify.com/v1/tracks/3FO4ZJovCg0PMKvPBOcR9A,https://api.spotify.com/v1/audio-analysis/3FO4ZJovCg0PMKvPBOcR9A,286595,4,Happy Alone - M&F's Cheap Thrills Remix,spotify:track:3FO4ZJovCg0PMKvPBOcR9A,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
9,0.408,0.943,5,-2.36,0,0.048,0.00471,0.0699,0.245,0.475,173.934,audio_features,3ItGbrZK1FFZFAZ1JJsMqe,spotify:track:3ItGbrZK1FFZFAZ1JJsMqe,https://api.spotify.com/v1/tracks/3ItGbrZK1FFZFAZ1JJsMqe,https://api.spotify.com/v1/audio-analysis/3ItGbrZK1FFZFAZ1JJsMqe,226250,4,Human,spotify:track:3ItGbrZK1FFZFAZ1JJsMqe,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
10,0.549,0.976,11,-3.58,0,0.0418,0.0774,7.22e-06,0.14,0.31,144.97,audio_features,0aO0niorRO2kTWRZDM4pb9,spotify:track:0aO0niorRO2kTWRZDM4pb9,https://api.spotify.com/v1/tracks/0aO0niorRO2kTWRZDM4pb9,https://api.spotify.com/v1/audio-analysis/0aO0niorRO2kTWRZDM4pb9,209621,4,Remember,spotify:track:0aO0niorRO2kTWRZDM4pb9,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
11,0.446,0.9,2,-3.212,0,0.0359,0.142,1.86e-06,0.432,0.421,173.943,audio_features,0Q3yKXiWUJMmV7sN8dCmNV,spotify:track:0Q3yKXiWUJMmV7sN8dCmNV,https://api.spotify.com/v1/tracks/0Q3yKXiWUJMmV7sN8dCmNV,https://api.spotify.com/v1/audio-analysis/0Q3yKXiWUJMmV7sN8dCmNV,191379,4,This Time,spotify:track:0Q3yKXiWUJMmV7sN8dCmNV,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
12,0.414,0.989,5,-2.688,0,0.0879,0.000939,0.893,0.168,0.403,174.005,audio_features,231uDmTbGv2wDs3mMiby0k,spotify:track:231uDmTbGv2wDs3mMiby0k,https://api.spotify.com/v1/tracks/231uDmTbGv2wDs3mMiby0k,https://api.spotify.com/v1/audio-analysis/231uDmTbGv2wDs3mMiby0k,227931,4,Tardis,spotify:track:231uDmTbGv2wDs3mMiby0k,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
13,0.516,0.86,10,-3.56,0,0.0494,0.0526,0.0,0.0858,0.35,173.874,audio_features,4LtBVNPRnWMGcrQDD3u6AY,spotify:track:4LtBVNPRnWMGcrQDD3u6AY,https://api.spotify.com/v1/tracks/4LtBVNPRnWMGcrQDD3u6AY,https://api.spotify.com/v1/audio-analysis/4LtBVNPRnWMGcrQDD3u6AY,182007,4,Fire,spotify:track:4LtBVNPRnWMGcrQDD3u6AY,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7
