,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.549,0.783,4,-5.335,1,0.0457,0.0016,0.875,0.0952,0.0599,175.026,audio_features,0Gh0zC1iXujb6mjh2B7ASs,spotify:track:0Gh0zC1iXujb6mjh2B7ASs,https://api.spotify.com/v1/tracks/0Gh0zC1iXujb6mjh2B7ASs,https://api.spotify.com/v1/audio-analysis/0Gh0zC1iXujb6mjh2B7ASs,266792,4,Be There,spotify:track:0Gh0zC1iXujb6mjh2B7ASs,Matt View,4uMpmqIDOviQTm05ktVtqC
1,0.311,0.826,0,-5.56,0,0.0463,0.00132,0.83,0.106,0.104,87.526,audio_features,3DI0DCgSU2hBHYEpNmqLv8,spotify:track:3DI0DCgSU2hBHYEpNmqLv8,https://api.spotify.com/v1/tracks/3DI0DCgSU2hBHYEpNmqLv8,https://api.spotify.com/v1/audio-analysis/3DI0DCgSU2hBHYEpNmqLv8,293871,4,Come Clean,spotify:track:3DI0DCgSU2hBHYEpNmqLv8,Matt View,4uMpmqIDOviQTm05ktVtqC
2,0.537,0.907,5,-5.66,0,0.0391,0.00229,0.845,0.0915,0.213,174.014,audio_features,2TZUmnFFwUWZRMch1em1Kq,spotify:track:2TZUmnFFwUWZRMch1em1Kq,https://api.spotify.com/v1/tracks/2TZUmnFFwUWZRMch1em1Kq,https://api.spotify.com/v1/audio-analysis/2TZUmnFFwUWZRMch1em1Kq,403060,4,Winter Dream,spotify:track:2TZUmnFFwUWZRMch1em1Kq,Matt View,4uMpmqIDOviQTm05ktVtqC
3,0.596,0.951,10,-4.756,0,0.0504,0.138,0.897,0.108,0.408,175.024,audio_features,1YSzw1cDPW4FhRnUfhEI4s,spotify:track:1YSzw1cDPW4FhRnUfhEI4s,https://api.spotify.com/v1/tracks/1YSzw1cDPW4FhRnUfhEI4s,https://api.spotify.com/v1/audio-analysis/1YSzw1cDPW4FhRnUfhEI4s,257143,4,Tell Me How,spotify:track:1YSzw1cDPW4FhRnUfhEI4s,Matt View,4uMpmqIDOviQTm05ktVtqC
4,0.524,0.8,1,-5.698,1,0.0498,0.000129,0.847,0.0863,0.517,173.95,audio_features,1anqSUIH3KrW9dOymNsQ9s,spotify:track:1anqSUIH3KrW9dOymNsQ9s,https://api.spotify.com/v1/tracks/1anqSUIH3KrW9dOymNsQ9s,https://api.spotify.com/v1/audio-analysis/1anqSUIH3KrW9dOymNsQ9s,258821,4,Like That,spotify:track:1anqSUIH3KrW9dOymNsQ9s,Matt View,4uMpmqIDOviQTm05ktVtqC
5,0.568,0.819,4,-5.435,0,0.042,2.25e-05,0.794,0.142,0.36,175.01,audio_features,139R782hhEUcwjZlzKmcJC,spotify:track:139R782hhEUcwjZlzKmcJC,https://api.spotify.com/v1/tracks/139R782hhEUcwjZlzKmcJC,https://api.spotify.com/v1/audio-analysis/139R782hhEUcwjZlzKmcJC,236086,4,Next Day,spotify:track:139R782hhEUcwjZlzKmcJC,Matt View,4uMpmqIDOviQTm05ktVtqC
6,0.547,0.954,0,-4.847,1,0.0476,7.98e-05,0.899,0.22,0.0395,173.849,audio_features,4cfy2nSsmKFeGAWPtvmRQL,spotify:track:4cfy2nSsmKFeGAWPtvmRQL,https://api.spotify.com/v1/tracks/4cfy2nSsmKFeGAWPtvmRQL,https://api.spotify.com/v1/audio-analysis/4cfy2nSsmKFeGAWPtvmRQL,282959,4,Nighthawks,spotify:track:4cfy2nSsmKFeGAWPtvmRQL,Matt View,4uMpmqIDOviQTm05ktVtqC
7,0.674,0.943,7,-4.837,1,0.0584,3.11e-05,0.81,0.101,0.253,174.016,audio_features,5fsVvxbv34LXtBaAMUZuvL,spotify:track:5fsVvxbv34LXtBaAMUZuvL,https://api.spotify.com/v1/tracks/5fsVvxbv34LXtBaAMUZuvL,https://api.spotify.com/v1/audio-analysis/5fsVvxbv34LXtBaAMUZuvL,256752,4,Won't Let You Go,spotify:track:5fsVvxbv34LXtBaAMUZuvL,Matt View,4uMpmqIDOviQTm05ktVtqC
8,0.631,0.958,1,-4.373,1,0.0464,0.000389,0.815,0.106,0.376,175.074,audio_features,3ALrfXmZn4y0rhzLTO5nTj,spotify:track:3ALrfXmZn4y0rhzLTO5nTj,https://api.spotify.com/v1/tracks/3ALrfXmZn4y0rhzLTO5nTj,https://api.spotify.com/v1/audio-analysis/3ALrfXmZn4y0rhzLTO5nTj,247057,4,All On Me,spotify:track:3ALrfXmZn4y0rhzLTO5nTj,Matt View,4uMpmqIDOviQTm05ktVtqC
9,0.629,0.988,1,-4.209,1,0.0538,0.0295,0.892,0.139,0.164,174.005,audio_features,4ZYiXqUNT8AzLTuiDPuRMA,spotify:track:4ZYiXqUNT8AzLTuiDPuRMA,https://api.spotify.com/v1/tracks/4ZYiXqUNT8AzLTuiDPuRMA,https://api.spotify.com/v1/audio-analysis/4ZYiXqUNT8AzLTuiDPuRMA,282069,4,Don't Stop,spotify:track:4ZYiXqUNT8AzLTuiDPuRMA,Matt View,4uMpmqIDOviQTm05ktVtqC
10,0.562,0.916,7,-4.949,1,0.0434,0.0066,0.898,0.107,0.212,173.027,audio_features,6xTvxiKzim2v11lCDDgl1h,spotify:track:6xTvxiKzim2v11lCDDgl1h,https://api.spotify.com/v1/tracks/6xTvxiKzim2v11lCDDgl1h,https://api.spotify.com/v1/audio-analysis/6xTvxiKzim2v11lCDDgl1h,305202,4,Garden State,spotify:track:6xTvxiKzim2v11lCDDgl1h,Matt View,4uMpmqIDOviQTm05ktVtqC
11,0.6,0.781,2,-3.142,0,0.0385,0.0205,0.846,0.157,0.0827,87.503,audio_features,0eigfUMK8NtvKcjE4WAIcL,spotify:track:0eigfUMK8NtvKcjE4WAIcL,https://api.spotify.com/v1/tracks/0eigfUMK8NtvKcjE4WAIcL,https://api.spotify.com/v1/audio-analysis/0eigfUMK8NtvKcjE4WAIcL,272914,4,Return - Matt View Remix,spotify:track:0eigfUMK8NtvKcjE4WAIcL,Matt View,4uMpmqIDOviQTm05ktVtqC
12,0.589,0.937,10,-4.296,0,0.0569,0.00396,0.779,0.592,0.427,172.009,audio_features,1GtoxWuUsflFKI7V10Sfia,spotify:track:1GtoxWuUsflFKI7V10Sfia,https://api.spotify.com/v1/tracks/1GtoxWuUsflFKI7V10Sfia,https://api.spotify.com/v1/audio-analysis/1GtoxWuUsflFKI7V10Sfia,279070,4,Time Bandits,spotify:track:1GtoxWuUsflFKI7V10Sfia,Matt View,4uMpmqIDOviQTm05ktVtqC
