,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.518,0.742,5,-8.163,0,0.0959,0.0919,0.00342,0.112,0.539,199.901,audio_features,5HMo3lJ5XbdJbQ7ekxKi7S,spotify:track:5HMo3lJ5XbdJbQ7ekxKi7S,https://api.spotify.com/v1/tracks/5HMo3lJ5XbdJbQ7ekxKi7S,https://api.spotify.com/v1/audio-analysis/5HMo3lJ5XbdJbQ7ekxKi7S,243798,4,By the Way,spotify:track:5HMo3lJ5XbdJbQ7ekxKi7S,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
1,0.435,0.448,11,-10.879,0,0.142,0.797,0.000836,0.141,0.183,79.034,audio_features,5mKzZ17CCOyvkRUEecyxiD,spotify:track:5mKzZ17CCOyvkRUEecyxiD,https://api.spotify.com/v1/tracks/5mKzZ17CCOyvkRUEecyxiD,https://api.spotify.com/v1/audio-analysis/5mKzZ17CCOyvkRUEecyxiD,205151,4,No,spotify:track:5mKzZ17CCOyvkRUEecyxiD,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
2,0.785,0.603,5,-9.542,0,0.0678,0.618,0.00418,0.0963,0.348,101.011,audio_features,0o8PwQ8yjbqQQ0PY0WNUwW,spotify:track:0o8PwQ8yjbqQQ0PY0WNUwW,https://api.spotify.com/v1/tracks/0o8PwQ8yjbqQQ0PY0WNUwW,https://api.spotify.com/v1/audio-analysis/0o8PwQ8yjbqQQ0PY0WNUwW,268743,4,Locked,spotify:track:0o8PwQ8yjbqQQ0PY0WNUwW,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
3,0.577,0.476,11,-8.943,0,0.0378,0.534,0.000567,0.259,0.339,82.996,audio_features,31rR5A5BFeL90SQz72nVI5,spotify:track:31rR5A5BFeL90SQz72nVI5,https://api.spotify.com/v1/tracks/31rR5A5BFeL90SQz72nVI5,https://api.spotify.com/v1/audio-analysis/31rR5A5BFeL90SQz72nVI5,211704,4,No - Slowz Remix,spotify:track:31rR5A5BFeL90SQz72nVI5,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
4,0.793,0.419,7,-10.717,1,0.0971,0.238,0.00162,0.104,0.0729,95.003,audio_features,71WCID6omHafNEbfAvu6dz,spotify:track:71WCID6omHafNEbfAvu6dz,https://api.spotify.com/v1/tracks/71WCID6omHafNEbfAvu6dz,https://api.spotify.com/v1/audio-analysis/71WCID6omHafNEbfAvu6dz,196003,4,Weight,spotify:track:71WCID6omHafNEbfAvu6dz,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
5,0.819,0.401,0,-10.658,1,0.201,0.215,0.0419,0.101,0.132,97.905,audio_features,1Dba6n2Xt1omQ9pRHbyi03,spotify:track:1Dba6n2Xt1omQ9pRHbyi03,https://api.spotify.com/v1/tracks/1Dba6n2Xt1omQ9pRHbyi03,https://api.spotify.com/v1/audio-analysis/1Dba6n2Xt1omQ9pRHbyi03,228500,4,Caught Up,spotify:track:1Dba6n2Xt1omQ9pRHbyi03,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
6,0.759,0.53,7,-9.562,1,0.0557,0.29,1.27e-06,0.213,0.545,109.027,audio_features,781SaTlj80IGlunMWmW1Hk,spotify:track:781SaTlj80IGlunMWmW1Hk,https://api.spotify.com/v1/tracks/781SaTlj80IGlunMWmW1Hk,https://api.spotify.com/v1/audio-analysis/781SaTlj80IGlunMWmW1Hk,220183,4,Fault Line,spotify:track:781SaTlj80IGlunMWmW1Hk,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
7,0.707,0.729,7,-7.675,1,0.0502,0.0402,0.654,0.0873,0.469,121.439,audio_features,5b18DoK4D5vijCDFxbi1il,spotify:track:5b18DoK4D5vijCDFxbi1il,https://api.spotify.com/v1/tracks/5b18DoK4D5vijCDFxbi1il,https://api.spotify.com/v1/audio-analysis/5b18DoK4D5vijCDFxbi1il,261142,4,Fault Line - Ambassadeurs Remix,spotify:track:5b18DoK4D5vijCDFxbi1il,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
8,0.783,0.484,0,-13.243,1,0.0763,0.298,0.0153,0.338,0.464,114.009,audio_features,1XcFwzsealWHfJ1tgIofvT,spotify:track:1XcFwzsealWHfJ1tgIofvT,https://api.spotify.com/v1/tracks/1XcFwzsealWHfJ1tgIofvT,https://api.spotify.com/v1/audio-analysis/1XcFwzsealWHfJ1tgIofvT,284995,4,Don't Let Me Go,spotify:track:1XcFwzsealWHfJ1tgIofvT,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
9,0.712,0.489,4,-10.809,1,0.0424,0.256,0.406,0.0904,0.383,120.012,audio_features,2gml8JkfGXI2uIhqAVyi7L,spotify:track:2gml8JkfGXI2uIhqAVyi7L,https://api.spotify.com/v1/tracks/2gml8JkfGXI2uIhqAVyi7L,https://api.spotify.com/v1/audio-analysis/2gml8JkfGXI2uIhqAVyi7L,307572,4,Wildfire,spotify:track:2gml8JkfGXI2uIhqAVyi7L,Meeka Kates,24XZ9joYiC4hzMYXihqgc1
