,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.509,0.257,4,-13.446,1,0.0512,0.125,0.000104,0.338,0.203,129.549,audio_features,64ANk8tPmY9TQBliGrFDLp,spotify:track:64ANk8tPmY9TQBliGrFDLp,https://api.spotify.com/v1/tracks/64ANk8tPmY9TQBliGrFDLp,https://api.spotify.com/v1/audio-analysis/64ANk8tPmY9TQBliGrFDLp,374243,4,"I Am Looking for the Truth, Not a Knife in the Back",spotify:track:64ANk8tPmY9TQBliGrFDLp,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
1,0.393,0.786,7,-4.262,1,0.0361,0.0854,0.00198,0.638,0.844,132.328,audio_features,5ACUxBcmO7uz3zvXtQbpHX,spotify:track:5ACUxBcmO7uz3zvXtQbpHX,https://api.spotify.com/v1/tracks/5ACUxBcmO7uz3zvXtQbpHX,https://api.spotify.com/v1/audio-analysis/5ACUxBcmO7uz3zvXtQbpHX,166438,4,The Sleep of the Damned,spotify:track:5ACUxBcmO7uz3zvXtQbpHX,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
2,0.479,0.0701,6,-21.921,1,0.0724,0.871,0.00123,0.341,0.094,146.342,audio_features,3dzAwPgyhcvxc4gqEnCVf9,spotify:track:3dzAwPgyhcvxc4gqEnCVf9,https://api.spotify.com/v1/tracks/3dzAwPgyhcvxc4gqEnCVf9,https://api.spotify.com/v1/audio-analysis/3dzAwPgyhcvxc4gqEnCVf9,334812,4,Fuck Your Wisdom,spotify:track:3dzAwPgyhcvxc4gqEnCVf9,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
3,0.387,0.393,4,-11.248,1,0.0376,0.612,0.0519,0.0644,0.13,114.034,audio_features,0DMgBbMpKyrnxegRhXSNaQ,spotify:track:0DMgBbMpKyrnxegRhXSNaQ,https://api.spotify.com/v1/tracks/0DMgBbMpKyrnxegRhXSNaQ,https://api.spotify.com/v1/audio-analysis/0DMgBbMpKyrnxegRhXSNaQ,405029,4,"When I Shoot at You with Arrows, I Will Shoot to Destroy You",spotify:track:0DMgBbMpKyrnxegRhXSNaQ,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
4,0.268,0.69,4,-1.726,1,0.0393,0.259,0.00158,0.321,0.381,143.292,audio_features,0QQxnr9OEddINFunnepLr7,spotify:track:0QQxnr9OEddINFunnepLr7,https://api.spotify.com/v1/tracks/0QQxnr9OEddINFunnepLr7,https://api.spotify.com/v1/audio-analysis/0QQxnr9OEddINFunnepLr7,192366,4,Small Spaces,spotify:track:0QQxnr9OEddINFunnepLr7,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
5,0.538,0.0595,7,-18.56,1,0.0399,0.814,1.65e-05,0.117,0.308,96.361,audio_features,6yPAZO5MRQ42jVx3N9Ha1L,spotify:track:6yPAZO5MRQ42jVx3N9Ha1L,https://api.spotify.com/v1/tracks/6yPAZO5MRQ42jVx3N9Ha1L,https://api.spotify.com/v1/audio-analysis/6yPAZO5MRQ42jVx3N9Ha1L,206807,3,My Blood Will Call Out to You From the Ground,spotify:track:6yPAZO5MRQ42jVx3N9Ha1L,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
6,0.248,0.608,9,-7.566,1,0.0731,0.314,0.202,0.267,0.155,110.043,audio_features,0gPTpb9tFveaPn2n0yYNfV,spotify:track:0gPTpb9tFveaPn2n0yYNfV,https://api.spotify.com/v1/tracks/0gPTpb9tFveaPn2n0yYNfV,https://api.spotify.com/v1/audio-analysis/0gPTpb9tFveaPn2n0yYNfV,548563,4,The Skulls of Christ,spotify:track:0gPTpb9tFveaPn2n0yYNfV,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
7,0.49,0.256,4,-13.462,1,0.052,0.126,9.14e-05,0.339,0.198,129.511,audio_features,7kPallmn1IcK0bIQsl7bxm,spotify:track:7kPallmn1IcK0bIQsl7bxm,https://api.spotify.com/v1/tracks/7kPallmn1IcK0bIQsl7bxm,https://api.spotify.com/v1/audio-analysis/7kPallmn1IcK0bIQsl7bxm,374243,4,"I Am Looking For the Truth, Not a Knife in the Back",spotify:track:7kPallmn1IcK0bIQsl7bxm,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
8,0.394,0.784,7,-4.254,1,0.0362,0.0894,0.0017,0.639,0.862,132.28,audio_features,5MmDByg1SKrNheAed0GOj1,spotify:track:5MmDByg1SKrNheAed0GOj1,https://api.spotify.com/v1/tracks/5MmDByg1SKrNheAed0GOj1,https://api.spotify.com/v1/audio-analysis/5MmDByg1SKrNheAed0GOj1,166438,4,The Sleep of the Damned,spotify:track:5MmDByg1SKrNheAed0GOj1,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
9,0.541,0.0686,6,-21.934,1,0.0654,0.865,0.00153,0.342,0.0908,74.185,audio_features,4qrHueKhts7oWVKtIoFkPG,spotify:track:4qrHueKhts7oWVKtIoFkPG,https://api.spotify.com/v1/tracks/4qrHueKhts7oWVKtIoFkPG,https://api.spotify.com/v1/audio-analysis/4qrHueKhts7oWVKtIoFkPG,334812,3,Fuck Your Wisdom,spotify:track:4qrHueKhts7oWVKtIoFkPG,Micah P. Hinson,6M5FR3JkFFVDkgwtO6Vtz6
