,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.348,0.873,11,-6.828,0,0.0583,0.00901,0.924,0.116,0.053,86.999,audio_features,0R0ffG48co3XBZi73dtyFP,spotify:track:0R0ffG48co3XBZi73dtyFP,https://api.spotify.com/v1/tracks/0R0ffG48co3XBZi73dtyFP,https://api.spotify.com/v1/audio-analysis/0R0ffG48co3XBZi73dtyFP,252893,4,God of Ages,spotify:track:0R0ffG48co3XBZi73dtyFP,Mohican Sun,7LzWa2AUty3RU0znyhG70N
1,0.489,0.933,2,-3.855,1,0.0762,0.000492,0.876,0.0998,0.126,173.996,audio_features,5uaqigGPOaKvxCOAw6cOg3,spotify:track:5uaqigGPOaKvxCOAw6cOg3,https://api.spotify.com/v1/tracks/5uaqigGPOaKvxCOAw6cOg3,https://api.spotify.com/v1/audio-analysis/5uaqigGPOaKvxCOAw6cOg3,273103,4,Don't Walk Away,spotify:track:5uaqigGPOaKvxCOAw6cOg3,Mohican Sun,7LzWa2AUty3RU0znyhG70N
2,0.409,0.876,2,-4.612,0,0.0459,0.072,0.118,0.225,0.0707,86.929,audio_features,3GG6X47vnwgtMxejiMjOFK,spotify:track:3GG6X47vnwgtMxejiMjOFK,https://api.spotify.com/v1/tracks/3GG6X47vnwgtMxejiMjOFK,https://api.spotify.com/v1/audio-analysis/3GG6X47vnwgtMxejiMjOFK,285394,4,Darkest Hour,spotify:track:3GG6X47vnwgtMxejiMjOFK,Mohican Sun,7LzWa2AUty3RU0znyhG70N
3,0.496,0.82,8,-6.243,1,0.0363,0.0134,0.811,0.075,0.0443,173.981,audio_features,7juJNHs4xaqOiGdieza69d,spotify:track:7juJNHs4xaqOiGdieza69d,https://api.spotify.com/v1/tracks/7juJNHs4xaqOiGdieza69d,https://api.spotify.com/v1/audio-analysis/7juJNHs4xaqOiGdieza69d,249655,4,Trade Winds,spotify:track:7juJNHs4xaqOiGdieza69d,Mohican Sun,7LzWa2AUty3RU0znyhG70N
4,0.502,0.911,1,-4.009,1,0.0476,0.00018,0.873,0.126,0.11,173.977,audio_features,6Hk0NX78Tm51AgMN6hhl56,spotify:track:6Hk0NX78Tm51AgMN6hhl56,https://api.spotify.com/v1/tracks/6Hk0NX78Tm51AgMN6hhl56,https://api.spotify.com/v1/audio-analysis/6Hk0NX78Tm51AgMN6hhl56,293793,4,Purple World,spotify:track:6Hk0NX78Tm51AgMN6hhl56,Mohican Sun,7LzWa2AUty3RU0znyhG70N
5,0.545,0.667,4,-6.041,0,0.0452,5.11e-05,0.718,0.319,0.0742,174.016,audio_features,2TqVeHLK7M4TP0FHRltJLM,spotify:track:2TqVeHLK7M4TP0FHRltJLM,https://api.spotify.com/v1/tracks/2TqVeHLK7M4TP0FHRltJLM,https://api.spotify.com/v1/audio-analysis/2TqVeHLK7M4TP0FHRltJLM,262759,4,Simian,spotify:track:2TqVeHLK7M4TP0FHRltJLM,Mohican Sun,7LzWa2AUty3RU0znyhG70N
6,0.566,0.699,1,-4.964,1,0.043,0.00305,0.417,0.0533,0.374,174.014,audio_features,1w0oquj00KP4wHATl8V2BN,spotify:track:1w0oquj00KP4wHATl8V2BN,https://api.spotify.com/v1/tracks/1w0oquj00KP4wHATl8V2BN,https://api.spotify.com/v1/audio-analysis/1w0oquj00KP4wHATl8V2BN,270345,4,Empress,spotify:track:1w0oquj00KP4wHATl8V2BN,Mohican Sun,7LzWa2AUty3RU0znyhG70N
7,0.521,0.652,8,-5.751,0,0.0419,0.0038,0.899,0.104,0.108,173.994,audio_features,5Lnb0gCpdpCwqDsgfPRypY,spotify:track:5Lnb0gCpdpCwqDsgfPRypY,https://api.spotify.com/v1/tracks/5Lnb0gCpdpCwqDsgfPRypY,https://api.spotify.com/v1/audio-analysis/5Lnb0gCpdpCwqDsgfPRypY,228966,4,Don't Wait,spotify:track:5Lnb0gCpdpCwqDsgfPRypY,Mohican Sun,7LzWa2AUty3RU0znyhG70N
8,0.424,0.804,7,-4.569,1,0.0395,7.68e-05,0.87,0.162,0.073,173.999,audio_features,4dcAyDrX7syoVps8ZFw376,spotify:track:4dcAyDrX7syoVps8ZFw376,https://api.spotify.com/v1/tracks/4dcAyDrX7syoVps8ZFw376,https://api.spotify.com/v1/audio-analysis/4dcAyDrX7syoVps8ZFw376,256853,4,Cold Earth,spotify:track:4dcAyDrX7syoVps8ZFw376,Mohican Sun,7LzWa2AUty3RU0znyhG70N
9,0.502,0.758,1,-7.904,0,0.0417,0.00404,0.838,0.111,0.0363,174.096,audio_features,3Eut4KEIWIbtjeqafCHwoR,spotify:track:3Eut4KEIWIbtjeqafCHwoR,https://api.spotify.com/v1/tracks/3Eut4KEIWIbtjeqafCHwoR,https://api.spotify.com/v1/audio-analysis/3Eut4KEIWIbtjeqafCHwoR,240000,4,Spiralled,spotify:track:3Eut4KEIWIbtjeqafCHwoR,Mohican Sun,7LzWa2AUty3RU0znyhG70N
10,0.62,0.744,10,-5.516,0,0.0554,0.114,0.42,0.122,0.246,87.014,audio_features,6Hmo6F5HIIu6WQIJ8VLnA9,spotify:track:6Hmo6F5HIIu6WQIJ8VLnA9,https://api.spotify.com/v1/tracks/6Hmo6F5HIIu6WQIJ8VLnA9,https://api.spotify.com/v1/audio-analysis/6Hmo6F5HIIu6WQIJ8VLnA9,275862,4,Calgary,spotify:track:6Hmo6F5HIIu6WQIJ8VLnA9,Mohican Sun,7LzWa2AUty3RU0znyhG70N
11,0.533,0.752,10,-4.884,0,0.0525,0.000504,0.837,0.0991,0.0605,174.003,audio_features,02xCUgAFguPmRgcKZaoXe4,spotify:track:02xCUgAFguPmRgcKZaoXe4,https://api.spotify.com/v1/tracks/02xCUgAFguPmRgcKZaoXe4,https://api.spotify.com/v1/audio-analysis/02xCUgAFguPmRgcKZaoXe4,295172,4,Living This Way,spotify:track:02xCUgAFguPmRgcKZaoXe4,Mohican Sun,7LzWa2AUty3RU0znyhG70N
12,0.542,0.744,1,-6.042,0,0.0533,0.000287,0.752,0.0971,0.0787,173.921,audio_features,203hg9Z86bEO4FkTFDA8kp,spotify:track:203hg9Z86bEO4FkTFDA8kp,https://api.spotify.com/v1/tracks/203hg9Z86bEO4FkTFDA8kp,https://api.spotify.com/v1/audio-analysis/203hg9Z86bEO4FkTFDA8kp,231724,4,1000 Souls,spotify:track:203hg9Z86bEO4FkTFDA8kp,Mohican Sun,7LzWa2AUty3RU0znyhG70N
13,0.494,0.935,5,-5.133,0,0.0508,0.00176,0.745,0.0634,0.144,173.992,audio_features,4oVw7VumvNJcknFCZSsyB6,spotify:track:4oVw7VumvNJcknFCZSsyB6,https://api.spotify.com/v1/tracks/4oVw7VumvNJcknFCZSsyB6,https://api.spotify.com/v1/audio-analysis/4oVw7VumvNJcknFCZSsyB6,399960,4,All I Want to Do,spotify:track:4oVw7VumvNJcknFCZSsyB6,Mohican Sun,7LzWa2AUty3RU0znyhG70N
