,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.749,0.841,7,-6.625,1,0.0598,0.00885,0.326,0.0508,0.525,109.976,audio_features,79LgHIx2qLhaO7KCddJ8Z8,spotify:track:79LgHIx2qLhaO7KCddJ8Z8,https://api.spotify.com/v1/tracks/79LgHIx2qLhaO7KCddJ8Z8,https://api.spotify.com/v1/audio-analysis/79LgHIx2qLhaO7KCddJ8Z8,198580,4,Yorubaton,spotify:track:79LgHIx2qLhaO7KCddJ8Z8,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
1,0.699,0.79,9,-10.038,1,0.0489,0.00552,0.351,0.258,0.311,100.034,audio_features,6ZaB2jWjjIrAW7R3auQ97w,spotify:track:6ZaB2jWjjIrAW7R3auQ97w,https://api.spotify.com/v1/tracks/6ZaB2jWjjIrAW7R3auQ97w,https://api.spotify.com/v1/audio-analysis/6ZaB2jWjjIrAW7R3auQ97w,182759,4,Takk Dhin,spotify:track:6ZaB2jWjjIrAW7R3auQ97w,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
2,0.661,0.639,9,-10.602,1,0.0464,0.00888,0.562,0.046,0.226,140.072,audio_features,4eUwhEtPyLVC19VSlCCP57,spotify:track:4eUwhEtPyLVC19VSlCCP57,https://api.spotify.com/v1/tracks/4eUwhEtPyLVC19VSlCCP57,https://api.spotify.com/v1/audio-analysis/4eUwhEtPyLVC19VSlCCP57,212927,4,K45H(V)1R,spotify:track:4eUwhEtPyLVC19VSlCCP57,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
3,0.388,0.68,1,-9.307,0,0.0419,0.000218,0.876,0.247,0.177,139.958,audio_features,2mwul0C0f4Dv4oFYjBA1CM,spotify:track:2mwul0C0f4Dv4oFYjBA1CM,https://api.spotify.com/v1/tracks/2mwul0C0f4Dv4oFYjBA1CM,https://api.spotify.com/v1/audio-analysis/2mwul0C0f4Dv4oFYjBA1CM,227108,4,Celtic Escapade,spotify:track:2mwul0C0f4Dv4oFYjBA1CM,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
4,0.646,0.869,1,-5.89,1,0.0511,0.0199,0.209,0.2,0.0932,149.99,audio_features,3IldZYE3OQ8P1Efke4uToy,spotify:track:3IldZYE3OQ8P1Efke4uToy,https://api.spotify.com/v1/tracks/3IldZYE3OQ8P1Efke4uToy,https://api.spotify.com/v1/audio-analysis/3IldZYE3OQ8P1Efke4uToy,190168,4,Kolahoi Breeze,spotify:track:3IldZYE3OQ8P1Efke4uToy,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
5,0.704,0.622,10,-10.218,1,0.0315,0.0259,0.812,0.109,0.179,121.988,audio_features,00gu7hwlsdXgNAwoBwCk6C,spotify:track:00gu7hwlsdXgNAwoBwCk6C,https://api.spotify.com/v1/tracks/00gu7hwlsdXgNAwoBwCk6C,https://api.spotify.com/v1/audio-analysis/00gu7hwlsdXgNAwoBwCk6C,204606,4,Janazah,spotify:track:00gu7hwlsdXgNAwoBwCk6C,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
6,0.529,0.58,2,-8.254,0,0.0548,0.235,0.000491,0.733,0.122,128.027,audio_features,50AIUX38AxaL7Jczbl5o63,spotify:track:50AIUX38AxaL7Jczbl5o63,https://api.spotify.com/v1/tracks/50AIUX38AxaL7Jczbl5o63,https://api.spotify.com/v1/audio-analysis/50AIUX38AxaL7Jczbl5o63,186462,4,Stage Is Set,spotify:track:50AIUX38AxaL7Jczbl5o63,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
7,0.65,0.933,6,-6.665,1,0.0463,0.0008,0.812,0.0951,0.296,137.984,audio_features,32o2DzTrdYyYiZ9alT87sZ,spotify:track:32o2DzTrdYyYiZ9alT87sZ,https://api.spotify.com/v1/tracks/32o2DzTrdYyYiZ9alT87sZ,https://api.spotify.com/v1/audio-analysis/32o2DzTrdYyYiZ9alT87sZ,250457,4,Cloud Desert,spotify:track:32o2DzTrdYyYiZ9alT87sZ,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
8,0.56,0.863,4,-9.714,1,0.0349,0.000197,0.901,0.25,0.102,127.953,audio_features,11rkBcFZYIkKCBuKbk3Lwe,spotify:track:11rkBcFZYIkKCBuKbk3Lwe,https://api.spotify.com/v1/tracks/11rkBcFZYIkKCBuKbk3Lwe,https://api.spotify.com/v1/audio-analysis/11rkBcFZYIkKCBuKbk3Lwe,225358,4,We Won't Stop Tonight,spotify:track:11rkBcFZYIkKCBuKbk3Lwe,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
9,0.599,0.762,1,-9.598,1,0.0407,0.000299,0.71,0.256,0.265,149.989,audio_features,3sTZNGyjshTzzUZxt1kdZw,spotify:track:3sTZNGyjshTzzUZxt1kdZw,https://api.spotify.com/v1/tracks/3sTZNGyjshTzzUZxt1kdZw,https://api.spotify.com/v1/audio-analysis/3sTZNGyjshTzzUZxt1kdZw,236823,4,With My Fist,spotify:track:3sTZNGyjshTzzUZxt1kdZw,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
10,0.639,0.645,1,-8.261,1,0.037,0.00812,0.352,0.164,0.0537,145.037,audio_features,7A1DtKKgmy6EttfeAOI2oZ,spotify:track:7A1DtKKgmy6EttfeAOI2oZ,https://api.spotify.com/v1/tracks/7A1DtKKgmy6EttfeAOI2oZ,https://api.spotify.com/v1/audio-analysis/7A1DtKKgmy6EttfeAOI2oZ,179465,4,Heliospheric Pilgrim,spotify:track:7A1DtKKgmy6EttfeAOI2oZ,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
11,0.422,0.538,8,-12.865,1,0.04,0.455,0.646,0.125,0.0387,105.074,audio_features,6jX96hjk18cA2q14GIp5ZM,spotify:track:6jX96hjk18cA2q14GIp5ZM,https://api.spotify.com/v1/tracks/6jX96hjk18cA2q14GIp5ZM,https://api.spotify.com/v1/audio-analysis/6jX96hjk18cA2q14GIp5ZM,36587,4,Dada Lives On - Outro,spotify:track:6jX96hjk18cA2q14GIp5ZM,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
12,0.286,0.357,0,-14.925,1,0.0307,0.373,0.856,0.119,0.0778,96.266,audio_features,57L23ayhNstbCQrjB6Q2vE,spotify:track:57L23ayhNstbCQrjB6Q2vE,https://api.spotify.com/v1/tracks/57L23ayhNstbCQrjB6Q2vE,https://api.spotify.com/v1/audio-analysis/57L23ayhNstbCQrjB6Q2vE,65894,3,A Junkie in a Madhouse,spotify:track:57L23ayhNstbCQrjB6Q2vE,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
13,0.39,0.942,8,-4.493,1,0.112,0.000105,0.831,0.267,0.0843,199.994,audio_features,3gt70UOZMHksWCObJ5Pojn,spotify:track:3gt70UOZMHksWCObJ5Pojn,https://api.spotify.com/v1/tracks/3gt70UOZMHksWCObJ5Pojn,https://api.spotify.com/v1/audio-analysis/3gt70UOZMHksWCObJ5Pojn,240000,3,J K-47,spotify:track:3gt70UOZMHksWCObJ5Pojn,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
14,0.549,0.807,6,-4.215,1,0.0344,9.56e-05,0.878,0.0688,0.22,130.024,audio_features,6g7Y6sCM3PemOnOo9EDIZg,spotify:track:6g7Y6sCM3PemOnOo9EDIZg,https://api.spotify.com/v1/tracks/6g7Y6sCM3PemOnOo9EDIZg,https://api.spotify.com/v1/audio-analysis/6g7Y6sCM3PemOnOo9EDIZg,192000,4,Iconoclastic Atheist,spotify:track:6g7Y6sCM3PemOnOo9EDIZg,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
15,0.496,0.886,4,-3.843,1,0.0376,0.000449,0.827,0.127,0.509,155.003,audio_features,5lqXu5w6I19ni2rSHvaMYb,spotify:track:5lqXu5w6I19ni2rSHvaMYb,https://api.spotify.com/v1/tracks/5lqXu5w6I19ni2rSHvaMYb,https://api.spotify.com/v1/audio-analysis/5lqXu5w6I19ni2rSHvaMYb,216000,4,Hate Hard,spotify:track:5lqXu5w6I19ni2rSHvaMYb,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
16,0.583,0.678,11,-8.422,0,0.0241,0.00078,0.0015,0.154,0.356,95.011,audio_features,3nt4iotKFeIWtYu8ugCMqn,spotify:track:3nt4iotKFeIWtYu8ugCMqn,https://api.spotify.com/v1/tracks/3nt4iotKFeIWtYu8ugCMqn,https://api.spotify.com/v1/audio-analysis/3nt4iotKFeIWtYu8ugCMqn,306279,4,Wayward Whispers Are Calling,spotify:track:3nt4iotKFeIWtYu8ugCMqn,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
17,0.442,0.501,7,-12.482,0,0.0319,0.305,0.902,0.362,0.535,160.164,audio_features,6Izta6YbyLZUwqCLSZa8SJ,spotify:track:6Izta6YbyLZUwqCLSZa8SJ,https://api.spotify.com/v1/tracks/6Izta6YbyLZUwqCLSZa8SJ,https://api.spotify.com/v1/audio-analysis/6Izta6YbyLZUwqCLSZa8SJ,171269,4,Burnt Water,spotify:track:6Izta6YbyLZUwqCLSZa8SJ,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
18,0.459,0.73,9,-5.379,0,0.0329,0.000797,0.886,0.0941,0.596,169.839,audio_features,7lzAxYdyBpKdv45p09IZJu,spotify:track:7lzAxYdyBpKdv45p09IZJu,https://api.spotify.com/v1/tracks/7lzAxYdyBpKdv45p09IZJu,https://api.spotify.com/v1/audio-analysis/7lzAxYdyBpKdv45p09IZJu,189692,4,Litter the Gutter,spotify:track:7lzAxYdyBpKdv45p09IZJu,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
19,0.518,0.383,4,-6.721,0,0.0279,0.584,0.11,0.111,0.123,133.934,audio_features,5hGeXQbOBINpUfNyGmySGy,spotify:track:5hGeXQbOBINpUfNyGmySGy,https://api.spotify.com/v1/tracks/5hGeXQbOBINpUfNyGmySGy,https://api.spotify.com/v1/audio-analysis/5hGeXQbOBINpUfNyGmySGy,183240,4,The Broken Are the More Evolved,spotify:track:5hGeXQbOBINpUfNyGmySGy,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
20,0.379,0.914,4,-5.837,0,0.0733,0.000122,0.524,0.147,0.236,135.033,audio_features,7sjL3oSUOnq6Oui9Y2Spfd,spotify:track:7sjL3oSUOnq6Oui9Y2Spfd,https://api.spotify.com/v1/tracks/7sjL3oSUOnq6Oui9Y2Spfd,https://api.spotify.com/v1/audio-analysis/7sjL3oSUOnq6Oui9Y2Spfd,334999,4,Himalayan Kvlt,spotify:track:7sjL3oSUOnq6Oui9Y2Spfd,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
21,0.396,0.487,6,-7.993,0,0.0343,0.2,0.735,0.096,0.117,181.896,audio_features,2v7KNZ4IdBOKbYuaj2wxKf,spotify:track:2v7KNZ4IdBOKbYuaj2wxKf,https://api.spotify.com/v1/tracks/2v7KNZ4IdBOKbYuaj2wxKf,https://api.spotify.com/v1/audio-analysis/2v7KNZ4IdBOKbYuaj2wxKf,232175,3,Race to an Unknown Destination,spotify:track:2v7KNZ4IdBOKbYuaj2wxKf,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
22,0.164,0.156,6,-13.261,0,0.0368,0.918,0.856,0.115,0.118,89.876,audio_features,5mxVgf7vPCO3OWw1zh0Saw,spotify:track:5mxVgf7vPCO3OWw1zh0Saw,https://api.spotify.com/v1/tracks/5mxVgf7vPCO3OWw1zh0Saw,https://api.spotify.com/v1/audio-analysis/5mxVgf7vPCO3OWw1zh0Saw,185740,4,Pining Away from Love,spotify:track:5mxVgf7vPCO3OWw1zh0Saw,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
23,0.682,0.289,9,-14.711,0,0.0503,0.977,0.968,0.142,0.173,129.982,audio_features,4kECDBIlJ7B5cN4xbLZtlX,spotify:track:4kECDBIlJ7B5cN4xbLZtlX,https://api.spotify.com/v1/tracks/4kECDBIlJ7B5cN4xbLZtlX,https://api.spotify.com/v1/audio-analysis/4kECDBIlJ7B5cN4xbLZtlX,319072,4,Hang Them,spotify:track:4kECDBIlJ7B5cN4xbLZtlX,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
24,0.673,0.812,2,-6.682,0,0.0291,0.124,0.914,0.0743,0.112,134.959,audio_features,2SD7O1YUVolaJY1m46z8xE,spotify:track:2SD7O1YUVolaJY1m46z8xE,https://api.spotify.com/v1/tracks/2SD7O1YUVolaJY1m46z8xE,https://api.spotify.com/v1/audio-analysis/2SD7O1YUVolaJY1m46z8xE,273767,4,Tenebrous Spirit,spotify:track:2SD7O1YUVolaJY1m46z8xE,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
25,0.364,0.359,0,-8.904,1,0.0433,0.604,0.837,0.111,0.0618,186.374,audio_features,2fM5iAT1SCHpV43kO3yga0,spotify:track:2fM5iAT1SCHpV43kO3yga0,https://api.spotify.com/v1/tracks/2fM5iAT1SCHpV43kO3yga0,https://api.spotify.com/v1/audio-analysis/2fM5iAT1SCHpV43kO3yga0,195351,3,Whispers in the Valley Below,spotify:track:2fM5iAT1SCHpV43kO3yga0,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
26,0.455,0.244,9,-15.806,0,0.0348,0.778,0.25,0.088,0.115,130.967,audio_features,1jWT650agpdExIwjp6lQ1e,spotify:track:1jWT650agpdExIwjp6lQ1e,https://api.spotify.com/v1/tracks/1jWT650agpdExIwjp6lQ1e,https://api.spotify.com/v1/audio-analysis/1jWT650agpdExIwjp6lQ1e,264986,4,Monochromance,spotify:track:1jWT650agpdExIwjp6lQ1e,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
27,0.49,0.208,2,-14.637,1,0.043,0.797,0.713,0.0916,0.0513,134.348,audio_features,1ESgGIz6umWTZOxMPrH0Yf,spotify:track:1ESgGIz6umWTZOxMPrH0Yf,https://api.spotify.com/v1/tracks/1ESgGIz6umWTZOxMPrH0Yf,https://api.spotify.com/v1/audio-analysis/1ESgGIz6umWTZOxMPrH0Yf,320226,3,Suffering of the Land,spotify:track:1ESgGIz6umWTZOxMPrH0Yf,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
28,0.463,0.615,7,-5.076,0,0.0298,0.0939,0.868,0.104,0.105,79.882,audio_features,5UFgyfBGEOMeiTXvii0Sww,spotify:track:5UFgyfBGEOMeiTXvii0Sww,https://api.spotify.com/v1/tracks/5UFgyfBGEOMeiTXvii0Sww,https://api.spotify.com/v1/audio-analysis/5UFgyfBGEOMeiTXvii0Sww,201644,4,Whites Are Darker Than Blacks,spotify:track:5UFgyfBGEOMeiTXvii0Sww,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
29,0.655,0.176,5,-16.956,1,0.036,0.666,0.885,0.147,0.268,79.994,audio_features,3anHnOiFabLSJPBsMf44ry,spotify:track:3anHnOiFabLSJPBsMf44ry,https://api.spotify.com/v1/tracks/3anHnOiFabLSJPBsMf44ry,https://api.spotify.com/v1/audio-analysis/3anHnOiFabLSJPBsMf44ry,252019,4,A Ticking Clock,spotify:track:3anHnOiFabLSJPBsMf44ry,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
30,0.763,0.39,10,-8.32,1,0.131,0.889,0.889,0.0816,0.0613,91.987,audio_features,2oKyzuZt335JAAekn8HPgG,spotify:track:2oKyzuZt335JAAekn8HPgG,https://api.spotify.com/v1/tracks/2oKyzuZt335JAAekn8HPgG,https://api.spotify.com/v1/audio-analysis/2oKyzuZt335JAAekn8HPgG,311106,4,Going Back Home,spotify:track:2oKyzuZt335JAAekn8HPgG,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
31,0.517,0.46,2,-8.564,0,0.0346,0.329,0.933,0.259,0.336,134.929,audio_features,3WQRsoDadC0Q3Eg884qP4f,spotify:track:3WQRsoDadC0Q3Eg884qP4f,https://api.spotify.com/v1/tracks/3WQRsoDadC0Q3Eg884qP4f,https://api.spotify.com/v1/audio-analysis/3WQRsoDadC0Q3Eg884qP4f,202029,4,Brighten Up,spotify:track:3WQRsoDadC0Q3Eg884qP4f,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
32,0.708,0.542,2,-7.925,0,0.0851,0.503,0.172,0.0994,0.649,154.984,audio_features,3FAmfnnFOAqD1bCAtHik9B,spotify:track:3FAmfnnFOAqD1bCAtHik9B,https://api.spotify.com/v1/tracks/3FAmfnnFOAqD1bCAtHik9B,https://api.spotify.com/v1/audio-analysis/3FAmfnnFOAqD1bCAtHik9B,306909,3,Waltz in the War,spotify:track:3FAmfnnFOAqD1bCAtHik9B,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
33,0.162,0.114,7,-17.494,0,0.0343,0.3,0.488,0.101,0.127,188.512,audio_features,4YdWvpdifkOAwtjA1RQ0Re,spotify:track:4YdWvpdifkOAwtjA1RQ0Re,https://api.spotify.com/v1/tracks/4YdWvpdifkOAwtjA1RQ0Re,https://api.spotify.com/v1/audio-analysis/4YdWvpdifkOAwtjA1RQ0Re,312019,3,Silhouettes on the Wall,spotify:track:4YdWvpdifkOAwtjA1RQ0Re,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
34,0.382,0.348,5,-7.927,0,0.0371,0.505,0.618,0.117,0.091,177.231,audio_features,6nPpD9DH4zuZU9XioOy0Eo,spotify:track:6nPpD9DH4zuZU9XioOy0Eo,https://api.spotify.com/v1/tracks/6nPpD9DH4zuZU9XioOy0Eo,https://api.spotify.com/v1/audio-analysis/6nPpD9DH4zuZU9XioOy0Eo,316537,3,Emptiness After Exodus,spotify:track:6nPpD9DH4zuZU9XioOy0Eo,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
35,0.492,0.501,7,-6.269,1,0.0439,0.514,0.0249,0.0893,0.199,94.967,audio_features,3dORK1nmn0nBe4khcdXH2J,spotify:track:3dORK1nmn0nBe4khcdXH2J,https://api.spotify.com/v1/tracks/3dORK1nmn0nBe4khcdXH2J,https://api.spotify.com/v1/audio-analysis/3dORK1nmn0nBe4khcdXH2J,313237,4,Dastaan-E-Rabab (Farrago),spotify:track:3dORK1nmn0nBe4khcdXH2J,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
36,0.248,0.262,2,-12.985,0,0.0443,0.745,0.856,0.095,0.0557,89.095,audio_features,5o8btcMl8yUmtppAnA5nCt,spotify:track:5o8btcMl8yUmtppAnA5nCt,https://api.spotify.com/v1/tracks/5o8btcMl8yUmtppAnA5nCt,https://api.spotify.com/v1/audio-analysis/5o8btcMl8yUmtppAnA5nCt,309320,3,Road to Kargil,spotify:track:5o8btcMl8yUmtppAnA5nCt,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
37,0.574,0.135,5,-19.471,0,0.0415,0.974,0.912,0.106,0.0658,85.037,audio_features,4r4u5LKQSk7hlpA8YSMANL,spotify:track:4r4u5LKQSk7hlpA8YSMANL,https://api.spotify.com/v1/tracks/4r4u5LKQSk7hlpA8YSMANL,https://api.spotify.com/v1/audio-analysis/4r4u5LKQSk7hlpA8YSMANL,234544,4,Beautiful Goodbye,spotify:track:4r4u5LKQSk7hlpA8YSMANL,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
38,0.45,0.0704,9,-17.249,0,0.0539,0.99,0.939,0.0847,0.157,65.563,audio_features,5lqp0FlkyvFBYXllxa07Jv,spotify:track:5lqp0FlkyvFBYXllxa07Jv,https://api.spotify.com/v1/tracks/5lqp0FlkyvFBYXllxa07Jv,https://api.spotify.com/v1/audio-analysis/5lqp0FlkyvFBYXllxa07Jv,225558,3,Anamika with a Name,spotify:track:5lqp0FlkyvFBYXllxa07Jv,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
39,0.742,0.289,4,-16.503,0,0.0339,0.56,0.796,0.101,0.463,127.999,audio_features,7xQ8lWRS9a52buz5j8jzLU,spotify:track:7xQ8lWRS9a52buz5j8jzLU,https://api.spotify.com/v1/tracks/7xQ8lWRS9a52buz5j8jzLU,https://api.spotify.com/v1/audio-analysis/7xQ8lWRS9a52buz5j8jzLU,268603,4,Shades of Chinar,spotify:track:7xQ8lWRS9a52buz5j8jzLU,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
40,0.594,0.819,4,-10.053,0,0.0403,0.00102,0.445,0.11,0.0661,109.992,audio_features,4xYPve8Gn7t3YTjxpaeg9i,spotify:track:4xYPve8Gn7t3YTjxpaeg9i,https://api.spotify.com/v1/tracks/4xYPve8Gn7t3YTjxpaeg9i,https://api.spotify.com/v1/audio-analysis/4xYPve8Gn7t3YTjxpaeg9i,225272,4,Phlegmatic Backwoods,spotify:track:4xYPve8Gn7t3YTjxpaeg9i,Moosa Saleem,16m66acFCoUlPwjQf9D6fN
