,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.225,0.173,6,-23.239,1,0.0397,0.644,0.759,0.245,0.164,149.784,audio_features,7GejV2PpWvS8VzZU9toRhg,spotify:track:7GejV2PpWvS8VzZU9toRhg,https://api.spotify.com/v1/tracks/7GejV2PpWvS8VzZU9toRhg,https://api.spotify.com/v1/audio-analysis/7GejV2PpWvS8VzZU9toRhg,72187,4,Vivid Intro,spotify:track:7GejV2PpWvS8VzZU9toRhg,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
1,0.421,0.578,7,-6.478,1,0.079,0.376,0.00396,0.147,0.188,171.823,audio_features,3rThJQRHQQnWEF3swfkh8S,spotify:track:3rThJQRHQQnWEF3swfkh8S,https://api.spotify.com/v1/tracks/3rThJQRHQQnWEF3swfkh8S,https://api.spotify.com/v1/audio-analysis/3rThJQRHQQnWEF3swfkh8S,237387,4,Spaceman,spotify:track:3rThJQRHQQnWEF3swfkh8S,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
2,0.743,0.293,5,-10.027,0,0.11,0.644,0.0015,0.14,0.236,95.973,audio_features,5wtFbSYFLZMjaePMhk927v,spotify:track:5wtFbSYFLZMjaePMhk927v,https://api.spotify.com/v1/tracks/5wtFbSYFLZMjaePMhk927v,https://api.spotify.com/v1/audio-analysis/5wtFbSYFLZMjaePMhk927v,164840,4,Lemon,spotify:track:5wtFbSYFLZMjaePMhk927v,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
3,0.729,0.577,0,-10.003,0,0.203,0.206,0.0,0.179,0.551,72.493,audio_features,4yV2kdCHR2WnzImW4ilhqA,spotify:track:4yV2kdCHR2WnzImW4ilhqA,https://api.spotify.com/v1/tracks/4yV2kdCHR2WnzImW4ilhqA,https://api.spotify.com/v1/audio-analysis/4yV2kdCHR2WnzImW4ilhqA,164827,4,On The Go,spotify:track:4yV2kdCHR2WnzImW4ilhqA,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
4,0.796,0.361,7,-11.259,1,0.0549,0.0291,0.00375,0.069,0.219,108.986,audio_features,5j9Jfcq89Hvh8pyLDQZD0D,spotify:track:5j9Jfcq89Hvh8pyLDQZD0D,https://api.spotify.com/v1/tracks/5j9Jfcq89Hvh8pyLDQZD0D,https://api.spotify.com/v1/audio-analysis/5j9Jfcq89Hvh8pyLDQZD0D,189213,4,Company,spotify:track:5j9Jfcq89Hvh8pyLDQZD0D,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
5,0.748,0.37,11,-12.324,0,0.0808,0.492,0.0564,0.119,0.354,125.006,audio_features,5tcNI6wvBu4ckfGMz2x3Zy,spotify:track:5tcNI6wvBu4ckfGMz2x3Zy,https://api.spotify.com/v1/tracks/5tcNI6wvBu4ckfGMz2x3Zy,https://api.spotify.com/v1/audio-analysis/5tcNI6wvBu4ckfGMz2x3Zy,217480,4,Own Time/TDKM,spotify:track:5tcNI6wvBu4ckfGMz2x3Zy,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
6,0.874,0.537,11,-10.586,0,0.249,0.279,0.0046,0.0786,0.543,125.042,audio_features,1nGS9i41dbZTutOyeOz62t,spotify:track:1nGS9i41dbZTutOyeOz62t,https://api.spotify.com/v1/tracks/1nGS9i41dbZTutOyeOz62t,https://api.spotify.com/v1/audio-analysis/1nGS9i41dbZTutOyeOz62t,160707,4,Own Time,spotify:track:1nGS9i41dbZTutOyeOz62t,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
7,0.728,0.567,4,-9.614,0,0.0802,0.0504,0.000497,0.136,0.727,101.957,audio_features,0UYozrO9d1p4j0tgNKLjJs,spotify:track:0UYozrO9d1p4j0tgNKLjJs,https://api.spotify.com/v1/tracks/0UYozrO9d1p4j0tgNKLjJs,https://api.spotify.com/v1/audio-analysis/0UYozrO9d1p4j0tgNKLjJs,190654,4,AFTERPARTY,spotify:track:0UYozrO9d1p4j0tgNKLjJs,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
8,0.535,0.544,11,-10.065,0,0.181,0.513,0.0183,0.119,0.546,126.271,audio_features,7hyVmyRdR9Ri7eYzymPbVW,spotify:track:7hyVmyRdR9Ri7eYzymPbVW,https://api.spotify.com/v1/tracks/7hyVmyRdR9Ri7eYzymPbVW,https://api.spotify.com/v1/audio-analysis/7hyVmyRdR9Ri7eYzymPbVW,196000,5,With U,spotify:track:7hyVmyRdR9Ri7eYzymPbVW,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
9,0.464,0.352,0,-9.78,1,0.044,0.358,0.000501,0.112,0.229,116.934,audio_features,1qOxccdW8g5aYOsxy3uA9p,spotify:track:1qOxccdW8g5aYOsxy3uA9p,https://api.spotify.com/v1/tracks/1qOxccdW8g5aYOsxy3uA9p,https://api.spotify.com/v1/audio-analysis/1qOxccdW8g5aYOsxy3uA9p,256000,4,Love Yourself,spotify:track:1qOxccdW8g5aYOsxy3uA9p,Mopiano,7JbagUbgzNXbNk9XvFKiKJ
