,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.354,0.54,3,-6.625,1,0.0323,0.587,0.0,0.112,0.416,69.97,audio_features,1WS1wO4JEvCkf0tLMua63B,spotify:track:1WS1wO4JEvCkf0tLMua63B,https://api.spotify.com/v1/tracks/1WS1wO4JEvCkf0tLMua63B,https://api.spotify.com/v1/audio-analysis/1WS1wO4JEvCkf0tLMua63B,202133,4,Sand In My Boots,spotify:track:1WS1wO4JEvCkf0tLMua63B,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
1,0.505,0.658,11,-5.24,0,0.0318,0.371,0.00136,0.121,0.255,196.002,audio_features,51wR6n2KhUNCzRH6udW6n7,spotify:track:51wR6n2KhUNCzRH6udW6n7,https://api.spotify.com/v1/tracks/51wR6n2KhUNCzRH6udW6n7,https://api.spotify.com/v1/audio-analysis/51wR6n2KhUNCzRH6udW6n7,178520,3,Wasted On You,spotify:track:51wR6n2KhUNCzRH6udW6n7,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
2,0.658,0.539,5,-7.674,1,0.0289,0.665,0.0,0.123,0.622,136.959,audio_features,31cWDOY9G6FFPoGRBoigPX,spotify:track:31cWDOY9G6FFPoGRBoigPX,https://api.spotify.com/v1/tracks/31cWDOY9G6FFPoGRBoigPX,https://api.spotify.com/v1/audio-analysis/31cWDOY9G6FFPoGRBoigPX,161773,4,Somebody’s Problem,spotify:track:31cWDOY9G6FFPoGRBoigPX,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
3,0.488,0.748,6,-6.049,1,0.0297,0.244,0.0,0.124,0.431,84.938,audio_features,5BvRoskJemJi3V0CqLUw0w,spotify:track:5BvRoskJemJi3V0CqLUw0w,https://api.spotify.com/v1/tracks/5BvRoskJemJi3V0CqLUw0w,https://api.spotify.com/v1/audio-analysis/5BvRoskJemJi3V0CqLUw0w,157440,4,More Surprised Than Me,spotify:track:5BvRoskJemJi3V0CqLUw0w,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
4,0.454,0.586,8,-5.254,1,0.0253,0.729,0.0,0.101,0.366,87.891,audio_features,1BsaBlMqUPj1orbAwcUbz1,spotify:track:1BsaBlMqUPj1orbAwcUbz1,https://api.spotify.com/v1/tracks/1BsaBlMqUPj1orbAwcUbz1,https://api.spotify.com/v1/audio-analysis/1BsaBlMqUPj1orbAwcUbz1,190680,4,865,spotify:track:1BsaBlMqUPj1orbAwcUbz1,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
5,0.633,0.663,10,-5.049,1,0.0294,0.463,0.0,0.108,0.253,115.052,audio_features,3fHQd2CEVUy6SgK8iUY5gg,spotify:track:3fHQd2CEVUy6SgK8iUY5gg,https://api.spotify.com/v1/tracks/3fHQd2CEVUy6SgK8iUY5gg,https://api.spotify.com/v1/audio-analysis/3fHQd2CEVUy6SgK8iUY5gg,156747,4,Warning,spotify:track:3fHQd2CEVUy6SgK8iUY5gg,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
6,0.592,0.847,11,-5.232,0,0.0285,0.0102,3.99e-05,0.158,0.652,126.01,audio_features,4S1rNH63E9tbcf3ejXJ9n6,spotify:track:4S1rNH63E9tbcf3ejXJ9n6,https://api.spotify.com/v1/tracks/4S1rNH63E9tbcf3ejXJ9n6,https://api.spotify.com/v1/audio-analysis/4S1rNH63E9tbcf3ejXJ9n6,226147,4,Neon Eyes,spotify:track:4S1rNH63E9tbcf3ejXJ9n6,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
7,0.506,0.633,7,-5.755,1,0.0275,0.583,0.0,0.121,0.244,85.05,audio_features,7dpKGWp848X6Bz1DY74o2F,spotify:track:7dpKGWp848X6Bz1DY74o2F,https://api.spotify.com/v1/tracks/7dpKGWp848X6Bz1DY74o2F,https://api.spotify.com/v1/audio-analysis/7dpKGWp848X6Bz1DY74o2F,229747,4,Outlaw (feat. Ben Burgess),spotify:track:7dpKGWp848X6Bz1DY74o2F,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
8,0.449,0.518,2,-6.37,1,0.0271,0.599,0.00249,0.0984,0.314,185.879,audio_features,1NlKYVNFkTKIRDLuVINQdN,spotify:track:1NlKYVNFkTKIRDLuVINQdN,https://api.spotify.com/v1/tracks/1NlKYVNFkTKIRDLuVINQdN,https://api.spotify.com/v1/audio-analysis/1NlKYVNFkTKIRDLuVINQdN,180787,3,Whiskey’d My Way,spotify:track:1NlKYVNFkTKIRDLuVINQdN,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
9,0.481,0.714,6,-5.624,1,0.0335,0.25,0.0,0.133,0.384,90.984,audio_features,1V3Rqq3DDEIPtrT2q5a98K,spotify:track:1V3Rqq3DDEIPtrT2q5a98K,https://api.spotify.com/v1/tracks/1V3Rqq3DDEIPtrT2q5a98K,https://api.spotify.com/v1/audio-analysis/1V3Rqq3DDEIPtrT2q5a98K,182227,4,Wonderin’ Bout The Wind,spotify:track:1V3Rqq3DDEIPtrT2q5a98K,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
10,0.554,0.774,4,-5.236,1,0.0281,0.247,6.66e-05,0.15,0.442,139.963,audio_features,0PnzySXhdMsTAeso57VCbZ,spotify:track:0PnzySXhdMsTAeso57VCbZ,https://api.spotify.com/v1/tracks/0PnzySXhdMsTAeso57VCbZ,https://api.spotify.com/v1/audio-analysis/0PnzySXhdMsTAeso57VCbZ,185093,4,Your Bartender,spotify:track:0PnzySXhdMsTAeso57VCbZ,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
