,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.292,0.548,2,-4.977,1,0.0363,0.0827,0.0,0.414,0.207,175.053,audio_features,7oiqxhRXTv11kRqEV0D70G,spotify:track:7oiqxhRXTv11kRqEV0D70G,https://api.spotify.com/v1/tracks/7oiqxhRXTv11kRqEV0D70G,https://api.spotify.com/v1/audio-analysis/7oiqxhRXTv11kRqEV0D70G,112920,3,The End.,spotify:track:7oiqxhRXTv11kRqEV0D70G,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
1,0.481,0.973,7,-1.945,1,0.0542,0.0037,0.000877,0.325,0.362,99.331,audio_features,3262RRKqFC1oJXFwCMqgM0,spotify:track:3262RRKqFC1oJXFwCMqgM0,https://api.spotify.com/v1/tracks/3262RRKqFC1oJXFwCMqgM0,https://api.spotify.com/v1/audio-analysis/3262RRKqFC1oJXFwCMqgM0,195520,4,Dead!,spotify:track:3262RRKqFC1oJXFwCMqgM0,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
2,0.242,0.983,2,-2.679,1,0.106,5.08e-05,4.43e-05,0.303,0.301,163.366,audio_features,7vBczWEtVRGXkI5HOISv7L,spotify:track:7vBczWEtVRGXkI5HOISv7L,https://api.spotify.com/v1/tracks/7vBczWEtVRGXkI5HOISv7L,https://api.spotify.com/v1/audio-analysis/7vBczWEtVRGXkI5HOISv7L,239053,4,This Is How I Disappear,spotify:track:7vBczWEtVRGXkI5HOISv7L,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
3,0.513,0.937,1,-3.427,0,0.0532,0.000111,0.000102,0.083,0.543,155.015,audio_features,5EgnurNPXl2Arm2RDt6Aid,spotify:track:5EgnurNPXl2Arm2RDt6Aid,https://api.spotify.com/v1/tracks/5EgnurNPXl2Arm2RDt6Aid,https://api.spotify.com/v1/audio-analysis/5EgnurNPXl2Arm2RDt6Aid,200880,4,The Sharpest Lives,spotify:track:5EgnurNPXl2Arm2RDt6Aid,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
4,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,audio_features,7dN52YlyGl6c9tmxdv6zMp,spotify:track:7dN52YlyGl6c9tmxdv6zMp,https://api.spotify.com/v1/tracks/7dN52YlyGl6c9tmxdv6zMp,https://api.spotify.com/v1/audio-analysis/7dN52YlyGl6c9tmxdv6zMp,311107,4,Welcome to the Black Parade,spotify:track:7dN52YlyGl6c9tmxdv6zMp,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
5,0.289,0.796,0,-4.22,1,0.0494,0.00837,2.61e-05,0.202,0.33,169.835,audio_features,0Jli6hojT6aSBcFg4L2P5f,spotify:track:0Jli6hojT6aSBcFg4L2P5f,https://api.spotify.com/v1/tracks/0Jli6hojT6aSBcFg4L2P5f,https://api.spotify.com/v1/audio-analysis/0Jli6hojT6aSBcFg4L2P5f,238680,4,I Don't Love You,spotify:track:0Jli6hojT6aSBcFg4L2P5f,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
6,0.445,0.977,0,-2.674,1,0.0995,0.000347,0.0235,0.126,0.239,105.825,audio_features,4qPbHPTHniTcYt6oeboB7r,spotify:track:4qPbHPTHniTcYt6oeboB7r,https://api.spotify.com/v1/tracks/4qPbHPTHniTcYt6oeboB7r,https://api.spotify.com/v1/audio-analysis/4qPbHPTHniTcYt6oeboB7r,184000,4,House of Wolves,spotify:track:4qPbHPTHniTcYt6oeboB7r,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
7,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,audio_features,2aRZu1pBAaQV1BdeaaWh4G,spotify:track:2aRZu1pBAaQV1BdeaaWh4G,https://api.spotify.com/v1/tracks/2aRZu1pBAaQV1BdeaaWh4G,https://api.spotify.com/v1/audio-analysis/2aRZu1pBAaQV1BdeaaWh4G,142973,4,Cancer,spotify:track:2aRZu1pBAaQV1BdeaaWh4G,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
8,0.236,0.799,4,-5.167,0,0.0939,0.0136,0.0,0.0948,0.303,208.951,audio_features,7hSKf3yrno4avYqvTKeae7,spotify:track:7hSKf3yrno4avYqvTKeae7,https://api.spotify.com/v1/tracks/7hSKf3yrno4avYqvTKeae7,https://api.spotify.com/v1/audio-analysis/7hSKf3yrno4avYqvTKeae7,279027,4,Mama,spotify:track:7hSKf3yrno4avYqvTKeae7,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
9,0.188,0.952,0,-4.499,1,0.201,0.00138,0.000856,0.381,0.152,155.973,audio_features,6NK9g64i0EOGhXCfx27jTE,spotify:track:6NK9g64i0EOGhXCfx27jTE,https://api.spotify.com/v1/tracks/6NK9g64i0EOGhXCfx27jTE,https://api.spotify.com/v1/audio-analysis/6NK9g64i0EOGhXCfx27jTE,283467,4,Sleep,spotify:track:6NK9g64i0EOGhXCfx27jTE,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
10,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,audio_features,78OBZL4Z6QHdwwloWIh0Lt,spotify:track:78OBZL4Z6QHdwwloWIh0Lt,https://api.spotify.com/v1/tracks/78OBZL4Z6QHdwwloWIh0Lt,https://api.spotify.com/v1/audio-analysis/78OBZL4Z6QHdwwloWIh0Lt,161920,4,Teenagers,spotify:track:78OBZL4Z6QHdwwloWIh0Lt,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
11,0.343,0.692,2,-3.926,1,0.0355,0.00218,0.0,0.112,0.153,174.07,audio_features,75tLo0qRQ5v24jkRa1kgPX,spotify:track:75tLo0qRQ5v24jkRa1kgPX,https://api.spotify.com/v1/tracks/75tLo0qRQ5v24jkRa1kgPX,https://api.spotify.com/v1/audio-analysis/75tLo0qRQ5v24jkRa1kgPX,295000,4,Disenchanted,spotify:track:75tLo0qRQ5v24jkRa1kgPX,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
12,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,audio_features,27wqSh5wL0TrA3xuuDXWn0,spotify:track:27wqSh5wL0TrA3xuuDXWn0,https://api.spotify.com/v1/tracks/27wqSh5wL0TrA3xuuDXWn0,https://api.spotify.com/v1/audio-analysis/27wqSh5wL0TrA3xuuDXWn0,299227,4,Famous Last Words,spotify:track:27wqSh5wL0TrA3xuuDXWn0,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
13,0.739,0.405,4,-10.524,1,0.107,0.972,0.0,0.0699,0.827,123.497,audio_features,6l7A6zpIDPeq7YBpE9BS2D,spotify:track:6l7A6zpIDPeq7YBpE9BS2D,https://api.spotify.com/v1/tracks/6l7A6zpIDPeq7YBpE9BS2D,https://api.spotify.com/v1/audio-analysis/6l7A6zpIDPeq7YBpE9BS2D,173533,4,Blood - Hidden Track,spotify:track:6l7A6zpIDPeq7YBpE9BS2D,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
14,0.28,0.959,7,-3.416,1,0.102,0.000487,0.0023,0.185,0.219,94.913,audio_features,4fEWuOkN2waQ5q0BH9Ykd1,spotify:track:4fEWuOkN2waQ5q0BH9Ykd1,https://api.spotify.com/v1/tracks/4fEWuOkN2waQ5q0BH9Ykd1,https://api.spotify.com/v1/audio-analysis/4fEWuOkN2waQ5q0BH9Ykd1,229480,4,The Five of Us Are Dying - Rough Mix,spotify:track:4fEWuOkN2waQ5q0BH9Ykd1,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
15,0.61,0.74,7,-4.782,1,0.0363,0.0429,2.28e-06,0.257,0.617,102.553,audio_features,0mFtKch3OXHZ0oKKewXrjs,spotify:track:0mFtKch3OXHZ0oKKewXrjs,https://api.spotify.com/v1/tracks/0mFtKch3OXHZ0oKKewXrjs,https://api.spotify.com/v1/audio-analysis/0mFtKch3OXHZ0oKKewXrjs,262267,4,Kill All Your Friends - Live Demo,spotify:track:0mFtKch3OXHZ0oKKewXrjs,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb
