,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.644,0.728,4,-8.682,0,0.191,0.000472,8.05e-06,0.427,0.513,151.219,audio_features,5HtCZ8EtzHo3CHb3WLsH7h,spotify:track:5HtCZ8EtzHo3CHb3WLsH7h,https://api.spotify.com/v1/tracks/5HtCZ8EtzHo3CHb3WLsH7h,https://api.spotify.com/v1/audio-analysis/5HtCZ8EtzHo3CHb3WLsH7h,61183,4,E.T.,spotify:track:5HtCZ8EtzHo3CHb3WLsH7h,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
1,0.607,0.695,10,-10.306,0,0.114,0.163,2.72e-06,0.856,0.599,147.971,audio_features,4VtXGAWCtMDkk0vlQYQ0IK,spotify:track:4VtXGAWCtMDkk0vlQYQ0IK,https://api.spotify.com/v1/tracks/4VtXGAWCtMDkk0vlQYQ0IK,https://api.spotify.com/v1/audio-analysis/4VtXGAWCtMDkk0vlQYQ0IK,145146,4,Ruff,spotify:track:4VtXGAWCtMDkk0vlQYQ0IK,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
2,0.671,0.547,5,-7.944,0,0.0613,0.408,0.0,0.172,0.842,143.868,audio_features,7eDNFjoewxQBMoFrFE4M2n,spotify:track:7eDNFjoewxQBMoFrFE4M2n,https://api.spotify.com/v1/tracks/7eDNFjoewxQBMoFrFE4M2n,https://api.spotify.com/v1/audio-analysis/7eDNFjoewxQBMoFrFE4M2n,123402,4,Militant,spotify:track:7eDNFjoewxQBMoFrFE4M2n,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
3,0.678,0.671,1,-6.901,0,0.157,0.0589,0.0,0.633,0.366,144.052,audio_features,4FGaK2wXZa5EkHgOX39Sbn,spotify:track:4FGaK2wXZa5EkHgOX39Sbn,https://api.spotify.com/v1/tracks/4FGaK2wXZa5EkHgOX39Sbn,https://api.spotify.com/v1/audio-analysis/4FGaK2wXZa5EkHgOX39Sbn,201613,4,Jealous,spotify:track:4FGaK2wXZa5EkHgOX39Sbn,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
4,0.679,0.813,8,-4.973,1,0.0463,0.0131,0.000247,0.274,0.56,139.97,audio_features,4qzBTOhW9I35aDDTQRn2Dl,spotify:track:4qzBTOhW9I35aDDTQRn2Dl,https://api.spotify.com/v1/tracks/4qzBTOhW9I35aDDTQRn2Dl,https://api.spotify.com/v1/audio-analysis/4qzBTOhW9I35aDDTQRn2Dl,183173,4,Made It,spotify:track:4qzBTOhW9I35aDDTQRn2Dl,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
5,0.625,0.786,10,-3.757,0,0.0514,0.27,0.0,0.114,0.192,79.905,audio_features,34Ub3V4t698KNrNudWXI4I,spotify:track:34Ub3V4t698KNrNudWXI4I,https://api.spotify.com/v1/tracks/34Ub3V4t698KNrNudWXI4I,https://api.spotify.com/v1/audio-analysis/34Ub3V4t698KNrNudWXI4I,157547,5,A Wonderful Feeling,spotify:track:34Ub3V4t698KNrNudWXI4I,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
6,0.813,0.666,11,-4.243,0,0.0551,0.0488,0.0,0.37,0.307,126.99,audio_features,36PCZHCx7vp5Dtjfa84bRG,spotify:track:36PCZHCx7vp5Dtjfa84bRG,https://api.spotify.com/v1/tracks/36PCZHCx7vp5Dtjfa84bRG,https://api.spotify.com/v1/audio-analysis/36PCZHCx7vp5Dtjfa84bRG,162346,4,Let My Hair Down,spotify:track:36PCZHCx7vp5Dtjfa84bRG,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
7,0.794,0.72,7,-7.03,0,0.21,0.439,6.98e-06,0.0636,0.524,140.049,audio_features,7uX5dAHavn4LfScPAi9V7Y,spotify:track:7uX5dAHavn4LfScPAi9V7Y,https://api.spotify.com/v1/tracks/7uX5dAHavn4LfScPAi9V7Y,https://api.spotify.com/v1/audio-analysis/7uX5dAHavn4LfScPAi9V7Y,301715,4,Unlawful,spotify:track:7uX5dAHavn4LfScPAi9V7Y,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
8,0.873,0.727,10,-4.789,0,0.27,0.137,0.0,0.0715,0.727,121.071,audio_features,56Y7wRIbF8GEUF8GOSIIta,spotify:track:56Y7wRIbF8GEUF8GOSIIta,https://api.spotify.com/v1/tracks/56Y7wRIbF8GEUF8GOSIIta,https://api.spotify.com/v1/audio-analysis/56Y7wRIbF8GEUF8GOSIIta,143467,4,Gun Showers,spotify:track:56Y7wRIbF8GEUF8GOSIIta,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
9,0.522,0.878,0,-2.956,1,0.312,0.0874,0.0,0.324,0.276,89.012,audio_features,29O4vsbAm80m01upBo6VxX,spotify:track:29O4vsbAm80m01upBo6VxX,https://api.spotify.com/v1/tracks/29O4vsbAm80m01upBo6VxX,https://api.spotify.com/v1/audio-analysis/29O4vsbAm80m01upBo6VxX,178646,3,Amy,spotify:track:29O4vsbAm80m01upBo6VxX,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
10,0.874,0.901,2,-3.124,1,0.305,0.0347,0.0,0.1,0.635,160.037,audio_features,1V2UteSHFeXtFQLDev5O7k,spotify:track:1V2UteSHFeXtFQLDev5O7k,https://api.spotify.com/v1/tracks/1V2UteSHFeXtFQLDev5O7k,https://api.spotify.com/v1/audio-analysis/1V2UteSHFeXtFQLDev5O7k,147521,4,Mo Betta,spotify:track:1V2UteSHFeXtFQLDev5O7k,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
11,0.781,0.48,10,-8.378,1,0.171,0.0458,0.0,0.141,0.147,80.043,audio_features,1hc4OYoWMQaLeDvO3BNQup,spotify:track:1hc4OYoWMQaLeDvO3BNQup,https://api.spotify.com/v1/tracks/1hc4OYoWMQaLeDvO3BNQup,https://api.spotify.com/v1/audio-analysis/1hc4OYoWMQaLeDvO3BNQup,185574,4,Juice,spotify:track:1hc4OYoWMQaLeDvO3BNQup,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
12,0.678,0.464,7,-9.964,1,0.361,0.00628,0.0,0.159,0.243,159.927,audio_features,2nbxH1uQ2KFca2JPBa59I6,spotify:track:2nbxH1uQ2KFca2JPBa59I6,https://api.spotify.com/v1/tracks/2nbxH1uQ2KFca2JPBa59I6,https://api.spotify.com/v1/audio-analysis/2nbxH1uQ2KFca2JPBa59I6,126067,4,Pathetic,spotify:track:2nbxH1uQ2KFca2JPBa59I6,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
13,0.844,0.452,1,-6.857,1,0.251,0.211,0.0,0.105,0.174,146.085,audio_features,1seM45n9gGxrTIHi6layDQ,spotify:track:1seM45n9gGxrTIHi6layDQ,https://api.spotify.com/v1/tracks/1seM45n9gGxrTIHi6layDQ,https://api.spotify.com/v1/audio-analysis/1seM45n9gGxrTIHi6layDQ,162021,4,Lost,spotify:track:1seM45n9gGxrTIHi6layDQ,N.A.O Quelly,0SMlxXUEOOyKZmxDOdxJGS
