,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.797,0.567,2,-7.503,1,0.0651,0.0692,0.0,0.0705,0.843,108.024,audio_features,6Zew6IMFobchUz55FFhdkE,spotify:track:6Zew6IMFobchUz55FFhdkE,https://api.spotify.com/v1/tracks/6Zew6IMFobchUz55FFhdkE,https://api.spotify.com/v1/audio-analysis/6Zew6IMFobchUz55FFhdkE,188889,4,Sexual,spotify:track:6Zew6IMFobchUz55FFhdkE,NEIKED,5H6xmHXjsq98NLbEjuE29f
1,0.712,0.424,10,-8.388,1,0.0312,0.0325,7.54e-06,0.108,0.827,127.99,audio_features,5Edva5pQylwpWB78BBxoLZ,spotify:track:5Edva5pQylwpWB78BBxoLZ,https://api.spotify.com/v1/tracks/5Edva5pQylwpWB78BBxoLZ,https://api.spotify.com/v1/audio-analysis/5Edva5pQylwpWB78BBxoLZ,184427,4,Old School Love,spotify:track:5Edva5pQylwpWB78BBxoLZ,NEIKED,5H6xmHXjsq98NLbEjuE29f
2,0.68,0.599,7,-6.956,1,0.211,0.157,0.0,0.0664,0.402,81.902,audio_features,7th4SPsXYiPpv5xT4APWkX,spotify:track:7th4SPsXYiPpv5xT4APWkX,https://api.spotify.com/v1/tracks/7th4SPsXYiPpv5xT4APWkX,https://api.spotify.com/v1/audio-analysis/7th4SPsXYiPpv5xT4APWkX,190976,4,Lifestyle,spotify:track:7th4SPsXYiPpv5xT4APWkX,NEIKED,5H6xmHXjsq98NLbEjuE29f
3,0.702,0.538,10,-8.337,1,0.147,0.16,1.19e-06,0.259,0.558,101.086,audio_features,4fcKD8jpkEjgQ3qAqYRqCq,spotify:track:4fcKD8jpkEjgQ3qAqYRqCq,https://api.spotify.com/v1/tracks/4fcKD8jpkEjgQ3qAqYRqCq,https://api.spotify.com/v1/audio-analysis/4fcKD8jpkEjgQ3qAqYRqCq,190099,4,Friend - Demo,spotify:track:4fcKD8jpkEjgQ3qAqYRqCq,NEIKED,5H6xmHXjsq98NLbEjuE29f
4,0.66,0.741,0,-7.584,1,0.0467,0.244,0.0,0.229,0.435,101.973,audio_features,6e8JBtzHrlEWlpAdw23H0u,spotify:track:6e8JBtzHrlEWlpAdw23H0u,https://api.spotify.com/v1/tracks/6e8JBtzHrlEWlpAdw23H0u,https://api.spotify.com/v1/audio-analysis/6e8JBtzHrlEWlpAdw23H0u,168823,4,How Did I Find You,spotify:track:6e8JBtzHrlEWlpAdw23H0u,NEIKED,5H6xmHXjsq98NLbEjuE29f
5,0.742,0.775,0,-7.619,1,0.101,0.191,0.00968,0.0587,0.577,98.021,audio_features,6K1mrrB0Xz1p6KHHzhPEC7,spotify:track:6K1mrrB0Xz1p6KHHzhPEC7,https://api.spotify.com/v1/tracks/6K1mrrB0Xz1p6KHHzhPEC7,https://api.spotify.com/v1/audio-analysis/6K1mrrB0Xz1p6KHHzhPEC7,200913,4,Une Lettre,spotify:track:6K1mrrB0Xz1p6KHHzhPEC7,NEIKED,5H6xmHXjsq98NLbEjuE29f
6,0.71,0.66,4,-8.512,1,0.0294,0.194,0.005,0.107,0.33,102.058,audio_features,4HWbb6tRmSlY2ZhkNSnhOM,spotify:track:4HWbb6tRmSlY2ZhkNSnhOM,https://api.spotify.com/v1/tracks/4HWbb6tRmSlY2ZhkNSnhOM,https://api.spotify.com/v1/audio-analysis/4HWbb6tRmSlY2ZhkNSnhOM,154205,4,Sand & Lead,spotify:track:4HWbb6tRmSlY2ZhkNSnhOM,NEIKED,5H6xmHXjsq98NLbEjuE29f
7,0.564,0.789,7,-5.09,0,0.0549,0.0102,3.04e-06,0.229,0.766,150.283,audio_features,6WtQDD3QRlyDgn9LfOmYTT,spotify:track:6WtQDD3QRlyDgn9LfOmYTT,https://api.spotify.com/v1/tracks/6WtQDD3QRlyDgn9LfOmYTT,https://api.spotify.com/v1/audio-analysis/6WtQDD3QRlyDgn9LfOmYTT,160029,4,Gunilla,spotify:track:6WtQDD3QRlyDgn9LfOmYTT,NEIKED,5H6xmHXjsq98NLbEjuE29f
8,0.731,0.568,6,-6.315,0,0.187,0.0759,7.37e-06,0.0567,0.516,103.979,audio_features,0EQFvXxLz0PNAPEst5TxW4,spotify:track:0EQFvXxLz0PNAPEst5TxW4,https://api.spotify.com/v1/tracks/0EQFvXxLz0PNAPEst5TxW4,https://api.spotify.com/v1/audio-analysis/0EQFvXxLz0PNAPEst5TxW4,176577,4,Been A Long Time,spotify:track:0EQFvXxLz0PNAPEst5TxW4,NEIKED,5H6xmHXjsq98NLbEjuE29f
9,0.719,0.82,8,-7.431,1,0.0613,0.0718,0.000112,0.0929,0.325,119.947,audio_features,7zx2jYSwvFT2UxROZQ3vBH,spotify:track:7zx2jYSwvFT2UxROZQ3vBH,https://api.spotify.com/v1/tracks/7zx2jYSwvFT2UxROZQ3vBH,https://api.spotify.com/v1/audio-analysis/7zx2jYSwvFT2UxROZQ3vBH,155582,4,Cowboy,spotify:track:7zx2jYSwvFT2UxROZQ3vBH,NEIKED,5H6xmHXjsq98NLbEjuE29f
