,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.544,0.782,0,-9.056,1,0.0363,0.202,0.901,0.11,0.866,136.016,audio_features,5DebUsH4CN4ByTe0xF0KPJ,spotify:track:5DebUsH4CN4ByTe0xF0KPJ,https://api.spotify.com/v1/tracks/5DebUsH4CN4ByTe0xF0KPJ,https://api.spotify.com/v1/audio-analysis/5DebUsH4CN4ByTe0xF0KPJ,233982,4,In Manhattan,spotify:track:5DebUsH4CN4ByTe0xF0KPJ,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
1,0.618,0.651,9,-7.811,1,0.0417,0.00808,0.688,0.646,0.965,169.995,audio_features,0naG5PyrfwJQ0xtuQ1BGCM,spotify:track:0naG5PyrfwJQ0xtuQ1BGCM,https://api.spotify.com/v1/tracks/0naG5PyrfwJQ0xtuQ1BGCM,https://api.spotify.com/v1/audio-analysis/0naG5PyrfwJQ0xtuQ1BGCM,325325,4,Across That Fine Line,spotify:track:0naG5PyrfwJQ0xtuQ1BGCM,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
2,0.811,0.407,10,-7.732,1,0.0359,0.459,0.454,0.108,0.518,109.976,audio_features,6q1EmrOCHTMUtWVRKsrpkr,spotify:track:6q1EmrOCHTMUtWVRKsrpkr,https://api.spotify.com/v1/tracks/6q1EmrOCHTMUtWVRKsrpkr,https://api.spotify.com/v1/audio-analysis/6q1EmrOCHTMUtWVRKsrpkr,199222,4,Wounds of Love,spotify:track:6q1EmrOCHTMUtWVRKsrpkr,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
3,0.57,0.36,0,-10.964,1,0.0278,0.894,0.136,0.0968,0.092,145.993,audio_features,3nHRraIuK9IEvBJNPJTkQp,spotify:track:3nHRraIuK9IEvBJNPJTkQp,https://api.spotify.com/v1/tracks/3nHRraIuK9IEvBJNPJTkQp,https://api.spotify.com/v1/audio-analysis/3nHRraIuK9IEvBJNPJTkQp,222467,3,Miranda,spotify:track:3nHRraIuK9IEvBJNPJTkQp,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
4,0.785,0.453,4,-7.123,0,0.0544,0.00176,0.0947,0.249,0.93,124.017,audio_features,2Zmk9Sxs1YkqdytFHX0Ac9,spotify:track:2Zmk9Sxs1YkqdytFHX0Ac9,https://api.spotify.com/v1/tracks/2Zmk9Sxs1YkqdytFHX0Ac9,https://api.spotify.com/v1/audio-analysis/2Zmk9Sxs1YkqdytFHX0Ac9,217752,4,The Grey Commute,spotify:track:2Zmk9Sxs1YkqdytFHX0Ac9,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
5,0.635,0.584,5,-7.292,1,0.0517,0.0392,0.4,0.0864,0.895,156.042,audio_features,0gFpdYnovoEx9JGGsibsmD,spotify:track:0gFpdYnovoEx9JGGsibsmD,https://api.spotify.com/v1/tracks/0gFpdYnovoEx9JGGsibsmD,https://api.spotify.com/v1/audio-analysis/0gFpdYnovoEx9JGGsibsmD,320981,4,This Fractured Mind,spotify:track:0gFpdYnovoEx9JGGsibsmD,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
6,0.554,0.439,8,-11.788,0,0.0348,0.877,0.708,0.127,0.522,179.882,audio_features,572oBgjtrXpdrkXSaSlyvO,spotify:track:572oBgjtrXpdrkXSaSlyvO,https://api.spotify.com/v1/tracks/572oBgjtrXpdrkXSaSlyvO,https://api.spotify.com/v1/audio-analysis/572oBgjtrXpdrkXSaSlyvO,310847,3,Former Self,spotify:track:572oBgjtrXpdrkXSaSlyvO,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
7,0.682,0.63,0,-7.496,1,0.0321,0.0124,0.683,0.158,0.923,131.995,audio_features,62OfOhTfNtOI7WKxc08ujG,spotify:track:62OfOhTfNtOI7WKxc08ujG,https://api.spotify.com/v1/tracks/62OfOhTfNtOI7WKxc08ujG,https://api.spotify.com/v1/audio-analysis/62OfOhTfNtOI7WKxc08ujG,293978,4,Whatever You Want,spotify:track:62OfOhTfNtOI7WKxc08ujG,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
8,0.594,0.748,4,-10.576,1,0.0513,0.794,0.801,0.0762,0.507,169.996,audio_features,6DiKrq3J4vYUF8iQhiB33S,spotify:track:6DiKrq3J4vYUF8iQhiB33S,https://api.spotify.com/v1/tracks/6DiKrq3J4vYUF8iQhiB33S,https://api.spotify.com/v1/audio-analysis/6DiKrq3J4vYUF8iQhiB33S,232218,4,A Word & A Wave,spotify:track:6DiKrq3J4vYUF8iQhiB33S,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
9,0.566,0.698,2,-7.432,1,0.0303,0.213,0.417,0.0984,0.176,129.994,audio_features,1qnZvUSaab9haeiUE5LIQS,spotify:track:1qnZvUSaab9haeiUE5LIQS,https://api.spotify.com/v1/tracks/1qnZvUSaab9haeiUE5LIQS,https://api.spotify.com/v1/audio-analysis/1qnZvUSaab9haeiUE5LIQS,289104,4,They're Beckoning,spotify:track:1qnZvUSaab9haeiUE5LIQS,Nation of Language,5JWBow4ywgKNQ5HBxY8hcz
